Symbol	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	NK_cells	Neutrophils	T_cells_(CD4+)	B_cells	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage
ABCC11	13.8125	13	9.166666667	13.6	13.18181818	15	12.61538462	12.18181818	10.125	12.36363636
ABCC12	13.0625	12.16666667	12.83333333	13.2	11.5	13	14.57692308	12.27272727	12.125	11.18181818
ABCC13	23.25	19.83333333	14.16666667	24.6	18.27272727	34	26.03846154	17.36363636	14.75	19.18181818
ABCC2	26.4375	28.83333333	28.08333333	43.4	26.72727273	29.25	28.53846154	23.63636364	39.125	21.09090909
ABCC3	160.375	590.6666667	58.41666667	65.6	64	90.75	93.5	49.27272727	233.25	726.4545455
ABCC4	36.25	52.33333333	61.58333333	36	118.6818182	35.75	41.80769231	264	439.125	137.8181818
ABCC5	24.4375	22	25.41666667	25.4	22.13636364	28.75	24.92307692	27.09090909	32	29.09090909
ABCC6	133.5	42.16666667	34.5	46.2	30.77272727	37	32.80769231	32.09090909	34.125	74.81818182
ABCC6P1	12.8125	12.33333333	11.41666667	13.2	11	13.75	12.26923077	11.27272727	11.125	11.18181818
ABCC8	49.75	53.5	55.75	33.8	39.86363636	41.5	42.19230769	41.72727273	33.625	37
ABCC9	25.25	22.66666667	22	28	22	27.5	23.15384615	22.27272727	37.625	20.54545455
ABCD1	168.5625	229.6666667	67.91666667	103.4	107.0909091	82.25	77.07692308	108.3636364	92.75	310.3636364
ABCD2	8.1875	8	7.416666667	8.8	29.86363636	9.5	18.88461538	8.090909091	7.375	8
ABCD3	78.3125	97.83333333	512.75	26.8	84.18181818	30.75	228.5769231	157.3636364	88	117.9090909
ABCD4	150.375	163.1666667	262	74.8	207.8181818	137.5	134.2307692	228.3636364	184	175
ABCE1	273.75	234.3333333	135.75	40	557.6363636	361.75	388.3461538	1357.090909	729.25	684.7272727
ABCF1	407.1875	374.3333333	910.75	306	662.1363636	356.5	654.4230769	771.9090909	570.25	562.9090909
ABCF2	100.125	86.33333333	107.6666667	79.2	114.5909091	219	114.6923077	180.9090909	134.75	76.90909091
ABCF3	147.9375	179.6666667	420.5	144.6	200.9090909	124	149.7692308	229.6363636	222.875	211.6363636
ABCG1	35.8125	30	50.58333333	488.2	133.5909091	34.25	320.5384615	127.9090909	11.625	299.9090909
ABCG2	23.6875	21.83333333	23.5	20.8	21.54545455	21.75	25.19230769	140	28.75	561.3636364
ABCG4	103.3125	91.16666667	61	96.8	74.95454545	101.5	88.26923077	90.81818182	71.375	92.90909091
ABCG5	22.75	22.33333333	17.91666667	23.6	19.86363636	25.5	22.03846154	20.36363636	18.375	18.18181818
ABCG8	32.4375	30.83333333	31.16666667	30.2	27.90909091	25.5	29.42307692	27.63636364	29.25	27.36363636
ABHD1	28.125	31.66666667	21.91666667	23.4	26.54545455	28.75	28.73076923	25.27272727	22.25	27.09090909
ABHD10	307	246.8333333	230.75	85.4	315.6818182	510.75	268.4615385	422.8181818	381.375	515.6363636
ABHD11	21.5	25.33333333	19.16666667	12.4	12.72727273	12.25	10.19230769	19	19.5	29.36363636
ABHD12	31.375	41	90.66666667	29.4	40.59090909	27.25	36.46153846	118.1818182	133	334.7272727
ABHD12B	12	11.66666667	9.833333333	13.8	10.5	12.5	11.07692308	9.818181818	9.75	9.545454545
ABHD13	90.8125	138	565.3333333	161.2	67.40909091	32.25	69.11538462	50.36363636	53	49.54545455
ABHD14A	103.9375	90.5	264.4166667	57.4	275.3181818	107	120.1923077	125.1818182	259.625	120.1818182
ABHD14B	472.75	394.6666667	413.5833333	73.2	1348.545455	496.75	482.7307692	316.4545455	412	321.5454545
ABHD15	75.9375	80.16666667	421.5	31.2	139.9090909	73.5	96.19230769	71.27272727	131	141
ABHD2	365.8125	383.3333333	540.0833333	1022	274.4545455	67	134.8461538	267.8181818	219.375	879.5454545
ABHD3	416.25	910	423	1127.8	848.7727273	142.5	317.9615385	125.1818182	97.625	682.9090909
ABHD4	344.625	281.6666667	264.9166667	739.6	245.3636364	327.75	306.0769231	421.0909091	1182.75	614
ABHD5	110.5625	78.5	100.75	936.8	38.59090909	49.75	53.11538462	88.36363636	175	80.90909091
ABHD6	49.875	101.1666667	18.25	18.2	20.13636364	33.25	20.19230769	45.18181818	52.125	146.7272727
ABHD8	66.25	67.83333333	43.33333333	53.2	58.5	53.25	47.26923077	62.09090909	52.875	83.90909091
ABI1	612.375	684.1666667	1193.583333	1123.8	961	802.5	786.5	416.8181818	539.5	802.4545455
ABI2	113.875	113.6666667	96.58333333	114.2	136.2272727	135	135.6538462	232.0909091	261.375	191.2727273
ABI3	324.1875	607.6666667	220.6666667	120.4	189.8636364	150.25	214.8846154	244.3636364	82.125	272.6363636
ABI3BP	10.6875	10.16666667	10.33333333	10.4	9.181818182	11.25	12.19230769	724.7272727	1115.375	11.09090909
ABL1	141.8125	197.1666667	444.6666667	67.8	187.3636364	54	296.3846154	581.8181818	596.875	292.1818182
ABL2	84.125	58.16666667	143.5833333	77	183.1818182	69.75	125.6923077	780.3636364	454.75	506
ABLIM1	41.5	34.83333333	1300	109	3520.636364	988	2357.230769	1704.363636	457.25	77.09090909
ABLIM2	96.0625	89.16666667	74.5	128.2	75.36363636	113.75	81.07692308	76.90909091	61.875	90.63636364
ABLIM3	69.875	62	36.41666667	70.8	43.31818182	63.25	56.61538462	323.0909091	159.875	62.18181818
ABO	28.9375	26.5	24.16666667	46.6	24.22727273	35.5	28.15384615	25.54545455	23.75	25
ABP1	24.375	23	20	65.6	19.45454545	28.25	20.76923077	20.45454545	17.5	117.0909091
ABR	524.875	850	626.9166667	733.8	414.6363636	101.75	172.5	566.0909091	513.375	1445.636364
ABRA	13.375	13.5	11.08333333	13.4	12.81818182	12	12.07692308	14.18181818	11.625	13.27272727
ABT1	318.8125	355.3333333	666.5	326.8	346.2272727	322.5	420.1153846	358.9090909	295.25	262.4545455
ABTB1	502	578.6666667	252.4166667	2464	498.7272727	123.25	177.4230769	127.4545455	187.375	256.3636364
ABTB2	86.75	84.66666667	73.75	185.2	54.86363636	80	83.19230769	73.54545455	134.875	78.27272727
ACAA1	486.75	665.1666667	314.8333333	602.8	313.8636364	222.25	164.1153846	311.7272727	325.875	578.9090909
ACAA2	109.125	96	73.58333333	137.4	62.59090909	128.75	90.57692308	105.7272727	108.125	93
ACACA	124.625	114	154.3333333	56.4	141.4545455	113.25	163.1153846	418.4545455	495.875	244.7272727
ACACB	96.875	102.1666667	88.83333333	97.2	125.8181818	67.25	86.69230769	65.18181818	70.125	80.36363636
ACAD10	104	107.3333333	68.25	112.2	80.59090909	103	84	67.18181818	85.625	73.18181818
ACAD11	66.0625	84.83333333	186.6666667	47	167.3181818	69.5	115.4230769	87.27272727	160.125	84.54545455
ACAD8	139.0625	195	238.5833333	105.6	207.4090909	68.25	113.4230769	169	205.125	166.6363636
ACAD9	183.625	205	92.83333333	50	158.4090909	102.5	90.84615385	367.3636364	272.625	362.5454545
ACADL	15.1875	15.5	14	15.4	15.40909091	14.75	15.92307692	17.36363636	50	16.45454545
ACADM	351.875	377.8333333	82.91666667	35.8	455	653.25	235.3076923	472.5454545	588	1314.727273
ACADS	167.3125	156.6666667	126.75	120.8	140	132.5	133.1923077	135.7272727	103.75	208
ACADSB	64.8125	66	140.5833333	39.2	220.8181818	57.25	112.2692308	80.81818182	106.875	87.27272727
ACADVL	1094.8125	887.1666667	827.4166667	693	695.2727273	252.25	346.2307692	1352	1201.875	1138.727273
ACAN	99.9375	96.83333333	62.75	78.4	56.18181818	85.25	65.69230769	67.45454545	382	68
ACAP1	186.5	84.5	524.8333333	540.8	1794.136364	139.25	340.8461538	35.54545455	47.125	81.72727273
ACAP2	359.25	204.8333333	176.6666667	1389	131.5909091	215.25	183.3461538	70.81818182	94.625	258.1818182
ACAP3	177.4375	242.3333333	189.5833333	117	270.9090909	65.75	68.19230769	134.2727273	168.125	129
ACAT1	11	10.66666667	11.08333333	10.8	10.54545455	9.25	10.84615385	10.72727273	10.5	9.636363636
ACAT2	169.75	170	413	109	299.6818182	302.75	249.4615385	466.1818182	581.375	2358.545455
ACBD3	446	477.8333333	1101.583333	357.8	399.3636364	560.75	359.3076923	643	1288.5	754.6363636
ACBD4	152.875	158.1666667	111.1666667	121.2	220.4545455	146.75	144.3076923	124.2727273	112	134.2727273
ACBD5	428.625	445	1285.5	237.6	303.4090909	87.5	391.1153846	488.5454545	593.25	748.1818182
ACBD6	168.375	216.8333333	319.0833333	80.8	200.5454545	76.5	142.2692308	610.3636364	491.375	207.0909091
ACCN1	36.3125	33.83333333	26.08333333	31.2	26.77272727	31.5	31.19230769	30.18181818	27.375	31.72727273
ACCN2	91.6875	78.5	59.41666667	87.2	81	126	109	69.72727273	71.625	61
ACCN3	20.25	21.5	16.66666667	18.8	23.77272727	19.5	19.42307692	18.27272727	16.125	20
ACCN4	49.9375	46	31.66666667	65.6	37.59090909	60.25	47.23076923	40.54545455	33.625	41
ACCN5	15.375	13.5	12.08333333	12.8	12.40909091	14.75	13.88461538	11.81818182	11.625	11.54545455
ACCS	234.9375	177.5	176.5	149.6	266.0909091	245.75	129	96.63636364	201.625	123.1818182
ACD	160.6875	200.5	156.5833333	225.4	392.1363636	89.25	142.7692308	376.2727273	239.25	132.0909091
ACE	51.8125	57.66666667	36.91666667	56.8	73.31818182	52	46.76923077	212.1818182	58.125	177.4545455
ACE2	33.75	33	24.58333333	35.6	28.22727273	46	34.73076923	26.72727273	29.625	26.63636364
ACER1	44.375	50.5	38.25	49	40.36363636	44.5	38.65384615	38.54545455	28.375	31.90909091
ACER3	720.4375	633.8333333	275.8333333	89	138.2272727	63.25	82.73076923	439.6363636	473.25	928
ACHE	52.6875	56.83333333	62.33333333	61.8	42.31818182	54.75	49.34615385	43.81818182	43	42.09090909
ACIN1	166.75	245.3333333	294.4166667	243	310.1818182	96	171.4615385	255.3636364	166.375	200.3636364
ACLY	1204.875	1182	788.25	975.4	1391.636364	855.25	720.0384615	2874.363636	2679.125	1690.454545
ACMSD	14.375	14	14	13.4	12.31818182	15.25	16.5	12.81818182	11.875	11.36363636
ACN9	66.8125	59.83333333	32.66666667	35.8	123.1363636	118	90.80769231	65.09090909	62.375	60.63636364
ACO1	142.4375	121	60.75	52.2	98.18181818	93	92.88461538	719.1818182	857.125	1300
ACO2	62.3125	78.16666667	38.83333333	44.8	59.5	45.25	45.30769231	58.09090909	41.375	75.45454545
ACOT11	56.125	54.33333333	31.16666667	78.4	52.04545455	73	54.42307692	53.18181818	37.875	73.18181818
ACOT12	9.8125	9.5	7.833333333	9	8.409090909	9.5	9.538461538	8.272727273	9.25	8.636363636
ACOT13	191.375	151	53.83333333	134.4	111.6363636	148.25	90.15384615	522.0909091	423.125	1315.363636
ACOT4	24.875	27.16666667	72.08333333	25.4	45.86363636	32.5	44.19230769	26.09090909	46.875	308.6363636
ACOT6	13.125	13.33333333	15.33333333	12.6	11.72727273	13.5	12.53846154	12.09090909	12.625	13.27272727
ACOT7	52.9375	85.83333333	296.75	38.2	87.95454545	44.75	83.30769231	868.1818182	702.375	830.8181818
ACOT8	208.625	188.8333333	119.4166667	143.2	154.7272727	87.75	93.61538462	187.2727273	278.875	247.9090909
ACOT9	833.4375	1065	256.5	760	306.0454545	332.75	249.8846154	1119.090909	901.75	1002
ACOX1	223.1875	91.83333333	63.83333333	1272.4	74.04545455	48.5	66.65384615	208.4545455	206.125	400.5454545
ACOX2	35.6875	29.33333333	16.75	22	20.90909091	21.5	24.92307692	51.54545455	117.5	229.3636364
ACOX3	106.75	94.83333333	45.33333333	47	88.54545455	45.5	52.34615385	250.4545455	194.75	143.2727273
ACOXL	32.9375	28.83333333	32.66666667	39.4	23.63636364	28.5	27.76923077	26.36363636	25.625	25.90909091
ACP1	693.3125	545	1162.666667	99.8	1037.136364	1372.75	1562.653846	964.6363636	847.375	715.6363636
ACP2	226.75	529.1666667	67.08333333	96.4	152.5	79.75	90.15384615	424.8181818	343.5	1626.909091
ACP5	221.5625	250.3333333	114.3333333	109.6	221.5909091	219.5	75.76923077	147.7272727	87	7945.363636
ACP6	100	80.66666667	82.08333333	128.8	250.5454545	73	115.8461538	212	139.625	131.2727273
ACPL2	124.0625	66	360.8333333	85.8	339.4545455	29	157.2307692	65.45454545	193	70
ACPP	137.6875	133.5	21.16666667	334.2	19.86363636	25.5	22.34615385	15.36363636	16.125	87.90909091
ACPT	135.4375	124.8333333	158.5	119.6	91.77272727	119.75	107.7307692	97.09090909	94.25	98.63636364
ACRBP	86.8125	112.6666667	36.75	83	42.18181818	48.5	42.26923077	41.72727273	40.875	53.09090909
ACRC	54.4375	57.5	153.5833333	89.6	163.0454545	60	210.6153846	42.36363636	86.25	43.45454545
ACRV1	76.625	65.66666667	41.08333333	61.2	59.86363636	104.75	77.76923077	43.81818182	39.625	50.18181818
ACSBG1	29.5625	25.33333333	25.5	30.8	26.81818182	47.25	30.23076923	25	20.125	27.81818182
ACSBG2	39.9375	34.16666667	22.75	31	34.63636364	45	42.26923077	26.18181818	24.375	29.36363636
ACSF2	115	214.5	112.5833333	102.8	96.86363636	119	74.57692308	149.7272727	129.75	215.5454545
ACSF3	57.625	52.83333333	61.66666667	58.4	52.45454545	52.25	54.69230769	52.90909091	58.5	47.45454545
ACSL1	706.1875	486.3333333	116.3333333	6771.4	54.5	50.75	122	166.6363636	217.875	1103.636364
ACSL3	174.3125	196.3333333	557.9166667	239.4	159.3636364	100	169.7692308	586.7272727	784.375	883.1818182
ACSL4	210.125	230.3333333	58.83333333	459.8	60.13636364	36	47.53846154	222.2727273	201.75	386.4545455
ACSL5	240.9375	339.5	168.8333333	127.2	419.7727273	317.75	243.6538462	51.81818182	44	263.9090909
ACSL6	45.5625	49.33333333	40.5	42.6	37.5	51.5	43.96153846	33.63636364	27.625	33.90909091
ACSM1	26.0625	23.33333333	23.83333333	26.4	23.86363636	26.25	24.46153846	20.90909091	18.25	23.36363636
ACSM2A	9.5625	8.333333333	8.833333333	9.4	9.045454545	11	9.884615385	9.272727273	8.75	8.909090909
ACSM3	26.4375	24.5	20	29.8	33.81818182	29	37.65384615	46.09090909	13.375	17.36363636
ACSM5	22	20.83333333	14.16666667	21.4	16.27272727	33	21.34615385	14.90909091	14.375	32.45454545
ACSS1	212.625	247.1666667	450.3333333	130.4	303.1363636	211.5	168.3076923	92	89.875	128.8181818
ACSS2	370.75	235.5	77.91666667	440	172.5454545	125.5	115.5769231	247.5454545	218.875	636.0909091
ACSS3	32.1875	33.33333333	25.66666667	29.6	28.77272727	36	34.53846154	27.63636364	100.5	29.18181818
ACTA1	25.6875	28.16666667	16.08333333	38	18.09090909	24.25	19.30769231	23.36363636	45.125	22.27272727
ACTA2	200.5	154.6666667	68.33333333	194.8	151.4090909	138.5	113.7692308	498.4545455	6184.625	328.2727273
ACTB	15265	15643.5	1615.333333	12845.4	9402.590909	10864.5	4448.269231	9578.909091	10960.625	11356.45455
ACTC1	157.0625	133	65.16666667	111.8	104.6818182	126.5	99.69230769	110.9090909	1342.25	102.3636364
ACTG1	9664.5	10336.16667	9460.166667	8745.8	9609.590909	6532.75	6483.576923	13287.72727	14172.5	9976.727273
ACTG2	85.9375	89.5	43.58333333	89.8	69.18181818	69	65.30769231	68.90909091	276.875	70.81818182
ACTL6A	168.8125	181.3333333	87.83333333	28.6	347.9545455	132.75	136.2692308	683.2727273	450.125	324.0909091
ACTL6B	22.375	21.16666667	19.33333333	22.4	17.72727273	21.5	20.19230769	21.27272727	20.25	22.27272727
ACTL7A	46.75	48	47.83333333	47.6	35.27272727	38.75	38.07692308	44.09090909	30.625	37.72727273
ACTL7B	44	43.33333333	30.66666667	39.8	36.59090909	54.25	38.84615385	37.63636364	30.875	41.27272727
ACTL8	140.9375	123.3333333	67.58333333	146.4	90.40909091	163.5	119.1538462	88.81818182	93	98.18181818
ACTL9	24.6875	22	17.08333333	19.6	19.54545455	38.5	20.88461538	21.90909091	15	18.63636364
ACTN1	493.3125	148.1666667	55	3219.8	512.9545455	35	244.8076923	2253.272727	1934.375	1804.454545
ACTN2	72.8125	63.5	30.75	75.2	55.27272727	78.5	66.5	73.63636364	71.375	78.36363636
ACTN3	39.0625	47.16666667	36.91666667	38.4	31.27272727	31.25	33.15384615	34.63636364	32.75	34.72727273
ACTN4	758.375	994.1666667	445.4166667	999.4	667.5	225.25	403.5	1431.363636	1811.875	516.5454545
ACTR10	1140	1287.5	1185.25	1128.6	1127.636364	853.75	1015.961538	1923.363636	2646.375	1674.818182
ACTR1A	517.25	645.6666667	310.3333333	518.6	280.2272727	161.25	423.3846154	1274.818182	698	684.1818182
ACTR1B	293.5	367.5	418.8333333	198.4	479.5909091	158.5	198.0384615	305	356.5	349.4545455
ACTR2	4954	6285.166667	2297.333333	6804.4	3156.136364	2380.25	2135.615385	3439.090909	3534	4233.454545
ACTR3	5822.5	7399.333333	3049.916667	8918.6	6153.454545	4799.5	3402.423077	5932.636364	5750.125	7879.272727
ACTR3B	36.25	41.66666667	36.5	37.2	57.27272727	31.5	32.26923077	89.72727273	128.375	38.45454545
ACTR3C	28.3125	27.83333333	34.5	28.4	22.68181818	35.25	29.15384615	20.36363636	36.125	26.18181818
ACTR5	154.4375	205.1666667	613.1666667	122.6	284.5	123.75	200.6538462	179.0909091	118.125	131.9090909
ACTR6	145.8125	170.8333333	285.3333333	59.6	336.4090909	181.25	304.3461538	301.1818182	338.375	242.7272727
ACTR8	361.6875	330.5	244.9166667	221.4	246.5	363	301.2307692	386.4545455	414.375	347.2727273
ACTRT2	31.875	31.83333333	32.75	36.8	28.59090909	39.75	33.15384615	30.90909091	24.75	33.81818182
ACVR1	246.125	266	89.91666667	58.4	448.8181818	29.5	68.15384615	729.0909091	1330.625	597.2727273
ACVR1B	298.1875	419.3333333	62.41666667	147.8	138.8636364	46.25	93.53846154	361.8181818	369.125	301.6363636
ACVR1C	27.75	17.16666667	17.33333333	29.4	114.0454545	40.5	64.03846154	15.72727273	17.125	17.81818182
ACVR2A	193.1875	186	351.5	79.2	177.8181818	121.25	232.1923077	190	889.375	214
ACVR2B	47.875	53.16666667	48.33333333	38.4	93.63636364	43.25	63.84615385	48.90909091	38.75	51.54545455
ACVRL1	50.125	56.83333333	43.41666667	42.8	43.63636364	49.25	49.15384615	295.1818182	72	61.18181818
ACY1	199.1875	141.1666667	113.6666667	71.2	122.5454545	133	94.69230769	278.9090909	424.625	424.4545455
ACY3	32.8125	41.66666667	22.5	26.2	26.45454545	35.75	27.11538462	21.09090909	19.25	23.27272727
ACYP1	84.6875	93.66666667	274.5833333	40.2	325.8636364	300.5	161.0384615	344.9090909	179.875	139.7272727
ACYP2	197.0625	136.8333333	164	41.2	169.8181818	261	106.3846154	109.9090909	272.875	207
ADA	179.375	1513.666667	739.5	55.8	553.4545455	58.5	303	503.2727273	319.375	644.2727273
ADAD1	32.8125	28	18.25	27.6	32.54545455	43.75	47.07692308	22	18.125	23.90909091
ADAD2	81.125	81.33333333	80	74	55.90909091	97.5	72.96153846	68.63636364	59.875	67.81818182
ADAL	26.4375	30.33333333	40.66666667	19.2	31.5	22.75	27.15384615	20.63636364	28.125	24.72727273
ADAM10	336.875	370.1666667	73.25	685	186.1818182	72.25	97.92307692	436.4545455	594.5	575.0909091
ADAM11	64.625	55.66666667	57.33333333	84	44.09090909	91	68	52.18181818	42.125	48.45454545
ADAM12	15.0625	12.83333333	13	14.6	14.81818182	18	16.96153846	17.54545455	679.125	30.63636364
ADAM15	285.75	293.5	123.1666667	142.2	153.6818182	140.25	140.5	459.4545455	226.875	269
ADAM17	289.5	347.3333333	267.9166667	489	229.5	119.25	196.6538462	279.5454545	281.75	340.1818182
ADAM18	16	17.33333333	14.66666667	15.4	14.59090909	17.25	17.15384615	15.45454545	13.5	12.81818182
ADAM19	226.3125	39.16666667	33.83333333	1081.6	277.5	576	82.96153846	221.9090909	347.75	52.18181818
ADAM2	10.9375	9.666666667	9.083333333	11.2	9.227272727	10	9.615384615	9.181818182	8.375	8.909090909
ADAM20	72.0625	69.5	50.33333333	72	61.81818182	83	86.61538462	58.18181818	60.125	56.09090909
ADAM21	27	24.33333333	15.75	29.8	23.40909091	36.5	32.03846154	19.81818182	25.75	16.81818182
ADAM22	70.0625	70.16666667	53.5	76	60.54545455	97.5	72.34615385	44.90909091	40.375	49.72727273
ADAM23	103.5	100.8333333	60	67.8	90.36363636	110.5	83	304	146.5	57.18181818
ADAM28	91.4375	34.66666667	143.75	226.6	22.09090909	1195.75	32.57692308	15.72727273	25.5	370.7272727
ADAM29	17.3125	16.83333333	11.58333333	14.4	16.22727273	20.75	23.03846154	12.45454545	13.25	14.09090909
ADAM30	7.8125	7.833333333	7.583333333	8.2	7.545454545	8.75	7.346153846	7.545454545	6.625	6.909090909
ADAM32	13.1875	13.16666667	10.66666667	13.6	13.18181818	16.5	14.38461538	13.45454545	14.25	12.18181818
ADAM33	328.375	329.1666667	278.5833333	310.6	283.5454545	540.25	331.0769231	151.1818182	299.625	203.2727273
ADAM3A	12.75	12.16666667	11.66666667	13.4	13.27272727	13	12.11538462	14.27272727	10.75	11.90909091
ADAM5P	25.25	23.83333333	16.41666667	20.4	22.22727273	27.25	32.03846154	18.90909091	15.625	18.81818182
ADAM6	40.375	33.66666667	27.33333333	38	32.63636364	58.5	41.69230769	29.45454545	24.625	27.72727273
ADAM7	21.4375	22.83333333	19.25	23.4	21.09090909	23.5	26.46153846	17.27272727	17	18.09090909
ADAM8	81.3125	82.33333333	51.08333333	350	108.1363636	52.75	45.15384615	39.81818182	33.625	56.81818182
ADAM9	80.875	48.83333333	22	57.6	18.27272727	27.75	29.73076923	848.3636364	758.75	843.7272727
ADAMDEC1	22.75	17.16666667	10.91666667	12.8	9.954545455	19	12.11538462	9.636363636	15.375	1069.727273
ADAMTS1	36.25	40.5	197.1666667	42	26.86363636	33.5	44.61538462	521.9090909	2761.5	28.18181818
ADAMTS10	121.25	108	67.75	125.8	82.68181818	164	141.9615385	102	102.625	91.63636364
