Mixture	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells	P-value	Correlation	RMSE	Absolute score (sig.score)
S18182	0.03482190250847	0.164293281572958	0.319046540537104	0.125568157720824	0.356664734700005	0	9999	0.355575469013378	0.998680584356572	1.00039461703936
S18189	0.0378079071234725	0.132311924033587	0.350594752087487	0.136212739182381	0.344001763168034	0	9999	0.37574035813568	0.983596991952231	1.00092908559496
S18199	0.0630002717012501	0.112489931419743	0.41345947549003	0.0990352303963364	0.313624577597489	0	9999	0.354506090274985	0.98959854379062	1.00160948660485
S18212	0.0577553570344843	0.154139596902724	0.33539351596723	0.1314111639723	0.321430005009749	0	9999	0.338428185351537	1.0094764120906	1.00012963888649
S18222	0.0799908459103961	0.113615798043034	0.342986725617971	0.112334416296383	0.351596799407401	0	9999	0.343994242890691	1.00071273737304	1.00052458527519
S18228	0.0750754508169871	0.124324399101633	0.393789677446172	0.112170521678309	0.295231530587034	0	9999	0.324804537063172	1.01176392025941	1.00059157963014
S18234	0.0735257215648695	0.124014338821581	0.302356870936169	0.198162796104562	0.302598846557905	0	9999	0.357032485673849	1.00932237693813	1.00065857398509
S18244	0.063078573636788	0.141036532024018	0.406398906494588	0.114573445335368	0.275981332007653	0	9999	0.405310333648168	0.956386912267515	1.00106878949842
S18263	0.0411183799982181	0.129451248324177	0.378339605952906	0.120581891948893	0.330573693219049	0	9999	0.363284419445585	0.988800384050292	1.00006481944324
S18265	0.0498206458130247	0.143429236179202	0.394229372728967	0.124382983406614	0.288662347147377	0	9999	0.377176862530647	0.978824726760563	1.00052458527519
S18270	0.0405311999652417	0.155044640311998	0.38511275367003	0.153141086703334	0.267373165075957	0	9999	0.38653684449878	0.978112051602543	1.00120284572656
S18272	0.0739577000586595	0.148061048396229	0.346693979224664	0.116245624150359	0.316244493896649	0	9999	0.378598080537177	0.97755213354111	1.00120284572656
S18277	0.0588862852891873	0.121627741541973	0.407369277285407	0.13719415114559	0.276326100781136	0	9999	0.378636956878971	0.978347042098913	1.00140355604329
S18278	0.0691429635896111	0.142384498269232	0.397097470650865	0.0993275526843203	0.292706088791056	0	9999	0.383805592747327	0.969925437584042	1.00065857398509
S18279	0.0608644280233437	0.14666114389477	0.373804413449601	0.103893952066014	0.315104179526559	0	9999	0.370875990056069	0.980859112809772	1.00032811696029
S18282	0.072118879043368	0.095309906990994	0.310531481084468	0.135713299099112	0.387051940126011	0	9999	0.358814409001416	0.99522103472363	1.00072550634395
S183	0.0932105320032578	0.1226349438002	0.398001051347771	0.0962800961853218	0.291076222390011	0	9999	0.392853356864746	0.962047845464793	1.00120284572656
S18308	0.101089503089337	0.164019855529128	0.389996030242937	0.0838555092073523	0.262508152991198	0	9999	0.350998176969217	0.990131991730264	1.00146905105995
S18320	0.041490799754018	0.13419010323777	0.505460589819614	0.139638876561121	0.180422476354038	0	9999	0.384032824235618	0.973755045456492	1.00120284572656
S18321	0.0659245436145552	0.0753070760726632	0.40714610726901	0.150264845298778	0.302826478804945	0	9999	0.368211858670246	0.986503557040924	1.00146905105995
S18324	0.0758151493557462	0.16264480152801	0.402305321603417	0.106407656097272	0.254165132442189	0	9999	0.353485578616355	0.991841703649912	1.00133806102663
S18330	0.068689982282679	0.115788750551941	0.497343815460378	0.149633049030633	0.169680220286858	0	9999	0.384320172898842	0.973744131252404	1.00113581761249
S18334	0.0643238559723761	0.140366520476928	0.279849934181904	0.126358080824901	0.389693188174027	0	9999	0.34500197990467	1.00628684588903	1.00059157963014
S18337	0.0970584483358863	0.163251433738771	0.347650390232704	0.136080285452695	0.257362998283236	0	9999	0.389695640610828	0.972008635020373	1.00140355604329
S18339	0.0695347381001378	0.124166366946482	0.331674984644514	0.137215906078035	0.338200442933651	0	9999	0.35865850904808	0.995023179952236	1.00079243870282
S18346	0.0567989635235682	0.108517477866908	0.416452503453695	0.138791720956555	0.28009790818436	0	9999	0.396433174621654	0.965358904084678	1.00065857398509
S1835	0.0541512716878161	0.145352566413929	0.312771523376374	0.130381588786237	0.357604666616858	0	9999	0.370536960983649	0.987640103521978	1.00026161688121
S18352	0.0707831968742141	0.180765584310648	0.309401652264644	0.14798257570121	0.291996076444246	0	9999	0.376216800478676	0.987109266076966	1.00092908559496
S18358	0.0724204534253268	0.134759896408125	0.340170579527154	0.225235103310477	0.228482756827333	0	9999	0.38337949684564	0.996482562596363	1.00106878949842
S18365	0.0890169915073792	0.0731509501270124	0.404799139294382	0.161630051892008	0.272740928205852	0	9999	0.340167416344462	1.00704958461166	1.00133806102663
