naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
mix_36	0	0	0.000300509238859334	5.90314358140953e-06	0	0	0	0
mix_37	0	0	0	0	0	0	0	0
mix_38	0	0	0	0	0	0	0	0
mix_39	0.00024656401342764	4.22230918153341e-05	0.000644821560395203	0.00132449665585517	0	0	0	0
mix_40	0	0	0.000512146734206699	0	0	0	0	0
mix_41	0	0	0	0	8.44115600152876e-05	0	0.000931274947217811	0
mix_42	0.00186221078224392	0.00124719581313071	0.00170952920367511	0.000390679723519092	0	0	0	7.29901694438174e-05
mix_43	0.000489331011890764	0.000494700071552456	0	0	0	0	0	0.000216529637075971
mix_44	0.00200773030676243	0.00135052698422316	0.00120340838575583	0.00176315794274917	0	0	0	0
mix_45	0.000324863560468254	0.000125024183229872	3.80682735587072e-05	0.000314727464489495	0	0	0	0.000940278164676317
mix_46	0	0	0	0	0.00127522286857017	0.00408299282720162	0.00330655383572822	0
mix_47	0	0	0	0	0.0014062187046448	0	0	0
mix_48	0.00177202534189342	0.0012011593424856	0.00130869548265139	0	0	0	0	0.000108379848871373
mix_49	0.000436432811891526	0	0.000690896154035435	0.00116986054602632	0	0.0024541732043455	0.00511132242754116	0.000568485617038334
mix_50	0	0	0.000658826712581921	0.00152201971178498	0	0	0	0
mix_51	0	0	0	0	0.000425159380621774	0	0	0.000171258074262427
mix_52	0	0	0	0	0	0	0	0.000172901340505887
mix_53	0.00369868131343487	0.00283019791774916	4.02927450284019e-05	0	0	0	0	0.000656549559557476
mix_54	0	0	0.000661242737401257	0	0	0	0	0
mix_55	0	0	0.000171911728138663	0	0	0	0	0
mix_56	0	0	0.00117688537794149	0.00120444146490038	0	0	0	0
mix_57	0.000330208259294235	8.47400375880773e-05	0.00110966817373029	0.00262968232612731	0	0	0	0
mix_58	0	0	0.00012342364222527	0.000156722197253107	0	0	0	0
mix_59	0.0015925948797544	0.00153276043235056	0	0	0.000873329095309129	0.000828898188237126	0.00234665789389731	0.00173741642974201
mix_60	0	0	0.000680600426974249	0	0	0	0	0
mix_61	0	0	0.000122011187193057	0	0	0	0	0
mix_62	0	0	0	0	0.000306330857514936	0	0	0
mix_63	0	0	0.000389013826829472	0.000320304529981677	0	0	0	0
mix_64	0.00172626819696998	0.00136866261428639	0	0	0	0	0	0.00119467462568044
mix_65	0	0	0	0	0	0.000191974409408086	0.000513653190605829	4.98776796090138e-06
mix_66	0.00269070508694963	0.00206468343845965	0	0	0	0	0	0.00189177512503159
mix_67	0.00103687165086947	0.00076358942095067	0.000381896969297373	0.00159967439850656	0	0	0	0
mix_68	0	0	0	0	0	0	0	0
mix_69	0.00156385038616183	0.00127078486190991	0.000708923738210492	8.47036793811615e-05	0	0	0	0
mix_70	0	0	0	0	0	0	0	0
mix_71	0	0	0	0	0	0	0	0
mix_72	0	0	0	0	0.00077840105164943	0.000494945553813872	9.73877501850601e-05	0
mix_73	0	0	0	0	0	0	0	0
mix_74	2.87544686941065e-05	0	0.00177436988171122	0.00277714473814486	0	0	0	0
mix_75	0.000786993496227768	0.000679379795893128	0.000634372667207104	0	0	0	0	0
mix_76	0	0	0	0	0	0	0	0
mix_77	0.000782425166308775	0.000687958281951868	0.000940606391113805	0.000870534617675259	0	0	0	0
mix_78	0	0	0	0	0	0	0	0
mix_79	0.00232940698356782	0.00228879628585577	0	0	0.00410527332636711	0.00889601377231001	0.00528590959679	0
mix_80	0.00347585643837711	0.00299840235400331	0.000629427538092683	0	0	0	0.00151954561062017	2.91865791799757e-05
