Gene,CD38.negative.naive.B.cell,memory.B.cell,CD14.positive..CD16.negative.classical.monocyte,cytotoxic.CD56.dim.natural.killer.cell,mature.neutrophil,memory.CD4.positive.alpha.beta.T.cell,CD4.positive..alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
Mix_26,1034.26035358,1534.17910095,4362.2797975,2557.36890798,6846.12768037,1844.20285103,35764.0180972,1207.92500929
Mix_27,1194.25685377,1722.83468415,5471.34535432,2123.00611506,7199.8515751,1794.97100427,37325.6709037,1102.01235875
Mix_28,1015.0875427,1605.83056113,5230.39851523,2817.67401254,7331.46889586,1714.27399138,30957.4792834,1121.49181338
Mix_29,1128.05809095,1580.45628818,4506.68287453,2484.16192094,6762.32065195,1850.96518852,36258.8515095,1178.67326087
Mix_30,901.193893084,1382.70437063,3891.67330331,3379.76306626,6521.46577036,1688.36930026,34422.9777575,1248.01870115
Mix_31,1081.08229582,1567.60140973,4725.68849532,2645.80615961,6953.6477835,1784.33116075,33583.4288707,1151.21275357
Mix_32,960.250926283,1590.45334242,4769.51048704,2401.87292448,7309.94792198,1861.05235539,33103.5183127,1204.69216051
Mix_33,835.775068609,1501.3953444,4622.98141915,2714.32767905,7237.29185709,1764.73225166,32823.5031889,1228.61031393
Mix_34,1103.29469412,1671.22513428,5759.66322505,2885.08771932,7550.6137963,1651.52828124,30808.4246657,1082.64957467
Mix_35,944.011759815,1454.15858488,4270.44859196,3193.21313464,6775.87371892,1719.19681361,30876.047759,1189.79618062
Mix_36,1033.18758249,1524.5042708,4566.63037123,2897.3957064,6840.26284577,1745.27754971,33307.3685108,1166.71689698
Mix_37,805.894139631,1424.51499768,4362.53891659,3462.24285309,6971.59313318,1650.20549168,32109.3238094,1243.46601887
Mix_38,777.405062707,1468.31868529,4743.00316413,3102.19557893,7338.28525601,1677.1525519,29523.668972,1206.94328964
Mix_39,1282.36216685,1803.5764641,6056.49983782,2273.98609223,7592.02752375,1785.84093793,32278.399954,1013.71291175
Mix_40,974.120525654,1453.78424406,4323.73101875,3382.41788778,6689.13717583,1680.82752172,33220.5858382,1201.02375038
Mix_41,906.02895516,1453.77795589,4504.30668612,3527.5775642,6905.67653813,1649.56777609,29508.8250318,1192.34458814
Mix_42,1083.36965122,1579.39115485,4497.7582182,2355.30647614,6874.68874899,1882.73736586,37210.0998721,1203.20483494
Mix_43,1104.67755419,1593.97814144,5118.29496448,2955.36640447,6996.77520617,1662.93897657,32106.8418213,1092.73814651
Mix_44,810.849689659,1465.38299127,4774.27267721,3367.96021692,7277.79314598,1639.87603986,28114.1025005,1183.6086029
Mix_45,894.260605508,1543.86264688,4780.45317951,2779.87179787,7154.08484373,1714.56630691,35052.7363502,1221.40470676
Mix_46,1131.85016473,1644.81935171,4994.20067332,2179.65686674,6977.91829486,1820.05787713,37487.3736889,1163.78911307
Mix_47,1013.39004993,1619.05980032,5380.75464901,2960.9327044,7314.58867517,1671.79739227,30994.7110839,1119.70400276
Mix_48,1049.38134823,1532.48164203,4548.86657148,2905.21934944,6857.86110951,1762.36870391,32449.1061232,1160.49754354
Mix_49,792.162378706,1334.94747528,3792.65508654,3614.15442331,6649.1082135,1686.14075381,30625.4846992,1255.0176773
Mix_50,874.409565713,1535.71886147,4625.13369711,2409.96435978,7206.97050286,1817.56342222,36787.5708561,1257.57753903
Mix_51,1052.1318337,1562.8997347,4711.30602822,2701.17161605,7015.37304956,1796.07924794,32757.0831922,1154.07470952
Mix_52,740.346209539,1396.35227859,4184.87320886,3136.36281321,6998.76294114,1701.8460646,34300.2672596,1292.47370979
Mix_53,1051.12505392,1631.52577584,5276.51969543,2575.47016297,7311.42397312,1743.15618134,33509.0293947,1132.41984833
Mix_54,797.80791251,1461.27756386,4971.84752498,3841.12660597,7337.5071684,1525.18108377,26222.8798327,1166.11757846
Mix_55,735.441327046,1397.08170495,4241.39191362,3710.27739051,7023.52549816,1655.74547134,31214.602568,1290.02977859
Mix_56,893.214954574,1553.0041694,4868.36578827,2582.19822471,7308.41531165,1781.96796581,35969.9011816,1232.40527731
Mix_57,640.413861406,1325.26516564,4128.0408417,3969.22408607,7094.15973463,1602.66601777,25983.9790436,1267.63894712
Mix_58,891.818201201,1494.8235021,4332.62941244,2803.950432,7045.18458317,1835.36408605,33589.2357567,1259.04600774
Mix_59,772.929705472,1364.41330702,4142.23119858,3964.53929505,6905.63379099,1608.41558952,30250.0813318,1261.61873784
Mix_60,1277.86067139,1619.00695659,4436.49200935,2319.85305028,6464.07405607,1878.72977918,41203.7442732,1179.20893697
Mix_61,1174.20827886,1608.65783399,5063.50444485,3043.53584596,6881.54899004,1696.11654506,32330.7825767,1081.51660635
Mix_62,1198.72884615,1494.34930256,4276.92952567,3324.11170915,6302.89353436,1698.42335728,32869.0136944,1123.44739778
Mix_63,761.618812763,1454.96987042,4889.96080041,3733.23008087,7342.36996218,1559.97583879,27139.335809,1189.4556939
Mix_64,1076.19914118,1686.49022149,5734.30610681,2728.83501307,7513.53574462,1676.65237877,32015.8696692,1099.38399528
Mix_65,1063.55655241,1641.19512144,5330.20861675,2634.45282615,7293.91470831,1729.00242025,33137.0433359,1127.43199682
Mix_66,1038.81992155,1475.66204487,4186.83107114,2924.72539236,6525.29150643,1752.6857186,33283.7445297,1164.12040168
Mix_67,1339.21880111,1739.27119946,5724.85389921,2736.27604809,7183.65963705,1726.89883451,30651.9962487,1006.52495862
Mix_68,964.276876909,1582.9433386,4821.50653,2391.07767637,7217.12394382,1809.88949563,36283.4952714,1210.13521378
Mix_69,1233.48220682,1610.80020007,4832.24624987,2859.44304096,6692.76815832,1752.73391744,34590.1524082,1109.98478079
Mix_70,933.070141827,1550.83913306,4609.10049219,2510.14134715,7136.00873087,1818.34726709,35683.878897,1232.34194743
Mix_71,922.02813986,1474.965684,4440.36419809,3312.88338606,6831.94365873,1669.98622294,33761.6246427,1217.38683237
Mix_72,953.083781961,1639.80612272,5339.81873427,2308.8078697,7645.9033947,1807.38216051,32136.6519393,1165.86904059
Mix_73,706.909311265,1351.44244064,4006.06152035,3686.44065213,6872.60606426,1647.22091605,30768.9504122,1290.14528779
Mix_74,1156.90447678,1603.48680127,5150.3677131,3103.05203576,6905.81784575,1635.58221357,30956.2448178,1077.03757707
Mix_75,874.002754158,1376.76963879,4035.11740679,3615.91853132,6730.81462119,1672.81082636,29781.1154639,1215.14238829
Mix_76,878.880594132,1381.26641328,3994.22514831,3602.08333528,6640.42900915,1680.29869229,31563.4558848,1230.16625262
Mix_77,941.371144331,1563.78042245,5208.11242639,3089.72355464,7401.6265476,1663.85864076,28574.0791807,1132.92138674
Mix_78,732.436426636,1316.83832737,3588.43032833,3238.75393803,6611.66274279,1737.17204144,33383.1280709,1303.59576758
Mix_79,736.956448785,1372.231835,4519.86198526,4078.81711486,7149.29109663,1531.21671077,26405.3884051,1209.73662622
Mix_80,974.293391178,1530.01756383,4636.46100072,2836.96346839,7104.61129636,1799.16531458,31003.8173507,1182.18523997
Mix_81,949.837466772,1509.05304743,4806.45916063,3190.72047389,7023.51928775,1644.74785605,31618.4227138,1158.6249041
Mix_82,983.622722471,1401.59276244,3825.03865347,3126.60217374,6295.6668437,1716.65535962,34623.9414663,1205.51640421
Mix_83,1107.67510104,1576.54324169,4928.56865839,2937.72865868,6917.91842946,1698.55736251,32218.4537021,1106.69919906
Mix_84,985.943254725,1570.22365054,4915.21606505,2571.35844369,7166.50634294,1768.51133932,33891.7727911,1171.46792394
Mix_85,914.807630077,1392.87436471,3951.16264512,3330.62276532,6614.19635707,1714.70670223,31603.4305355,1209.30683862
Mix_86,864.830244528,1474.39365071,4765.86273421,3362.79967773,7110.3923365,1608.75421993,31061.4332168,1187.68783775
Mix_87,1431.31829848,1741.82372614,5624.48833691,2807.50121377,6903.49338203,1703.95035541,31280.3594106,980.468258801
Mix_88,1148.97876399,1622.42042134,4757.57162494,2143.19469967,6896.97311782,1868.15423847,36595.7850493,1148.36855245
Mix_89,713.05473142,1462.83824907,4934.17151153,3413.89718525,7509.31116799,1608.46269539,28110.3442412,1211.60100568
Mix_90,895.693462871,1360.93817652,3964.49504507,3965.33138084,6624.41653437,1641.9909695,28796.8408502,1220.16968285
Mix_91,1395.40303047,1654.13358056,4803.0430226,2758.68762826,6548.98274279,1816.16593046,33356.7641438,1051.03856645
Mix_92,971.95519456,1469.7159719,4615.87871163,3427.60978369,6905.35749658,1642.62283137,28277.746216,1133.22453464
Mix_93,956.632808141,1665.24267257,5277.84320116,2168.08422905,7586.96604019,1859.20397958,32805.3148184,1167.26058889
Mix_94,1206.11617375,1638.70157057,4842.43589326,2295.9269433,6861.29868252,1853.99586905,35609.2579694,1113.77236718
Mix_95,907.790906989,1449.55336448,4311.03162905,3190.31539867,6936.14664409,1745.30166152,29671.1706777,1198.3438531
Mix_96,817.817225994,1465.2916471,4316.68893528,2823.82765835,7126.16215806,1788.92369693,33144.4262871,1255.95174976
Mix_97,1035.48552821,1556.57711734,5094.93851677,3142.46545657,7065.02711745,1626.05983683,30431.0545574,1107.64730776
Mix_98,1388.12140495,1971.52771635,7017.50381971,2111.83120796,8121.52440236,1769.56444672,31428.435086,955.855954476
Mix_99,697.917423368,1392.49967075,3843.5231334,2880.37010232,7161.31049199,1877.09312039,33240.6818283,1357.3148358
Mix_100,1022.62183565,1628.12214682,5453.13494009,3049.62272464,7414.34689787,1665.90050693,27897.0719648,1081.55689828
