Gene,naive_B_cell,memory_B_cell,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell
Mix_20,2313.43531609,60.743536974,140.889056602,670.55789632,35.8830946225,155.030828696,455.180029013,25.5344894322
Mix_21,2320.46239282,57.1038899652,127.485021843,669.73698112,42.078869535,194.642310127,480.173999241,26.7894792438
Mix_22,1970.23075697,29.061156682,96.8705222733,646.06855038,51.778739985,225.955915073,489.894954713,29.0611566812
Mix_23,2457.13222694,77.036956806,184.80642959,607.30507148,23.357887365,111.50085855,432.488178676,23.7986022214
Mix_24,2152.93433977,11.7356915082,318.384964062,1317.00538026,36.1850488175,157.453861075,562.588767068,34.9462813812
Mix_25,2524.12244277,71.677418994,162.127495328,790.05155114,17.79935907,73.2973606512,407.096452122,27.6790033144
Mix_26,2451.75056561,59.3497567862,224.47935224,1021.78479236,22.7103661225,106.890123198,459.994260122,29.3115125392
Mix_27,2599.76672519,66.08980588,118.157011087,895.49343348,36.6189083975,175.47780902,459.347586982,25.5453504978
Mix_28,2124.45683272,47.5292851618,148.465132688,650.8445662,41.39647417,176.605791421,480.999772916,27.4443291728
Mix_29,2536.11662269,60.0875741036,217.514466772,978.04965354,28.7042551425,94.6044409102,448.743188774,29.8524253478
Mix_30,2208.57096867,40.5200876972,123.919087989,827.07509144,19.872291814,74.7634393325,411.663410883,34.122179116
Mix_31,2362.30956837,59.495203952,188.919955907,805.71282742,27.9491358425,122.73316175,454.31522845,29.9420307444
Mix_32,2219.57371478,36.2358840068,296.303843215,1076.50772076,24.534713132,148.387832326,522.358721488,33.5936841362
Mix_33,2116.57642097,25.3918309606,236.449123582,1004.1583384,34.8768608375,153.162933848,503.079751582,28.6396232934
Mix_34,2156.99052744,54.999465384,69.7653317067,460.315722606,49.106665515,202.861328547,462.994952156,24.925866082
Mix_35,2095.48725476,44.863241854,186.45086622,702.4260782,23.9054934525,98.49782266,441.522681119,29.0460732486
Mix_36,2288.42204794,53.640725642,156.089118517,764.16254168,24.5801469075,116.13341559,441.820362036,29.1228069642
Mix_37,1989.05584882,30.101135882,109.123703532,750.82776788,30.6113246275,132.96794134,447.548903506,34.1826458306
Mix_38,1876.67564017,19.9088984756,191.479693992,774.50105794,39.668105985,175.325543905,498.221431817,32.0338667198
Mix_39,2403.98227923,71.6283637316,146.008915103,537.4271842,45.5719380025,209.362844592,484.43267954,20.5877931662
Mix_40,2190.42755034,47.0927917976,93.514496728,659.12401896,26.2599210775,98.8029530557,415.879342702,30.4615084516
Mix_41,1950.70382524,45.6329029592,129.755720693,548.51982684,33.530933765,132.774789455,430.29223818,34.5330076498
Mix_42,2564.41424451,54.6244386252,238.887868607,1081.42845214,23.982837205,101.433293831,473.261320863,29.7951483384
Mix_43,2237.11512744,62.923904936,70.5877138625,525.710402346,36.6383848175,153.024079704,424.572027133,25.8149353574
Mix_44,1803.68770966,26.6070447802,145.688030513,579.4262415,37.0546479625,169.457231516,477.4325698,29.6437183694
Mix_45,2226.98818135,35.2599511116,147.106032626,969.76239762,34.4068877875,150.139146703,480.622201047,31.3927306768
Mix_46,2578.63019802,57.164149741,170.27619071,1030.41420536,26.4536224825,132.268112417,466.637846404,27.973945611
Mix_47,2084.07849788,50.850362029,92.832490832,576.65359004,44.8872396825,180.368068949,463.652785539,29.0947947736
Mix_48,2266.49602312,57.6158049536,182.861590517,756.08397776,22.8405512525,107.92674894,439.52628357,28.972519066
Mix_49,1959.67828483,29.6855766518,184.228811632,753.38674662,20.9735052422,74.6748978006,444.156868054,33.3732259264
Mix_50,2361.00973685,27.4227140202,233.6008972,1206.13065258,35.45030338,153.666810929,505.874852644,32.5791217848
Mix_51,2302.62818367,52.9687398308,214.118570793,797.01857984,27.80127229,123.185242685,463.110667382,28.8255296896
Mix_52,2066.74141982,21.1406684618,169.867125535,1035.0026212,32.545502765,124.201427226,478.941225821,34.9377362998
Mix_53,2276.00918642,51.0752635148,134.781945403,766.32241974,41.8372187,183.068061002,479.475485263,27.278833927
Mix_54,1649.19745399,31.7596652082,49.5177575813,317.852778402,40.9802131725,186.491985718,459.035304543,27.9177702236
Mix_55,1896.83758307,15.769433589,129.15917033,753.77892556,23.6541503827,119.115543,461.068201066,33.3410881584
Mix_56,2305.70463266,29.1954317568,187.291449013,1092.3498334,38.215718455,170.421447167,504.034340771,36.081146794
Mix_57,1558.29750594,13.3266374716,168.497715173,572.12633284,25.2746572725,122.639530183,475.878395564,31.9379760082
Mix_58,2221.6749517,39.7160117802,253.472107705,1012.2739588,23.0062263368,115.636558704,497.257383353,31.4822044602
Mix_59,1855.80563981,28.0009419646,92.8179372498,591.75324028,31.371425725,119.522539326,428.541165317,35.0530310534
Mix_60,2899.03220586,82.165603606,143.127180477,1055.96053162,19.878775069,60.133294579,404.054509476,29.4205871012
Mix_61,2304.0956503,69.166098316,70.1520185737,477.79212646,32.421608585,130.681834597,401.067306178,21.3868856632
Mix_62,2364.9636514,81.05577573,78.7544133618,464.636094922,14.5703136675,59.9624447142,370.509377962,30.1269254918
Mix_63,1673.60600115,23.2682467014,84.8543859335,446.366090326,43.494543725,183.984588323,477.698765154,32.020522984
Mix_64,2179.2004873,53.7531612738,84.6865842563,581.54835234,47.16079243,215.392974005,478.932778627,26.5723174538
Mix_65,2268.92688123,54.411838216,122.907351843,725.75102258,40.5360399325,182.119852476,476.211853738,26.348425956
Mix_66,2305.2204437,56.943336174,179.44064546,776.8428643,18.3840240958,77.8571276832,424.316544718,30.4200603848
Mix_67,2361.70505509,86.32321925,81.8527972367,299.014564696,33.528165025,172.363101886,427.103698417,22.1002552546
Mix_68,2389.50335769,32.775682896,205.272134097,1092.38704612,38.6793773325,154.081335361,493.105512199,30.536350524
Mix_69,2483.26838361,77.346672872,95.6114636877,599.22233924,21.4375479125,101.613977108,399.78644905,27.0970605618
Mix_70,2344.57853631,42.777699968,228.229682762,1097.46926798,31.3457284225,131.529134946,512.73143581,34.4188390522
Mix_71,2169.99865314,43.9701480452,96.7055870567,751.63088382,29.097892095,112.511849422,435.582272801,33.6242308626
Mix_72,2172.51584972,29.9947689074,259.823107848,958.64860092,42.4268112825,196.964004635,533.349966064,27.2320928216
Mix_73,1847.76815679,16.8079532132,151.9978485,799.93406968,26.45696339,103.234033615,457.665118399,36.9359959498
Mix_74,2201.12590267,68.751751726,57.0115877442,399.5034222,36.3184929275,143.373585462,414.331127338,26.3520227758
Mix_75,1982.17711104,37.4596217892,161.590525365,603.94458856,19.5102196828,91.2389685238,431.724181444,33.419858657
Mix_76,2048.15218099,40.9527410486,127.172427003,671.2772413,23.66373009,79.9254556994,420.581216364,35.3507151534
Mix_77,1926.8219832,39.4519922096,145.101209083,548.832145,41.8241056775,186.855954705,477.844453327,25.3025435326
Mix_78,2076.63967724,21.9950878864,230.063562965,1039.98843152,21.2366365825,73.4749703157,459.621491697,35.495521141
Mix_79,1599.81051389,25.8531276472,67.7952812093,365.975926258,33.5023328475,163.064451902,446.961309835,32.494298054
Mix_80,2192.2985544,44.4661114904,238.941461178,794.00119778,29.7079624175,126.338700386,487.821069899,31.4329408818
Mix_81,2085.29869153,45.838416192,91.6768323615,621.04505578,33.39656036,154.049820102,444.268840014,31.5630237138
Mix_82,2315.79766792,54.749717294,142.380730283,833.98922798,13.7660927075,54.1794077274,401.882503293,35.0838705568
Mix_83,2253.32245923,62.642355578,104.074229355,577.4965792,32.804812525,132.785309,425.015561074,28.6176656026
Mix_84,2272.76287607,45.7341531384,180.66172248,880.11655156,36.1175724825,151.22848601,484.620515837,27.2986805528
Mix_85,2143.72530496,46.081256548,179.029539345,724.46468644,18.148440081,87.5859499606,425.860014223,33.877088153
Mix_86,1955.30759699,35.8781334436,83.1075407425,631.82001092,37.05633486,159.62728862,448.645585826,31.165327776
Mix_87,2455.01575827,102.822571274,34.9378137023,212.671741964,34.840222045,144.630837725,380.997834361,20.6113582514
Mix_88,2598.12660861,62.1756034424,224.843694127,1024.16577538,25.9752189425,110.600833043,469.478031201,27.2121341306
Mix_89,1727.57170778,13.1875702892,148.710899003,666.95435278,46.99825582,207.984818725,512.694074284,29.1810065974
Mix_90,1909.04614488,44.2377536448,115.179557588,450.74089299,23.6594951125,72.9042581901,408.875202372,35.4342205852
Mix_91,2593.85872673,100.58441596,143.256592425,459.48790022,14.2875590835,73.0094269326,384.8115913,25.6033058808
Mix_92,1959.36575095,51.0578914648,125.855913648,430.082238896,31.0487177825,131.094586185,426.504608927,27.5988602536
Mix_93,2238.77437461,30.3717059444,284.418371335,1060.35218388,46.98123264,189.823162214,557.658267602,31.1309986
Mix_94,2585.52838173,71.361041614,204.8629291,864.51610504,28.4380297725,117.230151495,442.914925687,28.1516035728
Mix_95,2034.25733171,40.6885093162,223.75877884,720.7918985,24.58964664,109.07715048,470.682732832,28.5828371202
Mix_96,2154.68429109,24.1869606704,260.856955052,1042.66832624,35.2726509775,133.313093914,496.300074669,34.1772270378
Mix_97,2084.48158527,55.74173393,74.418335571,474.74096907,38.3494487325,165.460767064,425.064729574,27.9428847078
Mix_98,2422.82595953,73.758810571,93.2768584098,396.291855126,48.92991272,282.054662211,511.315341363,20.7042275304
Mix_99,2088.85558679,10.1837438216,357.067517733,1284.17009586,18.13979368,99.2915022666,531.251969321,36.9160713506
Mix_100,1978.04566107,51.506618122,132.699653588,418.82473146,37.706538165,191.482522037,466.158834693,24.2142666856
