Gene,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8
mix_66,828.43483871,275.401666667,1771.21461538,314.387380952,912.537826087,638.035568182,158.42725,475.434375,46.3966666667,255.238125
mix_67,1279.67,256.73625,323.553846154,473.301904762,1390.59652174,268.806818182,467.329,923.299375,77.6916666667,752.479375
mix_68,594.263709677,108.3475,556.624230769,570.969285714,1755.44391304,316.116818182,491.51725,963.5796875,82.6375,1070.823125
mix_69,762.136612903,242.449583333,1619.41230769,118.053571429,239.145,616.995568182,282.90125,646.18125,43.3491666667,412.55125
mix_70,1293.87677419,335.588333333,1211.605,613.158809524,2015.57478261,503.361022727,122.94875,430.831875,68.6758333333,157.908125
mix_71,939.826290323,325.29375,1916.10538462,70.5245238095,142.174782609,690.294659091,149.8635,453.2996875,26.9066666667,246.2975
mix_72,1683.85225806,385.0975,580.839230769,164.893095238,378.03673913,367.037386364,403.4835,810.1353125,52.6266666667,476.113125
mix_73,1201.3083871,310.352916667,923.201538462,490.267619048,1561.28,426.93875,251.70325,624.85,61.0775,468.605
mix_74,950.151129032,258.483333333,1229.64807692,244.543809524,646.782826087,510.621704545,331.7315,737.995625,54.5216666667,383.215625
mix_75,784.062258065,272.639583333,1877.38346154,230.889285714,638.613478261,677.022272727,168.53875,485.32875,45.6725,174.07
mix_76,571.861935484,118.247916667,867.188846154,459.317142857,1290.24630435,396.207272727,473.45875,935.921875,83.4658333333,878.981875
mix_77,670.306774194,107.325416667,270.973076923,401.411190476,1065.405,264.17875,645.499,1180.829375,88.5075,1124.955
mix_78,705.248709677,226.27125,1612.21615385,266.51952381,737.728043478,600.359318182,246.43975,592.535,46.8966666667,484.24125
mix_79,394.292419355,162.067083333,1800.53346154,176.242380952,416.281086957,652.541477273,288.80625,662.454375,45.4625,494.75625
mix_80,1048.96951613,258.266666667,948.497692308,123.598809524,233.661521739,441.667386364,424.24875,838.3821875,48.5333333333,817.29125
mix_81,711.231451613,167.686666667,908.475769231,150.814047619,260.788043478,420.033068182,519.051,1010.0803125,61.925,797.984375
mix_82,823.756129032,251.42875,1431.86076923,179.273571429,474.831521739,561.891477273,293.9085,647.885,40.1641666667,594.361875
mix_83,701.513548387,241.402083333,1866.20307692,232.289761905,621.999565217,660.400113636,204.9455,534.9628125,46.8358333333,276.544375
mix_84,825.34016129,207.7375,1077.43769231,158.274761905,333.216521739,472.111704545,431.75275,872.0271875,52.8716666667,737.294375
mix_85,691.615,170.320833333,1083.40461538,162.30047619,327.303043478,450.877386364,473.0835,908.579375,56.295,831.58125
mix_86,604.929032258,104.00125,581.160384615,395.700238095,1076.27673913,342.562613636,569.98375,1104.0521875,86.885,849.97875
mix_87,575.9,166.2575,1349.66730769,114.511190476,171.487391304,535.485227273,426.42875,847.235,51.7516666667,671.94
mix_88,848.131451613,191.22125,798.368846154,342.332619048,973.597608696,392.945568182,445.24475,885.8884375,69.3316666667,738.945
mix_89,824.032096774,150.770416667,440.483461538,351.914047619,963.58326087,301.525,564.293,1077.8859375,79.115,1055.48625
mix_90,506.873225806,161.742083333,1431.21692308,142.602619048,295.807826087,571.711818182,388.862,775.10875,47.6316666667,707.9275
mix_91,671.06983871,237.18875,1777.46153846,318.572619048,901.276956522,631.820454545,198.839,531.203125,52.1925,275.89875
mix_92,681.43983871,204.274166667,1399.36807692,147.248333333,311.926956522,557.982954545,361.80825,766.359375,51.2083333333,521.34375
mix_93,273.134677419,182.2975,2473.94769231,129.333809524,287.994130435,814.397386364,135.14225,443.5196875,33.9733333333,193.053125
mix_94,297.631935484,146.81625,1926.48807692,341.754285714,1003.80804348,682.195113636,202.783,535.70125,49.7058333333,436.25125
mix_95,870.81516129,280.278333333,1646.37230769,362.252142857,1073.55347826,612.443863636,152.7845,469.0684375,53.65,209.50125
mix_96,780.788709677,244.43,1535.92,483.73952381,1546.33456522,578.215227273,170.6275,499.9078125,61.42,279.7775
mix_97,600.854193548,199.312916667,1615.87692308,188.546190476,469.823913043,603.678181818,301.25975,672.2584375,47.7675,548.45625
mix_98,762.495,233.391666667,1537.69576923,156.630238095,347.192608696,589.90375,305.66325,677.9775,46.565,414.989375
mix_99,758.034677419,107.864166667,128.662307692,265.818333333,617.769347826,233.511022727,742.9515,1325.0615625,89.7575,1105.860625
mix_100,731.653387097,204.771666667,1310.65769231,173.630952381,378.524782609,530.897613636,371.079,783.2609375,52.7166666667,565.50375
