Mixture	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell	P-value	Correlation	RMSE
mix_31	0.174325512832914	0	0.189358152494186	0	0.139596098218736	0	0.002490442072267	0.36944606564113	0.0434471545167883	0	0	0.0397987576403962	0	0.00556245705003351	0	0	0.00250463603885528	0	0	0.0334707234946935	9999	0.605354053269324	0.798268138556614
mix_32	0.163016459711468	0	0.152998848127515	0	0.161975432699341	0	0	0.37876628184137	0.0887892219791872	0	0	0.0262444881489483	0.00963010440611637	0.000199778558392989	0	0	0.00502281088794092	0	0	0.0133565736397211	9999	0.606822553248308	0.796852307127786
mix_33	0.171555325799204	0	0.193442195155324	0	0.173572804028519	0	0	0.350356165385338	0.0328332175045512	0	0	0.0499743127142088	0.00600732278793868	0.000126518619113686	0	0	0.00113175893481726	0	0	0.0210003790709856	9999	0.614283431447025	0.791159664189344
mix_34	0.0411183092495271	0	0.294854871820275	0.00526126673192699	0.21828786398922	0	0	0.284893205870125	0.0592051326493042	0	0	0.0669762852385052	0.00234865652036983	0.000679418258190475	0	0	0.000819296301542849	0	0	0.0255556933710128	9999	0.567803647857396	0.821925604471087
mix_35	0.155647840475528	0	0.197696309756568	0.00180383298276074	0.185840926110613	0	0	0.282483401968883	0.107471648189843	0	0	0.043845160770903	0.0048144639277673	0.000235135462913211	0	0	0.00119811200719843	0	0	0.0189631683470233	9999	0.610339213328211	0.792870430346635
mix_36	0.268371470898949	0	0.0989787701455979	0	0.119530842402251	0	0	0.435931950667478	0.0202747197480687	0	0	0.0258306507977215	0.00887847416823315	0	0	0	0.00264692679946774	0	0	0.0195561943722338	9999	0.627348063538221	0.783253280343879
mix_37	0.238570196734471	0	0.121705863999201	0	0.127321253041893	0	0	0.4162006660652	0.0405513839289833	0	0	0.0337346394724748	0.00493206672200824	0	0	0	0.00213513424620609	0	0.000440788183746047	0.014408007605816	9999	0.615206622561952	0.79131809652828
mix_38	0.150006742783059	0	0.0436311366819449	0.0114290546184715	0.107494098343132	0	0.0107111855310389	0.480233533895388	0.134999669256069	0	0	0.0434205370952323	0	0	0	0	0.00867309608397584	0	0	0.00940094571168977	9999	0.613897304485218	0.792410105486314
mix_39	0.316342247040386	0	0.079107131481608	0.00956735266257512	0.136388358943477	0	0	0.248544408959146	0.149648096651688	0	0	0.0295983097896899	0.00987488194285922	0	0	0	0.00161968478068597	0	0	0.0193095277478843	9999	0.637435997928912	0.771923651380425
mix_40	0.172041922400079	0	0.170703724003841	0	0.159615377144351	0	0.00259264123229111	0.405197441323553	0.0248174508839278	0	0	0.0448469235059889	0.00542296728473809	0	0	0	0	0	0	0.0147615522212303	9999	0.621298470155579	0.787232483179704
