Mixture	naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	P-value	Correlation	RMSE
mix_40	0.289768411612841	0	0.637055563298774	0.0171600224088173	0	0	0.056016002679568	0	9999	0.582349844973347	0.815170414704185
mix_41	0.156423439367296	0	0.683070569075936	0.103698302918505	0	0	0.056807688638263	0	9999	0.538711274058068	0.842862300438036
mix_42	0.383658234400137	0	0.431723280433025	0.157917622639029	0	0	0.0267008625278083	0	9999	0.625134184643685	0.782185142759383
mix_43	0.105617609313529	0	0.640501139389571	0.151868031621187	0	0	0.102013219675712	0	9999	0.549911923834707	0.835367879584064
mix_44	0.175549877808067	0	0.750095790429495	0.0491632242553554	0	0	0.0251911075070827	0	9999	0.573710961711614	0.82243591830266
mix_45	0.0575649213619558	0	0.749524894831588	0.092321837565101	0	0	0.100588346241355	0	9999	0.530451620975621	0.847640981725283
mix_46	0.304018008871149	0	0.42626886684891	0.173734776271736	0	0	0.0959783480082052	0	9999	0.595089804440485	0.804390810617654
mix_47	0.306526053892639	0	0.569821631711046	0.0698912967094956	0	0	0.0537610176868199	0	9999	0.579691982669107	0.815998885442182
mix_48	0.540988877692456	0	0.378945940982824	0.017845960074691	0	0	0.0622192212500291	0	9999	0.553484679622102	0.83431752669209
mix_49	0.378292383574477	0	0.500376534136061	0.0774042639902123	0	0	0.0439268182992487	0	9999	0.579248191832482	0.814900472355207
mix_50	0.328512663952729	0	0.562345442729253	0.0934638937264902	0	0	0.0156779995915273	0	9999	0.611463705232518	0.794372127893958
mix_51	0.455404196083849	0	0.47142407294064	0.0165699357940653	0	0	0.0566017951814458	0	9999	0.569618509612932	0.820964791946375
mix_52	0.412780213567509	0	0.434641162697011	0.122338778206168	0	0	0.030239845529312	0	9999	0.630090076241652	0.778109330224291
mix_53	0.408112259570401	0	0.502236120468029	0.0398269415168802	0	0	0.0498246784446895	0	9999	0.575996985309811	0.816815682303078
mix_54	0.380282796291108	0	0.349688187548149	0.239167477524082	0	0	0.030861538636662	0	9999	0.620341682134131	0.784634228665444
mix_55	0.378281959412399	0	0.538124425985711	0.0470239277110962	0	0	0.0365696868907936	0	9999	0.573830042167722	0.818746509896191
mix_56	0.237534772335765	0	0.627196682498553	0.092498347417988	0	0	0.0427701977476939	0	9999	0.579209457969861	0.81750276025102
mix_57	0.0399178783605879	0	0.872804949760132	0.0486924467303585	0	0	0.0385847251489217	0	9999	0.518775163088452	0.855545405750892
mix_58	0.302245573826792	0	0.584412942040149	0.0776489828976029	0	0	0.0356925012354563	0	9999	0.590790357852949	0.808961950093237
mix_59	0.0831780956628526	0	0.679216547425795	0.162776762162176	0	0	0.0748285947491766	0	9999	0.509944155840464	0.859785161146122
mix_60	0.376337122254131	0	0.45976989398591	0.111788718298209	0	0	0.0521042654617498	0	9999	0.583296627041357	0.811925209897108
mix_61	0.323900801648435	0	0.600284445434355	0.0612501064630747	0	0	0.0145646464541359	0	9999	0.624777153989229	0.786020912894446
mix_62	0.341385987453495	0	0.569670913109353	0.0399787974045612	0	0	0.0489643020325912	0	9999	0.614068946498339	0.792807509866309
mix_63	0.103165403711424	0	0.765220590145093	0.0794898194696185	0	0	0.0521241866738646	0	9999	0.527397808182586	0.850008137636861
mix_64	0.316307032646469	0	0.584424985343122	0.0410669872709012	0	0	0.0582009947395083	0	9999	0.57416303860031	0.819542926161655
mix_65	0.322031502486125	0	0.568931021732136	0.0650349742485283	0	0	0.0440025015332108	0	9999	0.588844222046077	0.809830776267435
mix_66	0.457664471127802	0	0.434710932887814	0.0468710895981003	0	0	0.0607535063862839	0	9999	0.567647715834289	0.822302156451738
mix_67	0.430693660638378	0	0.402637395939048	0.110801729382198	0	0	0.0558672140403765	0	9999	0.62670793920151	0.780014360248725
mix_68	0.234459507822534	0	0.488059865777121	0.254222203855171	0	0	0.0232584225451731	0	9999	0.585959413949266	0.810918738904858
mix_69	0.340208539374099	0	0.551182893798245	0.0517689974770376	0	0	0.0568395693506187	0	9999	0.569879137755662	0.821778929626955
mix_70	0.631592213910131	0	0.299172113995564	0.0249263535950714	0	0	0.0443093184992333	0	9999	0.585658641469383	0.814013606101417
mix_71	0.501911750025236	0	0.409449311070499	0.0408253897626464	0	0	0.047813549141619	0	9999	0.562033086568468	0.826976710917129
mix_72	0.476073736228715	0	0.468187719598228	0.0244680657089187	0	0	0.0312704784641379	0	9999	0.6344761440926	0.773612173863735
mix_73	0.481160704963099	0	0.418315379090719	0.0755001862356824	0	0	0.0250237297104991	0	9999	0.608857264684177	0.792569292998956
mix_74	0.334029041167166	0	0.617603502957997	0.0187042748581753	0	0	0.0296631810166617	0	9999	0.593055416897174	0.80726837825697
mix_75	0.41912176682871	0	0.500406750727503	0.0090717929824814	0	0	0.071399689461306	0	9999	0.563470472370072	0.825142401114029
mix_76	0.222847975727399	0	0.612933549523633	0.145035204426335	0	0	0.0191832703226327	0	9999	0.576697837328101	0.818662033413385
mix_77	0.199077635852469	0	0.60283793253926	0.184954628537179	0	0	0.0131298030710925	0	9999	0.606423868933652	0.799089794369225
mix_78	0.364666217249219	0	0.488122302289022	0.092346670393805	0	0	0.0548648100679544	0	9999	0.567648713746392	0.822668705583487
mix_79	0.130477544437347	0	0.726083607096786	0.0787952296061641	0	0	0.064643618859703	0	9999	0.521895625506	0.853009451285949
mix_80	0.328923287145473	0	0.535358681027918	0.120443906727534	0	0	0.0152741250990756	0	9999	0.595303541419426	0.804878758265297
mix_81	0.25751330034441	0	0.611791158120761	0.0944348143879649	0	0	0.0362607271468638	0	9999	0.590502175481119	0.809979227819209
mix_82	0.33483710116912	0	0.525741623613549	0.105673625050632	0	0	0.0337476501666994	0	9999	0.580825523148996	0.814475387225258
mix_83	0.357608855048765	0	0.558031541225838	0.0291579596391985	0	0	0.0552016440861978	0	9999	0.562267359507148	0.826576054217841
mix_84	0.321807563832139	0	0.50187472093258	0.0941309367731196	0	0	0.0821867784621615	0	9999	0.58114627282457	0.814254220172962
mix_85	0.262494005440323	0	0.582237327402829	0.117640615562795	0	0	0.0376280515940536	0	9999	0.579150025961914	0.816788785349731
mix_86	0.195342985119775	0	0.680346352366436	0.106422429554951	0	0	0.0178882329588373	0	9999	0.590934563702568	0.810667874718084
mix_87	0.218493642365086	0	0.650998333959632	0.0784554192268554	0	0	0.0520526044484262	0	9999	0.574474223085392	0.820887573179867
mix_88	0.284898407394896	0	0.590633432002782	0.107096349781911	0	0	0.0173718108204105	0	9999	0.597096925604679	0.804926435799696
mix_89	0.280187983708425	0	0.527085250551491	0.128024981401426	0	0	0.0647017843386586	0	9999	0.607564211615463	0.797707484258795
mix_90	0.178127239398907	0	0.657914278957051	0.112352569360281	0	0	0.0516059122837613	0	9999	0.559206650364059	0.830308230373229
mix_91	0.360600607778674	0	0.536672270241067	0.0373493034152691	0	0	0.0653778185649899	0	9999	0.569539482182005	0.821670676986273
mix_92	0.274233775135486	0	0.616587627777689	0.0581422129570428	0	0	0.0510363841297828	0	9999	0.576648186611037	0.818753287117224
mix_93	0.0870605289117668	0	0.766286751309223	0.0423716556168245	0	0	0.104281064162186	0	9999	0.490302199433869	0.871080537702561
mix_94	0.0600284186022633	0	0.703206887817001	0.125372755757336	0	0	0.111391937823401	0	9999	0.495800060981989	0.8679267095814
mix_95	0.483204263432529	0	0.433688418276646	0.0352976642523725	0	0	0.0478096540384522	0	9999	0.570356834396202	0.820664997311621
mix_96	0.434496261854936	0	0.458130667508635	0.0534421049942372	0	0	0.0539309656421911	0	9999	0.574881941310327	0.81728858093745
mix_97	0.308825976000995	0	0.54591048821001	0.0921938220204496	0	0	0.0530697137685452	0	9999	0.56530164870392	0.824983788047235
mix_98	0.304877827831013	0	0.593211891832916	0.0476037209201535	0	0	0.0543065594159179	0	9999	0.573896021182947	0.8199290801369
mix_99	0.222392089341122	0	0.649012781235621	0.113076376717711	0	0	0.015518752705546	0	9999	0.627693099477402	0.786403899352575
mix_100	0.25371362342062	0	0.63015150480149	0.0681244231119936	0	0	0.0480104486658958	0	9999	0.580271157893838	0.816811571376932
