Mixture	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_11	0	0	0.140239476136025	0.426971406875924	0.036982479114115	0	0.0532132865486763	0	0.0112213819354201	0	0.0030671436189217	0.0127953141608581	0.0215829537163555	0.0870777749626364	0.177480739392292	0.00231432424834878	0	0.0369678959805898	0	0	0.0538649477022401	0.00370950978719009	0	0.0724002552526174	0	0	0.00693105195174315	0	0	0.00685023401674525	0.084769960847199	0.102799820734832	0.173783484286915	0.00893863287198834	9999	0.334338846839832	0.949231691580025	1.52396207414163
mix_12	0	0	0.129450278482333	0.383753693758042	0.0343967200822332	0	0.0494174224971386	0	0.00709916746794705	0	0	0.0204851965835377	0.0197092720089864	0.0851900662628703	0.162002712510538	0.00837589949242884	0.000246097375613321	0.0215958431578017	0	0	0.0421975230651812	0	0	0.0649135268121532	0	0	0.00919684649963269	0	0	0.0032049027167257	0.108958061916683	0.0856417757373494	0.246770457031307	0.0203393008349497	9999	0.347093006428448	0.942274001356151	1.50294476429345
mix_13	0	0.0345033155617993	0.192138809476561	0.229165658013965	0.0735811532335167	0	0.0622552412804903	0	0.00487112931839528	0	0	0.0229947847649559	0.0158783127867418	0.073863250484241	0.16448791747851	0.00509010989020307	0.000570545647312682	0.0018320320221593	0	0	0.0305616290465581	0	0	0.0597698395760582	0	0	0	0	0	0	0.139833723202108	0.0801079130509244	0.287871319585871	0.0224409446434537	9999	0.346416822076629	0.941976828904005	1.50181762906382
mix_14	0	0.0366952499150401	0.191677949463558	0.245160361104726	0.0192539219282398	0	0.0632004144460388	0	0.00370569429879411	0	0	0.0223379734813657	0.014059170677976	0.0853555131605376	0.161958262370281	0.00377709878942024	0.000661064939154646	0.00387984301903066	0	0	0.0330090475361102	0	0	0.0586727620888395	0	0	0	0	0	0	0.134391269695478	0.0732033433681708	0.315249109801192	0.0268109098050812	9999	0.348860242350675	0.941010843552724	1.49305895988903
mix_15	0	0.0219710686952392	0.185450654267607	0.153144676852421	0.132810203304576	0	0.0594112495269428	0	0.00788172967805819	0	0	0.0253893738263378	0.0148473921751612	0.0732875097410891	0.157705995780067	8.43191253365821e-05	0.000256133783004041	0.000121983780163542	0	0	0.0304551775501329	0	0	0.0590067089245557	0	0	0	0	0	0.00471754115361842	0.13266626625431	0.086780987806849	0.292838035262812	0.0455014046039112	9999	0.344022589117358	0.942878967252313	1.48432841209219
mix_16	0	0	0.153018658938954	0.247790509692899	0.0359225612232289	0	0.0628901886036947	0	0.00665447965523548	0	0	0.0219208479793808	0.0151506143518148	0.0772342518373023	0.1680528370654	0.00228316471515325	0.000348139376818633	0.00442444515608036	0	0	0.0338261819446224	0	0	0.0610135051830985	0	0	0	0	0	0	0.129664993731962	0.084545194036178	0.361819855124118	0.0337112846980121	9999	0.345941550278009	0.942337030453225	1.50027171331395
mix_17	0	0.0838857732817646	0.254071952632909	0.0449395954085964	0.0201110006860981	0	0.0603300047844283	0	0.0019146458154895	0	0	0.0236705477083899	0.0073598526464283	0.0822666865135145	0.161770605939356	0	0.001085812175186	0.00598286287309794	0	0	0.0333812594032162	0	0	0.0521352031434401	0	0	0	0	0	0.0066642916841415	0.119904047362059	0.0858177641269785	0.386919821184353	0.0339928366541898	9999	0.361721532593066	0.934245931742788	1.46620456402364
mix_18	0	0	0.147419644858108	0.451613303120275	0.0253848409342139	0	0.0510072565730061	0	0.0128732185861165	0	0.00529419449525919	0.0134332388718258	0.0233707965907158	0.090719161409564	0.169217956642327	0.00576429263338231	0	0.0376831482523641	0	0	0.0575770862275544	0.00534740800926558	0	0.0745703300804471	0	0	0.00308859150772975	0	0	0.0128961095957888	0.0723333194585649	0.103825638851887	0.141708840949769	0.00202927307672091	9999	0.329145780194401	0.952468549646151	1.50715765072489
mix_19	0	0	0.163868720166598	0.33136062807688	0.0425963180695532	0	0.0537091664216592	0	0.00404596461255399	0	0	0.0251653634828776	0.0204379132966061	0.0822965135357335	0.162203499683406	0.0109880509052896	0.000625934831568807	0.00846654138259607	0	0.000277310396911045	0.0355574974404108	0	0	0.064844688423355	0	0	0.00163998175312394	0	0	0	0.131580638189172	0.0772086037397241	0.279825248326424	0.0057840789159778	9999	0.351550719177269	0.940424077957085	1.50248266165042
mix_20	0	0	0.167510911827121	0.0579181028254652	0.0557528074791532	0	0.0592277571787622	0	0.00924222580325871	0	0	0.0181841282395708	0.00854098859895891	0.0715927566745789	0.176796685350789	0	0.00898685300806969	0.000961279532022712	0	0	0.0285854128019389	0	0	0.0529811513363456	0	0	0.00441663251984103	0	0	0.00641255986357821	0.122392708725035	0.106148580975699	0.459783757512506	0.0907335420205777	9999	0.349460771003895	0.940251997744589	1.50616884227327
mix_21	0	0.0050281830381891	0.176089488245554	0.23434858594117	0.0304816723905667	0	0.059709780794974	0	0.00704779890315476	0	0	0.0227058894979839	0.0139433565466985	0.0815067013674398	0.160751516185676	0.00356093518826514	0.000334588690574812	0.00216209751039037	0	0	0.0356607693314576	0	0	0.0599293096586111	0	0	0	0	0	0.00241206843522801	0.126193513890267	0.0846297468993431	0.362282793415892	0.0343422970021167	9999	0.345890081183145	0.94212767500835	1.50312109293355
mix_22	0	0	0.177007005096134	0.308523119312075	0.081052069605065	0	0.0547774517695618	0	0.00343662547168349	0	0	0.0238187317464143	0.020004933886256	0.0849268627007091	0.161412540130708	0.00987778282141016	0.000699140959754751	0.00567356669164416	0	0.000448991131441019	0.0353179697250917	0	0	0.0636443144648461	0	0	0.000192755054862589	0	0	0	0.133299354275392	0.0767397657559448	0.254693381428289	0.0118434800749808	9999	0.353257027444525	0.939398998202005	1.50738984210226
mix_23	0	0.00419827136523092	0.170026999054232	0.320151341690734	0.0224289286147242	0	0.0571086324195411	0	0.00323295958775563	0	0	0.025179955175269	0.020133263989867	0.0820041563363517	0.162910069046785	0.00979663307321808	0.000726437910843898	0.0108876536655927	0	0.000323480697266349	0.0326848925717092	0	0	0.0648508126143453	0	0	0	0	0	0	0.139603521202028	0.074501116790941	0.287596780028432	0.0126926850560879	9999	0.353139563154349	0.93991975961784	1.50103859089095
mix_24	0	0	0.136195760573316	0.474330486059141	0.0498724353189129	0	0.0491497450317593	0	0.0132919499890421	0	0.00709875301972302	0.0147265230116999	0.0250984886876526	0.0854448411736467	0.15710781746002	0.0120776392648618	0	0.0376131714085484	0	0	0.0520823919735309	0.000132036748977865	0	0.072442932558876	0	0	0.00512303775458927	0	0	0.0150596721487463	0.0820627304518209	0.0988957417753496	0.121033458730829	0	9999	0.329341157064634	0.951871292556577	1.50883961314104
mix_25	0	0	0.138971007863748	0.329054387343775	0.00391502747655675	0	0.052049453647685	0	0.00581396353744658	0	0	0.0236134090627872	0.0178768560968051	0.0889422194871148	0.15811816469633	0.00662024644026101	0.000406870327977004	0.00885599598151852	0	0.000196012051887351	0.0423558111393222	0	0	0.0651403020459835	0	0	0	0	0	0.0038510253101291	0.1139024180911	0.0822448601249395	0.33116146069285	0.0274801564945303	9999	0.351194550201671	0.940069946830121	1.50056964791275
mix_26	0	0	0.143031561208885	0.071755526051254	0.133188139276201	0	0.0531098939504024	0	0.00754007039273377	0	0	0.0210238054454354	0.0148932829380331	0.0641895306716539	0.165002979808932	0	0.00586317938292431	0.0010962507310273	0	0	0.0293680967896464	0	0	0.0577142428443555	0	0	0.00651522188194811	0	0	0.0104381180476307	0.12437003299919	0.110009543906053	0.418878940795462	0.0704772576962983	9999	0.342231274202596	0.94334280796505	1.50846567481807
mix_27	0	0	0.18186315918387	0.392494105133954	0.0827242614698215	0	0.0546111799437619	0	0.0117084931287296	0	0.00345620495540124	0.0121465105763084	0.0213770259865629	0.089217103061131	0.176033027234808	0.000251578565404831	0	0.0326405835416249	0	0	0.0533300451454019	0.00590467313703625	0	0.0727279762117284	0	0	0.00158633475090022	0	0	0.00851657358685879	0.0791047013697134	0.102306354953353	0.120020667071021	0	9999	0.334832475307641	0.948929064452022	1.50202055900739
mix_28	0	0	0.189048765831362	0.064105847024156	0.0593245602052003	0	0.059599943695184	0	0.00758532531765847	0	0	0.0188923738618364	0.00983086326010926	0.0714191519641383	0.173871193447839	0	0.00570366019953722	0	0	0	0.0314118175731127	0	0	0.0561088436764563	0	0	0	0	0	0.0033031070498191	0.122305569076228	0.103927155803409	0.437864201557759	0.0721731377565418	9999	0.342860997737375	0.943206050473324	1.48647551730035
