Mixture	Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_21	0.244140634634754	1.06368136634576	0	0	0.00968915389479876	0.0483251711046648	9999	0.599149850251627	0.860781510160348	1.36583632597997
mix_22	0.217926738202444	1.03615403032912	0	0	0.00918414167431001	0.105827415318077	9999	0.603942134703913	0.854067357493789	1.36909232552395
mix_23	0.249727805538876	1.00270988678565	0	0	0.00877890984985817	0.103008064834302	9999	0.595976705803768	0.862565235500486	1.36422466700868
mix_24	0.0632563026064512	1.07075732306839	0	0	0.00334181853770646	0.255982069325615	9999	0.583140451060974	0.87513048838355	1.39333751353816
mix_25	0.128619634830015	1.13185047018458	0	0	0.0139312963510134	0.0992978898996631	9999	0.596162000314872	0.862625729691721	1.37369929126527
mix_26	0.136341631339151	1.21310620535902	0	0	0.00190521960158382	0	9999	0.612019330258635	0.850543944918378	1.35135305629976
mix_27	0.202870846863202	0.958627101017593	0	0	0.00173121154100209	0.210928814318917	9999	0.592547823766236	0.865268322670323	1.37415797374071
mix_28	0.207384742005275	1.1432826894098	0	0	0.00201607007650191	0	9999	0.608152918821558	0.853977266602966	1.35268350149157
mix_29	0.150713965627486	1.10800862709645	0	0	0.00981448945571292	0.104907216590992	9999	0.599416842524558	0.85916495563776	1.37344429877064
mix_30	0.171909769905224	1.08581012482539	0	0	0.0150682835870285	0.101267950432668	9999	0.599038394594782	0.859149034041353	1.37405612875031
mix_31	0.132907720711745	1.12102779291312	0	0	0.0153939790115372	0.105129455852071	9999	0.597042244777152	0.8613803544901	1.37445894848848
mix_32	0.18067273889643	1.1170126401743	0	0	0.0094328514184187	0.0677716591154385	9999	0.602027344009834	0.857390995279277	1.37488988960459
mix_33	0.181909869949953	1.04765019672521	0	0	0.0140245270848377	0.127718680100416	9999	0.593716564603513	0.864143182052955	1.37130327386042
