B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils
mix_11	0.0311550463086661	0.0136132345405637	0.419010607708157	0.0237941076495061	0.0302450442737505	0.0225593853143636	0.0656393022081606	0.124889817062096	0.00550837223909797	0.049583218680846	0.00361766942317357	0.00877820781936629	0.0445557811582781	0.010194318539233	0.0271404199918151	0.0096146941942402	0.0155927602299072	0.0127667414144598	0.0375464470108448	0.00775151225724674	0.0130936526424506	0.0233496593337769
mix_12	0.0178478966059121	0.00721568685932401	0.368073870788902	0.0262758022833362	0.0312983942968406	0.0190712314210263	0.0969499446403473	0.124709992556999	0.00831140345799055	0.100752612446922	0.00332164183320859	0.00684698510195945	0.0350885775976336	0.00637858489140535	0.0247694552694378	0.00705354584127365	0.0172949666730009	0.0104867112979807	0.0467582124025453	0.00661649051655324	0.0130259411134567	0.0218520521039444
mix_13	0.186145054414954	0.0464072236805292	0.133458036102968	0.0371898721149212	0.0535430613578244	0.00904229500062197	0.0913158996937034	0.138034479606328	0.0122189061285699	0.0849354712883949	0.0013896476034691	0.00463555127993465	0.0201127320910742	0.00407411377938862	0.00799957169332579	0.0266497831726608	0.0190930225765546	0.0111209911465184	0.0779231651875436	0.00653420725108648	0.00755624688184265	0.0206206679477859
mix_14	0.198086821827129	0.0486315579793191	0.176525642647439	0.0174645402286519	0.0202888311338937	0.00956788288476771	0.106952208593421	0.106858152387268	0.00559648549439266	0.129645577777782	0.00172794846592782	0.00570168671666401	0.018085883403603	0.00466135160542037	0.0123447128313892	0.0302667977093134	0.0212067428116626	0.00998877838475587	0.0387052285288579	0.00735364379267334	0.00922855211705379	0.0211109726786151
mix_15	0.151365024487278	0.0361349486536274	0.0855602024370099	0.0575530315660075	0.0845540045160771	0.00737462991340755	0.0998926389768907	0.0915145681832203	0.0102539849923902	0.139891871203357	0.00144106828879354	0.00355400365161585	0.0135509085780366	0.00523747547483407	0.00690178779251205	0.0241607495214131	0.0258090251889936	0.0138283797776407	0.111666890279614	0.00485902682292364	0.00721167746837584	0.0176841022259818
mix_16	0.101488402987839	0.0258443614379848	0.178358272402683	0.0263699616619404	0.0345460482731253	0.00962485843618922	0.131675217538481	0.194110096517762	0.0091096264035834	0.0955713814409349	0.00189744633017678	0.00540666355831053	0.0200432451694353	0.00432550589783287	0.0124686052656511	0.0192694385420334	0.023930925371393	0.0132063294121847	0.056326093159734	0.00643145782935992	0.00853503074969996	0.0214610316136652
mix_17	0.266948233649814	0.0551576817421358	0.0294373870041759	0.0174922195572045	0.0210713639671334	0.00276929979497561	0.139011560043488	0.161749795452521	0.0077794595138759	0.118867023357703	0.00115184905721172	0.00344329312270618	0.0106975106161778	0.00450261226430098	0.00382955032080135	0.0394877131555292	0.0257485900724307	0.0146573374070496	0.046068319936567	0.00656062918172283	0.00781899125988178	0.0157495795225935
mix_18	0.0334333892120402	0.0159056895794408	0.461743001518061	0.0162519923210789	0.0184108121077252	0.0236429288595008	0.0645368240262798	0.0839770047249479	0.00611328832210392	0.068898819602576	0.00385697139792038	0.00850260138960922	0.0458885960293752	0.00751895559188527	0.0272708789276518	0.0105951135408132	0.0141580893273585	0.010194017594787	0.0312281680710669	0.00873176988277836	0.0135891541819834	0.0255519337910167
mix_19	0.109942205999421	0.0315698184260175	0.267342890135916	0.0278159095150888	0.0320926495156278	0.0146324488445323	0.093610296477083	0.107129848724587	0.00722613797704969	0.100740074714465	0.00228372688109406	0.00622200211601927	0.0294903595647707	0.0050205563607415	0.0186575805459013	0.0225541212124731	0.0200271107024304	0.0100944160536894	0.0519952625489634	0.00670272455071422	0.0109459231632436	0.0239039359701699
mix_20	0.0645106649995901	0.0140551335748592	0.033380830626226	0.0409543766829134	0.0525333831990249	0.00332619940773224	0.176330620924471	0.187267945470168	0.0115990909029225	0.217250699828973	0.00112549571743203	0.00315690323234639	0.0104304588978123	0.00476673522394806	0.00440474300045287	0.0153698421944519	0.0288679809681726	0.0147611719756728	0.0923234159089616	0.00404156537383199	0.00620304990381969	0.0133396919862177
