naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
Mix_11	0.128228904434747	0.0559704576127052	0.033805245798609	0.0391308688039686	0.126379866919248	0.0336693124338924	0.0170721685695912	0.154862552588861	0.0657771694171671	0.0255655561170755	0.0145537221740693	0.0352318078120659	0.011940921785366	0.0106632462321724	0.013650539693013	0.110714850130242	0.0535847610887415	0.0109092749348057	0.0292700775241814	0.0290186959294774
Mix_12	0.0356412770194439	0.0196898108454678	0.0682777802287512	0.0572057757345252	0.123209853789279	0.0537654103615043	0.0308339896002125	0.0765081860267625	0.117224054424225	0.0408989913350227	0.0306854706702321	0.0707552725303863	0.0180903758200344	0.0126511101725906	0.0185940711819486	0.0718071185259197	0.0541005453194365	0.0443103537248471	0.0275066863676558	0.0282438663217551
Mix_13	0.176126304774346	0.0614821380009425	0.0311287638015869	0.0409598245790585	0.126461837358263	0.0373938410682272	0.0174763777747068	0.0717672524130583	0.122505331628461	0.0239146695947233	0.0150820456980132	0.0304037876800889	0.0155311861644889	0.00931746693322214	0.0134465372822695	0.06586417548235	0.0523444135187747	0.0231240167236741	0.0300016305558381	0.035668398967907
Mix_14	0.0707615000788744	0.0305293959218052	0.0168195714575343	0.0202399316125984	0.157796177455817	0.0657022861690507	0.00981665290674441	0.126809435522686	0.194714090476438	0.022091880526455	0.00827817104761885	0.0189220405671481	0.0199321665886866	0.0103559357986885	0.0175278769267608	0.0993210289056221	0.0639212980121653	0.00567059512094258	0.0254489303822057	0.0153410345221587
Mix_15	0.0829450951015198	0.0318498230953418	0.0368223684674377	0.0376335032204787	0.114500983570541	0.0248640457117578	0.0156094433696222	0.155609649189239	0.130594459584796	0.0228522069490126	0.0167617905935054	0.0312293400379182	0.0155192213002057	0.0102430765840173	0.0163565685431113	0.117709312112882	0.0618368131163516	0.0227681715905426	0.0246469015556151	0.0296472263061042
Mix_16	0.120820919757572	0.044095195530991	0.0474660105787547	0.0459097272216312	0.0960507567846385	0.0218289978995117	0.0200998783600764	0.109957997549656	0.131831296738688	0.0286681348227657	0.0213044184010408	0.0384441225816448	0.0146181521032847	0.0103932723107799	0.0135399294111432	0.087356524472239	0.058876664498338	0.0230757635213809	0.0270421988470689	0.0386200386087944
Mix_17	0.0982631374147694	0.0308010448707969	0.0323670470498763	0.0367825495842184	0.111154686112232	0.0315151448355975	0.0161100883164226	0.135242320948174	0.159349934332697	0.0245509016460264	0.0159074583408076	0.0286694727605491	0.0190058571258654	0.0106209177331704	0.0126095542963598	0.101985277076423	0.0632676155240963	0.0243587344510799	0.0244050756553887	0.0230331819254492
Mix_18	0.0920027513761487	0.0387017852493815	0.0442483243789162	0.0379821045288661	0.0894653657868728	0.0158142901179005	0.0186527400440834	0.187305564396838	0.0986685624701086	0.0226740827903607	0.0236756426345043	0.0335087599336754	0.0121683084768928	0.0102150953900328	0.0124486563326192	0.131530125993873	0.0586168919802144	0.0287677261456927	0.0231648881438408	0.0203883338291788
Mix_19	0.0569013660408423	0.0283904910254161	0.073677268772632	0.0561605206900569	0.126398890417822	0.0396079022380391	0.0309994163579598	0.0547035315224814	0.134555974130204	0.0357231061064611	0.0287231061333476	0.0667700102410865	0.0165162818310224	0.0126810960969534	0.0166627977958857	0.0580200517659158	0.0518560191314398	0.0400237598009049	0.0305410130874035	0.0410873968141256
Mix_20	0.136811259101896	0.0468416472275452	0.0601155858460231	0.051746774820429	0.106985088530241	0.0247725727285246	0.0257200454266724	0.077808851323165	0.105285081456806	0.0261914330104599	0.0242819331293688	0.0475310753661363	0.0124335865255362	0.0107394282789465	0.0155847169748174	0.0736593481136879	0.0546257922532259	0.0301680935299514	0.029915889463225	0.0387817968933425
Mix_21	0.123368891157505	0.0394116588829686	0.0764556757571141	0.0590184131337975	0.0954758992511692	0.0223774524926589	0.0289626911593667	0.0696467220914357	0.104747362558888	0.0343098171345488	0.0278921733854618	0.054745217893622	0.0113990523302831	0.0107754162740637	0.0148400288709764	0.0636710351241395	0.0518916802413082	0.0341238219429389	0.0307301056804572	0.0461568846372962
