naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
S10044	0.0387388300837019	0.0726217177641027	0.0782889560927519	0.0545146153801868	0.0424461411137543	0.0744108302059544	0.0746694924765355	0.0725384140852336	0.0233777013502129	0.039953938624856	0.0172007648027642	0.0401886585871277	0.0621514688974327	0.0284015578818815	0.0474890123598516	0.0370817208994521	0.0218594436801179	0.0595311334707806	0.0211209893775094	0.0934146128657924
S10049	0.0402660472211728	0.0732616566035712	0.0804087255578065	0.0546369617615756	0.0421060121907553	0.0733430198360202	0.0700193847843418	0.0722712001725807	0.0241470867352789	0.0395627069341814	0.0169202269187864	0.0396022506537343	0.0626332021763544	0.0286968082979434	0.0480873484945174	0.0376863948672158	0.0214188825099842	0.0602329619781959	0.0210714967728316	0.0936276255331522
S10057	0.0405106840401667	0.0750327514314915	0.0773019540987798	0.055538199090039	0.0392286865542528	0.0719795486698346	0.067204127084	0.0717717555637271	0.0241771634824894	0.0424732761124063	0.0180362109528589	0.0399094533347758	0.0654612583164406	0.0279982394907767	0.041833027981754	0.0377608114506969	0.0231504912465794	0.0590051945914708	0.0212421907525571	0.100384975754903
S10062	0.0395720330198002	0.0732878112288353	0.0805961549891718	0.0569415440361661	0.0402866618479676	0.0709338801037492	0.0721588199502764	0.0715512896136107	0.0242262179743679	0.0411886966620624	0.0172719504201883	0.0409647303418251	0.0635984815250982	0.028414086102668	0.0441949561937766	0.0377022127418475	0.0214593794401959	0.058351379999344	0.0214563405506511	0.0958433732583975
S10066	0.037736129283895	0.0723426269771636	0.0809881047862597	0.0573258466910165	0.0377395896526828	0.0655065540336703	0.0785614611949927	0.0706783211179333	0.0230778704218151	0.0412182658217825	0.0186444147871168	0.0410644240707164	0.0630608028740257	0.0293565140932501	0.0456279556072368	0.0373703466210223	0.0225243762812534	0.059044057209874	0.0215625878495503	0.0965697506247426
S10067	0.0402860449478871	0.0731686119745486	0.0786525257301617	0.0547089138952015	0.0430379509838994	0.076346023842523	0.0680941891606808	0.074047090208023	0.02431303076529	0.0399741170838017	0.0170107853356334	0.0399821897844026	0.0629646107394899	0.0277838343466128	0.0442267854932535	0.0364294898811871	0.0213221561592303	0.0612925529629861	0.0212822731338459	0.0950768235713416
S1007	0.0406259320519276	0.075072973587305	0.0784247760593131	0.0562471130471932	0.0393442908499356	0.0735082323845273	0.0669341334725768	0.0725258033899383	0.0226096136380786	0.0410875472273874	0.017580059493701	0.0392616125857466	0.0649525161666897	0.0287743538241037	0.043926186544836	0.0381147841979407	0.0224914217368155	0.0579273578935561	0.0214220108858122	0.0991692809626156
S10073	0.0400905801313166	0.0729015603358717	0.0787116411163395	0.0556821325461619	0.0395397675352748	0.0751722840628766	0.0715108106356068	0.0752718615418122	0.0248043530542846	0.0400487258955758	0.0178606828580542	0.0394497694891638	0.0609239093366789	0.0280608870935966	0.0455683426464724	0.0385046959634352	0.0208567046056898	0.060573713273936	0.0211814782295119	0.0932860996483408
S10077	0.0417727277155779	0.0755130863319943	0.0765588829980307	0.0592995297276932	0.0388031761330128	0.0670963091384561	0.0706806202117414	0.0690700379697158	0.0233892168848458	0.038569814258832	0.0180711423793295	0.0410472412995324	0.0650620440835704	0.0292156951002526	0.04621213941329	0.0384273004801718	0.0210982709095023	0.059585815586153	0.0212962240045326	0.0992307253737655
S10080	0.0407408031809725	0.0748966763508089	0.0820483021391258	0.0573598726082316	0.0381269261573494	0.0713785549700966	0.0707372167970958	0.0698205252535232	0.0239441616254951	0.0407458852698885	0.0174385006359188	0.0395177165771997	0.0641080718960562	0.0292423898264111	0.0457506632684912	0.0379394157285511	0.0210831202603477	0.0564369932055422	0.0214680700904996	0.097216134158395
