Topleft	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell
mix_74	0.049180328	0.406943105	0.335583414	0.151398264	0.010607522	0.025072324	0.021215043
mix_75	0.083152567	0.39407086	0.12219812	0.122921186	0.196673897	0.047722343	0.033261027
mix_76	0.044915254	0.03220339	0.397457627	0.030508475	0.375423729	0.070338983	0.049152542
mix_77	0.089895013	0.291338583	0.269028871	0.074146982	0.192913386	0.031496063	0.051181102
mix_78	0.050491803	0.269508197	0.18295082	0.164590164	0.301639344	0.026229508	0.004590164
mix_79	0.164674635	0.158034529	0.08499336	0.092961487	0.394422311	0.091633466	0.013280212
mix_80	0.140083218	0.348127601	0.080443828	0.137309293	0.144244105	0.097087379	0.052704577
mix_81	0.105189341	0.131837307	0.120617111	0.319775596	0.131837307	0.131837307	0.058906031
mix_82	0.01992966	0.016412661	0.052754982	0.161781946	0.586166471	0.033997655	0.128956624
mix_83	0.005970149	0.410447761	0.051492537	0.032835821	0.432089552	0.001492537	0.065671642
mix_84	0.04426325	0.133954572	0.293535236	0.090273733	0.342457775	0.027955737	0.067559697
mix_85	0.029718876	0.102811245	0.18313253	0.167871486	0.347791165	0.073092369	0.095582329
mix_86	0.081567116	0.249197174	0.278741169	0.051380861	0.314065511	0.017983301	0.007064868
mix_87	0.043433299	0.306101344	0.532574974	0.010341262	0.020682523	0.070320579	0.016546019
mix_88	0.034534535	0.280780781	0.336336336	0.113363363	0.133633634	0.065315315	0.036036036
mix_89	0.214428858	0.134268537	0.03006012	0.284569138	0.228456914	0.096192385	0.012024048
mix_90	0.009551098	0.251193887	0.490926457	0.053486151	0.106017192	0.025787966	0.063037249
mix_91	0.005840363	0.226476314	0.343283582	0.045425049	0.266709929	0.038286827	0.073977936
mix_92	0.061176471	0.327647059	0.239411765	0.150588235	0.16	0.012352941	0.048823529
mix_93	0.103202847	0.180308422	0.052194543	0.028469751	0.620403321	0.010676157	0.004744958
mix_94	0.037181996	0.337247228	0.358121331	0.026092629	0.166992825	0.025440313	0.048923679
mix_95	0	0.407750632	0.239258635	0.119629318	0.181971356	0.01347936	0.037910699
mix_96	0.063271605	0.24691358	0.236111111	0.183641975	0.12808642	0.069444444	0.072530864
mix_97	0.044063647	0.374541004	0.288861689	0.00244798	0.095471236	0.05875153	0.135862913
mix_98	0.004601227	0.441717791	0.159509202	0.040644172	0.207822086	0.068251534	0.077453988
mix_99	0.180055402	0.091412742	0.027700831	0.002770083	0.509695291	0.04432133	0.144044321
mix_100	0	0.31289507	0.249683944	0.002528445	0.365992415	0.022756005	0.046144121
