Gene	naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
FXYD6	18.4050691	15.08157973	23.40226979	17.40094514	66.60269961	71.3401612	36.16495678	15.29691517
GAS7	37.72261067	32.31294408	27.36101796	28.70453111	69.78308459	43.74388678	56.94902363	50.48294639
GATA2	27.05054805	26.17997548	24.50215867	26.62998346	41.4577378	13.72496308	11.86305888	84.09812303
GBP1	52.1610363	57.56930271	131.7108153	168.8761223	29.27412413	896.7194524	71.27323927	54.1959014
GCH1	200.019374	217.0440148	132.1649523	195.8943772	19.63170273	137.2616674	19.51713991	72.64687473
GFOD1	67.27533267	83.58693843	44.01506919	59.66219329	116.7024042	85.044203	121.4001914	103.9906778
GIMAP4	14.04155675	14.82705266	355.5067025	328.9828401	374.9614741	396.8194597	166.1545565	11.1236027
GJB1	20.99714866	24.60596487	20.90393074	26.28677095	29.38044041	22.39959526	24.0524593	22.87567049
GLRA1	13.55853382	13.9332404	17.16400595	14.18285704	24.13209053	10.24901433	10.44366812	19.35657656
GLRX2	35.10739771	64.63901106	53.76708579	57.42815006	55.29122878	74.51665154	72.30401571	118.4425257
GP5	11.56543218	10.9494715	24.1141718	20.28837667	23.20678774	14.6789088	13.0174903	18.09857816
GPNMB	15.61488612	17.93416598	16.54549252	14.50196706	1880.183133	1031.714985	1121.365578	54.2763989
HAGH	53.84207699	77.05956706	115.8230252	93.68965564	175.6624632	157.7161567	156.4871969	59.52255308
HAVCR1	15.58492959	12.35895996	21.63682548	16.29918086	22.16255904	7.744263707	7.164531691	13.99508624
HBD	17.80699269	16.54163062	23.73438088	22.11340185	21.76130109	12.99070413	12.81989418	65.82082155
HCK	35.75472225	76.40662764	53.65923183	20.38960763	128.2342694	534.4131937	408.4087652	39.71822225
HDC	23.60161805	17.63783467	24.79671255	24.49503799	78.10687166	10.86885855	12.85377181	484.8934266
HGD	13.37414261	15.27678381	19.74540739	19.54822941	26.3326302	18.36490979	19.06908036	27.61532425
HIST1H2BC	91.29108698	33.89727417	25.31454849	19.7877356	24.82178257	27.25987036	13.47976386	18.69246618
HOMER2	26.33567178	23.26630529	25.16089884	19.9894923	29.6665338	17.15479822	124.1841415	48.38369588
HOXA2	13.52273386	11.0420293	15.16854978	11.65181663	17.59028122	14.93323957	16.18707143	11.26210143
HPSE	21.04585024	21.43446204	47.03004653	27.07976294	42.47411084	52.39473363	33.54433197	27.94743126
HTRA1	17.39077722	14.54584203	24.02771968	19.66165458	183.7564992	42.29789196	38.70941658	33.82964192
ICOS	9.474305736	12.19663532	262.2459957	128.2692591	22.80801649	22.67749809	18.02020256	12.07733901
IFI27	14.69742768	17.93501526	32.86394603	27.04397517	27.62459101	605.4244532	34.21767179	33.89648691
IFNB1	11.16649586	9.678102198	13.42832706	12.92187053	12.8379278	11.83224953	8.995349304	17.04029953
IFT20	113.3178067	163.4379884	105.0194904	119.7015465	113.7476132	42.15932293	65.15817723	66.63732772
IGFBP2	11.38408361	11.41790889	18.53067689	22.09406833	31.93832774	22.05986196	27.93255058	296.7895899
IL15RA	36.87123725	49.43536439	38.65306276	48.24120477	17.09131597	66.52633684	17.3179006	30.98863233
IL1R2	11.36663054	12.1691811	22.14873879	13.95811697	46.77826977	31.41673028	54.54096711	18.89059602
IL1RAP	21.60369602	18.04471171	29.77486199	22.77637014	23.17690824	24.92817637	31.84066441	40.77040515
IL1RL1	17.43619951	15.89768192	16.82384224	15.93023392	19.00949198	14.35108427	14.03936083	135.7583878
IL2RA	25.92118143	60.59147788	83.57645383	40.0419995	33.28933939	68.76511819	21.08119067	29.11740576
IL32	16.33230535	22.63510014	371.0070797	547.3676325	16.39730803	69.33462644	21.18710074	46.31685037
IL4R	375.6406102	77.7473534	133.4605312	140.6215335	143.9788196	115.7422212	117.9965539	128.3239772
IL5RA	16.71994519	19.11990495	16.80990115	17.66818467	22.9607749	23.85436924	22.96417592	27.04318755
IL6ST	48.38122351	35.43195123	66.95846414	48.10916813	28.89491177	36.23752486	34.35554182	53.21784938
ING2	33.26759008	41.27163811	53.46608463	60.28268741	63.48123773	108.432819	121.0128683	43.94122677
IRS1	34.69869111	28.20365657	22.06229989	23.27846122	12.83716337	13.36741423	12.07604789	14.64994094
JRKL	26.27941299	33.23124942	36.41475259	31.08567243	24.92407156	29.09142734	28.10768248	46.19104326
KCNJ15	17.60642181	18.44670182	19.06435212	16.51906583	27.54238929	19.47119068	13.97051841	28.88496075
KIF1A	23.67217201	17.7693384	18.94226323	19.10054627	18.47831413	10.5968841	9.506352413	11.63765962
KIF22	50.83765296	57.80792073	83.77423308	87.88455585	32.71381038	22.12256799	20.20835723	42.29223308
