Symbol	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage
ABHD14A	107	275.3181818	120.1923077	125.1818182	259.625	120.1818182
ABHD14B	496.75	1348.545455	482.7307692	316.4545455	412	321.5454545
ABHD15	73.5	139.9090909	96.19230769	71.27272727	131	141
ABHD2	67	274.4545455	134.8461538	267.8181818	219.375	879.5454545
ABHD3	142.5	848.7727273	317.9615385	125.1818182	97.625	682.9090909
ABHD4	327.75	245.3636364	306.0769231	421.0909091	1182.75	614
ABHD5	49.75	38.59090909	53.11538462	88.36363636	175	80.90909091
ABHD6	33.25	20.13636364	20.19230769	45.18181818	52.125	146.7272727
ABHD8	53.25	58.5	47.26923077	62.09090909	52.875	83.90909091
ABI1	802.5	961	786.5	416.8181818	539.5	802.4545455
ABI2	135	136.2272727	135.6538462	232.0909091	261.375	191.2727273
ABI3	150.25	189.8636364	214.8846154	244.3636364	82.125	272.6363636
ABI3BP	11.25	9.181818182	12.19230769	724.7272727	1115.375	11.09090909
ABL1	54	187.3636364	296.3846154	581.8181818	596.875	292.1818182
ABL2	69.75	183.1818182	125.6923077	780.3636364	454.75	506
ABLIM1	988	3520.636364	2357.230769	1704.363636	457.25	77.09090909
ABLIM2	113.75	75.36363636	81.07692308	76.90909091	61.875	90.63636364
ABLIM3	63.25	43.31818182	56.61538462	323.0909091	159.875	62.18181818
ABO	35.5	24.22727273	28.15384615	25.54545455	23.75	25
ABP1	28.25	19.45454545	20.76923077	20.45454545	17.5	117.0909091
ABR	101.75	414.6363636	172.5	566.0909091	513.375	1445.636364
ABRA	12	12.81818182	12.07692308	14.18181818	11.625	13.27272727
ABT1	322.5	346.2272727	420.1153846	358.9090909	295.25	262.4545455
ABTB1	123.25	498.7272727	177.4230769	127.4545455	187.375	256.3636364
ABTB2	80	54.86363636	83.19230769	73.54545455	134.875	78.27272727
ACAA1	222.25	313.8636364	164.1153846	311.7272727	325.875	578.9090909
ACAA2	128.75	62.59090909	90.57692308	105.7272727	108.125	93
ACACA	113.25	141.4545455	163.1153846	418.4545455	495.875	244.7272727
ACACB	67.25	125.8181818	86.69230769	65.18181818	70.125	80.36363636
ACAD10	103	80.59090909	84	67.18181818	85.625	73.18181818
ACAD11	69.5	167.3181818	115.4230769	87.27272727	160.125	84.54545455
ACAD8	68.25	207.4090909	113.4230769	169	205.125	166.6363636
ACAD9	102.5	158.4090909	90.84615385	367.3636364	272.625	362.5454545
ACADL	14.75	15.40909091	15.92307692	17.36363636	50	16.45454545
ACADM	653.25	455	235.3076923	472.5454545	588	1314.727273
ACADS	132.5	140	133.1923077	135.7272727	103.75	208
ACADSB	57.25	220.8181818	112.2692308	80.81818182	106.875	87.27272727
ACADVL	252.25	695.2727273	346.2307692	1352	1201.875	1138.727273
ACAN	85.25	56.18181818	65.69230769	67.45454545	382	68
ACAP1	139.25	1794.136364	340.8461538	35.54545455	47.125	81.72727273
ACAP2	215.25	131.5909091	183.3461538	70.81818182	94.625	258.1818182
ACAP3	65.75	270.9090909	68.19230769	134.2727273	168.125	129
ACAT1	9.25	10.54545455	10.84615385	10.72727273	10.5	9.636363636
ACAT2	302.75	299.6818182	249.4615385	466.1818182	581.375	2358.545455
ACBD3	560.75	399.3636364	359.3076923	643	1288.5	754.6363636
ACBD4	146.75	220.4545455	144.3076923	124.2727273	112	134.2727273
ACBD5	87.5	303.4090909	391.1153846	488.5454545	593.25	748.1818182
ACBD6	76.5	200.5454545	142.2692308	610.3636364	491.375	207.0909091
ACCN1	31.5	26.77272727	31.19230769	30.18181818	27.375	31.72727273
ACCN2	126	81	109	69.72727273	71.625	61
ACCN3	19.5	23.77272727	19.42307692	18.27272727	16.125	20
ACCN4	60.25	37.59090909	47.23076923	40.54545455	33.625	41
ACCN5	14.75	12.40909091	13.88461538	11.81818182	11.625	11.54545455
ACCS	245.75	266.0909091	129	96.63636364	201.625	123.1818182
ACD	89.25	392.1363636	142.7692308	376.2727273	239.25	132.0909091
ACE	52	73.31818182	46.76923077	212.1818182	58.125	177.4545455
ACE2	46	28.22727273	34.73076923	26.72727273	29.625	26.63636364
ACER1	44.5	40.36363636	38.65384615	38.54545455	28.375	31.90909091
ACER3	63.25	138.2272727	82.73076923	439.6363636	473.25	928
ACHE	54.75	42.31818182	49.34615385	43.81818182	43	42.09090909
ACIN1	96	310.1818182	171.4615385	255.3636364	166.375	200.3636364
ACLY	855.25	1391.636364	720.0384615	2874.363636	2679.125	1690.454545
ACMSD	15.25	12.31818182	16.5	12.81818182	11.875	11.36363636
ACN9	118	123.1363636	90.80769231	65.09090909	62.375	60.63636364
ACO1	93	98.18181818	92.88461538	719.1818182	857.125	1300
ACO2	45.25	59.5	45.30769231	58.09090909	41.375	75.45454545
ACOT11	73	52.04545455	54.42307692	53.18181818	37.875	73.18181818
ACOT12	9.5	8.409090909	9.538461538	8.272727273	9.25	8.636363636
ACOT13	148.25	111.6363636	90.15384615	522.0909091	423.125	1315.363636
ACOT4	32.5	45.86363636	44.19230769	26.09090909	46.875	308.6363636
ACOT6	13.5	11.72727273	12.53846154	12.09090909	12.625	13.27272727
ACOT7	44.75	87.95454545	83.30769231	868.1818182	702.375	830.8181818
ACOT8	87.75	154.7272727	93.61538462	187.2727273	278.875	247.9090909
ACOT9	332.75	306.0454545	249.8846154	1119.090909	901.75	1002
ACOX1	48.5	74.04545455	66.65384615	208.4545455	206.125	400.5454545
ACOX2	21.5	20.90909091	24.92307692	51.54545455	117.5	229.3636364
ACOX3	45.5	88.54545455	52.34615385	250.4545455	194.75	143.2727273
ACOXL	28.5	23.63636364	27.76923077	26.36363636	25.625	25.90909091
ACP1	1372.75	1037.136364	1562.653846	964.6363636	847.375	715.6363636
ACP2	79.75	152.5	90.15384615	424.8181818	343.5	1626.909091
ACP5	219.5	221.5909091	75.76923077	147.7272727	87	7945.363636
ACP6	73	250.5454545	115.8461538	212	139.625	131.2727273
ACPL2	29	339.4545455	157.2307692	65.45454545	193	70
ACPP	25.5	19.86363636	22.34615385	15.36363636	16.125	87.90909091
ACPT	119.75	91.77272727	107.7307692	97.09090909	94.25	98.63636364
ACRBP	48.5	42.18181818	42.26923077	41.72727273	40.875	53.09090909
ACRC	60	163.0454545	210.6153846	42.36363636	86.25	43.45454545
ACRV1	104.75	59.86363636	77.76923077	43.81818182	39.625	50.18181818
ACSBG1	47.25	26.81818182	30.23076923	25	20.125	27.81818182
ACSBG2	45	34.63636364	42.26923077	26.18181818	24.375	29.36363636
ACSF2	119	96.86363636	74.57692308	149.7272727	129.75	215.5454545
ACSF3	52.25	52.45454545	54.69230769	52.90909091	58.5	47.45454545
ACSL1	50.75	54.5	122	166.6363636	217.875	1103.636364
ACSL3	100	159.3636364	169.7692308	586.7272727	784.375	883.1818182
ACSL4	36	60.13636364	47.53846154	222.2727273	201.75	386.4545455
ACSL5	317.75	419.7727273	243.6538462	51.81818182	44	263.9090909
ACSL6	51.5	37.5	43.96153846	33.63636364	27.625	33.90909091
ACSM1	26.25	23.86363636	24.46153846	20.90909091	18.25	23.36363636
ACSM2A	11	9.045454545	9.884615385	9.272727273	8.75	8.909090909
ACSM3	29	33.81818182	37.65384615	46.09090909	13.375	17.36363636
ACSM5	33	16.27272727	21.34615385	14.90909091	14.375	32.45454545
ACSS1	211.5	303.1363636	168.3076923	92	89.875	128.8181818
ACSS2	125.5	172.5454545	115.5769231	247.5454545	218.875	636.0909091
ACSS3	36	28.77272727	34.53846154	27.63636364	100.5	29.18181818
ACTA1	24.25	18.09090909	19.30769231	23.36363636	45.125	22.27272727
ACTA2	138.5	151.4090909	113.7692308	498.4545455	6184.625	328.2727273
ACTB	10864.5	9402.590909	4448.269231	9578.909091	10960.625	11356.45455
ACTC1	126.5	104.6818182	99.69230769	110.9090909	1342.25	102.3636364
ACTG1	6532.75	9609.590909	6483.576923	13287.72727	14172.5	9976.727273
ACTG2	69	69.18181818	65.30769231	68.90909091	276.875	70.81818182
ACTL6A	132.75	347.9545455	136.2692308	683.2727273	450.125	324.0909091
ACTL6B	21.5	17.72727273	20.19230769	21.27272727	20.25	22.27272727
ACTL7A	38.75	35.27272727	38.07692308	44.09090909	30.625	37.72727273
ACTL7B	54.25	36.59090909	38.84615385	37.63636364	30.875	41.27272727
ACTL8	163.5	90.40909091	119.1538462	88.81818182	93	98.18181818
ACTL9	38.5	19.54545455	20.88461538	21.90909091	15	18.63636364
ACTN1	35	512.9545455	244.8076923	2253.272727	1934.375	1804.454545
ACTN2	78.5	55.27272727	66.5	73.63636364	71.375	78.36363636
ACTN3	31.25	31.27272727	33.15384615	34.63636364	32.75	34.72727273
ACTN4	225.25	667.5	403.5	1431.363636	1811.875	516.5454545
ACTR10	853.75	1127.636364	1015.961538	1923.363636	2646.375	1674.818182
ACTR1A	161.25	280.2272727	423.3846154	1274.818182	698	684.1818182
ACTR1B	158.5	479.5909091	198.0384615	305	356.5	349.4545455
ACTR2	2380.25	3156.136364	2135.615385	3439.090909	3534	4233.454545
ACTR3	4799.5	6153.454545	3402.423077	5932.636364	5750.125	7879.272727
ACTR3B	31.5	57.27272727	32.26923077	89.72727273	128.375	38.45454545
ACTR3C	35.25	22.68181818	29.15384615	20.36363636	36.125	26.18181818
ACTR5	123.75	284.5	200.6538462	179.0909091	118.125	131.9090909
ACTR6	181.25	336.4090909	304.3461538	301.1818182	338.375	242.7272727
ACTR8	363	246.5	301.2307692	386.4545455	414.375	347.2727273
ACTRT2	39.75	28.59090909	33.15384615	30.90909091	24.75	33.81818182
ACVR1	29.5	448.8181818	68.15384615	729.0909091	1330.625	597.2727273
ACVR1B	46.25	138.8636364	93.53846154	361.8181818	369.125	301.6363636
ACVR1C	40.5	114.0454545	64.03846154	15.72727273	17.125	17.81818182
ACVR2A	121.25	177.8181818	232.1923077	190	889.375	214
ACVR2B	43.25	93.63636364	63.84615385	48.90909091	38.75	51.54545455
ACVRL1	49.25	43.63636364	49.15384615	295.1818182	72	61.18181818
ACY1	133	122.5454545	94.69230769	278.9090909	424.625	424.4545455
ACY3	35.75	26.45454545	27.11538462	21.09090909	19.25	23.27272727
ACYP1	300.5	325.8636364	161.0384615	344.9090909	179.875	139.7272727
ACYP2	261	169.8181818	106.3846154	109.9090909	272.875	207
ADA	58.5	553.4545455	303	503.2727273	319.375	644.2727273
ADAD1	43.75	32.54545455	47.07692308	22	18.125	23.90909091
ADAD2	97.5	55.90909091	72.96153846	68.63636364	59.875	67.81818182
ADAL	22.75	31.5	27.15384615	20.63636364	28.125	24.72727273
ADAM10	72.25	186.1818182	97.92307692	436.4545455	594.5	575.0909091
ADAM11	91	44.09090909	68	52.18181818	42.125	48.45454545
ADAM12	18	14.81818182	16.96153846	17.54545455	679.125	30.63636364
ADAM15	140.25	153.6818182	140.5	459.4545455	226.875	269
ADAM17	119.25	229.5	196.6538462	279.5454545	281.75	340.1818182
ADAM18	17.25	14.59090909	17.15384615	15.45454545	13.5	12.81818182
ADAM19	576	277.5	82.96153846	221.9090909	347.75	52.18181818
ADAM2	10	9.227272727	9.615384615	9.181818182	8.375	8.909090909
ADAM20	83	61.81818182	86.61538462	58.18181818	60.125	56.09090909
ADAM21	36.5	23.40909091	32.03846154	19.81818182	25.75	16.81818182
ADAM22	97.5	60.54545455	72.34615385	44.90909091	40.375	49.72727273
ADAM23	110.5	90.36363636	83	304	146.5	57.18181818
ADAM28	1195.75	22.09090909	32.57692308	15.72727273	25.5	370.7272727
ADAM29	20.75	16.22727273	23.03846154	12.45454545	13.25	14.09090909
ADAM30	8.75	7.545454545	7.346153846	7.545454545	6.625	6.909090909
ADAM32	16.5	13.18181818	14.38461538	13.45454545	14.25	12.18181818
ADAM33	540.25	283.5454545	331.0769231	151.1818182	299.625	203.2727273
ADAM3A	13	13.27272727	12.11538462	14.27272727	10.75	11.90909091
ADAM5P	27.25	22.22727273	32.03846154	18.90909091	15.625	18.81818182
ADAM6	58.5	32.63636364	41.69230769	29.45454545	24.625	27.72727273
ADAM7	23.5	21.09090909	26.46153846	17.27272727	17	18.09090909
ADAM8	52.75	108.1363636	45.15384615	39.81818182	33.625	56.81818182
ADAM9	27.75	18.27272727	29.73076923	848.3636364	758.75	843.7272727
ADAMDEC1	19	9.954545455	12.11538462	9.636363636	15.375	1069.727273
ADAMTS1	33.5	26.86363636	44.61538462	521.9090909	2761.5	28.18181818
ADAMTS10	164	82.68181818	141.9615385	102	102.625	91.63636364
ADAMTS12	75.25	50.95454545	64.84615385	84.18181818	658.125	32.27272727
ADAMTS13	147.5	112.7272727	110.0769231	98.45454545	99.75	105.8181818
ADAMTS14	77.5	55.72727273	60.53846154	61.72727273	58.25	63.90909091
ADAMTS15	32	30.86363636	34.34615385	42	30.875	42.54545455
ADAMTS16	70	39.04545455	54.5	46.09090909	47.625	44.63636364
ADAMTS17	21.25	26.86363636	21.38461538	17.09090909	16.25	18.45454545
ADAMTS18	22.5	18.27272727	23.96153846	409.5454545	15.125	15
ADAMTS19	6.5	6.954545455	6.846153846	7.181818182	7.375	6.727272727
ADAMTS2	56.25	44.31818182	60.34615385	44.72727273	223.375	44.81818182
ADAMTS20	14.75	11.59090909	12.23076923	11.27272727	10.375	9.818181818
ADAMTS3	12	9.5	10.84615385	20.45454545	23.75	9.363636364
ADAMTS4	60.75	61.40909091	60.65384615	68.18181818	64	53.63636364
ADAMTS5	8.25	7.136363636	7.769230769	7.909090909	47	7.181818182
ADAMTS6	16.25	18.04545455	16.84615385	196.0909091	121.625	14
ADAMTS7	41.75	25.22727273	30.42307692	28.81818182	27	30.63636364
ADAMTS8	69.75	40.77272727	47.73076923	47.36363636	36.125	50.09090909
ADAMTS9	38.25	27.13636364	32.34615385	22.90909091	19.875	23.18181818
ADAMTSL1	46	32.72727273	36.38461538	67.90909091	111.875	36
ADAMTSL2	31.75	25.86363636	28.88461538	33.18181818	26.875	34.18181818
ADAMTSL3	56.75	44.63636364	47.19230769	49.36363636	38.25	46.27272727
ADAMTSL4	83.5	43.95454545	61.11538462	34.18181818	35.125	53.18181818
ADAMTSL5	71.5	59.09090909	64.5	62.81818182	64.25	59.18181818
ADAP1	227.5	237.9090909	261.6538462	180.8181818	225.125	423.8181818
ADAP2	142.5	64.86363636	74.34615385	56.63636364	45.875	1070.454545
ADAR	1846.25	3195.954545	2257.538462	1875.181818	1549.5	2088.363636
ADARB1	164.5	355.5454545	123.7692308	216.1818182	453.125	133
ADARB2	63.5	53.90909091	58.19230769	54.90909091	37.625	58.18181818
ADAT1	194	214.4090909	190.0769231	176.2727273	207.5	142
ADAT2	44.5	145.2727273	75.19230769	79.72727273	49.5	37.54545455
ADC	101.75	91.09090909	88.5	92.72727273	89.25	74.63636364
ADCK1	120.25	116.9545455	93.11538462	97.45454545	98.875	161.5454545
ADCK2	104.25	99.59090909	77.69230769	125.4545455	90.125	262.2727273
ADCK4	24	19.40909091	17.61538462	15	14.375	16.72727273
ADCK5	37.25	67.27272727	38.38461538	61.45454545	64	57.81818182
ADCY1	66	39.13636364	45.92307692	45.63636364	36.75	50.18181818
ADCY10	21.25	18.18181818	20.03846154	17.09090909	16.375	16
ADCY2	36.5	35.36363636	38.5	34.72727273	35.25	35.27272727
ADCY3	46.5	143.9090909	66	181.3636364	242.125	671.1818182
ADCY4	168.5	121.5909091	145.1153846	417.0909091	104.5	132.6363636
ADCY5	64	49.72727273	56.61538462	50.27272727	48.125	43.63636364
ADCY6	96	53.13636364	73.03846154	126.7272727	143.25	61.09090909
ADCY7	133	781	324.7307692	44.72727273	266	688.4545455
ADCY8	55	25.5	32.23076923	28.45454545	24	33
ADCY9	34.5	79	58.73076923	221.9090909	737.75	218.7272727
ADCYAP1	31.5	20.95454545	24.96153846	19.09090909	21.375	18.45454545
ADCYAP1R1	41.25	34.27272727	40.07692308	31.45454545	30.875	34.45454545
ADD1	341.25	835.9545455	323.5769231	994.2727273	718.75	476.9090909
ADD2	74	40.18181818	45.07692308	33.09090909	31.75	35.09090909
ADD3	2475.5	5371.636364	1974.538462	996.7272727	2856.5	693.5454545
ADH1A	31	15.13636364	17.46153846	13.18181818	12.875	18.36363636
ADH1B	16.25	11.5	13.73076923	9.818181818	222.625	9.818181818
ADH1C	15.5	11.22727273	13.07692308	11.54545455	17	11.54545455
ADH4	8.75	8.636363636	8.653846154	9.363636364	9.75	9.545454545
ADH5	577.25	849.5454545	583.1538462	1086.454545	2314.75	1150.727273
ADH6	54	28.45454545	35.88461538	21	22.375	22.45454545
ADH7	20.75	18.40909091	19.34615385	17.36363636	15.5	21.27272727
ADHFE1	145.75	281.6818182	249	97.90909091	112.75	106.6363636
ADI1	202	789.7272727	235.2307692	1349.636364	1624.5	1295.272727
ADIG	109.5	66.22727273	87.80769231	49.18181818	35.25	58.63636364
ADIPOQ	11	9.727272727	10.53846154	9.272727273	9.875	10.18181818
ADIPOR1	293.75	440.9545455	511.8461538	586.9090909	585.75	883.9090909
ADIPOR2	167	315.9545455	274.4230769	543.0909091	710.75	623.5454545
ADK	1585.25	326.2727273	478.4615385	974.3636364	828.25	1396.272727
ADM	33.75	30.59090909	39.96153846	1469.363636	6231.125	681.9090909
ADM2	150.25	104.4090909	116.6153846	110.1818182	115.75	111.6363636
ADNP	143.75	423.1818182	194.9230769	385.5454545	430.875	180.4545455
ADNP2	148	291.4090909	414.1923077	248.6363636	162	219.5454545
ADO	67	110.5454545	99.5	215	323	794.9090909
ADORA1	164.75	75.22727273	101.7692308	70.81818182	59.875	78
ADORA2B	88	45.95454545	56.34615385	315.3636364	181.25	331.1818182
ADORA3	25	16.81818182	20.30769231	15.90909091	12.5	83.09090909
ADPGK	728	808.4545455	763.2307692	599.4545455	600.375	1359.454545
ADPRH	59.5	28	23	32.27272727	52.75	193.9090909
ADPRHL1	68.25	48.54545455	61.42307692	46.09090909	45	47.45454545
ADPRHL2	221.5	347.0909091	295.9230769	576.2727273	521.375	490.6363636
ADRA1A	19.5	12.54545455	14.34615385	13.54545455	13.125	14.09090909
ADRA1B	13.5	12.59090909	12.76923077	18.90909091	14.75	17.63636364
ADRA1D	16	15	15.5	18.63636364	17.25	17.81818182
ADRA2A	12.5	13.18181818	14.57692308	11	162.75	11.45454545
ADRA2B	129.25	75.77272727	101.4230769	81.90909091	73.75	132.1818182
ADRA2C	160.25	56.18181818	81.53846154	55.27272727	93.25	67.90909091
ADRB1	15.75	13.86363636	14.88461538	18.27272727	13.125	17.09090909
ADRB2	174.25	111.5	437.9230769	100.7272727	37.125	112.1818182
ADRB3	66	43.77272727	59.53846154	44.36363636	38.375	53.90909091
ADRBK1	230.5	169.0909091	202.5384615	144.3636364	135.125	153.6363636
ADRBK2	126.5	40.95454545	42.46153846	57.45454545	41.25	390.4545455
ADRM1	130.75	337.2272727	238.6538462	880.2727273	616.375	580.0909091
ADSL	503.75	1122.636364	571.3846154	1609.909091	1159.75	764.6363636
ADSS	202.75	443.1818182	419.5384615	963.9090909	481.5	431.9090909
ADSSL1	80.75	61.22727273	69	73.09090909	55.875	55.27272727
AEBP1	114.75	102.2727273	77.19230769	193.6363636	1703.75	81
AEBP2	67	418.3181818	287.6153846	313	444.625	205
AEN	193.75	180.1363636	134.5384615	235	222.75	122
AES	180.25	1713.045455	498.3461538	718.0909091	515.875	541
AFAP1	7	13.31818182	9.576923077	127.0909091	128.75	7
AFAP1L1	19.25	14.36363636	15.19230769	214.9090909	34.75	476.0909091
AFAP1L2	22.25	18.36363636	24	19.81818182	11.375	15.63636364
AFF1	510.75	1100.318182	519.9615385	1001.090909	706.375	1242.818182
AFF2	38.5	25.40909091	28.5	20.63636364	19.5	24
AFF3	44.5	23.5	23.03846154	27.90909091	26.625	24.63636364
AFF4	124	562.3181818	427.0769231	738.3636364	997.125	696.7272727
AFG3L1	49.5	56.27272727	53.5	56.81818182	48.25	64.36363636
AFG3L2	190.75	210.4545455	176.7307692	277.6363636	284	300.4545455
AFM	11.5	11.45454545	12	10.72727273	12.25	10.45454545
AFMID	46	29.95454545	36.38461538	34.27272727	31.125	35.63636364
AFP	30.5	26.77272727	30.96153846	32.81818182	39.625	30.27272727
AFTPH	887.5	718.3181818	611.2307692	326.6363636	283.625	986.0909091
AGA	223.5	181.9090909	206.0384615	159.7272727	417.875	403.8181818
AGAP1	26	31.36363636	49.34615385	101.1818182	130.375	17.90909091
AGAP11	19	16.86363636	17.07692308	18.72727273	18.375	27.90909091
AGAP2	131.25	100.5909091	93.19230769	52.45454545	50.375	71.18181818
AGAP3	180.25	191.5909091	185.8076923	378.3636364	303.125	529.0909091
AGAP4	42	122.4545455	91.92307692	20.18181818	39.375	27
AGBL1	63	21.09090909	33.26923077	17.54545455	17.875	19.63636364
AGBL2	23	30	18.53846154	13.27272727	14.25	12.36363636
AGBL3	10	8.363636364	8.230769231	8	7	7.454545455
AGBL4	13.25	11.59090909	10.84615385	12.09090909	10.75	10.81818182
AGBL5	19.5	14.27272727	18.42307692	47.72727273	89.5	15.81818182
AGER	65.75	58.09090909	50.84615385	45.36363636	34.25	51.72727273
AGFG1	422.75	378.0909091	634.8461538	509.0909091	355.875	529.6363636
AGFG2	51.5	206.9090909	79.11538462	175.1818182	119.5	83
AGGF1	199.5	362.8181818	323.1153846	232.1818182	283.25	330.9090909
AGK	228.5	333.2272727	294.8846154	480.7272727	313.25	233.5454545
AGL	98	607.1818182	259.5	315.1818182	599.375	371.5454545
AGMAT	32.5	20.31818182	29.96153846	19.09090909	18	16.54545455
AGPAT1	207.5	403.2272727	155.6153846	402.2727273	424.875	209.3636364
AGPAT2	147.25	194.0454545	139.4615385	391.7272727	327	503.7272727
AGPAT3	37.75	166.5909091	76	275.8181818	313.5	220
AGPAT4	51.5	50.5	66.65384615	91.54545455	96.125	101.9090909
AGPAT5	551.25	200.0454545	161.8076923	869.5454545	326.375	283.4545455
