CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
average.Mix_82	0	2.31566385260659e-06	1.96323744321842e-06	2.90161608997496e-06	2.03450954182676e-06	1.74785391088603e-06	3.38673625085518e-06	3.83904083050138e-06	3.04762197414337e-06
average.Mix_83	1.04949863852534e-06	2.60559241756279e-06	1.66751791803756e-06	2.29371754931702e-06	1.60607093154993e-06	1.5214006738323e-06	2.19842175713961e-06	2.74908111552391e-06	2.26130444926358e-06
average.Mix_84	1.25550641751452e-06	2.10291699735478e-06	2.47465112232128e-06	3.0187283421649e-06	2.34394830623261e-06	2.28018433724726e-06	3.76893741142947e-07	2.93239950328552e-06	3.11986143234888e-06
average.Mix_85	0	1.89651757413864e-06	2.2952991091658e-06	2.77241110431576e-06	2.08796164866962e-06	2.03029553653481e-06	4.03214159002453e-06	3.48796467570602e-06	2.66387263009408e-06
average.Mix_86	1.20869601059681e-06	1.8809676089031e-06	1.25592406642023e-06	2.08408862905657e-06	1.17551400594305e-06	1.10217203940694e-06	4.43760709298412e-06	2.97559898221167e-06	1.89093012328818e-06
average.Mix_87	1.60390070469809e-06	3.49733711932097e-06	8.65695721122035e-07	1.34107137642596e-06	8.9646928812333e-07	8.26278488732004e-07	1.37258041307069e-06	1.74935169039191e-06	1.2713743340921e-06
average.Mix_88	5.92301325708212e-07	2.38820192926176e-06	2.77984806324542e-06	3.27194757141522e-06	2.70635902287041e-06	2.57737075433662e-06	0	2.95371491105615e-06	3.56656087338662e-06
average.Mix_89	2.49860720236954e-06	8.35703717817664e-07	1.93508215750584e-06	2.07017255260874e-06	1.41486537248145e-06	1.72847591930983e-06	4.07714811964229e-06	2.21441354001917e-06	1.56493588168635e-06
average.Mix_90	0	1.61070819913445e-06	1.2556732944275e-06	1.62713279527948e-06	9.84010581945218e-07	1.03208617617815e-06	7.46074206661347e-06	3.00299498778697e-06	1.16231599594334e-06
average.Mix_91	2.14844549661511e-07	3.22220886091597e-06	1.94838614256509e-06	2.26756819331679e-06	1.90930511551267e-06	1.80290684914457e-06	9.84531225235677e-07	2.53441387770451e-06	2.3554963616193e-06
average.Mix_92	1.13794192747025e-06	1.96406862027805e-06	1.68738307005488e-06	1.79753482068485e-06	1.31492510544098e-06	1.49331168600506e-06	4.66648988118658e-06	2.3804172225461e-06	1.37181977306834e-06
average.Mix_93	2.19723465084148e-06	1.49103423398322e-06	3.42115968301269e-06	3.23551235514294e-06	2.95372115450493e-06	3.18838101687221e-06	0	2.01362655423054e-06	3.28711977968864e-06
average.Mix_94	6.57323203653644e-07	2.58300960787976e-06	2.59712179347834e-06	3.04329448208035e-06	2.53482154876181e-06	2.41701301725164e-06	0	2.80842397861434e-06	3.28159414322716e-06
average.Mix_95	6.83458491105826e-07	1.52825783334897e-06	2.90440654877728e-06	2.74698085443939e-06	2.38242447485968e-06	2.61475427828157e-06	2.74096247015145e-06	2.70831148074818e-06	2.47692095993206e-06
average.Mix_96	7.07961624427734e-07	1.41337551557008e-06	3.14079242145161e-06	3.41266464765624e-06	2.80695473109267e-06	2.85547341195942e-06	1.00685567885074e-06	3.20370563070394e-06	3.43763600320558e-06
average.Mix_97	1.62918215449909e-06	2.4164253385299e-06	1.21791224699716e-06	1.8602940955118e-06	1.11880686673246e-06	1.10174296543856e-06	3.30826347540932e-06	2.47232450714568e-06	1.65745518005224e-06
average.Mix_98	4.07003659722627e-06	2.58413288154852e-06	1.42309768423737e-06	1.32049533740019e-06	1.19740381195704e-06	1.4250640750777e-06	0	2.1066728891438e-07	1.26181787082009e-06
average.Mix_99	1.12546391588178e-07	6.78987610764686e-07	3.97451658815057e-06	3.85682563781598e-06	3.41922423602982e-06	3.60157101196559e-06	5.63380334374457e-07	3.25408762342031e-06	3.84473834872233e-06
average.Mix_100	2.92291879225885e-06	1.93350111267986e-06	1.77870696117839e-06	1.60060035433956e-06	1.29208447442974e-06	1.63110608578875e-06	1.88800210322502e-06	1.35999341299359e-06	1.15767923228503e-06
stdev.Mix_1	7.83071409485347e-10	1.04599355724377e-08	7.98519693657594e-09	1.01103577969192e-08	8.02443073100394e-09	7.37462629494691e-09	1.11511004255621e-08	1.84261727226413e-08	7.05115783143829e-09
stdev.Mix_2	7.59059078633304e-09	1.22105876928558e-08	6.29575423851436e-09	1.95668064702561e-08	6.32266836706301e-09	4.11465622737716e-09	2.73093078481482e-09	2.2899569953613e-08	1.71298203963442e-08
stdev.Mix_3	3.66965820067163e-09	9.74457125106817e-09	7.99030582389122e-09	1.41824308621428e-08	9.75459254763614e-09	7.64404141833235e-09	1.27784285426395e-08	1.7558784597035e-08	1.02645095756149e-08
stdev.Mix_4	4.08092651367924e-09	2.40439670958713e-09	2.30028870436696e-09	4.31997381655133e-09	1.42203762122895e-09	2.25793544115828e-09	7.20191241824909e-09	6.62501539459203e-09	1.44158613729545e-09
stdev.Mix_5	0	1.55736140634956e-08	1.69029580516426e-09	1.75057073025905e-08	3.27503501019753e-09	1.12321777101413e-09	7.59297770423037e-09	2.15547436654057e-08	1.64560509378648e-08
stdev.Mix_6	2.73348981313589e-09	1.80466705037164e-09	6.09483853728571e-09	6.38639761754578e-09	5.64560045091503e-09	4.7807522738512e-09	9.393590217919e-09	4.97137620713967e-09	7.42432243306995e-09
stdev.Mix_7	0	5.7495944447591e-09	1.23997590033966e-08	2.90866812875395e-08	1.90977637453834e-08	1.21929205339318e-08	8.04192002661743e-09	3.06644857633635e-08	2.64352980977278e-08
stdev.Mix_8	3.20329024763062e-09	4.9621573488496e-09	1.66012807534637e-08	1.50802476765978e-08	1.54398943732098e-08	1.44351063773587e-08	0	8.34537522061146e-09	1.33212972362726e-08
stdev.Mix_9	2.47036128222727e-09	1.33204279070853e-08	7.98578194674307e-09	1.05696843727147e-08	7.06807942406489e-09	7.27849576470321e-09	4.42143241583137e-09	2.44444130974594e-08	8.4734039649075e-09
