B.cells.naive,B.cells.memory,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.CD8,Macrophages.M0,Macrophages.M1,Macrophages.M2,Mast.cells.resting,Mast.cells.activated
mix_30,0,0.00174690778354741,0,0.187351074049712,0.290961069936294,0.408346497612462,0,0.0540015104858652,0.0261096221651714,0.0314833179669483,0
mix_31,0,0,0,0.226574106859885,0.261390220825977,0.333601179569291,0,0.0489428621433446,0.0456860300858308,0.0838056005156721,0
mix_32,0,0.00806469065057668,0,0.291270745868646,0.243303875625802,0.287943229515731,0,0.0298905450607903,0.0628947377886131,0.0766321754898415,0
mix_33,0,0.00733072392642629,0,0.419671995937744,0.218509666860568,0.180414859770664,0,0.0778223233135047,0.0920038744187019,0.00424655577239108,0
mix_34,0.00524609438846224,0.0269704090555544,0,0.418451679487125,0.118829156738869,0,0,0.091832615012902,0.0938083875470176,0.244861657770069,0
mix_35,0,0,0,0.123797105663082,0.280103627817722,0.432138960008713,0,0.0483349666302612,0.0240218834397375,0.0828426294652388,0.00876082697524562
mix_36,0,0,0,0.145359431805072,0.259342231464654,0.389280815797528,0,0.0556008557738999,0.0502920202885059,0.0925963839917057,0.00752826087863472
mix_37,0,0.00872490642525708,0,0.15546342648739,0.22878107786311,0.356276683976362,0.00845028435672028,0.119984196582094,0.043283290952798,0.0790361333562684,0
mix_38,0,0,0,0,0.268670986870446,0.501039057479712,0,0.100239925069541,0.0721604383424243,0.0246335634710375,0.0332560287668389
mix_39,0,0,0,0.0919534170207394,0.292002218535601,0.471674990833356,0,0.0559238542981535,0.00973411281740622,0.073147789894569,0.00556361660017543
mix_40,0,0,0,0.26007484411816,0.247247009697579,0.289745578551202,0,0.0481065658425986,0.059378816421744,0.0954471853687165,0
mix_41,0,0.0192124914159991,0,0.384859588674861,0.180347986782732,0.119729380916217,0,0.0964885729031235,0.108702983857289,0.0906589954497782,0
mix_42,0,0.0339067890005667,0,0.461609675232263,0.217155775497535,0.118440705823345,0,0.0287408529997721,0.0048343176786758,0.135311883767843,0
mix_43,0,0.0488981594972151,0,0.492002624643846,0.158333629389911,0.0162920873823215,0,0.0900384692486878,0.0871685640453577,0.107266465792661,0
mix_44,0,0.0154472933384429,0,0.0925486474849791,0.283711677007248,0.454800437073485,0,0.0483636210468325,0.0404793795083378,0.064648944540675,0
mix_45,0,0,0,0.0165828094959516,0.266283479242139,0.474466931474816,0,0.0499375458506186,0.00927745824573348,0.135020696076152,0.0484310796145897
mix_46,0,0,0,0.289461386282117,0.218200780851445,0.238640782936803,0,0.0829312897361581,0.118542973349982,0.0522227868434952,0
mix_47,0.089752528467598,0.064704799455728,0,0.0798592773625223,0.0790116928943003,0.118304962326365,0.117020628686274,0.264226104205582,0.0422618293072545,0.144858177294376,0
mix_48,0,0.0410997120483674,0,0.470283810687929,0.191855383894883,0.0871791347429774,0,0.0443811855417714,0.0559535852891526,0.109247187794919,0
mix_49,0,0,0,0.0908965605990489,0.244841644060505,0.386563261967082,0,0.0257764853677543,0.109531952562559,0.112610185074802,0.0297799103682501
mix_50,0,0,0,0.0854183361199195,0.291107022556377,0.45898498350964,0,0.0436786942004471,0.00687994506167734,0.107050244196341,0.00688077435559821
mix_51,0,0.0511154383334454,0,0.472667733102782,0.127226629086244,0.00505382286062354,0,0.138726376790469,0.0892248269472607,0.115985172879175,0
mix_52,0,0.0279256776733719,0,0.356684690135672,0.175515579194081,0.151564114453697,0,0.0993771700639119,0.0841893113509426,0.104743457128323,0
mix_53,0,0.0719421612995118,0,0.316742700206099,0.176816896853392,0.146767362565254,0,0.0750729242552174,0.0738388433234555,0.138819111497071,0
mix_54,0,0.0131265167987538,0,0.270937697837794,0.256119655421359,0.318246562003339,0,0.0757437428621094,0.0523046701760801,0.0135211549005647,0
mix_55,0,0.0278250957407335,0,0.553761286554846,0.17922800980027,0.0329153082893101,0,0.0898284255033626,0.05557334515668,0.0608685289547973,0
mix_56,0,0,0,0.264039526547097,0.273770109283344,0.336178597157474,0,0.0537813907323308,0.063600667526377,0.00862970875337751,0
mix_57,0,0,0,0.0769736833301866,0.303559144283766,0.490010894634047,0,0.0427153783285563,0.0262167640079869,0.0487890858579838,0.0117350495574732
mix_58,0,0,0,0.0983768995899275,0.291429537676986,0.472304467240336,0,0.0783518304783876,0.0334533396734619,0.0161451441209777,0.00993878121992342
mix_59,0,0.0456634305893777,0,0.279162180606929,0.16647907588777,0.137052646195893,0,0.0901059994726612,0.0946451083533301,0.186891558894039,0
mix_60,0,0.0207547821904443,0,0.394855830713233,0.227940032223976,0.192123703774754,0,0.0801206164266655,0.0696687896878546,0.0145362449830734,0
mix_61,0,0.000308786385097112,0,0.138308413071466,0.265912524977367,0.4081352865339,0,0.0751143097292043,0.0441158181859463,0.0556374989285716,0.0124673621884477
mix_62,0,0,0,0.148437318821289,0.238775738630211,0.358626534564377,0,0.11170527964299,0.103806423171514,0.0363836172570434,0.00226508791257472
mix_63,0,0,0,0.16355941516871,0.288530138386188,0.420025770799144,0,0.0750789460956682,0.0376073969978734,0.0151983325524166,0
mix_64,0.0492548565811974,0.102263564423959,0,0.0850361855214039,0.0819485179682183,0.119178081983946,0.0731041449720504,0.205072863034641,0.0250379720088468,0.259103813505737,0
mix_65,0.00558939712416778,0.0211042114427118,0,0.281991838266568,0.181058241614266,0.200611857589623,0,0.103876377135533,0.107988047176964,0.0977800296501673,0
mix_66,0,0.0188607948700453,0,0.066313380128117,0.218434920237874,0.36182276576582,0,0.0583809958879954,0.0628538621778404,0.188914039438382,0.0244192414939265
mix_67,0,0,0,0,0.286839746566532,0.527332088009015,0,0.0710346556601389,0.0695378392940108,0,0.0452556704703037
mix_68,0,0.0108542644659715,0,0.24480737586927,0.228200564182176,0.294251065025992,0,0.0868621567742297,0.0239183955312532,0.111106178151109,0
