Gene,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8
Mix_38,339.629486842,122.372364691,302.874721157,544.244838387,2163.31958385,189.238353456,178.094826775,493.28930631,77.8393023125,398.42745446
Mix_39,901.338565818,404.071183594,420.780894267,177.9421926,562.845347458,244.203326216,139.074831976,386.680987072,50.6652722525,288.264847056
Mix_40,672.677526684,245.749094749,121.087413855,676.953123404,2901.34613746,135.958623635,139.221348249,379.220193565,64.33680665,489.018085907
Mix_41,570.41128706,213.518819622,193.862755028,721.168637168,3045.20342318,154.911173431,124.025913636,367.031794875,83.6346279,303.962411073
Mix_42,765.047955948,279.611666686,128.566817485,269.142378631,811.251378369,149.449027263,234.467502545,621.166335528,67.434095205,629.008687086
Mix_43,780.216519099,327.896737497,272.154852348,491.778764394,2061.03319506,186.433971157,115.259652786,328.943917912,55.4617751825,390.47330608
Mix_44,398.662531894,157.135807944,291.014552283,638.234203418,2666.1098945,186.258642729,143.844335846,411.230119379,72.4825064875,281.735827432
Mix_45,491.804770877,184.16689524,246.535303427,435.990193545,1692.96511848,180.739354029,188.128900491,508.600734199,66.2545855725,712.023529087
Mix_46,783.623584484,313.693339395,212.135754211,200.490612503,541.119200587,178.554595376,209.014024078,555.362345006,56.8600851075,714.349161892
Mix_47,611.066788208,270.197155628,347.411945066,479.532985441,1971.60608417,211.93287738,129.419413685,358.291408964,61.597088035,384.872585522
Mix_48,725.746734018,275.938551625,154.808180715,470.066992234,1823.83418521,151.181748125,174.205501722,482.199967738,77.7813366975,376.286078585
Mix_49,457.209031709,136.827153254,62.6132116221,771.398001912,3226.12240632,113.276258727,174.51800187,473.579266358,86.19880178,391.198127085
Mix_50,451.22348294,166.411341475,230.085164658,303.771629684,921.345153558,179.11334302,244.51920002,651.852876668,71.193584465,784.984954766
Mix_51,717.853394986,277.403045888,194.669873714,385.174690798,1407.09973264,162.347157972,187.91465231,525.410279606,77.368014325,383.730718859
Mix_52,335.307512365,95.2257303058,169.032625492,590.357558859,2373.21223323,148.953776117,202.783517208,552.5674315,73.99233961,730.465728727
Mix_53,668.272142923,276.738288617,330.425355378,338.668912421,1233.81216945,207.571268919,163.092602833,461.344163495,63.3604121375,495.436505102
Mix_54,384.602605458,163.387256166,340.22114477,826.748840106,3635.89623471,195.440915855,85.2260370758,254.057619635,62.4307935075,197.217275873
Mix_55,344.093401107,100.624004802,153.939708843,773.176514591,3402.22847834,139.744796296,159.158640433,437.558459507,79.410362012,499.74085961
Mix_56,472.27120357,175.470971528,277.035268357,351.026504449,1238.51061134,191.644997863,214.834309141,587.722261885,64.725721345,727.361031675
Mix_57,221.912973256,58.3997762762,190.613040256,880.199009395,3772.92643629,144.569557228,152.107482874,421.980728935,86.1636043325,212.919840083
Mix_58,527.77611253,174.161169553,158.823685337,432.211155182,1563.38551631,148.036668618,231.152032001,626.663525505,82.943500215,518.649137639
Mix_59,411.048475415,143.202348266,143.202348267,890.899365985,3895.24214896,139.435992971,128.95989383,362.975173656,76.48405444,412.927471345
Mix_60,1038.99731018,389.623991332,36.5548585975,280.465103687,929.758708144,123.291155491,205.480271609,534.076423493,62.6181414625,811.054022769
Mix_61,887.364931666,368.772097665,225.150059624,512.818241055,2214.961958,177.245466284,106.422508173,309.602297307,54.0360143075,315.494483542
Mix_62,996.623916802,389.288893403,30.2614206919,653.410730497,2807.53399354,112.16610702,111.631018568,318.650173455,66.350966855,300.970376708
Mix_63,319.895353843,129.949955786,324.741470602,778.997530239,3418.92780907,194.912022184,113.886326754,316.100034555,73.380365175,276.62174024
Mix_64,665.87832696,295.642386994,416.33344713,386.307475686,1522.23350377,234.838826262,121.654560257,357.782289655,52.4853980275,437.631869475
Mix_65,675.709633418,292.262249408,330.264786917,361.829287567,1348.86271328,206.879652903,152.399919365,428.926469881,57.296133365,487.991557604
Mix_66,752.513303909,277.279269398,73.9027293399,497.220451964,1985.74396522,123.857737183,179.849179314,487.581546325,76.992921425,433.674414552
Mix_67,1037.40803931,457.824732268,327.568598181,365.901886923,1496.51199371,211.43613384,90.8093821749,276.798068745,58.320118035,140.566438353
Mix_68,558.486866749,204.508725331,253.875825323,278.63080543,898.398820632,184.137477151,219.96351162,601.252912002,67.6889103225,710.139796129
Mix_69,969.5857154,390.449205973,148.776582512,453.122065352,1895.85507052,152.939615999,129.911540354,368.000245528,63.24076634,427.607622312
Mix_70,523.57874519,195.757147114,204.771604967,332.09003922,1080.68130366,169.040911152,231.589617054,612.920095367,71.6034776675,669.938117238
Mix_71,578.314521579,221.503213145,154.182904759,651.066753576,2725.77968183,147.957740441,147.644859875,407.801569221,66.170762025,575.491643592
Mix_72,479.712602877,194.620663368,371.070153673,210.731946331,516.592237012,222.064412835,218.103410072,607.636942956,79.9202724075,462.583798965
Mix_73,314.237102185,91.216001232,122.774143846,793.818115218,3368.95215068,131.598709755,172.748408019,467.526068025,80.40841815,480.548374233
Mix_74,837.314272095,354.034921387,248.809830431,544.910754302,2328.00333072,179.249336062,96.3706986703,277.358937945,56.8004336975,294.067177227
Mix_75,561.775858753,187.986704945,99.3873543942,754.266301023,3226.69522297,125.398512561,149.103984777,419.090112558,81.71339067,287.068016675
Mix_76,567.524481323,191.804995924,77.0278561006,760.391137797,3240.11427285,119.954392142,154.200592188,421.117808952,77.027856105,408.88349948
Mix_77,526.080261053,225.628218525,344.372611425,521.777347704,2110.76481583,208.858750182,134.211682393,389.846122433,69.49876267,254.551356267
Mix_78,384.118887454,97.9666270913,48.4144750697,641.969153198,2548.75755732,107.430957631,222.795071295,599.584929035,85.89461046,607.266679323
Mix_79,346.939944716,131.04452316,260.804296093,927.267176111,4098.55087831,172.111898921,92.3834240273,280.334020024,68.7835506325,203.781151408
Mix_80,620.827374206,236.918338287,203.696530822,430.336732346,1588.562177,163.677167886,194.986454414,541.574434847,84.0128399525,317.310853077
Mix_81,589.05533354,236.613538773,252.60241492,589.00641541,2484.09914885,175.91812441,131.752704795,371.089683499,61.718153225,441.031047068
Mix_82,719.338610253,253.886081218,9.24294796133,604.548829267,2480.40642371,99.4711214906,175.773338033,471.43572872,74.3369006275,551.037025285
Mix_83,792.314126651,323.707119919,220.457132129,480.350605833,1990.99071812,173.377874482,131.779734349,371.491993765,62.147810665,374.865043663
Mix_84,597.151489306,238.050994086,271.583464211,346.644728588,1230.88855862,187.271007117,190.426023246,516.384132076,63.150356795,553.802778039
Mix_85,621.815276563,212.345516299,69.1744890096,654.063689508,2711.82032613,116.747328424,175.329712427,475.622663822,82.5885534025,367.00178829
Mix_86,479.053508099,186.295180887,268.135838406,655.992143244,2797.38679021,179.145464004,130.362285705,367.902893775,63.6608829525,472.040696417
Mix_87,1179.22204514,514.210448029,259.105853028,392.934835088,1738.58145241,195.800347913,67.3382442883,213.230266558,45.9656711,135.65240517
Mix_88,826.738151291,322.697428991,177.153741886,181.240625425,415.996174574,164.443219154,220.50074748,594.987921084,69.061097975,594.406465194
Mix_89,261.081307466,99.7251547608,374.583113502,656.941841326,2726.63370688,206.593199615,149.342218861,431.240023574,77.8627820375,357.046450923
Mix_90,601.657588399,212.018421315,57.2229649219,883.538795441,3885.71180863,112.245046583,118.682630139,353.072465572,83.6335641075,189.275960898
Mix_91,1193.8131304,485.967509661,88.9638679056,400.593077628,1612.99738462,137.824247374,132.645698545,369.45429706,69.4375371625,180.594746842
Mix_92,643.478802617,254.778367324,202.902731874,665.560233691,2851.48065518,159.806303705,117.831800576,348.583040448,74.93857192,172.109559068
Mix_93,502.663980091,211.969197777,361.929495919,157.153596878,225.076035157,220.807200911,225.320093497,650.947428416,79.725728115,503.980495592
Mix_94,909.568174336,360.624224052,168.582277186,231.079181707,715.870650104,162.668962121,195.629094021,533.067484432,65.059665235,482.969129128
Mix_95,555.548388298,201.621091267,147.818103738,569.70992381,2286.18661808,145.165016247,182.257620238,506.795688988,84.277335915,267.053370377
Mix_96,419.709917119,134.664116777,188.632003054,451.775895814,1620.39282741,159.804685217,229.732309442,630.964191408,85.2239828,535.589280049
Mix_97,687.792687646,293.05220373,287.890932012,564.315881122,2382.2783862,188.128932802,108.134642755,313.055593758,61.0350381125,330.201356668
Mix_98,951.465698182,452.904977293,599.69471535,83.2595991998,118.694994886,301.432264239,101.660992218,315.291541896,43.6729799545,207.581447891
Mix_99,271.183242695,48.5849444795,97.0638082942,468.117224211,1575.20694607,131.978034851,285.908607755,782.385703175,105.656342142,569.228847293
Mix_100,616.014121883,272.752509653,364.496535593,498.973738141,2015.6080667,215.068760173,114.658656875,344.350865566,68.2308785875,168.268632895
