Gene,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell
Mix_18,2252.67339333,34.0353556716,49.6129410551,210.663279857,151.268247421,98.9917207463,37.0081407429,336.182557225,1052.76026612
Mix_19,1946.02623191,33.0758561144,76.8868585163,254.373609894,250.445059962,298.443069554,52.7934902966,86.0162350088,664.55858038
Mix_20,2313.43531609,60.743536974,66.4447649141,233.669654848,194.482407866,178.688559586,46.5705256135,140.889056602,670.55789632
Mix_21,2320.46239282,57.1038899652,81.5372308,260.404313025,175.438777158,172.574770351,51.5921789225,127.485021843,669.73698112
Mix_22,1970.23075697,29.061156682,87.77702078,278.755771575,229.706033229,251.393463588,60.2319088636,96.8705222733,646.06855038
Mix_23,2457.13222694,77.036956806,47.782768591,204.080359289,195.310133639,118.993011097,39.584207055,184.80642959,607.30507148
Mix_24,2152.93433977,11.7356915082,63.5511715624,224.412500972,134.417133293,164.951663989,39.7116833895,318.384964062,1317.00538026
Mix_25,2524.12244277,71.677418994,31.4514990519,164.927394503,212.725673351,209.725781364,31.9261231084,162.127495328,790.05155114
Mix_26,2451.75056561,59.3497567862,42.9664189866,185.235839573,169.873538579,205.099839806,35.6759205956,224.47935224,1021.78479236
Mix_27,2599.76672519,66.08980588,71.3567612869,236.392142509,136.417640062,205.456488645,46.4460918146,118.157011087,895.49343348
Mix_28,2124.45683272,47.5292851618,73.0692151301,248.021097721,209.921009449,187.17850204,50.1078534134,148.465132688,650.8445662
Mix_29,2536.11662269,60.0875741036,40.8406156528,180.868701021,172.066062765,167.122552163,33.401315076,217.514466772,978.04965354
Mix_30,2208.57096867,40.5200876972,32.3977029573,153.45286801,281.120225658,333.951440503,32.6945466225,123.919087989,827.07509144
Mix_31,2362.30956837,59.495203952,52.1887753917,205.932473358,197.426214627,175.309941914,45.1605009203,188.919955907,805.71282742
Mix_32,2219.57371478,36.2358840068,58.4065235735,227.355008354,139.344588688,115.753518373,37.5741410896,296.303843215,1076.50772076
Mix_33,2116.57642097,25.3918309606,61.7313638255,225.844589518,185.702368387,203.1100432,42.9460143117,236.449123582,1004.1583384
Mix_34,2156.99052744,54.999465384,88.0533312626,279.964437878,220.359105942,194.394662114,57.388604715,69.7653317067,460.315722606
Mix_35,2095.48725476,44.863241854,42.5322906832,186.570693257,250.258762289,220.601571163,38.301077684,186.45086622,702.4260782
Mix_36,2288.42204794,53.640725642,47.6209641582,196.122606732,218.628479636,223.088168737,38.5249252968,156.089118517,764.16254168
Mix_37,1989.05584882,30.101135882,51.555915158,202.885057113,276.068798013,328.646582447,40.6604968562,109.123703532,750.82776788
Mix_38,1876.67564017,19.9088984756,70.2365769298,245.493184209,226.657070988,225.2849038,48.2413158516,191.479693992,774.50105794
Mix_39,2403.98227923,71.6283637316,85.8389073689,277.327581939,140.022013446,96.147853516,59.7552898268,146.008915103,537.4271842
Mix_40,2190.42755034,47.0927917976,42.8451343914,181.485232337,282.731816948,313.076614622,38.3553998754,93.514496728,659.12401896
Mix_41,1950.70382524,45.6329029592,55.9863140889,208.688309624,295.226382345,251.803180767,46.6700143951,129.755720693,548.51982684
Mix_42,2564.41424451,54.6244386252,45.3817650102,185.015832732,155.183064258,164.776199129,32.5243182604,238.887868607,1081.42845214
Mix_43,2237.11512744,62.923904936,64.0419860204,228.412878552,234.732159611,239.438007195,47.3029355234,70.5877138625,525.710402346
Mix_44,1803.68770966,26.6070447802,69.5618962496,241.801159673,260.708067817,230.401583408,48.9680048403,145.688030513,579.4262415
Mix_45,2226.98818135,35.2599511116,60.7021908852,215.692324663,203.218643028,289.093685245,41.7742529378,147.106032626,969.76239762
Mix_46,2578.63019802,57.164149741,55.4357823855,205.344977584,140.376502462,190.344456034,39.6942548418,170.27619071,1030.41420536
Mix_47,2084.07849788,50.850362029,77.1860487211,254.295496042,226.94813641,212.750226048,49.5636143529,92.832490832,576.65359004
Mix_48,2266.49602312,57.6158049536,47.1756478233,196.826564189,214.207332022,196.716819805,39.3583291024,182.861590517,756.08397776
Mix_49,1959.67828483,29.6855766518,34.2077991799,169.447484112,295.011941842,299.16054724,32.3507413534,184.228811632,753.38674662
Mix_50,2361.00973685,27.4227140202,57.5469909597,215.514406333,152.8367074,229.889846176,40.0580437859,233.6008972,1206.13065258
Mix_51,2302.62818367,52.9687398308,53.2151777089,209.363090002,194.304067513,151.809578944,40.5047244657,214.118570793,797.01857984
Mix_52,2066.74141982,21.1406684618,48.6645304508,194.197438722,235.143575534,320.262582777,37.8306698759,169.867125535,1035.0026212
Mix_53,2276.00918642,51.0752635148,72.6519149157,246.025417085,176.216108043,187.824122479,48.1029083075,134.781945403,766.32241974
Mix_54,1649.19745399,31.7596652082,76.5682930338,254.376135714,321.865424323,303.296265255,57.5120037115,49.5177575813,317.852778402
Mix_55,1896.83758307,15.769433589,46.359763409,193.588570441,304.124790662,335.288195152,40.3451742465,129.15917033,753.77892556
Mix_56,2305.70463266,29.1954317568,62.6237662321,227.779453434,174.782400011,246.508598364,42.6914332331,187.291449013,1092.3498334
Mix_57,1558.29750594,13.3266374716,51.8795596671,211.617812269,325.315475093,284.914318347,45.7450408505,168.497715173,572.12633284
Mix_58,2221.6749517,39.7160117802,52.0029936055,192.445065236,183.040765698,191.314934812,46.6729185054,253.472107705,1012.2739588
Mix_59,1855.80563981,28.0009419646,46.6136538784,196.041162834,336.356994212,356.234206112,40.3515257935,92.8179372498,591.75324028
Mix_60,2899.03220586,82.165603606,26.7840337737,148.384012118,167.644336397,235.453046957,27.1074205456,143.127180477,1055.96053162
Mix_61,2304.0956503,69.166098316,53.5869615549,214.05845668,247.617665558,219.556858138,47.1587034006,70.1520185737,477.79212646
Mix_62,2364.9636514,81.05577573,27.9372492019,153.95217581,293.722579632,255.24200765,32.8494344521,78.7544133618,464.636094922
Mix_63,1673.60600115,23.2682467014,71.9619121853,252.001515893,305.084427318,289.963624828,54.9200485214,84.8543859335,446.366090326
Mix_64,2179.2004873,53.7531612738,87.8626647953,275.256754082,201.827907383,208.251241116,58.4554103553,84.6865842563,581.54835234
Mix_65,2268.92688123,54.411838216,73.6459429928,246.90605863,185.725221412,201.380967608,49.1109714509,122.907351843,725.75102258
Mix_66,2305.2204437,56.943336174,33.3443028131,166.199958002,229.721736977,212.123354943,33.0255351274,179.44064546,776.8428643
Mix_67,2361.70505509,86.32321925,72.6236458187,250.784378004,211.085771361,128.44592797,53.5763763827,81.8527972367,299.014564696
Mix_68,2389.50335769,32.775682896,61.3405637774,219.793865229,154.378216551,215.450917608,40.8076684319,205.272134097,1092.38704612
Mix_69,2483.26838361,77.346672872,45.4476015767,188.421754446,231.382600457,224.951336093,39.5230428733,95.6114636877,599.22233924
Mix_70,2344.57853631,42.777699968,53.2456852235,210.651489968,166.562596133,221.263965344,40.5650603144,228.229682762,1097.46926798
Mix_71,2169.99865314,43.9701480452,47.0103956465,189.675148451,273.448339014,327.189631077,39.5025929055,96.7055870567,751.63088382
Mix_72,2172.51584972,29.9947689074,79.6606223989,265.282681993,127.444878847,117.578178553,50.8583551725,259.823107848,958.64860092
Mix_73,1847.76815679,16.8079532132,45.8150511575,183.988294441,300.537270382,322.498279288,36.6907620635,151.9978485,799.93406968
Mix_74,2201.12590267,68.751751726,61.4791624488,220.58557527,252.751372298,239.307899138,48.9109513665,57.0115877442,399.5034222
Mix_75,1982.17711104,37.4596217892,39.8177610395,183.564388492,303.441299043,259.524177062,39.8133680865,161.590525365,603.94458856
Mix_76,2048.15218099,40.9527410486,36.0420722491,170.346661086,299.499114497,305.696758068,33.9809407911,127.172427003,671.2772413
Mix_77,1926.8219832,39.4519922096,77.7124519213,254.301660128,230.483421508,194.762999573,53.2685127085,145.101209083,548.832145
Mix_78,2076.63967724,21.9950878864,30.5775631974,161.449001446,251.236995283,285.177691238,30.4070023754,230.063562965,1039.98843152
Mix_79,1599.81051389,25.8531276472,62.7915171749,234.654687636,354.195754898,338.383444383,53.2587366909,67.7952812093,365.975926258
Mix_80,2192.2985544,44.4661114904,59.3822995237,216.325076856,195.923479735,149.285173155,41.4691792067,238.941461178,794.00119778
Mix_81,2085.29869153,45.838416192,62.8985785963,220.657404386,253.748375284,273.284271713,45.6002945441,91.6768323615,621.04505578
Mix_82,2315.79766792,54.749717294,25.2136855909,142.64294158,257.229275176,284.630354952,30.0351113611,142.380730283,833.98922798
Mix_83,2253.32245923,62.642355578,57.4713245645,211.77512141,232.985603205,216.171076175,44.8986835645,104.074229355,577.4965792
Mix_84,2272.76287607,45.7341531384,63.7684489278,228.966205905,176.303978563,198.092698161,43.1879952029,180.66172248,880.11655156
Mix_85,2143.72530496,46.081256548,36.1030753093,171.244121569,268.807329911,246.538229513,32.0407242505,179.029539345,724.46468644
Mix_86,1955.30759699,35.8781334436,65.2911616616,226.898788833,269.782786626,306.332368165,48.8556246984,83.1075407425,631.82001092
Mix_87,2455.01575827,102.822571274,62.9312104537,228.481590618,233.439246855,161.026236342,48.3344868103,34.9378137023,212.671741964
Mix_88,2598.12660861,62.1756034424,50.3880186991,199.528163281,133.105817705,143.207291741,37.0324910767,224.843694127,1024.16577538
Mix_89,1727.57170778,13.1875702892,81.5916302893,265.575218685,265.972716423,250.891186538,55.7347022861,148.710899003,666.95435278
Mix_90,1909.04614488,44.2377536448,32.5499051484,168.330888476,345.538672791,296.202206305,34.3137709244,115.179557588,450.74089299
Mix_91,2593.85872673,100.58441596,34.6510906661,175.298824934,223.838425647,140.970582962,36.1605131698,143.256592425,459.48790022
Mix_92,1959.36575095,51.0578914648,54.9556252384,214.22337546,281.418933828,217.59656949,43.4891131257,125.855913648,430.082238896
Mix_93,2238.77437461,30.3717059444,82.4232151597,262.715256467,108.35738842,101.555391765,48.6637561195,284.418371335,1060.35218388
Mix_94,2585.52838173,71.361041614,47.9817723055,197.743192142,154.329163977,135.029493885,35.2639008824,204.8629291,864.51610504
Mix_95,2034.25733171,40.6885093162,46.3696800332,198.6787404,245.54618655,185.227993503,39.3587195637,223.75877884,720.7918985
Mix_96,2154.68429109,24.1869606704,53.5028115525,209.561903188,197.395394593,210.467453665,39.3555947689,260.856955052,1042.66832624
Mix_97,2084.48158527,55.74173393,67.2418305421,234.153691971,253.622488796,239.098910407,50.3469501928,74.418335571,474.74096907
Mix_98,2422.82595953,73.758810571,115.609954717,334.664427811,122.796557817,66.3182288127,69.2591702247,93.2768584098,396.291855126
Mix_99,2088.85558679,10.1837438216,39.0600174177,185.344137529,191.581680635,191.157357959,32.2870968863,357.067517733,1284.17009586
Mix_100,1978.04566107,51.506618122,80.1922079095,262.697432784,229.146309054,173.056764733,55.3122501775,132.699653588,418.82473146
