Chondrocyte.articular,B.cell.naive,B.cell.memory,Monocyte.CD14,NK.cell.CD56,Endothelial.large.blood.vessel,Endothelial.microvascular.mammary.or.endometrial,Endothelial.microvascular.non.reproductive,Epithelial.cell.mammary,Epithelial.renal.cortical,Epithelial.respiratory,Fibroblast.cardiac.ventricle,Fibroblast.of.arm,Fibroblast.of.lung,Fibroblast.of.the.aortic.adventitia,Fibroblast.or.papilla.dermal.cell,Hair.follicular.keratinocyte,Macrophage,Mature.neutrophil,Melanocyte.of.skin,Myometrial.cell,Osteoblast,MSC.like.pluripotent.cell,Myocyte.regular.cardiac,Smooth.muscle.cell.aortic,Smooth.muscle.cell.bronchial,Smooth.muscle.cell.of.bladder,Smooth.muscle.cell.coronary.artery,Smooth.muscle.cell.pulmonary.artery,Smooth.muscle.cell.of.trachea,Smooth.muscle.cell.uterine,T.Cell.CD4,T.cell.CD4.memory,T.cell.CD8.memory
mix_33,0,0,0,0,0,0,0,0,0,0,0,0,0.213960779935712,0,0.021497505236886,0,0.16659974592025,0.0637930224880412,0.0953699690543592,0,0,0,0,0.0464718414046963,0,0,0,0,0,0.157325343318539,0,0,0.234981792641524,0
mix_34,0,0,0,0,0,0,0,0,0,0,0,0,0.219014816569154,0,0.0362447775685074,0,0.165839262081103,0.0942239819846613,0.0867431354433128,0,0,0,0,0.0363769687856764,0,0,0,0,0,0.150604077110716,0,0,0.210952980456862,0
mix_35,0,0,0,0,0,0,0,0,0,0,0,0,0.214609058354032,0,0.019213240943132,0,0.162634183352024,0.0597448544447649,0.0970990643309716,0,0,0,0,0.0480754959678218,0,0,0,0,0,0.160519608321442,0,0,0.238104494285813,0
mix_36,0,0,0,0,0,0,0,0,0,0,0,0,0.215266402121633,0,0.0251792829148892,0,0.162484842124493,0.0710766843046338,0.0964236824371458,0,0,0,0,0.0445108500085532,0,0,0,0,0,0.15701455812166,0,0,0.22804369796699,0
mix_37,0,0,0,0,0,0,0,0,0,0,0,0,0.227568638638684,0,0.0352763655854943,0,0.162913593838561,0.0828095140688323,0.0765425923106821,0,0,0,0,0.0351204136130423,0,0,0,0,0,0.152908952561497,0,0,0.226859929383202,0
mix_38,0,0,0,0,0,0,0,0,0,0,0,0,0.224102036927665,0,0.0320103191638723,0,0.163175750038461,0.0841031193622946,0.0819572088719092,0,0,0,0,0.0381014950097479,0,0,0,0,0,0.153544955100589,0,0,0.223005115525452,0
mix_39,0,0,0,0,0,0,0,0,0,0,0,0,0.212095500033729,0,0.0207236811410163,0,0.163248051921943,0.0474976102509822,0.0945417133378129,0,0,0,0,0.047969131820657,0,0,0,0,0,0.162576591811273,0,0,0.251347719682579,0
mix_40,0,0,0,0,0,0,0,0,0,0,0,0,0.213795540180678,0,0.0220340397840579,0,0.162418375229985,0.0719951016129475,0.0976292543637459,0,0,0,0,0.0467201265860864,0,0,0,0,0,0.158406375958366,0,0,0.227001186284132,0
mix_41,0,0,0,0,0,0,0,0,0,0,0,0,0.220902945860887,0,0.0309164687828567,0,0.164942624516942,0.0885389104380365,0.0856991695117484,0,0,0,0,0.0392513927061826,0,0,0,0,0,0.153128713252286,0,0,0.216619774931067,0
mix_42,0,0,0,0,0,0,0,0,0,0,0,0,0.197468190222066,0,0.0128231041011211,0,0.164844035687881,0.031502649820233,0.110481422051743,0,0,0,0,0.0546657493483377,0,0,0,0,0,0.169312151251891,0,0,0.258902697516721,0
