naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell
average.Mix_37	0	0	0	0	0.000614386529574128	0	0	0.000216818656546232	0.000387390875849175
average.Mix_38	0	0	0	0	0.000351796370039177	0	0	0.000475175466749472	0.000490998980563554
average.Mix_39	0.00102746197616497	0.000586979519848891	0	0	0	0	0	0	0
average.Mix_40	0.000145173476083176	0	0	0	0.000581723646579446	0	0	3.8171173072755e-05	3.74393506739834e-05
average.Mix_41	0	0	0	0	0.00109219183643714	4.7529485444442e-05	0	0.000289945424059654	7.31074719441299e-05
average.Mix_42	0	0	0	0	0	0	0	8.64747849256946e-05	0.000178161250445128
average.Mix_43	0.000822008872905952	0.000453319700567686	0	0	0.000413909566910587	0	0	0	0
average.Mix_44	0	0	0	0	0.000969851179936998	4.82944326576117e-05	0	0.000523299059425845	0.000341748979569801
average.Mix_45	0	0	0	0	0	0	0	9.59618073520707e-05	0.000327236901356432
average.Mix_46	0	0	0	0	0	0	0	0	5.71221856059571e-06
average.Mix_47	0	0	0	0	0.000488587497153523	0	0	0	0
average.Mix_48	0.000169461131884396	0	0	0	0	0	0	0.000159498367604632	0
average.Mix_49	0	0	0	0	0.000697921057808989	0.000300407809942062	0	0.000493756767079458	0.000717376861201324
average.Mix_50	0	0	0	0	0	0	0	0.000166420459517991	0.000488155905576204
average.Mix_51	0	0	0	0	0	0	0	0.000140999072722555	0
average.Mix_52	0	0	0	0	2.42990282152272e-05	0	0	0.000328068894870805	0.000858949193127758
average.Mix_53	0	0	0	0	0	0	0	2.78961416665956e-05	0
average.Mix_54	0	0	0.00185790388877221	0.00402120112964681	0.00212742313171946	0.00066723215920536	0.00159247464554606	0.000315646602805749	0
average.Mix_55	0	0	0	0	0.000849620092736616	0.000154833103280081	0	0.000371415687673071	0.000686807928634243
average.Mix_56	0	0	0	0	0	0	0	0.000117123814595834	0.000353418402969175
average.Mix_57	0	0	0	0	0.00172390818983617	0.00145509484674811	0	0.000991862519385047	0.00118971445793069
average.Mix_58	0	0	0	0	0	0	0	0.000407188788632534	0.000656756716298066
average.Mix_59	0	0	0	0	0.0013467569811382	0.000537629114256727	0	0.000334221014814294	0.000476634226197119
average.Mix_60	0.000858797842502973	0.000279101618037863	-0.00147747399727472	0	0	0	-0.000726977062285608	0	0
average.Mix_61	0.00144770406968817	0.00100475964891232	0	0	0.000458010219412836	0	0	0	0
average.Mix_62	0.00219339897042532	0.00166402209593458	-2.72968363079023e-05	0	0.000628559498737421	0	0	0	0
average.Mix_63	0	0	0.000413495820955744	0.00223127384591261	0.0016829335631842	0.000488474201803034	0.000514706203170977	0.000421296053916118	0.000116206630142335
average.Mix_64	0	0	0.000285792438414084	0.000706752974848902	0.000252542181096848	0	0	0	0
average.Mix_65	0	0	0	0	0	0	0	0	0
average.Mix_66	0.000339738522829807	0	0	0	0	0	0	0.000106747920978464	2.70725796546433e-05
average.Mix_67	0.00249887611059249	0.00200333373533444	0	0	0.000378647952230596	0	0	0	0
average.Mix_68	0	0	0	0	0	0	0	0.00011549316979871	0.000302430506242068
