B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
mix_53	0.70719133052792	0.29280866947208	7.96926604728615e-55	0	0	1.15635113981453e-67	2.30156806979464e-45
mix_54	1	1.80167032455392e-144	1.65490409646381e-133	0	0	2.77984252469368e-74	1.32983660683248e-61
mix_55	6.68365920321043e-05	0.999933163407968	1.69635684359811e-53	0	0	3.38269564301412e-62	1.02204069035822e-40
mix_56	0.9999999708484	3.165069797699e-21	9.12372146018249e-48	0	0	6.05170524421421e-09	2.30998953320704e-08
mix_57	5.00128836181843e-62	1	8.46099524462883e-53	0	0	3.06869801658675e-46	1.01680432502263e-33
mix_58	1	4.81010766745808e-38	4.00215060052302e-60	0	0	2.94680882253884e-26	1.1909429375741e-17
mix_59	6.80126928534816e-73	1	8.4249832683014e-62	0	0	4.43018332286454e-67	2.64927259841428e-39
mix_60	1	3.39647114300411e-60	6.2550164548262e-92	0	0	3.08570226822983e-75	1.26795618292393e-58
mix_61	1	1.23729474647037e-128	1.56406158837755e-113	0	0	1.69517166862059e-33	1.2935823291758e-54
mix_62	1	3.27174734080314e-96	7.37093678491481e-91	0	0	9.34756864562617e-29	3.5847256128649e-41
mix_63	9.43085070720791e-65	1	1.97654939543658e-59	0	0	6.99347723935523e-59	2.3661068335253e-41
mix_64	0.00566235228346663	0.994337647716533	2.23019878321466e-53	0	0	4.98291921798786e-53	5.855355177783e-40
mix_65	0.999999999999998	2.63253369243942e-25	6.28183019167779e-48	0	0	3.05360484377565e-27	1.61782620217567e-15
mix_66	2.33735575374399e-10	0.999999999766264	9.37816634930461e-60	0	0	1.97077093197433e-82	3.17722633100538e-54
mix_67	1	5.33117380263434e-137	3.10606229140353e-126	0	0	2.06979906471862e-72	1.61153686097067e-71
mix_68	5.61165683013189e-25	2.74261491954774e-63	4.36755803333205e-66	0	0	2.1353025346502e-13	0.999999999999787
mix_69	9.3084584021756e-12	0.999999999990692	1.64329466019504e-55	0	0	1.68061321975235e-58	2.98404814106884e-42
mix_70	1	7.61768120496501e-84	3.68193462050809e-114	0	0	4.74041738769442e-126	1.25042873149407e-98
mix_71	1.05521912703267e-10	0.999999999894478	1.97639274420916e-70	0	0	1.83829794272711e-99	1.21518631672236e-71
mix_72	1	2.00902835074569e-174	1.90787105782454e-173	0	0	1.80256895144934e-135	6.53927383686573e-137
mix_73	1	1.4041662727289e-90	2.42028377818317e-109	0	0	4.88207421616092e-97	9.44975618118786e-78
mix_74	1	6.82660303385964e-42	1.89571425859773e-75	0	0	8.88656225859527e-61	1.73538803221495e-54
mix_75	1.30879613388613e-24	1	5.93394350752645e-66	0	0	4.53785682249299e-91	4.26837800643604e-67
mix_76	2.811371001828e-17	4.03734606717795e-33	2.30170039045664e-49	0	0	1.12158116247486e-09	0.999999998878419
mix_77	1.06197868093964e-20	1.76479479083483e-90	1.58536874135861e-79	0	0	0.999999998413601	1.58639867123466e-09
mix_78	1.82161174324538e-18	1	2.28952217417587e-54	0	0	2.23176250414892e-61	5.47860057347306e-37
mix_79	9.39761944316667e-72	1	5.22922913279946e-66	0	0	1.33875704700191e-73	2.36633018892063e-52
