Gene,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated,Plasma cells,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,Dendritic cells resting,Dendritic cells activated,Eosinophils
mix_17,1894.15274194,391.3325,126.412307692,178.553809524,407.532608696,234.044204545,499.5305,897.845625,60.6958333333,948.9525,18.3020833333,190.047068966,158.0209375,24.4310714286,26.485,1676.14942308,901.803809524,1099.63384615,303.42,376.105789474,140.485666667,211.62962963
mix_18,355.13,187.7575,2154.46730769,121.301428571,272.70673913,757.779659091,171.08925,476.81375,37.1775,321.036875,192.6425,196.834310345,1277.2359375,49.3728571429,309.869375,195.269038462,303.466666667,293.967692308,203.980416667,298.372368421,120.171,329.456666667
mix_19,821.140806452,241.405416667,1390.595,213.943571429,580.571521739,550.318977273,306.11475,662.0471875,50.2308333333,616.133125,114.80625,181.874655172,844.2596875,35.3267857143,194.03375,706.975192308,566.859047619,588.676538462,339.974166667,287.326315789,115.497333333,281.630555556
mix_20,683.692580645,103.579583333,168.379230769,425.108095238,1176.91456522,220.265454545,647.50625,1139.751875,89.8766666667,1435.0575,20.2525,157.074655172,148.8925,25.1146428571,33.14375,501.400192308,1236.53309524,1185.705,682.262916667,108.400526316,70.8076666667,203.383888889
mix_21,1009.99903226,243.567083333,871.086538462,218.560238095,542.25826087,403.705,439.232,856.415625,55.1291666667,906.515625,68.6691666667,177.377931034,545.961875,28.9567857143,109.4275,878.4525,815.252857143,826.707115385,355.607083333,246.055,106.762666667,240.177592593
mix_22,950.290806452,258.8525,1267.4,366.631428571,1085.52826087,505.172272727,271.05,624.3296875,56.6666666667,530.73,102.73,173.739310345,759.5675,37.3975,168.75375,823.087692308,519.451190476,623.768846154,550.272916667,290.407631579,111.825,267.323518519
mix_23,1002.51564516,285.8675,1340.07807692,138.08452381,284.411956522,543.958409091,310.746,687.0471875,41.7991666667,467.119375,113.389583333,189.734137931,828.07125,35.9982142857,192.559375,869.749230769,555.351190476,664.241730769,236.635,319.929473684,126.364666667,280.764074074
mix_24,265.087580645,169.001666667,2361.20730769,213.518095238,570.46173913,786.080681818,134.94675,440.7053125,42.79,243.04,197.396666667,193.958793103,1394.683125,51.8796428571,319.845625,98.795,258.739047619,256.182692308,328.346666667,287.427894737,117.978,330.781481481
mix_25,440.531774194,137.494583333,1445.89884615,136.500714286,244.992826087,566.063295455,412.3725,834.1196875,51.4141666667,692.67625,123.792083333,179.854310345,888.0696875,33.2917857143,200.580625,247.471538462,736.923809524,687.575961538,240.7175,209.442368421,102.821,283.319259259
mix_26,546.991612903,69.3379166667,203.807307692,722.147380952,2257.18565217,232.926477273,589.9155,1130.453125,113.0925,892.350625,26.49,140.726896552,182.411875,29.7739285714,50.884375,286.950576923,1182.95809524,1176.39653846,1057.95458333,74.8955263158,68.476,217.117777778
mix_27,928.493548387,307.74375,1832.55653846,287.875,852.11173913,669.040113636,112.367,414.653125,42.4616666667,162.77375,154.589166667,188.384137931,1102.58625,46.2939285714,251.715625,869.225961538,231.972380952,375.141923077,437.00125,368.26,129.606333333,302.287592593
mix_28,923.058548387,157.212916667,192.200769231,401.052619048,1148.05108696,238.374659091,612.555,1090.5065625,88.2883333333,1121.54625,25.4966666667,162.133275862,180.178125,22.7392857143,41.050625,769.565769231,1177.0097619,1178.06519231,614.694166667,155.998157895,89.833,215.387222222
mix_29,617.121290323,177.219583333,1366.62653846,310.322142857,878.829130435,532.665,343.26125,733.7503125,59.7483333333,552.603125,115.08375,171.727413793,833.1340625,38.4010714286,188.840625,440.518653846,633.566666667,653.119615385,495.392916667,233.023684211,101.509,268.170185185
mix_30,721.755322581,206.706666667,1311.66423077,264.792619048,696.344565217,530.650454545,338.764,723.70375,53.7425,594.73,108.6625,175.487758621,794.83375,34.7589285714,179.29375,592.253461538,625.376904762,661.320769231,409.932916667,251.802105263,107.079,276.605
mix_31,589.919193548,181.068333333,1424.52807692,208.884285714,470.25673913,564.685,356.8145,796.4565625,59.415,478.926875,119.34875,181.359827586,886.056875,34.1678571429,198.211875,393.647115385,667.954761905,676.956730769,321.16875,243.778157895,105.192666667,282.478888889
mix_32,749.467741935,190.14625,1073.86384615,285.366666667,775.128478261,467.9225,409.669,853.378125,58.815,680.950625,91.0729166667,172.106896552,683.6246875,32.1675,148.6275,594.344423077,760.15047619,776.463076923,450.512083333,231.492631579,102.607,263.352222222
mix_33,733.813709677,224.970416667,1484.32461538,228.059761905,602.073043478,588.704318182,293.7625,676.3178125,54.9233333333,376.87,128.99875,180.744137931,932.1159375,35.29,211.04125,617.524038462,550.465714286,608.169038462,354.222083333,285.850263158,115.569,290.292592593
mix_34,319.844032258,152.071666667,1952.12,244.510714286,659.159782609,688.942613636,233.76025,584.560625,47.3575,382.7725,166.81,183.356206897,1162.7984375,45.3646428571,279.296875,138.143653846,429.909285714,416.019807692,370.849583333,252.942368421,108.609,306.484444444
mix_35,536.877096774,177.407916667,1609.47461538,260.181666667,731.220434783,585.361704545,302.1645,659.76125,52.0308333333,666.673125,131.829583333,174.719655172,952.25875,37.8582142857,215.73125,383.093076923,569.480238095,553.003269231,418.342916667,244.743157895,100.865666667,277.176851852
mix_36,1162.11354839,273.707916667,788.289230769,228.027619048,541.797173913,404.010681818,429.91025,904.820625,62.3591666667,460.43875,71.0233333333,180.475862069,536.7459375,28.8714285714,114.259375,1007.99153846,788.670714286,903.591730769,363.15625,282.849736842,121.419333333,258.463333333
mix_37,1083.84322581,274.1325,957.045384615,171.312619048,376.392826087,433.886818182,424.128,880.628125,57.5033333333,521.53,78.9629166667,180.419310345,595.823125,28.1478571429,137.408125,957.538846154,767.915714286,850.475961538,256.530833333,274.099473684,120.291333333,262.683518519
mix_38,693.92016129,118.547083333,403.319230769,515.982619048,1478.02130435,293.689772727,573.322,1147.6215625,93.985,734.11,37.6829166667,151.780862069,288.75875,28.4714285714,57.63875,480.451730769,1110.82214286,1132.30057692,768.517083333,121.149473684,83.3303333333,237.061851852
mix_39,1265.96935484,267.784583333,488.344230769,504.299761905,1584.18434783,314.655909091,396.16275,801.2290625,65.08,791.090625,40.7954166667,165.269482759,337.0153125,29.91,81.580625,1100.46596154,789.999047619,904.548269231,748.694166667,264.986578947,107.204333333,231.453333333
mix_40,756.696935484,229.66125,1491.74923077,174.39452381,395.863478261,575.089431818,317.6165,709.7871875,51.2891666667,337.574375,126.50125,184.493793103,926.9175,35.9532142857,206.4925,636.626153846,570.866666667,639.446923077,289.77625,285.906315789,118.099333333,294.456296296
mix_41,407.887258065,160.262916667,1769.59884615,297.254047619,849.050217391,638.100227273,253.112,608.59625,50.7166666667,517.625,149.272083333,178.841034483,1066.0009375,43.1382142857,244.5125,259.945769231,474.62952381,459.339230769,457.867916667,247.864473684,102.731333333,293.549814815
mix_42,1350.06306452,270.810833333,257.201153846,321.828095238,823.275434783,260.145340909,530.40725,994.7521875,73.2225,906.888125,29.94125,176.723965517,209.39125,26.555,48.13375,1173.09230769,986.490238095,1103.59423077,506.50875,251.129473684,113.687,218.612777778
mix_43,394.929354839,98.9425,950.686923077,498.803333333,1462.18,421.724545455,443.90775,909.1521875,86.53,849.996875,79.5616666667,153.980689655,608.7834375,31.6189285714,132.7475,200.876346154,878.304761905,829.204230769,742.95875,134.790526316,76.4796666667,244.991481481
mix_44,544.789193548,120.71,831.658846154,427.93452381,1184.415,397.431363636,476.8465,990.77875,81.7975,598.31875,77.38,159.722931034,550.99125,30.8067857143,133.63625,314.877692308,948.739047619,921.503846154,674.1675,157.384736842,88.6616666667,256.375
mix_45,364.192419355,114.745416667,1342.99461538,140.44547619,241.778043478,536.2525,466.61175,915.3703125,57.27,720.99875,113.5825,176.427758621,823.243125,32.0132142857,183.823125,159.287115385,822.97452381,758.068653846,243.670833333,179.943421053,94.3876666667,275.904444444
mix_46,799.917258065,160.05625,545.176923077,407.878809524,1201.72565217,319.098295455,497.442,937.55875,76.0641666667,1159.90125,52.5929166667,161.27862069,360.0690625,29.3014285714,91.069375,669.240769231,982.431904762,954.441730769,639.090833333,171.473421053,84.6873333333,219.612037037
mix_47,777.628387097,232.094166667,1454.78,152.080714286,323.830434783,574.997386364,322.81525,698.4175,45.5258333333,496.3275,121.528333333,186.152068966,910.940625,34.8485714286,202.81375,653.231153846,571.084047619,628.866538462,243.504583333,282.078947368,115.303333333,286.952962963
mix_48,867.100483871,302.63,1879.15653846,311.711904762,928.161521739,698.413636364,89.38725,393.1453125,43.88,102.035,163.611666667,187.966034483,1142.8828125,50.6685714286,278.71,821.665192308,190.006904762,341.248076923,454.734166667,372.389736842,128.672,308.935185185
mix_49,820.28016129,252.23875,1527.16769231,315.194285714,891.697173913,592.634545455,215.5335,559.159375,54.6283333333,424.034375,126.77875,180.873448276,937.533125,43.005,210.683125,709.606538462,424.934761905,498.958269231,483.787083333,319.143421053,115.732,286.522777778
mix_50,1085.01532258,229.427916667,571.05,162.342857143,308.91826087,347.96375,545.5965,1028.8403125,62.7408333333,834.655,51.1529166667,177.627758621,385.0725,23.3517857143,79.461875,938.122307692,995.588809524,1012.76807692,273.435833333,228.795526316,111.138333333,240.168703704
mix_51,856.250322581,284.021666667,1783.17615385,307.808333333,888.300652174,634.697045455,158.57825,485.6790625,49.6783333333,178.628125,145.984583333,185.430689655,1050.211875,44.5617857143,242.575625,759.969038462,324.456904762,437.008461538,473.364166667,342.468421053,124.499666667,301.003888889
mix_52,1450.87516129,300.988333333,323.471923077,421.023333333,1238.17847826,282.725340909,444.60225,875.9678125,72.7475,621.759375,34.8304166667,173.613275862,256.7309375,28.035,63.979375,1281.80038462,850.586666667,1037.92942308,652.683333333,283.594210526,119.590666667,230.309444444
mix_53,844.905322581,270.405833333,1643.97692308,265.132857143,759.459565217,610.931136364,204.82575,547.8715625,49.8558333333,306.020625,135.939166667,186.551551724,973.8365625,43.3446428571,237.68125,737.207115385,397.930952381,478.372307692,410.1325,337.118947368,121.312333333,292.992777778
mix_54,1308.38080645,265.645,325.686538462,256.633333333,647.251521739,274.092386364,516.98125,942.0375,61.9175,1261.01625,29.7154166667,175.307758621,253.5028125,24.7246428571,48.9775,1165.2175,973.553333333,1034.58,419.0425,247.821315789,107.026666667,211.716666667
mix_55,811.298548387,253.050416667,1586.81269231,251.654047619,699.055652174,604.976022727,231.906,592.266875,50.0458333333,354.781875,131.727083333,185.265689655,966.8653125,39.5571428571,220.004375,692.857692308,436.168571429,507.075384615,398.885416667,320.507368421,119.209666667,293.499444444
mix_56,679.318709677,166.6775,1079.75115385,131.453095238,208.315217391,461.916022727,491.9,950.6578125,60.38,769.703125,89.2241666667,176.665517241,664.185625,27.8135714286,145.893125,509.558269231,893.593809524,856.926153846,233.90625,209.965,103.550333333,263.623148148
mix_57,337.255483871,124.69125,1564.05538462,306.827142857,838.574782609,589.703977273,342.67875,760.6828125,62.7083333333,457.36,132.261666667,171.517931034,970.5509375,39.2375,219.070625,142.694423077,638.450952381,610.9975,475.489166667,205.298684211,98.1646666667,291.565555556
mix_58,789.085645161,182.290416667,933.928846154,410.825714286,1124.94521739,411.715113636,411.58625,852.1628125,71.9783333333,691.314375,77.9204166667,162.35137931,556.789375,29.265,128.87,626.960576923,801.126904762,836.568846154,604.404583333,209.261315789,95.0433333333,256.42962963
mix_59,329.544193548,136.949166667,1693.16576923,290.661428571,823.22826087,623.977613636,282.09975,643.55375,50.3908333333,651.1925,146.875416667,176.437931034,1028.54875,40.9014285714,241.744375,156.764230769,543.654047619,483.305961538,456.079583333,228.837105263,97.231,289.492777778
mix_60,1085.72612903,290.96625,1200.06,109.677380952,211.757173913,500.920568182,355.8295,709.3890625,43.8225,712.86875,96.4583333333,190.901896552,732.1925,32.3707142857,157.465,975.295769231,625.617142857,703.704230769,196.850416667,309.966842105,125.220333333,261.496481481
mix_61,1125.1533871,205.61625,205.767692308,214.063333333,415.549130435,258.471818182,646.0255,1186.8984375,79.9183333333,831.850625,24.23125,172.306896552,199.6434375,23.1682142857,36.986875,949.817884615,1185.41738095,1208.00673077,340.079583333,189.968947368,110.73,234.852407407
mix_62,977.865483871,190.174583333,387.137307692,410.169047619,1138.99282609,300.954545455,538.42875,1067.3190625,85.0083333333,625.928125,41.92375,165.381896552,303.370625,26.9978571429,74.029375,812.605384615,1039.59,1091.01134615,605.523333333,192.925263158,102.074333333,241.267592593
mix_63,381.052096774,143.859166667,1676.30961538,227.312142857,578.242608696,624.25125,318.3725,712.32375,54.7333333333,519.8625,142.3575,179.258103448,1015.888125,39.5271428571,234.298125,199.149423077,582.400714286,547.707307692,347.151666667,224.412631579,103.59,294.44537037
mix_64,799.399516129,251.066666667,1581.01307692,95.620952381,153.708478261,604.29875,302.99725,672.17875,42.2416666667,388.888125,134.016666667,191.045172414,967.6015625,36.6953571429,219.813125,685.160769231,535.554761905,588.336923077,174.766666667,302.630263158,123.183333333,298.818888889
mix_65,719.663548387,177.199166667,1011.15384615,555.040238095,1680.77869565,437.146818182,334.38325,768.9775,74.76,512.2925,88.8970833333,153.495172414,650.825,35.0189285714,149.284375,547.675192308,676.501428571,754.966153846,813.859583333,217.949473684,93.7866666667,258.568703704
mix_66,828.43483871,275.401666667,1771.21461538,314.387380952,912.537826087,638.035568182,158.42725,475.434375,46.3966666667,255.238125,146.206666667,183.444482759,1065.548125,44.0207142857,244.833125,754.167884615,318.966904762,437.350769231,474.510416667,336.303157895,124.483333333,298.824074074
mix_67,1279.67,256.73625,323.553846154,473.301904762,1390.59652174,268.806818182,467.329,923.299375,77.6916666667,752.479375,32.2883333333,163.409482759,251.0859375,28.5564285714,55.1275,1124.48230769,927.243809524,1055.46365385,723.269583333,249.295,102.980333333,223.590185185
mix_68,594.263709677,108.3475,556.624230769,570.969285714,1755.44391304,316.116818182,491.51725,963.5796875,82.6375,1070.823125,52.0375,151.24637931,376.3715625,32.3539285714,78.296875,395.072884615,1004.84642857,947.832884615,861.030833333,128.402631579,76.093,220.937777778
mix_69,762.136612903,242.449583333,1619.41230769,118.053571429,239.145,616.995568182,282.90125,646.18125,43.3491666667,412.55125,137.113333333,188.926206897,989.3390625,36.9853571429,223.974375,637.388653846,515.197380952,554.0325,204.051666667,298.385,121.801666667,300.645740741
mix_70,1293.87677419,335.588333333,1211.605,613.158809524,2015.57478261,503.361022727,122.94875,430.831875,68.6758333333,157.908125,112.986666667,175.756206897,766.0021875,43.3460714286,181.243125,1305.85538462,302.447142857,570.022307692,860.2725,371.585789474,120.079666667,269.443518519
mix_71,939.826290323,325.29375,1916.10538462,70.5245238095,142.174782609,690.294659091,149.8635,453.2996875,26.9066666667,246.2975,162.655833333,201.866034483,1156.94625,42.7475,274.08875,849.598076923,259.96047619,372.285384615,141.409166667,385.682105263,141.142,312.33462963
mix_72,1683.85225806,385.0975,580.839230769,164.893095238,378.03673913,367.037386364,403.4835,810.1353125,52.6266666667,476.113125,49.4745833333,192.611896552,413.639375,26.1471428571,74.440625,1529.35865385,721.616666667,921.445769231,273.614166667,381.366578947,145.368333333,253.83037037
mix_73,1201.3083871,310.352916667,923.201538462,490.267619048,1561.28,426.93875,251.70325,624.85,61.0775,468.605,79.82,174.403275862,614.4128125,35.7446428571,133.59125,1161.87211538,528.435,701.287307692,748.617083333,309.352368421,117.166666667,247.717962963
mix_74,950.151129032,258.483333333,1229.64807692,244.543809524,646.782826087,510.621704545,331.7315,737.995625,54.5216666667,383.215625,100.03375,177.657586207,746.481875,33.8996428571,172.420625,845.441538462,624.230952381,732.163076923,391.402916667,287.388684211,113.842666667,277.362962963
mix_75,784.062258065,272.639583333,1877.38346154,230.889285714,638.613478261,677.022272727,168.53875,485.32875,45.6725,174.07,156.01875,191.051724138,1121.3996875,45.3214285714,256.926875,671.155,312.752857143,411.781538462,348.841666667,344.250263158,124.533666667,304.71
mix_76,571.861935484,118.247916667,867.188846154,459.317142857,1290.24630435,396.207272727,473.45875,935.921875,83.4658333333,878.981875,69.595,157.365172414,529.17,30.1857142857,125.750625,367.291923077,917.712857143,867.073653846,709.52125,147.115,81.2676666667,240.70462963
mix_77,670.306774194,107.325416667,270.973076923,401.411190476,1065.405,264.17875,645.499,1180.829375,88.5075,1124.955,30.2470833333,156.386206897,218.1453125,24.6146428571,46.944375,473.537307692,1220.90452381,1193.20019231,595.308333333,113.286842105,82.1043333333,221.078518519
mix_78,705.248709677,226.27125,1612.21615385,266.51952381,737.728043478,600.359318182,246.43975,592.535,46.8966666667,484.24125,134.171666667,183.252758621,973.96125,39.5232142857,222.661875,591.363076923,466.057619048,506.371923077,410.402083333,284.092894737,113.001333333,289.975925926
mix_79,394.292419355,162.067083333,1800.53346154,176.242380952,416.281086957,652.541477273,288.80625,662.454375,45.4625,494.75625,155.378333333,185.91,1090.6228125,40.2175,250.35375,223.426153846,523.951666667,490.890769231,278.185,252.073684211,106.172,302.41962963
mix_80,1048.96951613,258.266666667,948.497692308,123.598809524,233.661521739,441.667386364,424.24875,838.3821875,48.5333333333,817.29125,83.115,185.520862069,616.2784375,27.855,143.21125,943.637307692,759.557142857,801.381730769,228.453333333,281.095789474,117.593333333,254.51037037
mix_81,711.231451613,167.686666667,908.475769231,150.814047619,260.788043478,420.033068182,519.051,1010.0803125,61.925,797.984375,79.7995833333,176.892586207,593.3740625,25.4014285714,121.7025,530.666730769,931.152857143,927.106730769,259.980833333,191.392631579,102.845,257.102777778
mix_82,823.756129032,251.42875,1431.86076923,179.273571429,474.831521739,561.891477273,293.9085,647.885,40.1641666667,594.361875,120.268333333,185.283793103,894.1915625,35.7707142857,195.600625,710.2725,542.691190476,574.816346154,302.527083333,299.596578947,114.976666667,282.240555556
mix_83,701.513548387,241.402083333,1866.20307692,232.289761905,621.999565217,660.400113636,204.9455,534.9628125,46.8358333333,276.544375,152.73875,188.889827586,1121.5234375,45.0028571429,253.3475,553.158653846,368.52547619,441.185576923,360.796666667,319.751842105,120.346333333,304.915
mix_84,825.34016129,207.7375,1077.43769231,158.274761905,333.216521739,472.111704545,431.75275,872.0271875,52.8716666667,737.294375,90.3245833333,178.015,694.773125,29.8982142857,147.8875,672.424807692,791.387142857,785.859230769,274.809166667,249.048947368,107.117333333,261.954259259
mix_85,691.615,170.320833333,1083.40461538,162.30047619,327.303043478,450.877386364,473.0835,908.579375,56.295,831.58125,86.5425,177.061724138,664.365,30.4942857143,148.54,528.484807692,874.15047619,814.915,283.097916667,205.787894737,100.639,260.672037037
mix_86,604.929032258,104.00125,581.160384615,395.700238095,1076.27673913,342.562613636,569.98375,1104.0521875,86.885,849.97875,53.3729166667,155.183793103,392.9234375,26.1782142857,91.045,381.3025,1082.20857143,1057.5925,605.354583333,130.366052632,82.9836666667,238.598518519
mix_87,575.9,166.2575,1349.66730769,114.511190476,171.487391304,535.485227273,426.42875,847.235,51.7516666667,671.94,114.305,182.322241379,822.79125,30.8946428571,186.19625,400.078653846,755.281190476,734.2075,204.7675,229.545526316,105.166333333,275.551481481
mix_88,848.131451613,191.22125,798.368846154,342.332619048,973.597608696,392.945568182,445.24475,885.8884375,69.3316666667,738.945,69.0833333333,168.658103448,527.255625,30.6239285714,123.845625,699.931346154,863.589761905,862.458653846,537.465,213.271842105,98.648,250.568518519
mix_89,824.032096774,150.770416667,440.483461538,351.914047619,963.58326087,301.525,564.293,1077.8859375,79.115,1055.48625,41.4691666667,161.311551724,324.0353125,27.2482142857,71.31625,638.022307692,1077.0752381,1075.56096154,552.490833333,159.979473684,89.0426666667,228.978333333
mix_90,506.873225806,161.742083333,1431.21692308,142.602619048,295.807826087,571.711818182,388.862,775.10875,47.6316666667,707.9275,123.05875,181.070517241,900.903125,32.3471428571,208.024375,340.048269231,683.211190476,661.050961538,244.24125,230.603947368,104.63,279.911296296
mix_91,671.06983871,237.18875,1777.46153846,318.572619048,901.276956522,631.820454545,198.839,531.203125,52.1925,275.89875,143.82625,182.292413793,1071.661875,44.4332142857,235.25875,579.754423077,390.337857143,460.0575,470.363333333,311.305789474,116.119,301.32037037
mix_92,681.43983871,204.274166667,1399.36807692,147.248333333,311.926956522,557.982954545,361.80825,766.359375,51.2083333333,521.34375,120.851666667,182.71362069,872.5528125,33.705,199.624375,545.78,649.781904762,666.975192308,245.213333333,259.912631579,113.897666667,285.002777778
mix_93,273.134677419,182.2975,2473.94769231,129.333809524,287.994130435,814.397386364,135.14225,443.5196875,33.9733333333,193.053125,209.49625,200.577068966,1450.3659375,51.2928571429,318.25,113.029423077,234.857142857,229.043076923,215.85625,305.742631579,122.082,339.490185185
mix_94,297.631935484,146.81625,1926.48807692,341.754285714,1003.80804348,682.195113636,202.783,535.70125,49.7058333333,436.25125,168.29875,181.357241379,1138.860625,48.9192857143,273.60375,122.449230769,400.500238095,372.094807692,511.445,248.035789474,101.701333333,304.139444444
mix_95,870.81516129,280.278333333,1646.37230769,362.252142857,1073.55347826,612.443863636,152.7845,469.0684375,53.65,209.50125,143.82625,183.584137931,1012.165625,45.6271428571,240.383125,775.381153846,317.806190476,444.149807692,538.630416667,346.307631579,121.510666667,297.092592593
mix_96,780.788709677,244.43,1535.92,483.73952381,1546.33456522,578.215227273,170.6275,499.9078125,61.42,279.7775,126.9275,175.838275862,931.97125,43.7353571429,205.3175,666.745961538,369.302142857,483.308269231,726.444166667,311.476052632,111.861,285.509074074
mix_97,600.854193548,199.312916667,1615.87692308,188.546190476,469.823913043,603.678181818,301.25975,672.2584375,47.7675,548.45625,132.864583333,182.585172414,983.7646875,36.8610714286,219.855625,449.257884615,555.388095238,553.574615385,311.23625,262.593684211,109.694333333,289.762592593
mix_98,762.495,233.391666667,1537.69576923,156.630238095,347.192608696,589.90375,305.66325,677.9775,46.565,414.989375,129.92125,181.825517241,937.8046875,36.2860714286,208.500625,639.067884615,547.82452381,626.810576923,257.07875,290.194473684,121.983,292.079444444
mix_99,758.034677419,107.864166667,128.662307692,265.818333333,617.769347826,233.511022727,742.9515,1325.0615625,89.7575,1105.860625,19.9258333333,161.626206897,138.2375,20.7007142857,31.160625,550.689423077,1366.15833333,1262.59384615,452.010416667,103.24,84.052,224.896666667
mix_100,731.653387097,204.771666667,1310.65769231,173.630952381,378.524782609,530.897613636,371.079,783.2609375,52.7166666667,565.50375,108.947916667,182.340517241,812.864375,33.4810714286,189.06,588.222692308,671.283333333,720.546153846,285.649583333,255.381842105,110.088666667,273.368148148
