naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
average.mix_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51007250504788e-05	0.000229046933099215	0	0
average.mix_27	0.000617701475543038	0.000240092795008851	0	0	0.00151999513199768	0.00122174263533297	0	0.00110141326458002	0.00306885894020908	0	0	0	0	0	0.000100813964931869	0.00156732628607101	0	0	0	0
average.mix_28	0	0	0	0	0.000451930625456395	0	0	0.000630123951310313	0.000891180325843496	0	0	0	0	0	0	0.000454854856980026	0	0	0	0
average.mix_29	0.000284281508584548	0	0	0	0.00186450923945229	0.000922663746754554	0	0.000646419332734016	0.0023541293961856	0	0	0	0	0.000791466811912814	0.000126315378589505	0	0	0	0	0
average.mix_30	0	0	0	0	0.000278356752177501	8.04559942819647e-05	0	0.00115664767517259	0.00179680271449852	0	0	0	0	0	0	0.00192098258982184	0	0	0	0
average.mix_31	0	0	0	0	0.000543961038976554	0	0	0.000714184574746589	9.05940563738644e-05	0	0	0	0	0	0	0	0	0	0	0
average.mix_32	0.0012378664342451	0.000601873417145106	0	0	0.00128483199705192	0.000743661214424207	0.000183566978076722	0.00180150275440447	0.00195952016400593	0	0	0	0	0	0.000587597218587962	0.0028792355782341	0	0.000237439537129018	0	-0.00042668654506081
average.mix_33	0	0	0	0	0	0	0	0.000730148497235366	0	0	0	0	0	0	0	0	0	0	0	0
average.mix_34	0.000339849591292478	0	0	0.000160501094641583	0.0012954002876802	0	0	0	0	0	0	0.000560538153268247	0.00196351624672965	0.00825055301787894	0.00062478180460043	0	0.00143961811593573	0.00150042740550288	0	0
average.mix_35	0	0	0	0	0.000416417480000992	0	0	0.000613200093880547	0.00109702145825952	0	0	0	0	0	0	0.000260714980006325	0	0	0	0
average.mix_36	0	0	0	0	0.000986549762598107	0	0	0.000300509238859334	5.90314358140953e-06	0	0	0	0	0	0	0	0	7.12502880351712e-05	0	0
average.mix_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
average.mix_38	0	0	0	0	0.000603094590073693	0	0	0	0	0	0	0	0	0	0	0	0	0.000148086596484999	0	0
