B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
average.mix_64	0	0	-0.20883147994112	-0.0105325964426657	-0.0110851812442975	-0.466331272757128	-0.0963073543993354	-0.0149052132417376	-0.0371626375751312	-0.0142287894488169
average.mix_65	0	0	0.0858700127087876	0	0	0.130627442569664	0	0	0	0
average.mix_66	0	0	0	0	0	0	0	0	0	0
average.mix_67	0	0	0	0.0914037243752449	0.122483041543338	0	0	0	0.0119284502333017	0.0147473062196303
average.mix_68	0	0	-0.020309876965571	0	0	-0.0124532433027398	0	0	0	0
average.mix_69	0	0	-0.0942387580604378	0	0	-0.116058300826381	0.0107924066438614	0.0176908067978961	0	0.00930671309313943
average.mix_70	0	0	0	0	0	0	0	0	0	0
average.mix_71	0	0	0	0	0	0	0	0	0	0
average.mix_72	0	0	0.0347808046686662	0	0	0.0416882931697638	0	0	0	0
average.mix_73	0	0	0	0	0	0	0	0	0	0
average.mix_74	0	0	0	0	0	0	0.0350714884906504	0.0381427331894095	0.0231895606470878	0.0451842664427545
average.mix_75	0	0	0	0	0	0	0.0370297599376309	0.0298069702817249	0	0
average.mix_76	-0.0239105978716483	-0.00718247279007595	0	0.0871934931322273	0.12954540949223	0	0	0	0.00581318272422174	0
average.mix_77	0	0	0	0	0	0	0	0.00639233565413939	0	0.00998900976896254
average.mix_78	0	0	0	0	0	0	0.00121712729447337	0.0100210519631642	0	0
average.mix_79	0	0.0185365483307048	0.180064994709958	0	0	0.148696765298418	0	0	0	0
average.mix_80	0.095787255937032	0.0915630594607615	0.0675048006695482	0	0	0.108160292919433	0	0	0	0
average.mix_81	0	0	0.439917636339311	0	0	0.604406914897402	0	0	0	0
average.mix_82	-0.107387495393213	-0.140483955801223	0	0	0	0	-0.0562115473989842	0	0	0
average.mix_83	0	0	-0.087876550089403	0	0	-0.0717185766690399	0.0585887770988694	0.0338616042235617	0	0
average.mix_84	0	0	0	0	0	0	0	0	0	0
average.mix_85	0	0	0.0153088612412361	0	0	0	0	0	0	0
average.mix_86	0	0	0	0	0	0	0	0.00245004406243867	0	0.0187050992909291
average.mix_87	0	0	0	0.0564251169357672	0.0634558986825746	0	5.01748562006068e-05	0.0161172204285141	0.0335359346468602	0.045327772142427
average.mix_88	0	0	0	0	0	0	0	0.013456345216331	0.0190090845777983	0.028399756169533
average.mix_89	0.176959204525301	0.196612066016007	0.19720919897429	-0.0738329192029645	-0.113563418941245	0.209197202364055	0	0	0	0
average.mix_90	0	0	0	0.0660944552104814	0.0801880447977972	0	0	0.00825145941583955	0.0377926886766717	0.0443210011607673
average.mix_91	0	0	0	0.000605662790281731	0.00318733657659996	0	0	0	0.0145417391209624	0.0186460557914042
average.mix_92	0	0	-0.0357411999916875	0	0	-0.0243530342644233	0.0131623492581384	0.0197252915125434	0	0.0100650324491558
average.mix_93	0	0	-0.0847977611724594	0	0	-0.125514652984524	0	0	0	0
average.mix_94	0	0	0	0	0	0	0.0116935775706063	0.0220926364864194	0.022021581463456	0.0348319930873425
average.mix_95	0	0	-0.00984655446083947	0	0	0	0.041467881264371	0.0411941615399839	0.00789681928275611	0.0251950419795288
average.mix_96	0	0	0	0	0	0	0	0	0	0
average.mix_97	0	0	0	0	0	0	0.00615399506732231	0.013270616025418	0.00207751945081464	0.00735372933752584
average.mix_98	0	0	0	0	0	0	0.0418226153711858	0.037281959279834	0	0
average.mix_99	0	0	0	-0.0674049712892094	-0.0407478299783391	0	0	0	0	0
average.mix_100	0	0	0	0	0	0	0.010887612339996	0.0190051463494458	0.00494645352782933	0.0164658051213785
stdev.mix_1	8.78538391469596e-05	0.000218521703797312	0	0.000180615192587587	3.46773698517445e-05	0	0	0	4.68142127057175e-05	0.000136212059593776
stdev.mix_2	0	0	0.000515602107833518	0.000134116364231598	4.52659409074481e-05	0.00138049737490151	0	0	0	0
stdev.mix_3	0	0	0.000158332614286594	0	0	0.000296933487709386	0	0	0	0
stdev.mix_4	0	0	0.000337064490650382	0	0	0.000343196731404837	2.15867867768365e-05	7.14844619183865e-06	2.23452590061751e-05	4.3592530588094e-05
stdev.mix_5	0	0	0	0.000133269155969042	0.000146973314048546	0	0	0	0	0.000100520050624859
stdev.mix_6	0	0	0.000336781641002827	0.000135881764072001	3.8194986179764e-05	0.000311148886345541	0	4.57245303927838e-06	1.50478128287857e-05	8.77844656334036e-05
stdev.mix_7	0	0	0	0	0	0	0	0	0	0
stdev.mix_8	3.5305939142374e-05	0.000289278190689567	0.000290660508041881	0.000148624106820315	4.33496583395693e-05	0.000595945489984942	0	0	0	0
stdev.mix_9	0	0	0.000126496863408919	0.000201804771391374	0.000107306139111064	0.000287041239779429	2.29884409488836e-05	8.24663450925399e-06	4.76287048502163e-05	0.000148319683799486
stdev.mix_10	0.000408536341386187	0.00023892401436978	0	0	0	0	0.000122277153458506	1.93969737389725e-05	0	0
stdev.mix_11	0	0	0	0.000129397930289954	5.10565844075194e-05	0	0	0	8.81893041379781e-06	4.81204560713865e-05
stdev.mix_12	0	0	0	0	0	0	0	8.61576730065197e-06	6.98565173791747e-05	0.00021533246501652
