ID,naive_B_cell,memory_B_cell,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell
S10280,7.10983333333,6.38598,7.14711666667,8.723075,5.91739166667,5.88809375,6.71312727273,5.32828461538
S10283,7.05816,6.17328,7.22511666667,8.56455,5.31401666667,5.6845,6.51582727273,5.349
S1029,6.99426666667,6.28184,6.86236666667,7.936225,5.43455833333,5.88708125,6.57566363636,5.25665384615
S10292,6.95408,6.14464,6.97136666667,8.152225,5.34646666667,5.8606,6.4493,5.40279230769
S10294,6.78472666667,6.17022,7.08806666667,8.032325,5.29538333333,5.80800625,6.60638181818,5.36190769231
S10302,6.70305333333,5.95976,7.13885,8.18425,5.75536666667,5.81555,6.41809090909,5.23905384615
S10303,6.84784666667,6.07022,6.78638333333,8.0229,5.40695833333,5.83518125,6.54119090909,5.32665384615
S10323,6.8556,6.10374,6.74773333333,8.005875,5.36055,5.73793125,6.59463636364,5.38113076923
S10326,6.80632666667,6.0932,6.72495,7.806375,5.33404166667,5.809325,6.59505454545,5.24330769231
S10328,6.9397,6.16644,6.73025,8.476725,5.30015,5.70664375,6.51999090909,5.26766153846
S10329,7.10913333333,6.24948,6.95878333333,8.212475,5.39848333333,5.69965625,6.62326363636,5.39403846154
S10336,6.83696666667,6.13582,6.58211666667,7.58785,5.442425,5.717675,6.59006363636,5.27160769231
S10340,7.19689333333,5.9564,6.98276666667,8.324175,5.25025,5.748575,6.49675454545,5.26975384615
S10347,6.76750666667,6.0344,6.60456666667,7.691275,5.31509166667,5.8561,6.41069090909,5.30221538462
S10353,7.01274666667,6.04206,6.85576666667,8.18365,5.428275,5.85246875,6.43166363636,5.33619230769
S10356,7.08145333333,6.09454,6.8359,7.900725,5.47556666667,5.8599,6.4007,5.36533846154
S10358,6.73194,6.0519,6.82733333333,8.005025,5.44611666667,5.9126125,6.64682727273,5.21643076923
S10365,6.64480666667,6.07302,6.79838333333,7.859425,5.360175,5.8171,6.62259090909,5.30383076923
S1037,7.09812666667,6.05434,7.34793333333,8.687875,5.28183333333,5.6483625,6.49696363636,5.33474615385
S10373,6.98758666667,6.05588,7.27193333333,8.16695,5.52108333333,5.938925,6.609,5.43543076923
S10374,6.554,5.88444,7.0619,7.623875,5.3506,5.87868125,6.18123636364,5.45956923077
S10375,6.78488,5.88412,7.13191666667,8.045975,5.37920833333,5.8247625,6.54869090909,5.37631538462
S10377,6.70906666667,6.1078,6.75371666667,7.8759,5.33168333333,5.765325,6.45664545455,5.32476153846
S10378,7.02407333333,6.1388,7.20255,8.368875,5.37593333333,5.7008875,6.62907272727,5.32723076923
S10390,6.76880666667,5.9383,6.54966666667,7.4221,5.36845,5.87085625,6.24293636364,5.49605384615
S10391,6.61918,5.96098,6.80338333333,7.42715,5.60876666667,5.7957,6.24409090909,5.33236153846
S10393,6.63064,6.04546,7.3144,8.3054,5.35989166667,5.7073,6.38589090909,5.40305384615
S10400,6.80754,6.14552,6.68265,7.7843,5.57869166667,5.80414375,6.78355454545,5.37323076923
S10401,6.98704,6.27038,6.53246666667,7.827625,5.4056,5.99085,6.59689090909,5.35258461538
S10406,6.63652666667,5.9145,6.57753333333,7.467575,5.481875,5.853025,6.46554545455,5.26386153846
S10408,7.07684666667,6.14252,6.71018333333,8.214475,5.59278333333,5.9682,6.53191818182,5.22850769231
S10409,6.89356,6.0163,7.51965,8.410575,5.28740833333,5.88245625,6.60526363636,5.41654615385
S10418,6.58287333333,5.93116,6.1684,6.894925,5.49619166667,5.743225,6.25238181818,5.33597692308
S10431,6.57020666667,6.07698,7.18191666667,7.748175,5.43705833333,5.7761125,6.5112,5.37835384615
S10438,6.8177,6.20384,6.94641666667,7.8654,5.50276666667,5.86780625,6.69092727273,5.30752307692
S10439,6.82808,6.18988,7.07183333333,7.9936,5.74706666667,5.89268125,6.71451818182,5.32220769231
S10441,6.77996,6.30162,6.64453333333,7.749,5.78195,6.03301875,6.80806363636,5.25323076923
S10442,6.96380666667,6.14028,6.94806666667,7.953725,5.46048333333,5.9491125,6.74970909091,5.30674615385
S1046,6.87071333333,6.13518,6.76058333333,7.680925,5.47445,5.97903125,6.54687272727,5.25302307692
S10478,6.89201333333,6.15528,6.30808333333,6.9173,5.493875,5.9646375,6.64954545455,5.26170769231
S10480,7.07338666667,6.20586,6.84833333333,7.8232,5.35485833333,5.62954375,6.41708181818,5.35126153846
S10484,6.89875333333,6.17548,6.64788333333,7.699425,5.47884166667,6.04365625,6.60305454545,5.29909230769
S10492,7.01880666667,6.00592,7.54745,8.73445,5.50906666667,5.92165625,6.63805454545,5.3257
S10496,7.20776,6.38888,7.24406666667,8.158725,5.58591666667,5.64418125,6.59447272727,5.36026153846
S10510,6.60562666667,6.10384,7.22576666667,7.6781,5.64478333333,5.93070625,6.34392727273,5.23446153846
S10513,6.56699333333,5.94364,6.78378333333,7.863425,5.51769166667,5.9724375,6.4551,5.17733076923
S10516,6.89518666667,6.15134,6.69155,7.60175,5.37929166667,5.85553125,6.63124545455,5.34897692308
S10534,6.93154666667,6.09906,7.04586666667,8.241675,5.36425,5.57526875,6.61452727273,5.37288461538
S10535,6.76288666667,6.01372,7.4616,8.1452,5.479575,5.78116875,6.57936363636,5.41611538462
S10537,7.01938,6.19066,6.69508333333,7.94775,5.45528333333,5.88346875,6.76370909091,5.25516153846
S1054,6.75668666667,6.2148,6.79551666667,7.932875,5.517675,5.769125,6.4903,5.31434615385
S10543,6.98838666667,6.3368,6.66908333333,7.94535,5.39999166667,5.7414875,6.40901818182,5.34353076923
S10546,6.72048666667,6.14998,6.8828,7.355425,5.34254166667,5.890125,6.3822,5.17846923077
S1055,6.60896666667,6.0214,6.38853333333,7.38195,5.34984166667,5.969775,6.57595454545,5.24528461538
S10551,6.85192666667,5.97176,6.50475,7.93475,5.30629166667,5.84814375,6.51050909091,5.22773076923
S10552,6.6923,6.14932,6.25943333333,7.08085,5.39079166667,5.9765,6.48871818182,5.39350769231
S10555,6.98245333333,6.21356,7.0869,8.8941,5.34808333333,5.7541125,6.67909090909,5.33927692308
S10559,6.70972666667,6.0314,6.79416666667,7.799825,5.3649,5.8808,6.65762727273,5.31930769231
S1056,7.15899333333,6.09882,7.24791666667,8.34335,5.47489166667,5.82361875,6.47933636364,5.34577692308
S10563,7.04344666667,6.16134,6.82158333333,8.44005,5.49155,6.04266875,6.64345454545,5.31910769231
S10574,6.8761,6.16766,7.21208333333,8.373925,5.424225,5.7648125,6.5353,5.30618461538
S10576,6.64063333333,5.84188,6.76676666667,7.444375,5.417775,5.83554375,6.33198181818,5.45423076923
S10578,6.56700666667,5.97586,6.76448333333,7.566175,5.36011666667,5.85250625,6.47829090909,5.27445384615
S10579,6.66112,6.096,6.75895,7.97475,5.439725,5.69690625,6.37294545455,5.28783076923
S10582,7.01226666667,6.07158,6.80258333333,7.886225,5.385275,5.95605625,6.50052727273,5.17782307692
S1059,7.07247333333,6.31006,6.65801666667,8.243375,5.28214166667,5.89439375,6.63804545455,5.3638
S10599,6.81750666667,6.02786,6.98238333333,7.77615,5.438775,5.86998125,6.70525454545,5.42263846154
S10611,6.72531333333,6.0942,7.0174,8.00755,5.42898333333,5.7943125,6.59215454545,5.28554615385
S10614,6.73005333333,6.01002,6.69326666667,7.70595,5.38394166667,5.91215625,6.57879090909,5.33762307692
S10624,6.91831333333,6.43224,6.62211666667,7.9631,5.37060833333,6.0327875,6.39628181818,5.35276153846
S10632,6.65663333333,6.12238,6.63156666667,7.43505,5.246225,5.67429375,6.48843636364,5.28034615385
S10634,7.06138666667,6.15636,6.95281666667,8.106475,5.303925,5.6659625,6.42962727273,5.25563846154
S10638,6.929,6.13452,6.96365,8.230175,5.38265833333,5.98946875,6.79358181818,5.35589230769
S10644,6.86616666667,6.03258,7.6028,8.318175,5.32268333333,5.8352625,6.62840909091,5.27164615385
S10649,6.75561333333,5.9738,6.71826666667,7.76365,5.410375,5.885875,6.45403636364,5.21249230769
S10652,6.77322666667,6.13882,6.441,7.342825,5.644275,5.8070375,6.35363636364,5.30978461538
S10654,6.9027,6.21658,7.12168333333,7.712775,5.38425,5.7209375,6.61343636364,5.42073846154
S10655,6.7045,6.1263,6.90751666667,8.04475,5.33569166667,5.79630625,6.52050909091,5.27457692308
S10656,6.86309333333,6.1102,7.4649,8.4807,5.36528333333,5.91015,6.41258181818,5.34773846154
S10657,6.78918666667,6.14698,6.5517,7.8337,5.366025,6.1483375,6.45359090909,5.25548461538
S10658,7.04558,6.15916,7.22796666667,8.432025,5.33411666667,5.7070625,6.56727272727,5.32136923077
S10660,6.72143333333,6.21426,6.96211666667,8.1853,5.48079166667,5.7612125,6.57623636364,5.41923846154
S10661,7.07927333333,6.31602,7.3362,8.320025,5.3169,5.78256875,6.48372727273,5.30481538462
S10676,6.85786,6.11746,6.56625,7.412325,5.38013333333,6.23963125,6.51164545455,5.33287692308
S1068,7.16536,6.13076,6.89798333333,8.338925,5.31305,5.8339125,6.5575,5.22377692308
S10681,6.62242666667,5.9954,6.84313333333,7.45015,5.27801666667,5.80351875,6.40021818182,5.44056923077
S10686,6.63156,6.02404,6.66606666667,7.50225,5.3259,5.76020625,6.37511818182,5.32113076923
S10688,7.0162,6.1983,7.56206666667,8.51,5.393225,5.94404375,6.64564545455,5.33228461538
S10690,6.70308666667,6.20446,6.5893,7.50785,5.30389166667,5.8729375,6.49610909091,5.43416923077
S10698,6.89375333333,6.07308,7.19565,8.171525,5.37303333333,5.665475,6.46486363636,5.22820769231
S107,6.92587333333,6.1797,7.31041666667,8.441175,5.44026666667,5.9456875,6.45447272727,5.28197692308
S10703,6.74582666667,6.04466,7.10808333333,8.360075,5.17440833333,5.67525,6.62195454545,5.30694615385
S10726,7.04426666667,6.10218,7.19718333333,7.94055,5.19374166667,5.8601,6.55999090909,5.36080769231
S10729,6.78694666667,6.0212,6.75941666667,7.671425,5.64595833333,6.1234625,6.73334545455,5.45713076923
S10733,6.71007333333,5.97332,7.2739,8.045625,5.39030833333,5.7956375,6.59838181818,5.38369230769
S10734,6.82420666667,6.13932,7.29221666667,8.21705,5.560775,5.68274375,6.63066363636,5.48405384615
