Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
S10073	7.51544909137282e-24	0.999999999999884	1.15521693789017e-13	4.65944531822766e-58	3.73092161073165e-151	1.52152694689864e-213
S10077	7.902967264799e-24	0.99999999999989	1.1023522627532e-13	5.54670286665382e-58	4.6689523543287e-151	1.75122775440561e-213
S10080	7.95565968511557e-24	0.999999999999889	1.11296693867854e-13	5.41262402270569e-58	4.34666746271326e-151	1.82640027214086e-213
S10082	8.53704438725733e-24	0.999999999999883	1.16519476903266e-13	4.77470044385786e-58	3.89438219436311e-151	1.54997674406357e-213
S10087	9.29716154539151e-24	0.999999999999876	1.23948784468249e-13	5.01495153097281e-58	4.09846291825296e-151	1.68981374104193e-213
S10089	8.15590107868167e-24	0.999999999999888	1.12362121774836e-13	5.8375800748604e-58	4.78762799837842e-151	1.77486948246686e-213
S1009	8.34556622609887e-24	0.999999999999892	1.07715592765351e-13	4.74076388052182e-58	3.94861061345387e-151	1.41324658049388e-213
S10090	8.28540257033608e-24	0.999999999999879	1.20717054847221e-13	5.98363230463285e-58	4.96742588126159e-151	1.78429490727399e-213
S10093	7.66437254371261e-24	0.999999999999891	1.09438668225017e-13	6.23652643437798e-58	5.18066117856798e-151	1.87665553256147e-213
S10094	8.03786323066003e-24	0.999999999999881	1.19383141470781e-13	5.22314775960838e-58	4.09897401356962e-151	1.82318535162844e-213
S1010	7.96490837493121e-24	0.99999999999989	1.10205092609489e-13	5.43161366420367e-58	4.53233440645975e-151	1.83724265838076e-213
S10111	8.17086519877142e-24	0.999999999999883	1.17479571329182e-13	4.84228944814032e-58	3.84891846304772e-151	1.53179774318814e-213
S10116	6.85049680880874e-24	0.999999999999897	1.02920496637821e-13	5.10170266194889e-58	4.30976097808325e-151	1.35703262872162e-213
S10119	8.21519941316649e-24	0.999999999999887	1.12924087618097e-13	5.25846759290223e-58	4.2692535036255e-151	1.52321405116697e-213
S10121	8.57561195838395e-24	0.99999999999987	1.29662530835822e-13	5.38799246886419e-58	4.55701900876591e-151	1.7651618536858e-213
S10130	7.93431669229967e-24	0.999999999999886	1.13602653130879e-13	5.87064900031397e-58	4.75805458543513e-151	1.81164178127802e-213
S10140	9.87613902690071e-24	0.999999999999873	1.27413393124873e-13	5.35587862256338e-58	4.40681897705882e-151	1.94013172127681e-213
S10142	9.4405065816162e-24	0.999999999999865	1.35291780701601e-13	5.31385532794972e-58	4.52983667274465e-151	1.60026442595168e-213
S10150	7.97048981573289e-24	0.999999999999884	1.15621557048037e-13	6.09557443632019e-58	4.89341555758551e-151	2.2122915117927e-213
S10155	8.22873395086429e-24	0.999999999999884	1.15716666614015e-13	5.16422073992393e-58	4.26852041737097e-151	1.65120568169754e-213
S1016	8.43025467587907e-24	0.999999999999869	1.3079478310313e-13	5.74166844746495e-58	5.03818225585408e-151	1.8251362553408e-213
S10163	7.3651103728425e-24	0.999999999999895	1.0551392886852e-13	5.63404700568713e-58	4.55775392479244e-151	1.83097609144732e-213
S10167	7.94978662100365e-24	0.999999999999877	1.22697044998929e-13	5.71920876327131e-58	4.59217806779393e-151	1.66484114335536e-213
S10168	8.45351174985936e-24	0.999999999999877	1.23042808884255e-13	5.06308105790988e-58	4.21047004790467e-151	1.53388186112698e-213
S10173	8.61236088016746e-24	0.99999999999989	1.09596260616745e-13	4.76053287786456e-58	3.9301483594854e-151	1.42611264185421e-213
S10175	8.31455384315213e-24	0.999999999999878	1.22381037632017e-13	5.37473078451672e-58	4.27350781821974e-151	1.73054536021539e-213
S10179	8.11712031718327e-24	0.999999999999868	1.31526591820908e-13	4.84985779782457e-58	3.75594246255491e-151	1.55873772967249e-213
S10186	9.12571654775766e-24	0.999999999999881	1.18819366295061e-13	5.18638168757295e-58	4.34877412165702e-151	1.43195607339241e-213
S1019	8.26701245441393e-24	0.999999999999881	1.18717160408043e-13	5.35872685120894e-58	4.39473117625079e-151	1.60184895538607e-213
S10190	8.80450770384659e-24	0.999999999999879	1.20924892897376e-13	4.84674549601208e-58	3.8516686392887e-151	1.67403849718511e-213
S10195	8.13795538062498e-24	0.999999999999882	1.17612639944621e-13	5.78420308972357e-58	4.59043919192747e-151	1.88248048838109e-213
S10196	7.7861961843116e-24	0.999999999999882	1.17874073631208e-13	5.19555907517797e-58	4.16968318528701e-151	1.73750614598848e-213
S10200	8.18197606038726e-24	0.999999999999869	1.30984201295705e-13	5.59800735738833e-58	4.62413570219791e-151	1.86931660777224e-213
S10201	8.7273401598186e-24	0.999999999999878	1.22064751709523e-13	6.46244333960108e-58	5.41888933345128e-151	2.17163895841606e-213
S10202	7.87568728226534e-24	0.999999999999876	1.24180000514602e-13	5.4490794474423e-58	4.52913451715717e-151	1.82059335368872e-213
S10205	8.85057303607923e-24	0.999999999999876	1.23698845259654e-13	4.9465147342963e-58	4.02819331570252e-151	1.67072696353339e-213
S10211	8.32159776959116e-24	0.999999999999875	1.24562091150728e-13	6.27615348762329e-58	5.00658293067407e-151	1.79769754157299e-213
S10221	8.19455317225688e-24	0.999999999999888	1.11980134034344e-13	5.07257260287625e-58	4.04042559940291e-151	1.60182200874004e-213
S10222	8.67622866204925e-24	0.999999999999884	1.16404732975998e-13	5.9539307277349e-58	5.01876395740657e-151	1.82098505221732e-213
S10226	9.12248818986064e-24	0.999999999999875	1.24556644115942e-13	5.36940668223826e-58	4.3048655152573e-151	1.82888701274338e-213
S10227	8.00984473490539e-24	0.999999999999886	1.13474786606726e-13	5.60529495912447e-58	4.58237212644224e-151	1.83377528495535e-213
