Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
average.mix_21	0.000548994417824949	0.00043222950938319	0.000137726336930308	0.000237248253776449	0.000198520741193466	0
average.mix_22	0.000538292219193649	0.000539285169003525	0.000705820667052112	0.000450455719170057	0.000325845103239734	0
average.mix_23	0.000476758343752905	0.000247528077190901	0.000146578004542646	0.000159303127962549	0.000171402445696827	0
average.mix_24	0	0	0	0	0.000217121475454306	0.00222907493025578
average.mix_25	0	0.00029615137106837	7.82216922428548e-05	5.58860670972857e-05	0.000272664101277051	0
average.mix_26	0.000296382969212362	0.000955593707978389	0.000862538962541772	0.000572453911637385	0.000383703397064188	0
average.mix_27	0.000310131788137993	0	0.00038969483316988	0.000150948654912888	8.05034978306337e-05	0.00260723779019262
average.mix_28	0.000614438234970335	0.00082355601960938	0.000622953875315389	0.000517595452538878	0.000280303037011201	0
average.mix_29	0.000135576890951442	0.000375595145279165	0.00031107711154862	0.000204231525374756	0.000312544142107862	0
average.mix_30	0.00021703230452079	0.000378244037110576	0.000289768768980707	0.000205157977049564	0.000295119952936988	0
average.mix_31	5.16798046335718e-05	0.000289230267387664	0.00016740979055607	8.76648384128967e-05	0.000262083327986928	0
average.mix_32	0.000359135891251092	0.00050515500319854	0.000324086011641537	0.000320576666292056	0.000258510569731479	0
average.mix_33	0.000113573757331217	0.00016197380368685	0.000130653045572997	4.89801304407703e-05	0.000152280330311952	0
average.mix_34	0	6.0555028549208e-05	0.000297886060827993	4.72501132231274e-05	0.000278221037859821	0.00115852554076003
average.mix_35	1.57337348150799e-05	0.000366654369696198	0.000494385388195452	0.000220931386298872	0.00030095824958016	0
average.mix_36	0.000687564687768938	0.00042127752308109	0.000130097459624063	0.000268067001184567	0.000162195385994485	0
average.mix_37	0.000609804135767266	0.000370784861362797	7.24158933009753e-05	0.000197415919547144	0.000157662502731381	0
average.mix_38	0.000338178697701245	0.000728492527239322	0.000429260733453729	0.000425415834448336	0.000285064466072783	0
average.mix_39	0.000861905398154231	0.000595519819765039	0.000419089556619763	0.000475063029806566	0.000147533157892478	0
average.mix_40	0.000150285726904897	0.000224554586830695	0.000132859429484066	6.54734963112627e-05	0.000204151370691504	0
average.mix_41	0	0.000240809637093625	0.000447732640820637	0.000127001787959351	0.000283172463027074	0.000302491924391086
average.mix_42	0.000866629791552663	0.000619953732380536	0.000308341866738338	0.000440019081356594	0.000126387586963734	0
average.mix_43	7.17427308661234e-05	0.00066634287777437	0.000519520311593573	0.000367531359052938	0.000375136505116794	0
average.mix_44	0.000164334529625021	0.000540787642842674	0.00027171523577951	0.000229226413381525	0.000299041406025731	0
average.mix_45	0	0.000361054398823963	0.000105305966876343	7.03489387927501e-05	0.000276478181878538	0
average.mix_46	0.000483590689148503	0.000661313296597494	0.00038670931822129	0.000412630627140662	0.000295605669192827	0
average.mix_47	0.000177637136208813	0.000212556903990387	0.000105709099324885	6.56368477708925e-05	0.000198863302633427	0
average.mix_48	0.000246938198925588	0	0.00043092230426792	0.000212832737772412	0.000129316017200256	0.00281653395792797
average.mix_49	0.000337212703491791	0.000327573736260642	0.000571979726806324	0.000264785696946905	0.000288199876047298	0.000723232588962135
average.mix_50	0.000629389062765558	0.000522664053215743	0.000142645747309094	0.00030600471905286	0.000171804618924998	0
average.mix_51	0.00027217312979325	0.000135285932110572	0.000459865329687527	0.000174859583567446	0.000129152821195762	0.00137471745350034
average.mix_52	0.000971565302468374	0.000599715837502962	0.000373546333064227	0.000482507975103746	0.000108971812549041	0
average.mix_53	0.000344319276826719	0.000270887397929689	0.00051051563039082	0.000228829446915325	0.000249845985086453	0.000881552106345416
average.mix_54	0.000811634391134724	0.000444860334392668	7.79946240791107e-05	0.000410831890273017	0.000165334688989672	0
average.mix_55	0.000290311926208533	0.00028298254267206	0.000490405021458477	0.000211519187151011	0.000250736348837488	0.000678486167665824
average.mix_56	0.00021055596817457	0.000372836904539766	1.44874072549955e-06	9.16838761734137e-05	0.000238098234942323	0
average.mix_57	0	0.00036052035268662	0.000454469344906708	0.000160700229866785	0.000313423887981808	0
