Mixture	Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages	P-value	Correlation	RMSE
mix_67	0	0.20196953001898	0.486754674499683	0.0789547588194719	0.132858346941218	0.0994626897206472	9999	0.425983481558051	1.03848063776441
mix_68	0	0.280679112705444	0.276941026456926	0.136125635769109	0.226092920025206	0.0801613050433145	9999	0.437400055342533	1.0140680421066
mix_69	0	0.31964121662185	0.418713783579445	0.0536403074482629	0.141911643332927	0.0660930490175157	9999	0.434346686008033	1.02050820827372
mix_70	0	0.274212489245357	0.188275756096091	0.149229776346137	0.301045230211987	0.0872367481004281	9999	0.441388888520717	1.00464689059438
mix_71	0	0.211625539524907	0.326321395922651	0.155953660002126	0.214438077374149	0.0916613271761668	9999	0.429016791396603	1.02944773814818
mix_72	0	0.207089329465791	0.272651363858482	0.130306860794263	0.289658956285498	0.100293489595965	9999	0.436123888628062	1.01518688717874
mix_73	0	0.242338945239719	0.230059106458327	0.0767739015505398	0.378178667664474	0.0726493790869408	9999	0.447822798912318	0.995865755491452
mix_74	0	0.364564857305856	0.472586213912081	0.0566461925537587	0.00846267790040876	0.0977400583278958	9999	0.43190333869879	1.02834805178278
mix_75	0	0.381250931387133	0.300755542709725	0.09852848784338	0.123656202219636	0.0958088358401259	9999	0.44442423595604	1.00385020826624
mix_76	0	0.153036502484153	0.446447287241262	0.0321761533429533	0.271981499048195	0.0963585578834361	9999	0.428129744490371	1.02769084253005
mix_77	0	0.336360611667618	0.418606881873247	0.0390580298596278	0.111741278906453	0.094233197693055	9999	0.440052507421433	1.01288726443317
mix_78	0	0.277667159671055	0.270545813454753	0.152243763413192	0.215869465019814	0.0836737984411868	9999	0.435348848419581	1.01717145751463
mix_79	0	0.232542756826406	0.201426621531373	0.11996463524729	0.342212621628427	0.103853364766504	9999	0.44652179547783	0.998448801553285
mix_80	0	0.413617714401862	0.256972258516922	0.118314040154037	0.0912061230213179	0.119889863905861	9999	0.451013926648103	0.995426787368228
mix_81	0	0.289612793108496	0.197976774932304	0.296753080771355	0.102814611051336	0.112842740136509	9999	0.43409579232383	1.02878310480368
mix_82	0	0.132899017622396	0.0882990643950085	0.203168123625502	0.48959818648465	0.086035607872444	9999	0.443155550989894	1.0079127788097
mix_83	0	0.337586692131505	0.217616070871725	0.0386886085930346	0.322625527337056	0.0834831010666792	9999	0.451982650785089	0.984667922011827
mix_84	0	0.208269863403372	0.365051038161397	0.093311632562385	0.248927467145055	0.0844399987277902	9999	0.430609081197302	1.0243298888995
mix_85	0	0.199137530685696	0.263667690638642	0.172624586792137	0.259720941627269	0.104849250256256	9999	0.432749172921653	1.02246341387428
mix_86	0	0.301995707765532	0.365261814686554	0.0371451209581997	0.21128796590461	0.0843093906851048	9999	0.44047457850116	1.0075387881471
mix_87	0	0.247576591133696	0.640530578620227	0	0.0102202518248685	0.101672578421208	9999	0.417399119802896	1.05397944721728
mix_88	0	0.320093694393567	0.449319221167267	0.0638854967267901	0.0607050650111749	0.105996522701201	9999	0.432268251983328	1.02602078742016
mix_89	0	0.271855793687788	0.118063365180807	0.300750135327365	0.211196133452614	0.0981345723514257	9999	0.437898801802042	1.01978435859597
mix_90	0	0.257110699437579	0.596517392049214	0.0102904421902299	0.0398376260923735	0.0962438402306036	9999	0.419993148851103	1.04755805286293
mix_91	0	0.29370602051231	0.42558573023786	0.0201246377122713	0.152719803843554	0.107863807694004	9999	0.437005608571623	1.01406324211248
mix_92	0	0.314742621468685	0.404712598892911	0.112027934454146	0.0839017936192889	0.0846150515649693	9999	0.431376577835995	1.02843146007483
