ID,Chondrocyte.articular,B.cell.naive,B.cell.memory,Monocyte.CD14,NK.cell.CD56,Endothelial.large.blood.vessel,Endothelial.microvascular.mammary.or.endometrial,Endothelial.microvascular.non.reproductive,Epithelial.cell.mammary,Epithelial.renal.cortical,Epithelial.respiratory,Fibroblast.cardiac.ventricle,Fibroblast.of.arm,Fibroblast.of.lung,Fibroblast.of.the.aortic.adventitia,Fibroblast.or.papilla.dermal.cell,Hair.follicular.keratinocyte,Macrophage,Mature.neutrophil,Melanocyte.of.skin,Myometrial.cell,Osteoblast,MSC.like.pluripotent.cell,Myocyte.regular.cardiac,Smooth.muscle.cell.aortic,Smooth.muscle.cell.bronchial,Smooth.muscle.cell.of.bladder,Smooth.muscle.cell.coronary.artery,Smooth.muscle.cell.pulmonary.artery,Smooth.muscle.cell.of.trachea,Smooth.muscle.cell.uterine,T.Cell.CD4,T.cell.CD4.memory,T.cell.CD8.memory
S10077,6.237458,6.370706,6.512392,6.68771,6.800754,5.758844,6.49951,6.38714,6.273758,6.3745,5.919642,6.467606,6.660162,5.845142,6.445468,6.328664,6.59331,6.52368,7.147096,6.738118,6.415344,6.116454,6.218464,5.94357,6.561806,6.422904,5.935084,6.60814,6.407748,6.367392,5.74254,6.329384,6.740224,6.629052
S10080,6.307864,6.388322,6.678996,6.808096,6.986812,5.84071,6.609524,6.404938,6.310966,6.500542,6.057498,6.503216,6.943272,5.932638,6.508684,6.332508,6.675548,6.603104,7.328922,6.848002,6.568666,6.13788,6.318666,6.074954,6.68927,6.60596,6.015848,6.655844,6.453316,6.490512,5.808844,6.510102,6.932136,6.782186
S10082,6.486258,6.606944,6.510574,6.599002,6.741602,5.87286,6.496874,6.369378,6.307654,6.689058,6.078868,6.226736,6.85401,6.069234,6.765334,6.286044,6.515086,6.54882,7.280566,6.793854,6.36132,6.143668,6.364674,6.233134,6.67943,6.52076,6.082114,6.756594,6.310718,6.371834,5.859262,6.72052,7.058452,6.747386
S10087,6.728676,6.754874,6.49739,6.623846,6.720548,5.920962,6.474914,6.408706,6.379726,6.71631,6.028022,6.19718,6.842972,6.117642,6.826282,6.339048,6.471796,6.62861,7.185746,6.798188,6.312866,6.154318,6.376076,6.281284,6.757138,6.491952,6.123082,6.763974,6.319662,6.4186,5.9882,6.764206,6.987736,6.795494
S10089,6.199674,6.324584,6.386578,6.491788,6.562352,5.707654,6.342024,6.289584,6.173522,6.402998,5.94831,6.30914,6.544002,5.730648,6.30413,6.18073,6.422568,6.322304,7.08196,6.644272,6.264732,6.073946,6.098552,5.90588,6.447308,6.286234,5.836086,6.457714,6.223334,6.295448,5.672206,6.372554,6.575338,6.540342
S1009,6.340156,6.532902,6.665426,6.538548,6.86994,5.863874,6.580864,6.338874,6.339776,6.522048,5.999684,6.40428,6.901134,5.981182,6.621664,6.322596,6.676078,6.514694,7.105492,6.80572,6.56498,6.158512,6.471456,6.121556,6.579644,6.518742,6.06503,6.811386,6.393296,6.40067,5.898114,6.656126,7.045896,6.864862
S10090,6.272636,6.343866,6.367546,6.440088,6.573116,5.708436,6.196256,6.197684,6.175634,6.332564,5.841446,6.173746,6.548972,5.770594,6.27668,6.163564,6.341602,6.281586,7.109622,6.581452,6.205666,6.005528,6.160152,5.910882,6.40254,6.264138,5.879372,6.441074,6.231366,6.244648,5.687396,6.306664,6.610378,6.572532
S10093,6.246972,6.22169,6.485788,6.552794,6.595906,5.74118,6.331518,6.270546,6.084454,6.362556,6.128988,6.37784,6.951658,5.719948,6.51206,6.097012,6.534766,6.493762,6.991256,6.741492,6.397284,6.030582,6.172844,6.032396,6.50201,6.539726,5.86757,6.402142,6.257078,6.321448,5.804328,6.359024,6.751962,6.560354
S10094,6.651784,6.636192,6.48527,6.679022,6.834858,5.924742,6.562298,6.42953,6.39728,6.64823,6.101168,6.33802,6.915986,6.06395,6.773138,6.325288,6.507888,6.582296,7.424994,6.90897,6.438836,6.127874,6.35864,6.183902,6.768894,6.513314,6.165182,6.723956,6.364566,6.40208,5.989028,6.652206,6.921032,6.73692
S1010,6.299488,6.474974,6.574456,6.707268,6.779232,5.850366,6.477362,6.388244,6.25003,6.424872,6.061472,6.392056,6.826786,5.90408,6.471166,6.322472,6.585946,6.54736,7.123576,6.77458,6.459618,6.15128,6.318758,6.002108,6.562672,6.472436,5.975068,6.676654,6.358216,6.338676,5.799946,6.509884,6.800774,6.794682
S10111,6.695358,6.698334,6.544226,6.585762,6.769524,5.883786,6.541696,6.37475,6.450958,6.71858,6.15322,6.18341,6.918342,6.120182,6.889592,6.363982,6.53787,6.582544,7.197034,6.901178,6.39607,6.13053,6.414976,6.285904,6.792356,6.56214,6.22444,6.75459,6.354062,6.413798,6.012152,6.79753,7.120542,6.8647
S10116,6.203592,6.409832,6.601622,6.50546,6.887686,5.610164,6.576722,6.346856,6.2491,6.255838,5.980802,6.409998,6.83218,5.864234,6.346984,6.35969,6.611028,6.399692,6.849896,6.737572,6.587106,6.083502,6.270838,5.936934,6.47422,6.51277,5.912418,6.65716,6.392808,6.354222,5.656774,6.502866,6.906296,6.9249
S10119,6.390136,6.48636,6.492518,6.528358,6.628842,5.800008,6.380476,6.349418,6.29891,6.545066,6.008252,6.293536,6.78689,5.989098,6.645088,6.17704,6.569184,6.46586,7.03072,6.735254,6.353104,6.135936,6.237516,6.138908,6.645734,6.5506,5.971642,6.611202,6.27025,6.335124,5.8503,6.672446,6.895506,6.829884
S10121,6.367834,6.492274,6.34791,6.522368,6.658072,5.820142,6.353226,6.330064,6.222836,6.562486,5.976434,6.188274,6.628594,5.934598,6.499566,6.205974,6.435618,6.440872,7.182336,6.710664,6.251056,6.081254,6.191828,6.069656,6.600954,6.396654,5.970888,6.564654,6.230546,6.261958,5.806282,6.560392,6.711248,6.728028
S10130,6.310272,6.38156,6.437684,6.623014,6.734482,5.776984,6.411856,6.358,6.222764,6.437184,6.02791,6.451936,6.63406,5.82263,6.40085,6.21165,6.523934,6.448268,7.273936,6.688212,6.42362,6.050804,6.201294,5.970162,6.51746,6.400728,5.932316,6.47049,6.297788,6.323074,5.80247,6.453292,6.704894,6.553564
S10140,6.557612,6.668654,6.55161,6.717804,6.781064,5.897344,6.525534,6.40918,6.37145,6.628944,6.037104,6.254654,6.900442,6.047988,6.698638,6.27626,6.468252,6.601706,7.484388,6.88511,6.451366,6.03904,6.33436,6.205696,6.750316,6.477856,6.087712,6.706346,6.337762,6.367118,6.027646,6.50373,6.805958,6.714476
S10142,6.644452,6.643626,6.468268,6.492806,6.83895,5.900846,6.430408,6.35045,6.298742,6.60285,5.99444,6.21432,6.834008,6.03066,6.744102,6.277828,6.415362,6.487274,7.007406,6.800662,6.291508,6.111296,6.294404,6.208568,6.72402,6.469656,6.06173,6.64226,6.300072,6.338966,5.894944,6.689936,6.858012,6.71197
S10150,6.183966,6.21655,6.479894,6.668472,6.735498,5.630044,6.418382,6.239984,6.147676,6.2748,5.98723,6.42651,6.694978,5.847906,6.22327,6.142776,6.486636,6.435254,7.326578,6.647828,6.424338,6.034458,6.159032,5.853132,6.567704,6.440504,5.887402,6.39502,6.295486,6.327612,5.680388,6.2075,6.624606,6.587944
S10155,6.42438,6.6108,6.458876,6.695506,6.723232,5.82162,6.45834,6.356522,6.311096,6.516982,6.062852,6.227932,6.920108,6.03336,6.640084,6.31194,6.562692,6.514284,7.164232,6.775256,6.341748,6.2145,6.327382,6.11539,6.615172,6.513278,6.00447,6.689174,6.260504,6.351772,5.854362,6.712604,6.93175,6.771246
S1016,6.317846,6.38789,6.327934,6.498856,6.543976,5.792302,6.24307,6.198676,6.17039,6.439298,5.933528,6.13441,6.66024,5.87411,6.515986,6.16978,6.33072,6.411898,7.067722,6.64539,6.147904,6.021312,6.00429,6.028262,6.47229,6.400458,5.921448,6.46525,6.22631,6.269766,5.789214,6.397484,6.772748,6.6068
S10163,6.22221,6.352322,6.593312,6.695074,6.911492,5.711076,6.671704,6.384102,6.34226,6.274766,6.016818,6.558562,6.882132,5.78155,6.284784,6.364536,6.627338,6.551186,7.248294,6.808068,6.602414,6.100902,6.281854,5.915316,6.55943,6.543582,5.97075,6.665592,6.456496,6.442302,5.751494,6.350792,6.862686,6.78369
S10167,6.52944,6.446128,6.630922,6.583254,6.761222,5.787338,6.536322,6.3051,6.2276,6.438316,6.109484,6.340982,7.062758,5.972658,6.755146,6.26419,6.570552,6.459832,7.148856,6.711352,6.473066,6.112558,6.241112,6.1338,6.679168,6.64429,6.01132,6.566904,6.347966,6.36377,5.897044,6.598222,6.883646,6.823822
S10168,6.484516,6.575352,6.430978,6.367962,6.787544,5.81857,6.392882,6.299466,6.319202,6.584934,5.950492,6.217574,6.74359,6.022702,6.690662,6.267488,6.46395,6.47769,7.09248,6.718128,6.286644,6.063378,6.253766,6.137734,6.620638,6.475628,5.993824,6.61563,6.248344,6.35434,5.849074,6.64231,6.889248,6.770042
S10173,6.292204,6.512536,6.663118,6.476736,6.733812,5.781024,6.479904,6.218372,6.267342,6.562648,6.057638,6.293578,6.881936,5.98612,6.653272,6.200958,6.559082,6.452844,7.03517,6.739688,6.46128,6.078998,6.26805,6.190774,6.576018,6.604372,6.05464,6.573718,6.283584,6.354844,5.815984,6.695406,7.067306,6.814154
S10175,6.504132,6.508892,6.422918,6.546362,6.711102,5.826642,6.476076,6.334892,6.289888,6.5468,6.109176,6.26713,6.876498,5.989962,6.670812,6.225208,6.421142,6.499842,7.237884,6.788432,6.384072,6.069722,6.216344,6.064668,6.63528,6.43363,6.012164,6.511144,6.250208,6.289164,5.91104,6.581496,6.825726,6.697244
S10179,7.001964,6.828982,6.642694,6.620962,6.929416,6.023312,6.715924,6.461314,6.547688,6.932132,6.265892,6.222138,7.29908,6.37695,7.225696,6.41001,6.60586,6.657694,7.185622,7.013794,6.565992,6.242366,6.602798,6.531338,6.91558,6.662262,6.363686,6.83675,6.345692,6.386476,6.293404,7.001966,7.245104,7.062748
S10186,6.649098,6.643924,6.515586,6.541052,6.704496,5.864684,6.455562,6.341844,6.27047,6.613212,5.978142,6.197624,6.912914,6.07115,6.892702,6.262486,6.522032,6.498066,6.843308,6.762324,6.34128,6.165946,6.411372,6.23761,6.624744,6.529894,6.042894,6.693622,6.25145,6.30526,5.919116,6.75378,6.958906,6.752238
S1019,6.361826,6.536264,6.424806,6.59131,6.730766,5.84097,6.419484,6.405766,6.303626,6.517328,5.99422,6.26068,6.685592,5.937258,6.56097,6.295406,6.50333,6.47653,7.081024,6.698862,6.336886,6.099074,6.182748,6.102044,6.587716,6.430084,6.004564,6.587972,6.290784,6.325298,5.81317,6.608642,6.843092,6.676148
S10190,6.75794,6.749626,6.559068,6.646724,6.688792,6.00123,6.591678,6.38693,6.372488,6.808328,6.155518,6.17894,7.129848,6.267248,7.08478,6.266858,6.571478,6.580156,7.188524,6.894882,6.40625,6.277482,6.455902,6.431188,6.828632,6.646344,6.218598,6.763062,6.292766,6.404718,6.137934,7.020702,7.165546,6.972324
S10195,6.559684,6.469994,6.502166,6.584892,6.6644,5.819192,6.457368,6.34801,6.319058,6.499636,6.111922,6.35333,6.85395,5.936946,6.597834,6.25873,6.492712,6.450338,7.299046,6.793798,6.446454,6.159428,6.251888,6.114506,6.673248,6.475822,5.9674,6.57342,6.317036,6.318448,5.90134,6.608614,6.793514,6.597314
S10196,6.65837,6.587774,6.55004,6.70194,6.846348,5.930972,6.553034,6.42603,6.447308,6.730662,6.192406,6.332748,7.062442,6.150894,6.884434,6.318584,6.612692,6.601872,7.34184,6.85588,6.451242,6.250526,6.420628,6.244032,6.817922,6.578964,6.175728,6.715382,6.382916,6.430702,6.082714,6.860872,7.061312,6.826698
S10200,6.474566,6.447944,6.376104,6.652064,6.755194,5.817,6.42916,6.337792,6.271836,6.505342,6.027114,6.291336,6.764832,5.947014,6.598618,6.21601,6.449162,6.507954,7.240812,6.82831,6.322928,6.077906,6.170102,6.073424,6.640048,6.453578,6.036672,6.59462,6.300818,6.340166,5.852728,6.50508,6.757862,6.69774
S10201,6.212464,6.23727,6.344866,6.545328,6.65915,5.744726,6.311964,6.340544,6.142392,6.284222,5.859122,6.34573,6.492936,5.736948,6.198852,6.182242,6.373524,6.400704,7.42494,6.640772,6.229,6.032458,5.96153,5.841306,6.503258,6.291996,5.816958,6.478882,6.260498,6.278838,5.662882,6.217902,6.42228,6.379798
S10202,6.22131,6.37486,6.437662,6.638058,6.855958,5.784462,6.483002,6.279242,6.21245,6.450064,5.881576,6.3245,6.691652,5.890106,6.404972,6.245072,6.48636,6.460134,7.115072,6.758348,6.40654,5.993164,6.199334,5.996818,6.555148,6.502442,5.980142,6.634268,6.332,6.355438,5.741466,6.324616,6.755208,6.713772
S10205,6.77925,6.792422,6.598236,6.607654,6.819836,5.927782,6.627406,6.404568,6.43865,6.748616,6.18282,6.269058,6.99966,6.162576,6.882796,6.355618,6.480458,6.56025,7.298704,6.923386,6.490886,6.140314,6.411508,6.301124,6.703934,6.607282,6.203064,6.711018,6.303806,6.39674,5.996776,6.848844,7.027232,6.819048
S10211,6.346892,6.336172,6.3512,6.514586,6.458178,5.751332,6.209352,6.292438,6.13202,6.453584,6.045458,6.248976,6.78981,5.89599,6.58825,6.11338,6.464042,6.417244,6.981962,6.750248,6.332384,6.192524,6.17431,6.07121,6.561954,6.451546,5.926664,6.419216,6.226844,6.295616,5.745076,6.407198,6.708314,6.65916
S10221,6.638364,6.615198,6.629,6.642538,6.796556,5.952262,6.647336,6.384586,6.412324,6.764336,6.29295,6.335794,7.22135,6.23472,6.921166,6.322576,6.6546,6.659662,7.303034,6.928166,6.526142,6.194852,6.492488,6.30753,6.79763,6.64796,6.170914,6.752724,6.361822,6.508874,6.005782,6.906524,7.117884,6.85051
S10222,6.290212,6.283294,6.387062,6.473354,6.573214,5.738012,6.256346,6.244672,6.18882,6.297138,5.950034,6.27648,6.682474,5.868068,6.376798,6.169834,6.373518,6.352448,7.126314,6.680792,6.226612,6.036414,6.098708,5.930658,6.474392,6.307188,5.876836,6.487042,6.19244,6.328254,5.75336,6.349292,6.649018,6.505898
S10226,6.643014,6.633986,6.494462,6.509282,6.6658,5.827408,6.417092,6.339628,6.31496,6.564796,6.016156,6.204858,6.843724,6.055424,6.70534,6.292156,6.402524,6.458632,7.276184,6.761566,6.283944,6.107854,6.23868,6.135852,6.685368,6.397082,6.080316,6.633588,6.251092,6.277224,5.96501,6.728716,6.823756,6.70389
S10227,6.527516,6.45998,6.49463,6.628958,6.70246,5.798674,6.409246,6.340992,6.309288,6.45067,6.01425,6.363778,6.90152,5.94573,6.567276,6.267518,6.47165,6.497974,7.301786,6.777614,6.35257,6.05887,6.184036,6.038976,6.646238,6.468058,6.01326,6.579264,6.308874,6.308504,5.824548,6.500132,6.809798,6.617794
S10228,6.449018,6.560148,6.487622,6.542972,6.750208,5.824142,6.463364,6.292438,6.30386,6.45051,5.992914,6.302444,6.826264,5.959694,6.591798,6.250978,6.463538,6.484424,7.215044,6.765246,6.37604,6.04997,6.214886,6.055642,6.591524,6.434054,6.01487,6.510608,6.202914,6.295616,5.843598,6.596578,6.843788,6.719446
S10232,6.256866,6.270844,6.490848,6.395022,6.577202,5.757622,6.387394,6.151802,6.202006,6.388524,6.031266,6.209248,6.86238,5.928742,6.490936,6.118316,6.52939,6.407668,6.74723,6.649926,6.357472,6.020688,6.240176,6.095392,6.453632,6.507912,5.90965,6.374102,6.229668,6.265914,5.697922,6.51201,6.953528,6.707314
S10248,6.612264,6.63719,6.375326,6.444254,6.537288,5.923892,6.34002,6.316218,6.245778,6.718944,6.124356,6.056414,6.909288,6.24809,6.877804,6.178624,6.370944,6.45589,7.030214,6.6961,6.209178,6.202218,6.303146,6.362014,6.672462,6.516938,6.11217,6.569894,6.14008,6.285404,6.019746,6.849524,6.941558,6.878522
S10249,6.186206,6.47845,6.424572,6.803194,6.790922,5.879834,6.559182,6.387302,6.290582,6.504636,5.959348,6.26992,6.803596,5.94119,6.42964,6.295418,6.513068,6.542134,7.373394,6.787836,6.45141,5.992636,6.280948,5.998774,6.595792,6.478416,5.962704,6.657242,6.311922,6.325792,5.937794,6.293016,6.702938,6.685144
S1025,6.660868,6.64354,6.494964,6.630128,6.829428,5.922214,6.462568,6.415258,6.371288,6.719454,6.034346,6.205546,6.84238,6.09374,6.834832,6.317902,6.482788,6.525934,7.14331,6.84118,6.280672,6.174808,6.330984,6.2586,6.752154,6.515338,6.110738,6.733332,6.303472,6.341536,5.987158,6.75909,6.924914,6.786584
S10266,6.181744,6.345856,6.498448,6.62862,6.745914,5.729438,6.39947,6.310846,6.23203,6.32688,5.948644,6.391064,6.72665,5.81724,6.28669,6.295656,6.56649,6.474372,7.195152,6.722532,6.410214,6.06744,6.191546,5.926256,6.484848,6.420518,5.881496,6.578012,6.347874,6.366298,5.642778,6.326386,6.654544,6.631342
S10269,6.265444,6.396854,6.505268,6.524762,6.746234,5.80168,6.373132,6.327412,6.174558,6.435966,5.916016,6.265908,6.598096,5.860942,6.440054,6.2509,6.388248,6.412466,7.20934,6.633932,6.226342,6.054118,6.03947,6.022066,6.528376,6.393312,5.943368,6.546154,6.261422,6.32109,5.771746,6.44538,6.650784,6.632778
S10272,6.44877,6.353606,6.333262,6.515148,6.5187,5.846992,6.295338,6.29215,6.116218,6.4926,6.034632,6.186136,6.621576,5.948278,6.574812,6.124582,6.389384,6.342214,7.124808,6.645258,6.257588,6.090094,6.123092,6.027664,6.600332,6.385344,5.943132,6.481164,6.215044,6.248492,5.852376,6.565998,6.634694,6.528896
S10273,6.434778,6.62717,6.44885,6.562644,6.763118,5.825066,6.376342,6.349554,6.259328,6.478078,5.961976,6.226254,6.808432,5.938162,6.589486,6.247304,6.453674,6.439852,7.233212,6.746636,6.282998,6.025528,6.193178,6.091368,6.62803,6.441752,6.017422,6.627512,6.284196,6.309968,5.849518,6.481062,6.813406,6.619176
S10274,6.564518,6.493098,6.541256,6.598276,6.654634,5.895016,6.474812,6.387016,6.27849,6.62215,6.12742,6.25989,6.9574,6.010536,6.739514,6.214428,6.520898,6.519948,7.154776,6.767432,6.37135,6.15674,6.31073,6.237548,6.736052,6.538688,6.07873,6.615038,6.263494,6.403944,5.968528,6.70474,6.836864,6.69831
S1028,6.700188,6.708742,6.477034,6.678116,6.61719,6.013996,6.5202,6.309254,6.248012,6.741664,6.18205,6.058832,7.001882,6.230232,7.00194,6.161692,6.429728,6.499808,7.11582,6.790808,6.33539,6.127666,6.293338,6.362204,6.78989,6.600948,6.17633,6.636702,6.209692,6.32179,6.096928,6.878224,7.00053,6.815356
S10280,6.70185,6.78239,6.585074,6.682594,7.022606,6.072492,6.650446,6.491904,6.506592,6.812782,6.113144,6.300354,7.021404,6.245794,6.893496,6.37612,6.686732,6.786234,7.31802,6.977338,6.536518,6.26756,6.47838,6.359382,6.813254,6.49185,6.227548,6.943362,6.369,6.42373,6.008274,6.866,7.103958,6.954034
S10283,6.708422,6.775348,6.481048,6.59264,6.893308,5.979472,6.594602,6.440258,6.465406,6.82098,6.08749,6.159628,7.037176,6.265938,7.012868,6.31713,6.517182,6.658598,7.156354,6.907476,6.404348,6.171454,6.476628,6.369646,6.785762,6.600826,6.199998,6.827584,6.30281,6.404476,6.063864,6.856356,7.07999,6.92904
S1029,6.505294,6.528358,6.493242,6.572394,6.729164,5.79726,6.485142,6.31103,6.326678,6.493646,6.047652,6.3139,6.879868,5.96567,6.61788,6.27107,6.516848,6.479042,7.143332,6.77361,6.355684,6.074728,6.274746,6.104894,6.598596,6.46641,6.003614,6.563418,6.342194,6.37891,5.904928,6.60299,6.8284,6.669922
S10292,6.449722,6.436152,6.428594,6.402384,6.64018,5.808722,6.379988,6.340994,6.263882,6.44682,5.96646,6.285684,6.656254,5.980542,6.647904,6.253542,6.422286,6.41411,7.010534,6.692406,6.292878,6.06976,6.274246,6.093708,6.522312,6.450066,6.016004,6.503888,6.223326,6.267662,5.851636,6.56143,6.860784,6.63354
S10294,6.70547,6.581924,6.46735,6.53787,6.696488,5.864618,6.467058,6.297348,6.316342,6.667968,6.164068,6.24195,6.929434,6.152194,6.986316,6.216248,6.48702,6.518592,7.037606,6.83342,6.408966,6.121918,6.291584,6.22643,6.72867,6.616462,6.127256,6.62601,6.218082,6.33354,6.104798,6.840762,6.995228,6.847648
S10302,6.471534,6.42283,6.446656,6.588206,6.665918,5.816486,6.446984,6.324532,6.256512,6.56348,6.090116,6.230596,6.871032,6.020738,6.633052,6.233884,6.476572,6.51781,7.109308,6.741038,6.30867,6.157394,6.260924,6.13342,6.629704,6.509712,5.961608,6.598994,6.260098,6.321338,5.903652,6.665508,6.854292,6.733252
