ID,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell
S10226,7.03129333333,6.04612,6.88743333333,6.93708529412,7.08131538462,5.7303,7.33267241379,6.76123333333,8.167525
S10227,6.72104,6.13814,7.0212,7.05582647059,6.81331538462,5.175675,7.22554482759,6.82126666667,7.7676
S10228,6.70990666667,6.04148,6.8853,7.00543235294,7.00449230769,5.66235,7.21035172414,7.01983333333,7.94425
S10232,6.93430666667,5.9463,6.56743333333,6.83235294118,6.66624615385,5.07105,6.78862068966,7.45178333333,8.0884
S10248,6.78842,5.9286,6.88114,6.71125882353,7.20685384615,5.7988,7.35571034483,7.63426666667,8.028425
S10249,6.64446,6.1038,7.30649333333,7.13562058824,6.75970769231,4.97885,7.54186206897,6.63828333333,7.599425
S1025,6.98974666667,6.24584,6.90428666667,6.95962352941,7.29384615385,5.966875,7.07046896552,7.06711666667,8.24805
S10266,6.83166666667,6.0913,6.89062666667,7.08561470588,6.68540769231,5.36155,7.30927586207,6.6874,7.868325
S10269,7.04494666667,6.32744,6.75947333333,6.98556764706,6.85050769231,5.409625,7.20637586207,6.7147,7.80305
S10272,6.44356666667,5.96996,6.77326666667,6.83739411765,6.98811538462,5.26755,7.35912758621,6.82143333333,7.48435
S10273,7.09377333333,6.12326,6.79870666667,6.97459411765,7.05356923077,5.073825,7.35235517241,6.72633333333,7.853875
S10274,6.77413333333,6.00468,7.02207333333,7.00825588235,7.09657692308,5.46135,7.34646896552,7.00761666667,7.8188
S1028,6.76461333333,5.95494,7.14147333333,6.81071176471,7.29352307692,5.718325,7.25451724138,7.4209,8.010675
S10280,7.10983333333,6.38598,6.96734,7.23598823529,7.26790769231,6.03005,7.36553448276,7.14711666667,8.723075
S10283,7.05816,6.17328,7.11614,7.02997941176,7.26886923077,5.947625,6.88965172414,7.22511666667,8.56455
S1029,6.99426666667,6.28184,6.90524,7.04433823529,6.98143076923,5.479225,7.17574137931,6.86236666667,7.936225
S10292,6.95408,6.14464,6.50164,6.83182647059,6.84537692308,5.372625,6.89404482759,6.97136666667,8.152225
S10294,6.78472666667,6.17022,6.93554,6.90923823529,7.28665384615,5.519725,7.09063793103,7.08806666667,8.032325
S10302,6.70305333333,5.95976,6.92020666667,6.882,6.99008461538,5.344025,7.15396206897,7.13885,8.18425
S10303,6.84784666667,6.07022,6.87578,6.95429411765,6.90073076923,5.68825,7.17459310345,6.78638333333,8.0229
S10323,6.8556,6.10374,6.89053333333,7.03336470588,6.85286923077,5.7082,7.13357241379,6.74773333333,8.005875
S10326,6.80632666667,6.0932,6.99939333333,6.98605,7.24083076923,5.572275,7.22493793103,6.72495,7.806375
S10328,6.9397,6.16644,6.57364,7.03450882353,7.08027692308,6.2693,7.09047241379,6.73025,8.476725
S10329,7.10913333333,6.24948,6.82962666667,7.00021470588,7.20763846154,6.067575,7.16822758621,6.95878333333,8.212475
S10336,6.83696666667,6.13582,6.74410666667,7.07261764706,7.04873076923,5.5795,7.13797586207,6.58211666667,7.58785
S10340,7.19689333333,5.9564,6.86124666667,6.84757941176,6.91315384615,5.415375,7.28961724138,6.98276666667,8.324175
S10347,6.76750666667,6.0344,6.43658,6.94840294118,6.17766153846,5.552475,6.79726206897,6.60456666667,7.691275
S10353,7.01274666667,6.04206,6.82021333333,6.95349705882,6.89851538462,5.2805,7.10050689655,6.85576666667,8.18365
S10356,7.08145333333,6.09454,6.77642,6.95557058824,6.68223076923,5.065325,6.98997586207,6.8359,7.900725
S10358,6.73194,6.0519,6.91844666667,7.10875294118,7.09193846154,5.4394,7.31853793103,6.82733333333,8.005025
S10365,6.64480666667,6.07302,6.93216,6.98898529412,7.01808461538,5.151825,7.24682068966,6.79838333333,7.859425
S1037,7.09812666667,6.05434,6.71299333333,6.88546176471,7.09154615385,6.0549,6.79456206897,7.34793333333,8.687875
S10373,6.98758666667,6.05588,6.86671333333,7.08983823529,6.99656153846,5.795,7.1170137931,7.27193333333,8.16695
S10374,6.554,5.88444,6.77646666667,6.72829117647,6.76526923077,5.155975,7.04200689655,7.0619,7.623875
S10375,6.78488,5.88412,7.05757333333,7.16163823529,7.05420769231,5.9486,7.5070862069,7.13191666667,8.045975
S10377,6.70906666667,6.1078,6.91106666667,7.0156,6.35304615385,5.619925,6.81195862069,6.75371666667,7.8759
S10378,7.02407333333,6.1388,7.04942,6.98367941176,7.32464615385,6.330925,7.28415172414,7.20255,8.368875
S10390,6.76880666667,5.9383,6.52378666667,6.87005882353,6.05827692308,5.030925,6.78103793103,6.54966666667,7.4221
S10391,6.61918,5.96098,6.89562666667,6.96328529412,6.79988461538,5.6225,6.89389655172,6.80338333333,7.42715
S10393,6.63064,6.04546,7.05931333333,6.79986764706,7.28280769231,6.1192,7.34331724138,7.3144,8.3054
S10400,6.80754,6.14552,7.0667,7.12997058824,6.75003076923,5.258575,7.1128,6.68265,7.7843
S10401,6.98704,6.27038,6.77582,7.15808235294,6.60035384615,5.9089,7.01064827586,6.53246666667,7.827625
S10406,6.63652666667,5.9145,7.09487333333,6.90357352941,6.8474,5.428975,7.49857586207,6.57753333333,7.467575
S10408,7.07684666667,6.14252,6.97731333333,7.17407941176,6.7433,5.3486,7.43798965517,6.71018333333,8.214475
S10409,6.89356,6.0163,7.14590666667,6.95532647059,7.2443,6.1324,7.27727586207,7.51965,8.410575
S10418,6.58287333333,5.93116,6.47656666667,6.90033235294,6.35717692308,5.00225,6.96644827586,6.1684,6.894925
S10431,6.57020666667,6.07698,6.92812,6.90982941176,6.94780769231,5.27195,7.2007137931,7.18191666667,7.748175
S10438,6.8177,6.20384,7.02552,7.03089411765,6.9476,5.30625,7.18998965517,6.94641666667,7.8654
S10439,6.82808,6.18988,7.37018666667,7.13782352941,7.1358,5.714125,7.5047,7.07183333333,7.9936
S10441,6.77996,6.30162,7.10628,7.23455588235,7.20176153846,5.6063,7.48568965517,6.64453333333,7.749
S10442,6.96380666667,6.14028,7.12142,7.14385882353,6.96301538462,5.5848,7.3779862069,6.94806666667,7.953725
S1046,6.87071333333,6.13518,7.06628,7.08788823529,6.95419230769,5.643675,7.52809655172,6.76058333333,7.680925
S10478,6.89201333333,6.15528,7.12012666667,7.20404411765,6.69422307692,4.903525,7.67733103448,6.30808333333,6.9173
S10480,7.07338666667,6.20586,6.70912666667,6.80314117647,6.83074615385,5.54605,6.54479655172,6.84833333333,7.8232
S10484,6.89875333333,6.17548,7.09048,7.19537352941,6.69501538462,5.25755,7.26795172414,6.64788333333,7.699425
S10492,7.01880666667,6.00592,7.33136,7.14757058824,7.06548461538,5.740925,7.2111862069,7.54745,8.73445
S10496,7.20776,6.38888,6.93120666667,6.85650882353,7.50011538462,6.07505,7.28064482759,7.24406666667,8.158725
S10510,6.60562666667,6.10384,6.98412666667,6.65646764706,6.94252307692,5.504725,7.00176896552,7.22576666667,7.6781
S10513,6.56699333333,5.94364,7.02504,7.05128235294,7.01370769231,5.524375,7.30982413793,6.78378333333,7.863425
S10516,6.89518666667,6.15134,6.83819333333,7.09094411765,6.9459,5.36625,6.93578965517,6.69155,7.60175
S10534,6.93154666667,6.09906,6.94718,6.94678529412,7.08542307692,5.61485,7.14194482759,7.04586666667,8.241675
S10535,6.76288666667,6.01372,6.88567333333,6.76895588235,7.19101538462,6.076925,7.02114137931,7.4616,8.1452
S10537,7.01938,6.19066,7.18354666667,7.22938235294,7.15251538462,6.103675,7.32549655172,6.69508333333,7.94775
S1054,6.75668666667,6.2148,6.89336,6.92715294118,6.78639230769,5.386,6.9498862069,6.79551666667,7.932875
S10543,6.98838666667,6.3368,6.71772,6.98032647059,7.17331538462,5.60005,7.24024137931,6.66908333333,7.94535
S10546,6.72048666667,6.14998,6.80844666667,6.82491176471,6.97569230769,5.4148,7.04507931034,6.8828,7.355425
S1055,6.60896666667,6.0214,6.95424666667,6.95856176471,6.73904615385,5.588825,7.49080689655,6.38853333333,7.38195
S10551,6.85192666667,5.97176,6.82596666667,7.03886764706,6.65793846154,5.334225,6.90404482759,6.50475,7.93475
S10552,6.6923,6.14932,6.76232666667,7.08340588235,6.70533076923,5.495025,7.14263793103,6.25943333333,7.08085
S10555,6.98245333333,6.21356,6.98877333333,7.0906,7.37986153846,5.874825,7.13598275862,7.0869,8.8941
S10559,6.70972666667,6.0314,6.99066666667,7.00057647059,7.08381538462,5.423125,7.10081724138,6.79416666667,7.799825
S1056,7.15899333333,6.09882,6.94177333333,6.95353823529,6.85653846154,5.43565,7.18948275862,7.24791666667,8.34335
S10563,7.04344666667,6.16134,7.02912666667,7.14919705882,6.72727692308,5.3915,7.34994137931,6.82158333333,8.44005
S10574,6.8761,6.16766,7.03727333333,6.97359117647,7.31626923077,5.8684,7.02292068966,7.21208333333,8.373925
S10576,6.64063333333,5.84188,6.823,6.81687058824,6.95341538462,5.245675,7.44740344828,6.76676666667,7.444375
S10578,6.56700666667,5.97586,7.07265333333,6.93030882353,7.02616923077,5.8035,7.36890689655,6.76448333333,7.566175
S10579,6.66112,6.096,6.76272666667,6.82873823529,7.23702307692,5.6846,7.43042068966,6.75895,7.97475
S10582,7.01226666667,6.07158,6.84192,6.96818235294,7.17344615385,5.866225,7.39314482759,6.80258333333,7.886225
S1059,7.07247333333,6.31006,6.97786,7.17485588235,7.00583846154,5.6444,7.26756896552,6.65801666667,8.243375
S10599,6.81750666667,6.02786,7.22166,7.07829117647,7.11926923077,4.81625,7.70760344828,6.98238333333,7.77615
S10611,6.72531333333,6.0942,6.87184,6.93588823529,7.10906923077,5.277025,7.21596206897,7.0174,8.00755
S10614,6.73005333333,6.01002,7.04128,7.17287352941,6.85087692308,5.727725,7.55797241379,6.69326666667,7.70595
S10624,6.91831333333,6.43224,6.65215333333,7.00947647059,6.75008461538,5.167525,6.86353448276,6.62211666667,7.9631
S10632,6.65663333333,6.12238,6.69228,6.87254117647,6.72183076923,5.00115,7.049,6.63156666667,7.43505
S10634,7.06138666667,6.15636,6.74569333333,6.89768235294,7.07385384615,5.837475,7.17614137931,6.95281666667,8.106475
S10638,6.929,6.13452,6.98146666667,7.18942352941,7.03036923077,5.40745,7.37116206897,6.96365,8.230175
S10644,6.86616666667,6.03258,6.9697,6.93195294118,7.12886153846,5.72135,7.07652758621,7.6028,8.318175
S10649,6.75561333333,5.9738,6.84182,6.84255588235,7.19290769231,5.498575,7.74945517241,6.71826666667,7.76365
S10652,6.77322666667,6.13882,6.78234666667,6.95131470588,6.94942307692,5.460725,7.35438275862,6.441,7.342825
S10654,6.9027,6.21658,6.93271333333,6.91904411765,7.51053846154,6.115525,7.24779655172,7.12168333333,7.712775
S10655,6.7045,6.1263,6.88322666667,6.89123529412,7.04382307692,5.5605,7.19802758621,6.90751666667,8.04475
S10656,6.86309333333,6.1102,6.95720666667,6.94451176471,7.56402307692,6.75075,7.4031137931,7.4649,8.4807
S10657,6.78918666667,6.14698,6.73469333333,7.01453823529,6.67921538462,5.3163,7.05613103448,6.5517,7.8337
S10658,7.04558,6.15916,6.986,6.97310294118,7.40007692308,6.12205,7.56556896552,7.22796666667,8.432025
S10660,6.72143333333,6.21426,6.81947333333,6.91312058824,6.88226153846,5.42615,6.50998275862,6.96211666667,8.1853
S10661,7.07927333333,6.31602,6.75659333333,6.95589705882,7.19593846154,5.420725,7.13164137931,7.3362,8.320025
S10676,6.85786,6.11746,7.26088666667,7.02439117647,7.42031538462,5.584625,7.4863,6.56625,7.412325
S1068,7.16536,6.13076,6.92235333333,7.07432352941,6.92805384615,5.442675,7.01626206897,6.89798333333,8.338925
S10681,6.62242666667,5.9954,6.95644,6.68259117647,6.74577692308,5.281725,7.12387931034,6.84313333333,7.45015
S10686,6.63156,6.02404,6.77437333333,6.87755588235,6.80669230769,5.1989,6.99247241379,6.66606666667,7.50225
S10688,7.0162,6.1983,6.85886,7.08922352941,7.19094615385,5.30275,7.30698965517,7.56206666667,8.51
S10690,6.70308666667,6.20446,6.78794666667,7.11378235294,6.76745384615,6.0385,6.98895172414,6.5893,7.50785
S10698,6.89375333333,6.07308,6.85967333333,6.92585294118,7.06495384615,6.13125,6.96958965517,7.19565,8.171525
S107,6.92587333333,6.1797,6.87857333333,6.90957352941,7.08852307692,6.04005,7.26136206897,7.31041666667,8.441175
S10703,6.74582666667,6.04466,7.04098666667,6.88725882353,7.39663076923,5.563725,6.99312068966,7.10808333333,8.360075
S10726,7.04426666667,6.10218,6.96308666667,6.96614411765,6.87683846154,5.173975,7.15186551724,7.19718333333,7.94055
S10729,6.78694666667,6.0212,6.95996,7.15677058824,6.70567692308,5.59655,7.16910344828,6.75941666667,7.671425
S10733,6.71007333333,5.97332,7.18280666667,6.89567941176,7.38480769231,5.3919,7.32448275862,7.2739,8.045625
S10734,6.82420666667,6.13932,7.12853333333,6.94292058824,6.50132307692,5.411875,6.96644827586,7.29221666667,8.21705
S10735,7.00794666667,6.2751,6.88599333333,7.08488235294,6.90350769231,5.2784,7.17365862069,6.8314,7.910375
S10740,6.86193333333,6.0827,7.37552666667,7.33693235294,6.47303846154,5.033675,7.63551034483,6.753,8.11705
S10745,6.96372666667,6.12284,7.06598,7.09265882353,7.05650769231,5.56825,7.48505517241,6.53218333333,7.3183
S10748,7.00801333333,6.16476,6.9072,7.05509117647,6.73913846154,4.955,6.97183448276,6.85998333333,7.88135
S10753,7.15384666667,6.19146,7.30346,7.38506470588,6.90126923077,5.298475,7.62972758621,7.08486666667,8.390775
S10756,6.9729,6.10512,6.97038666667,6.99611764706,7.26054615385,6.01715,7.35823793103,7.1781,8.025425
S10757,7.14364,6.21456,6.68242666667,6.93657352941,7.1856,6.06625,6.92801034483,7.7611,8.923125
S1076,7.11415333333,6.1151,6.86468,7.13812647059,6.9333,5.37225,7.24419310345,6.90565,8.05425
S10764,6.88946,6.17304,6.76670666667,7.04649411765,6.65487692308,5.483225,7.16124482759,6.64331666667,7.796
S10767,6.98589333333,6.06304,6.90235333333,6.99517647059,7.07372307692,6.35505,6.7525862069,7.18603333333,8.39255
S10776,7.02372666667,6.0703,7.03409333333,7.08857647059,7.06973076923,5.781525,7.45992068966,6.73723333333,7.99855
S10778,6.89686,6.15272,7.04938,7.06852941176,6.95873846154,5.356575,7.74505862069,7.01393333333,8.2529
S10784,6.98404666667,5.99932,6.9422,7.15525,6.80174615385,5.57845,7.56088275862,6.48233333333,7.5059
S10787,6.92482666667,6.29438,6.74254,7.06152058824,6.8789,5.944625,7.06007931034,6.6382,7.90455
S10800,7.51684666667,6.4968,6.77149333333,6.95959117647,7.06306153846,5.43105,7.19156551724,7.07186666667,7.79265
S10805,7.03006,6.08316,6.88089333333,7.14308529412,6.69065384615,5.5087,7.34122758621,6.64046666667,7.73215
S10813,6.85800666667,6.10148,6.88168666667,6.90687352941,7.14928461538,5.622325,7.13558965517,6.61445,7.794175
S10814,6.42544666667,6.2278,6.61954666667,6.72960294118,6.63533846154,5.239175,6.93070344828,6.62085,7.088825
S10815,6.8854,6.06058,6.79371333333,6.87230882353,7.20496923077,6.361475,7.40487931034,7.1838,8.003425
S10817,6.72390666667,6.01898,6.69778,6.85588235294,6.75482307692,5.270225,6.90922068966,7.04938333333,8.1963
S1083,7.0287,6.18618,6.86368666667,7.02722352941,7.40331538462,6.03665,7.0981137931,7.09038333333,8.39205
S10835,6.42089333333,6.03312,7.39542666667,7.04870294118,6.99987692308,4.989725,7.08344827586,6.70008333333,7.466575
S10838,6.62840666667,5.96528,7.08281333333,6.85275294118,7.39188461538,5.56015,7.38640689655,7.1588,8.107875
S10844,6.94167333333,5.9842,6.61331333333,6.86543529412,6.99295384615,5.444625,7.01642758621,6.97996666667,8.0434
S10845,6.79269333333,5.98772,7.04277333333,7.04158235294,7.20616153846,5.44865,7.2649,6.8623,7.5377
S10846,7.38951333333,6.0726,6.72436,6.94350882353,6.89045384615,5.7505,6.8189862069,7.31655,8.472125
S10853,6.38548666667,5.77488,7.00417333333,6.88825,7.01382307692,5.354775,7.53426551724,6.54603333333,7.174725
S10854,7.18474,6.12736,6.94771333333,6.87611176471,7.19060769231,5.535925,6.9086,7.38721666667,8.500325
S10865,6.95509333333,6.05208,6.87071333333,7.11955,6.99941538462,5.995825,7.14738965517,6.90231666667,7.9232
S10866,6.76650666667,6.04684,7.18698666667,7.03912352941,7.12316153846,5.694725,7.3018137931,6.92145,8.162775
S10869,6.68001333333,6.06604,7.19247333333,7.20725294118,7.07035384615,5.61985,7.62738965517,6.33018333333,7.709325
S10873,6.84606,6.03274,6.77375333333,7.12054705882,6.84129230769,5.268775,7.20755862069,6.62713333333,7.835175
S10876,6.98647333333,6.13844,7.11495333333,6.97336470588,7.28283846154,5.157575,7.19764137931,7.35083333333,8.49515
S10883,6.78603333333,6.2171,7.12112,7.01287941176,6.97360769231,5.2778,7.2559,6.74188333333,7.3402
S10885,6.78707333333,6.03982,7.12183333333,7.09350294118,6.80976923077,5.49715,7.40280689655,6.96145,7.7836
S10893,6.63400666667,5.96026,7.07137333333,6.94749705882,7.18148461538,5.4137,7.40085517241,7.06955,7.6232
S10895,6.70326666667,6.01164,7.18914,7.06937058824,7.161,5.7706,7.40335862069,6.67053333333,7.78655
S10902,6.83173333333,6.15056,6.69251333333,6.79537941176,6.99311538462,5.336675,6.99178965517,6.92416666667,7.886025
S10903,6.54995333333,5.91562,7.34762,7.06372647059,6.96950769231,5.79605,7.61620689655,6.95638333333,7.83715
S1092,6.81836666667,6.02378,7.10660666667,7.01626764706,7.16193076923,5.6743,7.6761137931,6.98248333333,7.6418
S10925,6.91082666667,6.1709,7.10649333333,6.92245588235,7.02315384615,5.408675,7.01636896552,6.78056666667,7.76895
S10927,6.80788,6.16018,7.07855333333,7.20760294118,7.03855384615,5.8465,7.52681724138,6.90756666667,8.111725
S10936,6.96894666667,6.3404,7.09142,7.08081470588,7.11755384615,5.970825,7.1195,7.12625,8.488175
S10945,7.15138666667,6.27528,7.32355333333,7.23367647059,7.09406153846,5.618275,7.73194482759,6.75398333333,8.079125
S10947,6.57309333333,6.08298,6.72167333333,6.84645,6.70289230769,5.3852,6.90977586207,6.78638333333,7.44685
S10949,6.84258,5.93338,6.87573333333,6.84000294118,7.02218461538,5.629575,7.38196551724,7.52675,8.377475
S1095,6.71511333333,5.99966,6.66577333333,6.9912,6.51643076923,5.355675,7.0868862069,6.5302,7.38395
S10961,6.59410666667,6.0012,7.01697333333,6.96600294118,7.02482307692,5.19445,7.43126206897,6.57375,8.02295
S10969,6.85726666667,6.01172,6.82653333333,6.96172941176,7.30656153846,6.0249,7.23518275862,7.2044,8.1468
S10972,7.10955333333,6.17114,6.98313333333,7.07539411765,7.03420769231,5.59745,7.08558965517,6.38231666667,7.5043
S10973,7.14771333333,6.14758,7.04562,7.09969705882,6.75729230769,5.200575,7.68329310345,6.67846666667,8.088125
S10978,6.84966,6.00848,6.89611333333,7.00619705882,7.27653846154,6.4414,7.44733448276,6.84803333333,8.18235
S10979,7.02887333333,6.20124,6.98193333333,7.10325294118,7.04188461538,5.75405,7.17900689655,7.02816666667,8.0356
S10986,6.57210666667,5.91586,6.85127333333,7.12342941176,6.76776923077,5.14535,7.23043793103,6.88106666667,7.718375
S10989,6.76455333333,6.05942,6.93186,6.82645294118,7.1304,5.343425,7.27400689655,7.2855,8.111675
S10995,6.71774,5.93756,7.23817333333,6.92029411765,7.33057692308,5.73275,7.56427586207,7.27703333333,8.040375
S11005,6.84526666667,6.03226,7.03342,6.95189705882,7.04623846154,5.768875,7.08023103448,7.32423333333,7.83985
S11008,7.05294666667,6.17472,6.85036,6.99926764706,7.0618,5.51085,7.41895862069,6.9022,7.8807
S11010,6.49845333333,6.03606,6.71214666667,6.58188235294,6.83939230769,5.323175,6.75358965517,6.85988333333,7.306725
S11013,6.86270666667,6.10348,7.04698,7.08080882353,6.92974615385,5.615275,7.09996206897,6.66158333333,8.215125
S11016,6.96575333333,6.03578,7.29879333333,6.95765,7.25346153846,5.5055,7.34273103448,7.37761666667,8.336175
S11017,6.78194666667,6.0705,7.2676,7.27613529412,7.01085384615,5.56865,7.07056551724,6.63813333333,7.635875
S11020,6.99798666667,6.03962,7.12043333333,7.12425588235,7.05447692308,5.8705,7.35830344828,6.75871666667,8.00885
S11027,6.66344666667,5.984,7.27452,6.9835,7.22898461538,5.358525,7.60214827586,6.9053,7.9274
S11035,6.56838666667,5.99868,6.97132666667,6.82595294118,6.9482,5.982075,7.4393137931,7.07026666667,7.811075
S11041,6.79324,6.01304,6.87519333333,6.83111470588,7.07143076923,5.1983,7.26327241379,7.08321666667,7.98815
S1106,6.94142666667,6.193,7.00362666667,6.99367647059,7.24922307692,4.988875,7.34185862069,7.03948333333,8.2639
S11071,7.17576666667,6.02042,6.99646666667,6.89506764706,7.34372307692,6.3837,6.70168275862,7.4372,8.748
S11076,6.77312,6.10044,6.73504666667,6.92765,7.00350769231,5.542125,7.05903103448,6.90913333333,7.91285
