Mixture	B_cells	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	NK_cells	Neutrophils	T_cells_(CD4+)	T_cells_(CD8+)	P-value	Correlation	RMSE
mix_18	0.0933108123336845	0.683649401552651	0.00971913169244683	0	0	0.0576727045128248	0.155647949908393	9999	0.550568467242274	0.929747400289902
mix_19	0.217266740092347	0.407062534775563	0.0271836842133061	0.012346475670364	0	0.154689848955466	0.181450716292954	9999	0.559935312286581	0.909091584381763
mix_20	0.231463662586971	0.0672839397742464	0.0259375668275189	0	0	0.360113303982863	0.315201526828401	9999	0.574310561984384	0.897153570911362
mix_21	0.271860597631149	0.262324049372558	0.00915637620678866	0.0056264089490951	0	0.249519537144243	0.201513030696166	9999	0.564679521957312	0.902608619303525
mix_22	0.25472362678822	0.37833119672502	0.0192487316003427	0.0284985117458026	0	0.167000795899135	0.152197137241479	9999	0.564418091383264	0.903395556212098
mix_23	0.270186003838772	0.399147419480132	0.0106548788716916	0.00129246655639131	0	0.182261927223818	0.136457304029195	9999	0.561750127720413	0.90615293062916
mix_24	0.0539496030266755	0.714219585966673	0.0150416407489111	0.0191480394394389	0	0.0286333411182833	0.169007789700018	9999	0.549036629685306	0.934000184328591
mix_25	0.113144589973635	0.433814591316384	0.0128207711089453	0	0	0.227254201869878	0.212965845731158	9999	0.560301252029002	0.911310742046273
mix_26	0.183304175577929	0.0885696071619355	0.0517992547231076	0.0260429360356367	0	0.365197422881831	0.28508660361956	9999	0.570240363497139	0.901292443377768
mix_27	0.240510328727158	0.552901716210122	0.0215487193974192	0.0510673206692816	0	0.0432656105162641	0.0907063044797553	9999	0.552542628278139	0.920160683915312
mix_28	0.298301405865633	0.0648717672447892	0.02898475141414	0.00108872872606728	0	0.352609915152726	0.254143431596644	9999	0.573934450209595	0.895816001600213
mix_29	0.167354243474516	0.409518029999155	0.0250748290159949	0.0157494901668026	0	0.183760302528203	0.198543104815328	9999	0.560983819946204	0.909053442014243
mix_30	0.18822657827545	0.394758372829654	0.0253016660113699	0.0101958011437116	0	0.175324323572689	0.206193258167126	9999	0.561439969955101	0.907925523632402
mix_31	0.161364466445562	0.42931292096474	0.0212336794296614	0	0	0.192461242681366	0.19562769047867	9999	0.560131069305393	0.910339877372632
mix_32	0.205931795073829	0.332418313727588	0.00934748714109397	0.0140724857704472	0	0.242657471757982	0.195572446529059	9999	0.565238915654779	0.903251669789865
mix_33	0.193451726293807	0.451959407696839	0.0147496161708883	0.0105245488699912	0	0.167438959406327	0.161875741562148	9999	0.557599436975082	0.912641998514306
mix_34	0.0740287090906053	0.603264182448466	0.0115775076610281	0.0109162183715144	0	0.10383344228081	0.196379940147577	9999	0.552979257630741	0.92410028670674
mix_35	0.149433725925378	0.465213545056333	0.0229136225618696	0.00475371924866438	0	0.144581914544389	0.213103472663366	9999	0.559146229441496	0.912224606505
mix_36	0.308555846739053	0.244901858097764	0.0156315742492762	0.0107225420631667	0	0.254916037851087	0.165272140999653	9999	0.564887504141723	0.901743725768715
mix_37	0.294858490808624	0.282265543748815	0.0121233279846224	0.00143175975530305	0	0.255216284353635	0.154104593349	9999	0.563380851918572	0.903456260838002
mix_38	0.207649136776447	0.14487696367959	0.0145671101599992	0.0041738558516211	0	0.347242045113952	0.281490888418389	9999	0.570877164532689	0.899478273277716
mix_39	0.352184520959561	0.1403958652141	0.0333292970419469	0.0366230245826204	0	0.257444239516244	0.180023052685528	9999	0.568958614212345	0.897656134874672
mix_40	0.19792541945487	0.439195354430879	0.0255584979877302	0	0	0.168715974993078	0.168604753133443	9999	0.559071539384417	0.910916483288897
mix_41	0.119967955053729	0.534952222953948	0.0164931578896861	0.0197249265949777	0	0.12458540231126	0.1842763351964	9999	0.554642393384078	0.919220481941002
mix_42	0.370024721852472	0.0766218449167263	0.0312211376868323	0.0116918324958142	0	0.322751901100787	0.187688561947368	9999	0.572647175059872	0.895132663729499
mix_43	0.111643234738349	0.319840232021973	0.0189859441061093	0.0050076542824964	0	0.245357624552433	0.299165310298639	9999	0.566374777257784	0.904255988781845
mix_44	0.151000671773718	0.27993830051292	0.0119888623217391	0.000913719978860513	0	0.27702001162295	0.279138433789813	9999	0.564423054540817	0.905518822603059
mix_45	0.0911298363575061	0.408415870428887	0.0139880605500284	0	0	0.249058190585081	0.237408042078498	9999	0.561399304011772	0.910435472565376
mix_46	0.226111386811857	0.187966369443503	0.0158032313115458	0.0131328584392642	0	0.280979003046286	0.276007150947543	9999	0.56847677125315	0.900457113586273
mix_47	0.203129817427004	0.448875736637017	0.00460802764968014	0	0	0.176072633771575	0.167313784514724	9999	0.559742868591054	0.910091365580079
mix_48	0.22274453937806	0.58453785722837	0.0218904114712577	0.0610751828591136	0	0.0300423268038327	0.0797096822593656	9999	0.5513685650752	0.922943165939395
mix_49	0.216348929846528	0.463792551607279	0.0253180320269175	0.0424219518446724	0	0.106727286467204	0.1453912482074	9999	0.558793533173891	0.911412545738674
mix_50	0.307017884869943	0.1767466978936	0.0138791126950588	0	0	0.325252892976315	0.177103411565083	9999	0.569119703664081	0.89837155154037
mix_51	0.22294898503884	0.526218175340023	0.0186746946605722	0.0372032551950569	0	0.0749237529173667	0.120031136848142	9999	0.553427565236529	0.918434385788947
mix_52	0.405460201856007	0.10136168795267	0.0262981168948956	0.0354277622365089	0	0.29166020511219	0.139792025947729	9999	0.57102768083392	0.895553580116773
mix_53	0.234403967107541	0.482723001946272	0.0219692838072521	0.0295597209363463	0	0.105252884118745	0.126091142083843	9999	0.557874336440221	0.912465630694593
mix_54	0.359028245957147	0.0923974137173792	0.0279909181280156	0.010930074721716	0	0.316130358946317	0.193522988529425	9999	0.572752384323067	0.894910034415068
mix_55	0.210293887374721	0.479317158224464	0.0206553227420838	0.0328298080355745	0	0.107355982729895	0.149547840893261	9999	0.558698680259979	0.911893167265765
mix_56	0.190201781628291	0.323904096694306	0.00328074905873264	0	0	0.281454377501046	0.201158995117625	9999	0.562521915289299	0.906519608562861
mix_57	0.0862141513969609	0.48160466607673	0.0129397706551123	0	0	0.180483045968938	0.238758365902259	9999	0.558498021947173	0.914548919806367
mix_58	0.212563856012026	0.295188330045642	0.0102535935355154	0.0151326111476364	0	0.240479088063651	0.226382521195529	9999	0.563973179432613	0.904388399103932
mix_59	0.0921652057795655	0.518633105932878	0.0206352250065215	0.00258330934245564	0	0.137930608334436	0.228052545604144	9999	0.555095569758483	0.918890668930559
mix_60	0.297275978205151	0.338035759063793	0.0150102735646689	0	0	0.207237967893048	0.142440021273339	9999	0.560287995114993	0.906641830767444
mix_61	0.326870275038667	0.0633476288646952	0.0223429642810441	0	0	0.400929170269225	0.186509961546369	9999	0.574315785802999	0.895173691724399
mix_62	0.277473596166686	0.137296314120993	0.0173511676470144	0.0140842286023687	0	0.333874245747089	0.219920447715848	9999	0.571426139194212	0.897237882634464
mix_63	0.0983480105034482	0.511339334861938	0.00667430094268167	0	0	0.162131537086559	0.221506816605373	9999	0.557131248334923	0.916252382477868
mix_64	0.205976069291757	0.458411847598128	0.0226737058112451	0	0	0.169959606142219	0.142978771156651	9999	0.556962597166897	0.913334662608371
mix_65	0.208748430430906	0.316620677116429	0.0374914955938797	0.0364354274241511	0	0.194495497870323	0.206208471564311	9999	0.567139181080235	0.901049181781504
mix_66	0.220480646608189	0.53342145734441	0.0136927451585732	0.0389665036067559	0	0.0741984248750753	0.119240222406997	9999	0.553604667978543	0.91841746893939
mix_67	0.359753122651097	0.0991255884454614	0.0344241764991149	0.0262673046453231	0	0.292294585947796	0.188135221811207	9999	0.571446560110222	0.895824832960954
mix_68	0.189491616627685	0.175166242678468	0.050070020351126	0.0199753657633242	0	0.287425277250293	0.277871477329103	9999	0.567065759660128	0.902410618988147
mix_69	0.193664196960091	0.474797957130952	0.0221887714876157	0	0	0.149478887455082	0.159870186966259	9999	0.556416778726557	0.9144378784418
mix_70	0.35807600950031	0.362978268201407	0.045554580013778	0.0798976293277244	0	0.0916294736558059	0.0618640393009746	9999	0.55668392513096	0.909855381626828
mix_71	0.245666741310263	0.563873823438757	0.0283876680341782	0.00807535339268638	0	0.0696942239089184	0.0843021899151971	9999	0.552561923669643	0.920620062674372
mix_72	0.439443731031618	0.166340180868777	0.0310343181243218	0.018545644925154	0	0.25084140335208	0.0937947216980488	9999	0.566140301024188	0.898930928249203
mix_73	0.34146133859449	0.285181233012208	0.0291928418442782	0.052834296194647	0	0.172513732057918	0.118816558296459	9999	0.56482190138462	0.900949570603229
mix_74	0.252430117558141	0.359056920171734	0.0182990829527833	0.0144807014431181	0	0.200338455199826	0.155394722674398	9999	0.563050840707685	0.904687855008579
mix_75	0.189978602083453	0.544860738068777	0.0311583001286502	0.0340127134190465	0	0.0678660854427561	0.132123560857317	9999	0.553450962249476	0.919866924630742
mix_76	0.149962968797603	0.294907061730977	0.0121683357495483	0.00359099473102281	0	0.255378160944307	0.283992478046542	9999	0.56382823463166	0.906032742983414
