Mixture	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory	P-value	Correlation	RMSE
Mix_37	0.048600143650562	0	0.188011038671954	0.0386918034800853	0.137229195781718	0.0063495947150648	0.00793301572515727	0	0	0	0.026720007226768	0.0218111903067236	0.0273696434288711	0.128264165015718	0.00100332921765752	0.0173287332499364	0.0332090680845575	0.0142584142451103	0	0.00183059650253955	0.0193928479971302	0	0	0.0291089204823128	0	0	0	0.0752149133855507	0	0	0	0.107730316401882	0.0699430624307022	0	9999	0.399228853858035	0.917906859618839
Mix_38	0.0456578592744274	0	0.168455724595444	0.0554782050591843	0.106277615315293	0	0.0136025366667947	0	0	0	0.0311975637958524	0.0160664894616474	0.0279178042674884	0.11675734212739	0	0.0121128632863544	0.0286872448226167	0.0225130350973609	0	0.00355448969746936	0.0219138838020637	0	0	0.0288377249558573	0	0.00485444692852098	0	0.07110754625189	0	0.000604288997244519	0	0.0526444294869791	0.133721624966986	0.0380372811431369	9999	0.4020127589743	0.915770848594298
Mix_39	0.0424918830253715	0	0.260268175603661	0.073575494716503	0.0356074967956127	0	0.014739913282922	0	0	0	0.0297376233788275	0.0279008224422378	0.0300380718128743	0.127355415969197	0.00120652990031967	0.0110130409154953	0.0273258553876871	0.0271571494169662	0	0.00142467948566311	0.0266642752634407	0	0	0.0308224380316166	0	0.00171471263106026	0	0.0691484458906862	0	0.00362943247726043	0	0.064746387524183	0.091884598144822	0.00154755790359321	9999	0.386548675373153	0.923775518282791
Mix_40	0.0527308565027165	0	0.210547937049203	0.0234890952746586	0.130808404062171	0.00231130897831227	0.00881758517632467	0	0	0	0.0269225781250343	0.019821540950221	0.025549021613907	0.132111670551759	0	0.0167884719083655	0.0367991075208057	0.0132209710123876	0	0.00150816129686048	0.0191382735174346	0	0	0.0283402538187744	0	0	0	0.0751077695382214	0	0	0	0.106189334115577	0.058012306254776	0.0117853527324908	9999	0.396702119129062	0.919196621257382
Mix_41	0.0451927509523315	0	0.196397102809774	0.0362394795270209	0.137098074848551	0	0.0169665471646075	0	0	0	0.035855260776101	0.0139603177100671	0.0259735318584933	0.122488343381819	0	0.0125695014828391	0.0238895934244957	0.0150901983676084	0	0.00480003551220076	0.0244936227436761	0	0	0.0265977426439395	0	0.010403909440771	0	0.0545835817526807	0	0	0	0.065821226581154	0.0950761563528253	0.0365030226690434	9999	0.405349655179765	0.914242381958884
Mix_42	0.0460610944837631	0	0.214786092592035	0.0219519248737479	0.0332938182547779	0	0.0102082644567956	0	0	0	0.0459504723910252	0.0266389978274321	0.0259816686697827	0.117357395719188	0	0.0190615000441135	0.0315254658192772	0.0136529815489049	0	0.00515233917693084	0.0252102774794625	0	0	0.0289868066764265	0	0.00181013194877658	0	0.0542447294886099	0	0	0	0.0700687574525115	0.151444878364164	0.0566124027322746	9999	0.38157578859503	0.925573144761327
Mix_43	0.0457576560037827	0	0.240977394701032	0.0545003885337213	0.0969518689878768	0	0.00986509718060428	0	0	0	0.0270589519306052	0.0227973887469564	0.0265158915258234	0.129856682928371	0.00259372362951094	0.0122196291336889	0.0331152296188477	0.0217778947971932	0	0.00171549565986783	0.0222524408150579	0	0	0.0283994329883125	0	0	0	0.0718994440280891	0	0	0	0.0927458433601541	0.0477967360591553	0.0112028093713493	9999	0.398252169846627	0.917987315458582
Mix_44	0.0416723286734364	0	0.181333343517927	0.0555050775660831	0.132721152293035	0	0.0216880232716918	0	0	0	0.0284362439578949	0.0196330881511921	0.0311937075436816	0.124779213221191	0.00588573821689577	0.00607854616637508	0.0201316138418525	0.0230735351018918	0	0.000249786343117608	0.0287543720829042	0	0	0.032606676364013	0	0	0	0.0746860880739053	0	0	0	0.0743193140758434	0.088251355399931	0.00900079613713781	9999	0.406046639794975	0.914263241486257
Mix_45	0.0479699009847924	0	0.199732826232807	0.0497731480727529	0.0752287500669175	0	0.0102512716207055	0	0	0	0.0304382673396489	0.0273007385712629	0.0278329660354707	0.128372777110395	0.000138411692599059	0.015169601569633	0.0319847240454648	0.0183513536751017	0	0.00196818114696317	0.0229753481485001	0	0	0.028755614068998	0	0	0	0.0736593867703356	0	0	0	0.0977015842462081	0.0950378514420023	0.0173572971594418	9999	0.391243009927416	0.921741905428913
Mix_46	0.0447562679334364	0	0.230535486312084	0.042357577542305	0.017013062473123	0	0.00940446193949674	0	0	0	0.038865767946525	0.029782251505071	0.0258729799827132	0.121403337012145	0	0.0165489244928075	0.0280486100285328	0.0139178529124087	0	0.0049001755312492	0.0232161955386529	0	0	0.0272552104305098	0	0	0	0.0645525551125212	0	0	0	0.0746807036647367	0.12590438926319	0.0609841903784929	9999	0.380048889701112	0.926359924620549
Mix_47	0.0449152886681969	0	0.222646446828574	0.0655895610756647	0.09360096980899	0	0.0165820038112223	0	0	0	0.026232887427836	0.0222847683640133	0.0289513312231764	0.129880858252607	0.00505277800076844	0.00697217329771242	0.0270797241765534	0.0239902106931014	0	0.00200580893326736	0.0263345034527577	0	0	0.0305016662848011	0	0	0	0.0735437810917469	0	0.000491996599262894	0	0.0818200733768221	0.061782530590341	0.0097406380425847	9999	0.398260730141653	0.918228430234453
Mix_48	0.0477078877538818	0	0.211752481067813	0.0273829050041216	0.0867476200956021	0	0.0108238731448902	0	0	0	0.0397140672838683	0.0184629927998977	0.0261501448836449	0.117508677224713	0	0.0165994743073062	0.0323074934366225	0.0155316711312456	0	0.00536226105533876	0.023713635814427	0	0	0.0279618160045789	0	0.00383067749693359	0	0.0614516334943245	0	0	0	0.0631209742961883	0.130225195423995	0.0336445182806064	9999	0.390706728156451	0.921137806002651
Mix_49	0.0460643948495263	0	0.177048715261494	0.0139878274404444	0.145951895489396	0	0.0154000514556224	0	0	0	0.0380872358589387	0.0162827677730676	0.0262198521485344	0.119647637051319	0	0.0155573051130979	0.0258207649687814	0.00839283302386162	0	0.00647741191926299	0.0208082946398972	0	0	0.0267057181852448	0	0.00894994562707425	0	0.0486570688134793	0	0	0	0.0743400451949811	0.127692292041023	0.0379079431449541	9999	0.407029805588128	0.913435652805702
Mix_50	0.0434075524620267	0	0.185524427622182	0.039308935025939	0.0375479653611162	0	0.00999803129497729	0	0	0	0.0382077486554045	0.0260774162084413	0.0263018612811689	0.119575387160136	0	0.0166804934997293	0.0304728315873248	0.01665890268091	0	0.00495443843434442	0.0237303428451331	0	0	0.0282381554811457	0	0	0	0.0650365899556703	0	0	0	0.0691919257313526	0.144825518539438	0.0742614761735605	9999	0.385566890431096	0.923616382200742
Mix_51	0.0460804692096142	0	0.210263837899377	0.0346116985983678	0.0700649321559653	0	0.0114693456154154	0	0	0	0.0389827579469788	0.0219852831801477	0.0274894515986192	0.11766622505806	0	0.015108168321822	0.0297820048531228	0.0165316416421069	0	0.00376866956119867	0.0236277084781969	0	0	0.028712438120778	0	0.00119644118167251	0	0.0655239384777435	0	0	0	0.0590012768398084	0.146227326680944	0.0319063845800604	9999	0.388906860092767	0.921945387468137
Mix_52	0.0507677699425625	0	0.170863470615233	0.0345406154774526	0.105243825672466	0	0.00994252808110592	0	0	0	0.032532764575046	0.0264721159682552	0.0281919886848235	0.128761683387306	0	0.0173849388117083	0.0304407684450412	0.0140823915812292	0	0.00204247658312504	0.0206809995132651	0	0	0.0278537881002648	0	0	0	0.0722740963251506	0	0	0	0.104061994852083	0.102554136406776	0.0213076469771058	9999	0.394397217135233	0.920302431360651
Mix_53	0.0465828848472582	0	0.218944312752816	0.058690902007051	0.0652373376849602	0	0.0118237573993749	0	0	0	0.0385230055094869	0.0228526779247682	0.0260025937407491	0.11571848826908	0	0.0114648546044891	0.0263840538676712	0.0217715830471532	0	0.00372016566477918	0.0239368293041802	0	0	0.0274104063526231	0	0	0	0.0725600628550619	0	0.000919902563576175	0	0.0621240474925431	0.111214387956695	0.0341177461556831	9999	0.387189485366884	0.922761757585295
Mix_54	0.0497403128858879	0	0.179197583707414	0.0602243153072395	0.176127734644997	0	0.0146273001478807	0	0	0	0.0263223785716488	0.0141982736043798	0.0302421220045618	0.133712687105741	0.000498257611280189	0.00853188640094615	0.0249403680065029	0.0258286589068292	0	0.000814648347682329	0.0269763642611735	0	0	0.0280212484242998	0	0	0	0.0862433230272974	0	0	0	0.0878999984965193	0.0258525385377187	0	9999	0.410082609298179	0.912734925942577
Mix_55	0.0483096553282228	0	0.166883818916011	0.0379901029334531	0.153263228239752	0	0.0147169934625407	0	0	0	0.0302195613298196	0.021084922475193	0.0296479387301797	0.129506393056414	0	0.0164204447848577	0.0268856576077248	0.0155836043204151	0	0.0016095203737918	0.0199898687059905	0	0	0.0312676716120488	0	0	0	0.0731123031898799	0	0	0	0.106916275787898	0.0765920391458082	0	9999	0.406104114601976	0.914465090682481
Mix_56	0.0466317566431958	0	0.18713062055752	0.0470558020419338	0.0523902683697786	0	0.01132868496187	0	0	0	0.0399751366368736	0.0246334661192665	0.0265285534064944	0.120031403361	0	0.0152451268238554	0.0289640074905747	0.0168300257634439	0	0.00383364248247679	0.0226630738191456	0	0	0.0275094705703979	0	0.00100677923677092	0	0.0678363989335992	0	0.000463044149649581	0	0.0712300507575028	0.127305444898001	0.0614072429766495	9999	0.386227803581296	0.923547702841231
Mix_57	0.0393781940935459	0	0.144714444853025	0.0373826105073925	0.174313765883177	0	0.0187205146785287	0	0	0	0.0267975103943637	0.00985029286673495	0.0289234908181022	0.122708404208437	0	0.012240025141099	0.0232324329688474	0.0176698840754884	0	0.00471126461949584	0.0214018381788708	0	0	0.0272542936419544	0	0.0176345144310497	0	0.0554667836546455	0	0	0	0.0571216413322855	0.131239865116187	0.02923822853677	9999	0.419584235254656	0.907793244953581
Mix_58	0.0486848283919403	0	0.181231869785826	0.0268622050104376	0.073943438193869	0	0.00997231781387065	0	0	0	0.037997623555982	0.0226788610018089	0.0268436411939542	0.118492506200963	0	0.0168829963865655	0.0304433157334405	0.0155212650664211	0	0.00620824202808625	0.0225583604893918	0	0	0.0269315975538314	0	0.000610434316018707	0	0.0606188262602144	0	0	0	0.062351991439283	0.163328862535243	0.0478368170428527	9999	0.391508650144231	0.920703451358342
Mix_59	0.0400081888321739	0	0.175039490073924	0.0272486318265834	0.164709178921253	0	0.0182093312859423	0	0	0	0.0357707313195407	0.0118632274684645	0.0252569398125816	0.124527487830802	0.000135611860948085	0.0127059533006769	0.0242971973069678	0.0116275604607642	0	0.0071010320113961	0.0243176113837021	0	0	0.0279646141621134	0	0.00897991367503221	0	0.0575582323202168	0	0	0	0.0828342506434226	0.0821618952353074	0.0376829202681867	9999	0.409578944668882	0.91234380610908
Mix_60	0.0516117273204192	0	0.252640673648278	0.0054399086655113	0.0380900003009993	0	0.00747102791598101	0	0	0	0.041366409639319	0.026041403511451	0.022098615028293	0.120475603770403	0	0.0209478510711818	0.0398130319665144	0.00835508073151247	0	0.0044071509601118	0.0209139265766636	0	0	0.0271988997955396	0	0	0	0.056834680924001	0	0	0	0.0961219937717257	0.106650142275098	0.0535218721269967	9999	0.380022626050982	0.926502984707509
Mix_61	0.0462660915253931	0	0.245548259269191	0.0433202180772566	0.106214764054955	0	0.0104840126386564	0	0	0	0.027618104441543	0.0227341545618772	0.0262195079585095	0.130366299091612	0.00299230260467198	0.0126386536681601	0.0330628379314707	0.020920710590426	0	0.00133231781785605	0.0219496340262151	0	0	0.0289013342013849	0	0	0	0.0747598996020341	0	0	0	0.0953702433578091	0.0420901105010931	0.00721054407988557	9999	0.394500261515092	0.91999538281079
Mix_62	0.0577143002541634	0	0.250460065402775	0.00847947582809645	0.137508793070248	0.00752963501013383	0.00467132985691981	0	0	0	0.0254489135502552	0.0210903587782207	0.0237783022308904	0.122205165289258	0	0.019038778614876	0.0391839814480816	0.00828186117065921	0	0.00204247230398005	0.0128261354688757	0	0	0.0255494825050797	0	0	0	0.0713121328965641	0	0	0	0.111326729301771	0.0515520870191513	0	9999	0.395455381968785	0.919197944506911
Mix_63	0.0459681503586493	0	0.177211711952962	0.0622837659351767	0.159731725456276	0	0.0112013034619286	0	0	0	0.0225931426035267	0.0154670342661392	0.0299642349724952	0.131553920282131	0.00218750076032989	0.00857970543170175	0.029240541634162	0.0270930776087796	0	0.00112939118002097	0.0237866031972737	0	0	0.0291146970329698	0	0	0	0.086755426479219	0	0.000105918495302812	0	0.0878516880113847	0.0481804608795703	0	9999	0.411120698967797	0.912002356051601
Mix_64	0.0482514263967315	0	0.228176090602653	0.0741264106577702	0.070945967327901	0	0.0162063654484352	0	0	0	0.029049402917491	0.0225689070229046	0.0288125099615252	0.128317645940498	0.00508262771496875	0.00986844310923742	0.0296765390335855	0.0263349978780737	0	0.0018549185359737	0.0259051614509764	0	0	0.0300846170582435	0	0.00294064161849496	0	0.0697268690179237	0	0.00193806338037538	0	0.0801058365235492	0.0621514650958691	0.00787509330681942	9999	0.392434716807131	0.921404050111743
Mix_65	0.0468776676984525	0	0.222059652452173	0.0592934578557906	0.06452346978712	0	0.0117845669931831	0	0	0	0.0388263298097333	0.0210700256248848	0.0255884307566586	0.114504545356874	0	0.0105006128969142	0.0277077054167279	0.0230164534188614	0	0.00286897991154059	0.0230872989397447	0	0	0.0275581990933837	0	0	0	0.0733022685231917	0	0.00105827351570523	0	0.0615999937150491	0.106015168706184	0.0387568995278282	9999	0.389875723111549	0.921420268755912
Mix_66	0.0530882718228385	0	0.222534213221338	0.0152114631891646	0.101412105395123	0	0.0103350808531242	0	0	0	0.0349936575465565	0.0295186113893242	0.027412284177067	0.123305998421648	0	0.0155915466845873	0.0268433771717765	0.00916832357917719	0	0.00364644009356264	0.0212440113456391	0	0	0.0263544900648698	0	0	0	0.0671308688438422	0	0	0	0.0964135679200493	0.115795688280312	0	9999	0.39077861180247	0.921601129415697
Mix_67	0.0416943574964392	0	0.272019226910219	0.0621401036906442	0.0793704815824506	0	0.0147967559515832	0	0	0	0.0260671235871079	0.023949762172198	0.0283391424275864	0.126693652801356	0.00635879440902952	0.00428380148725008	0.0260445054899869	0.0215352594268755	0	0.00204094359767838	0.0274854077762271	0	0	0.0296325652340816	0	0	0	0.0750271978093633	0	0.00122428427357391	0	0.0729718398831816	0.0583247939931681	0	9999	0.391902338276287	0.920982228914886
