Bcells	CD4_Tcells	CD8_Tcells	Monocytes	Neutrophils	NKcells	otherCells
mix_22	0.168020870278773	2.51543767216727e-10	0.243408209158597	0.0539034431975638	2.34452216711159e-07	0.0721544343766251	0.46251280828468
mix_23	0.178657576410548	0.0434696272527614	0.213083351348742	0.0600438465720106	2.60456483993096e-08	0.00160129090482279	0.503144281465467
mix_24	0.0118076322244748	1.06458599413539e-09	0.128278945908588	0.127666725098809	2.7521433275118e-08	0.0395136047362444	0.692733063445865
mix_25	0.035017643623883	0.0572557681809303	0.298156631477188	0.0648855971763192	3.14251872389273e-09	1.74600543530867e-10	0.54468435622456
mix_26	0.03164579733744	0.0656674123990897	0.362339962044668	0.00292041937609542	4.67796063381133e-09	0.149543756212457	0.387882647952289
mix_27	0.190885211128669	3.78272196179448e-07	0.0599489281812721	0.0884400821208225	1.2792327536643e-07	0.0700164480594676	0.590708824314297
mix_28	0.116288082083486	4.24883419520684e-09	0.508824440334396	0.00198208324991904	3.58146336478209e-07	0.0511787832912956	0.321726248645732
mix_29	0.0770161509435295	7.90210217479833e-09	0.296273763369851	0.0579040706485601	1.75862950477537e-07	0.0537683301804392	0.515037501092568
mix_30	0.108320239531043	9.35770183362786e-09	0.304718030326467	0.0578469509734474	1.70341266565274e-08	0.0348691409138668	0.494245611863347
mix_31	0.0734068395592632	0.0947378118949719	0.189180290170188	0.063972352579103	5.49048346529131e-09	0.023335393763153	0.555367306542837
mix_32	0.103406074550236	1.83634836164859e-06	0.349345035961413	0.0449414435126477	4.83203002066204e-09	0.0352485661824408	0.467057038612871
mix_33	0.117070366756094	0.080484355197009	0.137448754319147	0.0673309269758654	7.31148332811097e-09	0.0367069418125189	0.560958647627882
mix_34	0.0181343929303794	8.71222655572327e-05	0.216526876440703	0.0974319430769211	5.8717025603192e-08	0.0412890998876425	0.626530506681771
mix_35	0.0680556240584109	2.95144676046011e-09	0.325996895889687	0.068944152563841	1.62333774612803e-08	0.0385731767447899	0.498430131558447
mix_36	0.194990502581329	0.180957492681148	0.0937999860242823	0.0306577570463445	6.7672294601768e-08	0.0297373107697362	0.469856883224865
mix_37	0.179335963109323	0.127673412023228	0.168900896698032	0.0351399461927135	6.30869158178917e-08	0.014830924458178	0.474118794431609
mix_38	0.06556160755375	0.162085585276853	0.239451612842429	0.0117720580597983	4.4017418639084e-08	0.0973108469586991	0.423818245291052
mix_39	0.216269145957688	4.21106436054132e-10	0.328324652628443	0.0133360604730565	1.88064069641085e-06	0.105272852242468	0.336795407636542
mix_40	0.12093222592057	0.14607487480809	0.0794540956867054	0.0674341136939568	6.85776931124437e-08	0.0232928191219132	0.562811802191072
mix_41	0.0401810013074816	2.59427555468032e-09	0.261326720162476	0.0807212208848394	2.35465603129439e-08	0.0530389453833318	0.564732086121035
mix_42	0.215790827620644	6.94333048292429e-09	0.413066039563733	0.00532506261319467	1.72108687385419e-07	0.0278924248882473	0.337925466262163
