Gene,HPCA_B_cells,HPCA_Monocytes_CD14plusCD16minus,HPCA_NK_cells,HPCA_Neutrophils,HPCA_T_cells_CD4+,HPCA_T_cells_CD8+
mix_45,628.394,2154.7977,299.7072,489.9312,979.0131,700.2885
mix_46,1080.5419,930.6075,947.7867,203.427,1206.8247,1316.4336
mix_47,1119.9142,2508.3255,317.3922,539.935,703.4518,579.831
mix_48,1286.6477,3488.3199,656.321,701.6211,300.0048,649.3854
mix_49,1161.9887,2722.2091,676.4287,564.8248,570.8047,793.1335
mix_50,1396.4529,930.5111,361.8912,214.8101,1169.8517,842.665
mix_51,1243.9271,3259.3076,656.3894,636.9804,447.2175,719.6339
mix_52,1758.7827,606.0156,957.3009,134.873,1069.9895,1245.4764
mix_53,1214.8411,2844.1294,574.28,588.2413,520.009,697.0813
mix_54,1602.688,552.1783,583.681,125.3111,1168.4527,1023.3492
mix_55,1167.0934,2812.5843,543.9869,579.0972,565.8287,691.7502
mix_56,963.2259,1661.6666,287.7528,385.061,1046.6125,725.0434
mix_57,600.4358,2721.1381,669.8414,569.1721,807.0004,894.5627
mix_58,1058.4665,1548.2106,882.2132,335.2471,1011.4043,1152.8667
mix_59,611.3384,3045.3866,638.1192,620.0018,686.7985,831.9391
mix_60,1441.938,1947.4627,244.7454,439.263,747.734,560.3436
mix_61,1425.5373,376.1277,466.3733,84.2905,1400.9846,1017.3986
mix_62,1275.5513,707.0001,915.8967,149.4778,1270.1846,1303.8026
mix_63,670.4653,2867.848,491.1123,617.4027,731.8965,725.9759
mix_64,1151.1409,2694.4556,198.0714,578.2977,638.6362,460.0506
mix_65,979.2011,1775.3681,1224.8683,360.5347,914.2977,1373.1838
mix_66,1224.6605,3266.2905,670.1398,636.1489,440.6371,730.8527
mix_67,1561.3689,581.7429,1064.9377,125.0227,1153.4627,1371.5662
mix_68,834.161,961.9303,1306.6382,204.4924,1272.3111,1622.0334
mix_69,1111.7893,2792.2,249.3604,595.2245,617.6,493.704
mix_70,1727.8542,2341.9565,1372.3816,458.2261,504.5741,1298.7207
mix_71,1344.7638,3380.0568,147.2807,709.7436,323.3168,277.1346
mix_72,2042.079,966.2484,367.1387,231.4259,867.7819,694.5821
mix_73,1576.1263,1613.8551,1116.8588,343.3998,728.7025,1218.0539
mix_74,1295.3699,2051.8047,537.6345,447.2118,772.4132,778.9993
mix_75,1162.5525,3336.8909,483.7867,686.9253,417.8319,575.6031
mix_76,811.3082,1441.6149,1014.6754,312.7267,1147.1789,1333.1796
mix_77,956.4864,490.7632,895.955,101.9086,1488.1538,1398.2205
mix_78,1048.5839,2821.8561,573.2637,585.7729,602.5367,732.1268
mix_79,709.8555,3143.7206,369.8274,657.222,645.7376,598.1082
mix_80,1369.3951,1557.9017,279.0055,357.2984,897.5673,657.494
mix_81,986.809,1438.947,329.4947,330.7838,1101.3285,778.785
mix_82,1175.0491,2498.1041,405.2968,522.5664,675.2277,646.621
mix_83,1048.0433,3301.9655,488.7072,668.012,487.3083,606.8061
mix_84,1121.3275,1732.6808,349.1661,395.5212,938.0348,726.0916
mix_85,969.8622,1693.3331,361.7204,384.4317,1019.816,779.6003
mix_86,839.916,959.0241,887.0167,212.7527,1322.3027,1307.5895
mix_87,858.8739,2153.5806,244.633,488.9889,890.9803,619.6042
mix_88,1126.8447,1343.4182,778.2891,294.091,1049.4861,1108.4334
mix_89,1086.1342,752.0987,802.7079,161.9571,1316.3688,1251.023
mix_90,796.8549,2411.4874,312.6735,529.9814,826.8505,640.1295
mix_91,1029.3663,3256.8539,675.7938,632.0252,522.0962,767.3605
mix_92,1010.9856,2326.5653,318.7537,517.6792,781.7899,622.1311
mix_93,620.897,4146.0243,249.1542,892.2566,306.3869,340.6069
mix_94,574.4505,3494.0419,737.8494,713.7083,540.5497,833.5783
mix_95,1255.5246,3207.5308,775.0794,611.7,452.5016,811.4443
mix_96,1118.1028,2798.0675,1084.811,557.7376,544.4858,1098.1848
mix_97,930.5257,2774.3384,412.0697,581.0745,684.5356,648.5024
mix_98,1108.8653,2588.445,328.7829,557.1289,670.009,572.6343
mix_99,1036.1702,240.9445,625.5374,50.9889,1614.663,1249.9428
mix_100,1048.098,2151.324,371.1713,475.6779,815.9885,675.2348
