ID,B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
S10094,6.596656,6.16331,6.164654,6.772124,6.399418,5.807694,6.211636,6.345676,7.624614,6.857492,7.930882,5.575902,6.331638,4.965552,5.30161,6.781196,6.879258,7.364934,6.810978,6.408364,6.643934
S1010,6.540526,6.082462,6.21529,6.685142,6.404494,5.759506,6.324508,6.34236,7.481392,6.60448,7.617328,5.582222,6.25016,5.120972,5.382624,6.954714,6.79144,7.392848,6.71984,6.344852,6.510778
S10111,6.736848,6.261408,6.204876,6.719214,6.47305,5.769814,6.16856,6.282648,7.418358,6.946488,7.752962,5.582632,6.42104,4.932594,5.361072,6.933522,7.11874,7.540578,6.820276,6.43808,6.58324
S10116,6.432992,5.987666,6.098696,6.567584,6.404418,5.690448,6.337576,6.210012,7.244024,6.618106,7.244208,5.498206,6.161754,5.096388,5.333828,6.977278,6.923098,7.428282,6.714828,6.3579,6.449308
S10119,6.617256,6.181872,6.082166,6.64537,6.31541,5.708834,6.168206,6.194484,7.341542,6.734346,7.532932,5.533112,6.208536,5.040394,5.27925,6.839906,7.017396,7.370082,6.714858,6.373488,6.476436
S10121,6.548786,5.965414,6.079794,6.656976,6.258154,5.68994,6.110142,6.212154,7.365378,6.739458,7.696358,5.432976,6.164738,4.96949,5.22534,6.775576,6.803944,7.36452,6.66529,6.323946,6.508058
S10130,6.38233,5.966494,6.092162,6.706664,6.23411,5.751152,6.184528,6.201918,7.378218,6.5711,7.774248,5.442946,6.233394,5.176994,5.408438,6.666452,6.703182,7.190314,6.564258,6.24168,6.46424
S10140,6.703064,6.078558,6.169366,6.78029,6.353574,5.755086,6.131296,6.291772,7.512368,6.828786,8.020318,5.568808,6.426902,4.917098,5.28648,6.664364,6.714586,7.330266,6.764484,6.330532,6.586938
S10142,6.78741,6.104336,6.194942,6.64072,6.346396,5.671228,6.088026,6.234964,7.318268,6.934938,7.475044,5.567612,6.239332,4.980544,5.33322,6.713348,6.849662,7.415982,6.805104,6.381914,6.59987
S10150,6.243616,5.79798,6.115074,6.682574,6.355134,5.73155,6.201764,6.244114,7.316152,6.46166,7.842778,5.49021,6.168082,5.127772,5.21672,6.495854,6.461098,7.01247,6.476108,6.209242,6.419626
