Gene,HPCA_B_cells,HPCA_Monocytes_CD14plusCD16minus,HPCA_NK_cells,HPCA_Neutrophils,HPCA_T_cells_CD4+,HPCA_T_cells_CD8+
Mix_50,517.234575171,430.138160416,711.09206892,121.409964641,844.572715377,897.449333153
Mix_51,680.18007496,388.456935123,929.645280961,114.877783543,729.432223663,974.873561284
Mix_52,381.600192423,381.310899065,1554.99630534,97.2248216068,854.505819223,1560.18133248
Mix_53,664.849026849,582.761018096,839.665724299,158.352663607,633.623468057,900.994733904
Mix_54,393.71739806,660.831550013,2210.60076165,155.417458453,591.984791911,1944.6391782
Mix_55,369.320134655,393.875395539,2119.36681894,90.2011601372,793.698120278,1971.90008709
Mix_56,526.894914608,511.994227293,887.95426832,138.044815045,784.99905707,1019.52651122
Mix_57,263.017274381,434.65517421,2305.46232868,101.144583019,818.715079998,2071.83258764
Mix_58,540.08932611,327.366492272,1050.53694591,96.044940696,868.763540722,1129.58149622
Mix_59,395.746646423,386.952276549,2395.15909284,91.1378807307,756.772124847,2160.96751082
Mix_60,925.794312541,163.827611595,703.602617258,65.2818973309,724.435573519,861.943686908
Mix_61,786.036304105,465.210267175,1373.8571318,124.908513069,541.79351944,1281.34747531
Mix_62,834.64136498,208.933814848,1727.6536482,61.3656780061,619.162116962,1571.92613573
Mix_63,358.52312238,638.382493289,2092.7759943,151.094174463,654.371407717,1877.46999777
Mix_64,667.959094498,727.412119273,989.200156646,187.061001206,529.458496316,987.658556574
Mix_65,674.784747812,593.603532442,905.310088701,158.480325342,606.356794225,949.759415578
Mix_66,685.708385909,234.762416405,1276.33522769,73.0709962774,745.844571371,1263.46326823
Mix_67,931.195199647,601.542503294,926.435144734,163.806336408,435.790588892,872.298963904
Mix_68,595.316332294,466.066139291,677.581260599,130.634507548,775.236509564,842.477553436
Mix_69,856.953115168,345.693322615,1205.35614396,99.8646731844,591.796372617,1173.5771229
Mix_70,566.066977978,397.930949216,785.069133876,113.705093306,821.503933556,931.521294063
Mix_71,554.851538828,379.781376787,1726.54390346,95.3721132854,713.385476537,1641.15560025
Mix_72,556.087228801,621.029850144,427.524123894,174.462994677,741.719328195,600.368979725
Mix_73,340.724187356,344.231031947,2111.7429415,82.1514651563,843.157485088,1965.90800918
Mix_74,750.644125719,512.023181012,1443.48272448,135.138578351,514.269859866,1326.72299281
Mix_75,509.542669185,289.614291617,1986.35153315,77.3431014733,771.870197115,1816.71820663
Mix_76,511.387695197,276.23782877,2014.43056094,70.8559689421,772.190976757,1856.55001728
Mix_77,543.022547801,629.084488599,1318.96166734,162.152681956,627.020333764,1246.98258955
Mix_78,397.367808481,195.407394599,1651.63390311,56.1102276493,934.412009613,1637.83008934
Mix_79,346.052415038,549.082481701,2481.73422487,126.371985413,671.042832524,2175.36280302
Mix_80,614.782324223,394.623961851,1036.16261882,116.199660297,772.381467676,1062.12673908
Mix_81,569.823899948,505.113152959,1566.0105539,128.36066201,638.214816829,1475.56481045
Mix_82,638.841097678,155.265793057,1588.85882119,48.4094482933,780.403728794,1540.62243235
Mix_83,728.088801963,455.574773372,1256.79028302,123.860421828,596.764048894,1207.85011848
Mix_84,614.344397316,494.301108552,851.842918195,135.784346113,712.637373695,942.708526312
Mix_85,562.717371663,246.250660004,1698.79919992,66.9335511815,793.06052943,1606.82606185
Mix_86,481.679144048,542.018259152,1752.85965489,133.281184692,659.960021568,1637.54794212
Mix_87,1024.87636695,523.387967619,1056.51948632,145.356919662,381.778567627,956.975994753
Mix_88,795.27049689,337.413971039,377.62196071,110.844093022,737.234436284,573.170005786
Mix_89,332.551240569,664.513249257,1704.45137179,163.273343638,726.999885531,1595.75212222
Mix_90,522.093528426,259.506145916,2361.6577889,63.1873585737,743.744482218,2090.3549087
Mix_91,1018.32577113,251.209578854,1003.92391158,85.2910127112,568.530551101,964.033046619
Mix_92,588.208375444,444.096326848,1742.69936512,115.194576151,644.142065576,1572.99703997
Mix_93,584.921091932,596.955880435,263.74030152,171.334386188,763.696546082,473.646754285
Mix_94,842.682245133,342.500265304,527.547957182,108.760119617,682.758222699,661.399011862
Mix_95,543.712815797,342.405575289,1435.37964003,96.8621909765,791.660521139,1376.19635379
Mix_96,460.796654351,386.167611935,1095.93222007,109.069171191,874.691637129,1175.88940457
Mix_97,646.762552658,560.49969874,1487.75696103,142.479904911,562.444177837,1376.20147543
Mix_98,934.634121292,964.525849786,113.032142175,254.435546146,345.242994075,208.821544866
Mix_99,349.887978337,241.889375107,1086.50362831,78.7457991022,1060.5350815,1215.60804057
Mix_100,619.35169251,664.620058843,1249.3330376,169.561428511,558.097805982,1159.57608632
