Gene,Bcells,Monocytes,NKcells,Neutrophils,CD4_Tcells,CD8_Tcells
mix_32,2796.7391925,4243.06962488,3736.23593979,5217.53630074,5010.48015538,2844.42451892
mix_33,2644.50253016,4289.28977065,3546.63479864,5026.8701546,5278.06385186,2460.07455617
mix_34,2548.0473235,4433.77931337,3286.91826589,4937.87981097,5376.04012434,2116.26678467
mix_35,2574.14455104,4248.75160448,3720.67598093,5020.6481321,5195.7516445,2657.79350235
mix_36,2580.81899581,4351.84360018,3617.31631492,5052.3098103,5249.1581116,2548.95339481
mix_37,2364.98431581,4268.81255473,3369.5475858,4738.06905385,5413.43655832,2195.59578446
mix_38,2471.70624381,4313.21764448,3486.89501722,4832.96146809,5357.5883795,2303.34842601
mix_39,2609.21496179,4163.67060608,3714.16575153,4919.91568446,5233.29011671,2656.18231171
mix_40,2590.47892208,4352.49767174,3615.09944173,5093.97484679,5214.21998598,2576.91408389
mix_41,2523.40261301,4397.46766547,3370.3233248,4941.32128919,5389.68184982,2194.71955343
mix_42,2740.65226262,4116.78039098,3634.70663309,5100.40271386,5137.15750573,2765.95055064
mix_43,2571.35276153,4340.96422346,3343.58091868,4953.52882358,5441.83286101,2247.5770076
mix_44,2778.70905784,4149.05894791,3719.60507623,4963.03485492,5185.68258285,2647.06512571
mix_45,2519.05813063,4294.06998803,3642.70795538,4996.99884932,5156.21838991,2546.54018129
mix_46,2574.34344967,4436.50255796,3487.01229783,5058.62714584,5355.33486963,2364.78448819
mix_47,2140.01133587,4118.38300344,2884.37649509,4257.29272464,5586.23550496,1634.12499358
mix_48,2752.00215424,4247.5461033,3549.08016049,5108.2537875,5259.22986572,2568.86540717
mix_49,2828.2849058,4466.36185502,3706.62265841,5334.91539838,5011.3487183,2658.35120688
mix_50,2582.88789776,4214.14876885,3736.4101455,4988.11192946,5140.43016999,2692.98948985
mix_51,2382.71107041,4341.816433,3219.53620314,4774.51226015,5484.69132931,2088.46055078
mix_52,2531.21344872,4358.7386171,3370.92527807,4898.66432586,5410.8707208,2234.54951642
mix_53,2703.68807504,4298.83076891,3369.92871068,4953.68989846,5380.44812976,2297.32421547
mix_54,2590.70389431,4213.31808161,3594.18798351,4958.68820695,5306.78156155,2548.72069091
mix_55,2523.57358019,4227.72127649,3432.22811696,4913.36629418,5412.0226041,2340.72455313
mix_56,2677.2581481,4234.62931064,3735.59298171,5075.78506198,5166.22190448,2703.49877203
mix_57,2662.80759643,4168.29171379,3803.56531626,5010.96974592,5157.32038251,2801.7024944
mix_58,2497.25032675,4204.02320371,3627.68277712,4880.51540337,5320.87994758,2523.76407747
mix_59,2547.32508116,4404.61484815,3288.62331005,4901.80345062,5431.66259162,2172.82988315
mix_60,2627.49448619,4240.23538363,3527.7106449,4963.74976937,5379.26241583,2431.65521655
mix_61,2532.71509669,4277.21841002,3580.03477897,4955.53148453,5318.79042097,2517.93511441
mix_62,2449.68138236,4372.34140455,3404.43156438,4870.72780252,5405.68626781,2229.83109548
mix_63,2521.82769966,4206.75951895,3639.96860926,4936.9231452,5279.46363865,2563.8180396
mix_64,2264.22077131,4178.91628168,2961.55119792,4369.49445892,5602.57857755,1782.50138489
mix_65,2511.38697229,4401.61599686,3359.04335205,4861.75280348,5434.3163489,2168.76489727
mix_66,2673.84172434,4367.91342313,3485.89396724,4982.10841585,5347.69919199,2346.8599959
mix_67,2680.47079443,4281.38652225,3679.85143097,4945.50579313,5270.25821147,2571.58039897
mix_68,2446.62618117,4254.61412652,3434.2355758,4830.42915001,5456.05619325,2327.1200852
mix_69,2590.99438851,4120.39951519,3611.14842251,4903.54942364,5308.16457485,2620.74147332
mix_70,2342.68071879,4272.72267738,3304.74616908,4787.63246894,5463.00683885,2152.58349287
mix_71,2502.06155204,4291.96028644,3458.23512773,4827.37191527,5398.63612926,2311.74404498
mix_72,2436.8052744,4331.88143872,3383.92821016,4816.74357792,5408.16326663,2210.48149788
mix_73,2263.63056511,4232.94590797,3270.33062352,4686.76596348,5495.57320288,2178.98244935
mix_74,2761.09940559,4066.72374301,3819.31094839,5047.04663809,5043.18057917,2839.4190382
mix_75,2617.8884848,4237.19764279,3497.34673599,4987.57768788,5359.71144239,2461.71513614
mix_76,2485.89320823,4375.89041826,3582.98102384,4946.38403504,5248.43331173,2430.37354029
mix_77,2646.17828694,4219.62527753,3657.63627738,5015.6343961,5277.00176914,2633.1858078
mix_78,2475.10017754,4228.36765714,3460.54719684,4826.20466549,5416.00028378,2336.27032692
mix_79,2449.92248369,4355.23006702,3156.60747746,4747.17699459,5488.01814804,2037.08591818
mix_80,2714.18104658,4328.84286646,3411.17666271,5016.14027103,5415.2825289,2375.68066306
mix_81,2716.04101681,4423.70459192,3277.60660928,4889.24423452,5344.67569939,2108.58300644
mix_82,2063.89692627,4313.89605286,2966.49086146,4495.71336175,5455.58045548,1736.57018638
mix_83,2299.96747715,4237.65342672,3363.59378577,4841.38335915,5440.05695956,2299.71885395
mix_84,2463.70345918,4288.82503944,3535.45076254,4881.54768675,5344.07590515,2383.03479485
mix_85,2456.35710246,4406.25440471,3353.37160691,4853.17815677,5415.74021365,2143.58316182
mix_86,2514.74335102,4184.36316835,3587.43903553,4887.61279761,5328.59118126,2541.2518147
mix_87,2829.81316375,4087.76677191,3959.06105613,5175.85647904,4758.61235206,3041.23414343
mix_88,2720.39768965,4249.70896354,3736.58080939,5079.31503913,5169.97587655,2705.26189428
mix_89,2582.74859938,4288.58408679,3067.35532499,4684.1439667,5523.0026467,1937.90331509
mix_90,2697.90542235,4099.91821444,3934.3434744,5082.28936161,4948.38728356,2920.13862481
mix_91,2566.02332198,4297.82006727,3715.18653136,5043.12502501,5149.30038423,2636.41561291
mix_92,2633.30162764,4169.20725868,3643.15818768,4949.63488205,5269.28926941,2604.9019319
mix_93,2107.29760862,4167.71020223,3036.41677598,4457.13705409,5592.88657034,1965.30467284
mix_94,2646.22311029,4150.97703359,3808.85059891,5073.25847739,5093.49131387,2819.30962455
mix_95,2601.12675394,4152.60595585,3699.90043101,5004.03456075,5219.62858328,2660.1055812
mix_96,2712.7390475,4313.48153577,3567.9289909,5031.26154745,5264.44914948,2447.45757635
mix_97,2738.35522023,4258.47441579,3750.17292314,5223.79620898,4992.5697672,2826.87609965
mix_98,2616.84680953,4318.72982046,3618.93633021,5130.41697773,5205.06192808,2605.70079664
mix_99,2225.45826696,4353.75987636,3029.0212725,4662.87728099,5459.28527128,1942.35393952
mix_100,2433.32698687,4257.45969672,3603.47044522,4961.02023562,5267.21910024,2549.50787765
