Mixture	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	P-value	Correlation	RMSE
Mix_11	0.0206026173023168	0	0.00190986625586024	0.0258336874910552	0	0	0.105921672263102	0	0.159258760868055	0	0	0.05427419352955	0	0.0114119723320023	0.00277839980959817	0.120769834699015	0	0.417805924852395	0.0794330705970501	0	0	9999	0.371032008651001	1.07772117224888
Mix_12	0	0.000171475189106826	0.000870525376522554	0.0256464099608689	0	0	0.104030685415496	0	0.179515591985167	0	0	0.0484985401585525	0	0.0134666502580423	0.00337962628513509	0.132480801236702	0	0.417373039781887	0.074566654352521	0	0	9999	0.376862090803443	1.07246343012421
Mix_13	0.0511836505577089	0	0.00586128762190832	0.0278936870744804	0	0	0.100177206294888	0	0.146447210893019	0	0	0.0526986697792502	0	0.00809167749127813	0	0.0995961909980427	0	0.432703990473043	0.075346428816382	0	0	9999	0.363509822345497	1.08486234085305
Mix_14	0	0	0.0117936240166432	0.0291681486567862	0	0	0.105294770932904	0	0.124488016966902	0	0	0.0494549809042867	0	0.00641662174238965	0	0.130758580211048	0	0.4735435443127	0.0690817122563408	0	0	9999	0.36459139044188	1.08520867262655
Mix_15	0.000982052594976659	0	0	0.0260634223652816	0	0	0.107846675058649	0	0.170125628125508	0	0	0.0540479241247729	0	0.00833659353333343	0.000600792775830388	0.112591062359513	0	0.441342826743769	0.0780630223183665	0	0	9999	0.369965716569931	1.08021494084774
Mix_16	0.019772356689408	0	0.00293809632201855	0.0233704480672459	0	0	0.103309711673177	0	0.175138407648799	0	0	0.0553528065819251	0	0.0100798109316222	0.00392460642136714	0.0962359604427028	0	0.431329581157995	0.0785482140637387	0	0	9999	0.36751575949262	1.08145883674957
Mix_17	0.00477251127219265	0	0.0044125871838236	0.0258994266511833	0	0	0.108185477545991	0	0.156325426741616	0	0	0.0554623070896819	0	0.00787356233071129	0	0.105936462707965	0	0.455710048618717	0.0754221898581187	0	0	9999	0.367025065823091	1.08273333494316
Mix_18	0	0	0	0.0247911097953202	0	0	0.102429303625396	0	0.188034328866082	0	0	0.0590066567681129	0	0.0111901067905374	9.18625855993837e-05	0.0954351768527208	0	0.436711153135795	0.082310301580436	0	0	9999	0.37120599224486	1.07830993986334
Mix_19	0	0.00517145419482204	0.00599415074714133	0.027426238292222	0	0	0.103523675623828	0	0.167521770142833	0	0	0.0509786486561088	0	0.0138010472420285	0.00470436581633077	0.127918563107875	0	0.420717266784399	0.0722428193924122	0	0	9999	0.372576138928797	1.07554313756129
Mix_20	0.0290689470301635	0	0.00308854310645803	0.0246397064662403	0	0	0.104989550599089	0	0.180094383205243	0	0	0.0565590319291959	0	0.0135863389167027	0.00177445710803319	0.0969397758175702	0	0.413576151386878	0.0756831144344259	0	0	9999	0.369584471344525	1.07806799695911
Mix_21	0.0218536139885445	0.00204987680918058	0.0103306827661987	0.024084714216115	0	0	0.106706742615562	0	0.185285070572299	0	0	0.0539366672822785	0	0.0131840581589941	0.000456498199936	0.107880581985931	0	0.398571152851837	0.0756603405531232	0	0	9999	0.370247248493263	1.07779819769385
Mix_22	0	0.00332534408543776	0.00913386244466473	0.0266044160373013	0	0	0.110907292900975	0	0.181824900284694	0	0	0.0518059507833988	0	0.0136997098393505	0.00090271817547591	0.12153000234665	0	0.408737749246339	0.071528053855713	0	0	9999	0.374672063234747	1.07391933738605
Mix_23	0.0568985223428252	0	0	0.0252392275784738	0	0	0.104448699293679	0	0.17316727797288	0	0	0.0518906473319284	0	0.0140650460528564	0	0.0857859870884025	0	0.410726811189592	0.0777777811493625	0	0	9999	0.367983353477447	1.07939680473153
Mix_24	0	0	0.00290288816286912	0.0245857503436729	0	0	0.106164777777125	0	0.194302678756584	0	0	0.0595148928949209	0	0.0103926656787432	0	0.0826961497809529	0	0.441706919236376	0.0777332773687565	0	0	9999	0.370504254115479	1.07909949435818
Mix_25	0.0544176416682287	0	0.00896790298610355	0.0302439852787125	0	0	0.0983684136031054	0	0.140647203537038	0	0	0.0490122684835391	0	0.00726676056714909	0	0.0938656977870694	0	0.443582959088995	0.0736271670000586	0	0	9999	0.36215124979195	1.08635386739975
Mix_26	0.0287261722406899	0	0.00441158480573894	0.0265598345316651	0	0	0.101270358608577	0	0.154772777408319	0	0	0.05427107749236	0	0.00464101610685283	0	0.0984806885763261	0	0.449155171471453	0.0777113187580179	0	0	9999	0.36501418640174	1.08530034856657
Mix_27	0.0428641960107994	0.00797024649911064	0.0126088704812362	0.029830861575629	0	0	0.0996205048746607	0	0.177662867122619	0	0	0.057771642348474	0	0.0129474025455743	0	0.0683682270779597	0	0.417956719848534	0.0723984616154034	0	0	9999	0.362772531686359	1.08349377900837
Mix_28	0.0107917356820874	0	0.00477314158379906	0.0245133896406718	0	0	0.10573685972758	0	0.183616455438701	0	0	0.0537908083722042	0	0.0141316084255269	0.0038843237097613	0.117596904604703	0	0.405757185727673	0.0754075870872922	0	0	9999	0.373348874987578	1.07486178787039
Mix_29	0.0362327814716143	0	0.00738416293047218	0.0288352647021456	0	0	0.10255227112519	0	0.152695452760784	0	0	0.0540517694015809	0	0.00823026533933529	0	0.0881083174667279	0	0.446829910151953	0.0750798046501968	0	0	9999	0.363374250952961	1.08514481511884
Mix_30	0.0119627697219109	0	0.0105587387252392	0.0287301337879903	0	0	0.104688910810265	0	0.127596241639794	0	0	0.0494095484622491	0	0.00854589371456997	0	0.117412600644728	0	0.470268284797578	0.0708268776956753	0	0	9999	0.361253938411303	1.08730121358237
Mix_31	0.025765738470991	0	0	0.0268952560294914	0	0	0.100902605059398	0	0.171402269856264	0	0	0.0565268423239161	0	0.00714713809611059	0	0.111683916098613	0	0.422493080868216	0.0771831531969997	0	0	9999	0.367675855969601	1.081779990522
Mix_32	0.00275009123138406	0	0	0.0255967023228529	0	0	0.104018122839305	0	0.191291441169271	0	0	0.0580588592717594	0	0.0139843433588333	0	0.101304430102212	0	0.423867472902425	0.0791285368019563	0	0	9999	0.371177541973375	1.07711254232901
Mix_33	0	0	0.000913605126056705	0.0249335877651688	0	0	0.102485681229629	0	0.178996858848556	0	0	0.0565360768882751	0	0.00766368538442826	0.000688943813392435	0.119248659397369	0	0.431433580313879	0.0770993212332456	0	0	9999	0.371744256473758	1.07865600989592
Mix_34	0.020345326660597	0.00390131814157496	0.0106494096356243	0.027486367341541	0	0	0.108077147684392	0	0.184255867955913	0	0	0.0536203654840245	0	0.0138927508352968	0.0009777032966425	0.116477822347908	0	0.389837059746553	0.0704788608699332	0	0	9999	0.371932091807802	1.07556874488739
Mix_35	0.0120004451497211	0	0.00226801082477615	0.0265930142399547	0	0	0.101909905569134	0	0.154010522699262	0	0	0.053897295516034	0	0.00981114179394888	6.50054435436871e-05	0.12918489767824	0	0.434331586163583	0.075928174921802	0	0	9999	0.370680789758381	1.07860955627795
Mix_36	0.0234643313094316	0	0.00384828421343952	0.024581802540145	0	0	0.10087560256796	0	0.161534980908371	0	0	0.0529299537874714	0	0.00746729575733885	0	0.109837886497238	0	0.438946601239317	0.0765132611792883	0	0	9999	0.367154893769928	1.08260786843652
Mix_37	0	0	0.00207791703220696	0.0269944421556085	0	0	0.106005383829949	0	0.157839563254565	0	0	0.0519502527992354	0	0.00957687278340143	0	0.135439967865444	0	0.437880356719426	0.0722352435601631	0	0	9999	0.368017762293292	1.08106818868803
Mix_38	0	0	0.00148680354665989	0.0254254297292756	0	0	0.104020398833091	0	0.185955033854367	0	0	0.0535686116134176	0	0.0140976963608201	0.00235112277541306	0.129642673822248	0	0.411916162721447	0.0715360667432602	0	0	9999	0.376835514627228	1.07184529439977
Mix_39	0.0450022960634275	0	0.00344399580623268	0.0280856092158891	0	0	0.10537184574385	0	0.19555464161736	0	0	0.0543730901311668	0	0.0168191048033776	0	0.0878822505327467	0	0.38430620775523	0.0791609583307197	0	0	9999	0.370556449269935	1.07609674233307
Mix_40	0.015608746504217	0	0.00816059455668159	0.0282558645142424	0	0	0.1029495183113	0	0.142206330898306	0	0	0.0496547107356654	0	0.0100511447888606	0	0.118669915521624	0	0.451085493936623	0.0733576802324799	0	0	9999	0.363758939926964	1.08457160484358
Mix_41	0.00413145039080028	0	0.00645331904643856	0.025348633595754	0	0	0.107966259647962	0	0.165386271142119	0	0	0.0508109133893611	0	0.0136828966196945	0.00180628738423726	0.134950150559457	0	0.413404597979345	0.0760592202448312	0	0	9999	0.371180154197102	1.07707167122196
Mix_42	0.0338966881899736	0	0.00572885590627695	0.0298573813374301	0	0	0.106242752841466	0	0.155750458241568	0	0	0.0573658980869118	0	0.00567937449333427	0	0.0836079488198541	0	0.444568263754889	0.0773023783282968	0	0	9999	0.362753496404661	1.08643397675539
Mix_43	0.0279639595225092	0	0.00505869212538071	0.0295035758010805	0	0	0.104940248489635	0	0.167733982126776	0	0	0.0553132183639334	0	0.0106850368896478	0.00118713545298016	0.111899462636382	0	0.4121259480804	0.0735887405112765	0	0	9999	0.367491364367643	1.08033124075718
Mix_44	0	0	0	0.0264223107696608	0	0	0.110881188446722	0	0.181023739499424	0	0	0.0504557634941421	0	0.0153222830079091	0	0.133274184306577	0	0.410142608037529	0.0724779224380359	0	0	9999	0.377314770742963	1.07128686327842
Mix_45	0	0.00256184417468928	0.000134609154863582	0.0260320785500477	0	0	0.103157598451918	0	0.177247465964419	0	0	0.053493271847959	0	0.00962991496105879	0.000208963546633496	0.108488568281241	0	0.445960166526433	0.0730855185407375	0	0	9999	0.367245850484535	1.08195252142359
Mix_46	0.0407765953916086	0	0.00947010993390501	0.0274931830065785	0	0	0.107018121471791	0	0.173208034038705	0	0	0.054905009123346	0	0.00944317067962477	0	0.0735033037477896	0	0.428238842820619	0.0759436297860321	0	0	9999	0.362199460885148	1.08578654367575
Mix_47	0.00779028414928186	0.00286551561706495	0.0075974166943716	0.0232513672963044	0	0	0.107303088955816	0	0.186232065939999	0	0	0.0522526377766616	0	0.0143016755627658	0	0.116846199146553	0	0.407433801987107	0.0741259468740748	0	0	9999	0.372159105133491	1.07610904873998
Mix_48	0.0232330735426995	0	0.00404376721271761	0.0237069359633454	0	0	0.105777694084344	0	0.162567393001967	0	0	0.0538655700727109	0	0.011307288845371	0	0.113598577639214	0	0.423689069459288	0.0782106301783434	0	0	9999	0.369072078204084	1.07965991530693
Mix_49	0	0	0.0046914990638798	0.0273701559423809	0	0	0.111491284063615	0	0.139757727790199	0	0	0.0467661159702452	0	0.0103878053465041	0	0.13669080643996	0	0.450579765655633	0.0722648397275827	0	0	9999	0.368498396754372	1.08083886229691
Mix_50	0	0	0	0.0249520352425575	0	0	0.105578775429376	0	0.181195261081074	0	0	0.0540484317430032	0	0.00795680566337533	0.00244777753227405	0.0964097984918226	0	0.446912636011826	0.0804984788046911	0	0	9999	0.365331807888206	1.08460817788207
Mix_51	0.0215309699150112	0	0	0.0249823320420389	0	0	0.104130710712196	0	0.177467004523833	0	0	0.0566448390871032	0	0.0108515834743863	0.00268846822389347	0.0990446557835011	0	0.423080918940586	0.0795785172974502	0	0	9999	0.369682519007907	1.07918058178485
