Mixture	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage	P-value	Correlation	RMSE
Mix_25	0.522964261090418	0.236201892764324	0.216432902544771	0.0244009436004866	0	0	9999	0.661063068731609	0.805613581490122
Mix_26	0.461557020171708	0.281356023298666	0.209872129927995	0.0472148266016303	0	0	9999	0.66722968784115	0.797955078129726
Mix_27	0.497728450325996	0.265086540863876	0.179197431178672	0.0579875776314561	0	0	9999	0.665525423160587	0.799131194126177
Mix_28	0.527854390600374	0.209997407310621	0.204921527286704	0.0412025029283592	0	0.0160241718739406	9999	0.668023919019797	0.79544252948541
Mix_29	0.500845980546565	0.273352508389673	0.178256213106824	0.047545297956938	0	0	9999	0.665361242562823	0.799661901271506
Mix_30	0.383151892715477	0.253616700042506	0.306584337882851	0.0566470693591667	0	0	9999	0.652729369243234	0.816100995341995
Mix_31	0.496367678401263	0.245174176010307	0.20511407604902	0.0532563075245077	0	8.77620149029507e-05	9999	0.666683220507692	0.798039873902852
Mix_32	0.460209104711665	0.31345076579515	0.164553195494611	0.0579471382381789	0	0.00383979576039574	9999	0.673067153903939	0.790177339903662
Mix_33	0.382395744507082	0.318197521970966	0.223554395775267	0.0758523377466848	0	0	9999	0.671259877271573	0.793217050055611
Mix_34	0.544945634308562	0.160685558229534	0.220905136453003	0.0498662800246778	0	0.0235973909842232	9999	0.662842137886976	0.8007742864747
Mix_35	0.441065813493414	0.255950779440819	0.254924089416682	0.0480593176490856	0	0	9999	0.663954034854418	0.802229795959313
Mix_36	0.498666346850757	0.233172865678831	0.240709596888989	0.0274511905814225	0	0	9999	0.664461913780935	0.801790077394245
Mix_37	0.393108490829789	0.240112903364089	0.303857868425398	0.0629207373807238	0	0	9999	0.657717655241193	0.80988671965898
Mix_38	0.430338257458476	0.243568519233419	0.269598783520613	0.0428051373718896	0	0.0136893024156012	9999	0.66954272037351	0.7948740842817
Mix_39	0.518667607755446	0.253232685802885	0.133365851210596	0.0726048058015571	0	0.022129049429516	9999	0.667091989054071	0.794826283531322
Mix_40	0.422084601035769	0.229577862840898	0.288861729599814	0.0594758065235185	0	0	9999	0.654011929404317	0.813910686286847
Mix_41	0.455396895817341	0.187819487894395	0.309100076985746	0.047683539302518	0	0	9999	0.658157266476968	0.809284216899864
Mix_42	0.502275823891748	0.286251620569425	0.182120443772974	0.0293521117658533	0	0	9999	0.667227168858877	0.79812262509248
Mix_43	0.471007720148526	0.224756744992229	0.23471287753154	0.0613712093282907	0	0.00815144799941406	9999	0.659927818716296	0.805476837125428
Mix_44	0.461974259570348	0.210774899921282	0.27407623297925	0.0400789450184142	0	0.0130956625107061	9999	0.665015208579398	0.800129591108182
Mix_45	0.406899954484845	0.274051256656227	0.251383432551782	0.0676653563071461	0	0	9999	0.665633312579977	0.79994235433476
Mix_46	0.466421825430237	0.296704030891474	0.183248630464165	0.0536255132141235	0	0	9999	0.666558297363244	0.798379798546679
Mix_47	0.528861439270914	0.164575728557717	0.245828867843458	0.0431432041870817	0	0.0175907601408297	9999	0.664077031755928	0.800206805393914
Mix_48	0.510003744043999	0.233306000594801	0.223538289393228	0.0327653794770743	0	0.000386586490896828	9999	0.666222159332542	0.799293365285815
Mix_49	0.371318099723682	0.233640706850084	0.34744259602687	0.0475985973993639	0	0	9999	0.65701279438703	0.811815015131696
Mix_50	0.441607945514292	0.273111559092926	0.236923389582268	0.048357105810514	0	0	9999	0.669678580225605	0.795320292082938
Mix_51	0.484372947170169	0.261724389135249	0.19662503687446	0.0561161294625237	0	0.00116149735759759	9999	0.668579367141196	0.795665900971771
Mix_52	0.364637953495078	0.268182950433264	0.308014409243178	0.0591646868284798	0	0	9999	0.662593917140327	0.804684401928683
Mix_53	0.446491000925397	0.264020987633414	0.212258513411646	0.0679897853910699	0	0.00923971263847338	9999	0.667555801601138	0.79629722367142
Mix_54	0.452397075299716	0.135276949854952	0.336256031314394	0.0556524996391562	0	0.0204174438917826	9999	0.651115663804042	0.815892933774223
Mix_55	0.395769201670121	0.178217396207945	0.374419098604095	0.0515943035178387	0	0	9999	0.657285764165942	0.811251749807222
Mix_56	0.456697031328122	0.247094623264424	0.236230109553889	0.0526371108666981	0	0.00734112498686628	9999	0.668554164513135	0.7957703562103
Mix_57	0.337935155510924	0.226060292147893	0.371598268428925	0.0611996509538648	0	0.00320663295839286	9999	0.655498622394243	0.813469001148842
Mix_58	0.415921584790654	0.291143528809539	0.243052454031926	0.0498824323678803	0	0	9999	0.67068134365925	0.794399693187673
Mix_59	0.412030687809506	0.160572819143921	0.379598586463421	0.0477979065831529	0	0	9999	0.648962677886634	0.820989499417227
Mix_60	0.516644822853223	0.234766261516197	0.207793955597721	0.040794960032859	0	0	9999	0.657394021135373	0.809304845795657
Mix_61	0.492077204225228	0.21248560297306	0.229440692014111	0.0619390148687134	0	0.00405748591888804	9999	0.658212323262401	0.807588994364756
Mix_62	0.474160686622524	0.219539160197553	0.244730698714732	0.0615694544651903	0	0	9999	0.649758124531914	0.818004095850758
Mix_63	0.415357675208525	0.163833760156186	0.350154298793982	0.055271234611027	0	0.01538303123028	9999	0.656452539170466	0.810481554399279
Mix_64	0.536679132164828	0.163306736139541	0.21886593979696	0.0580591530218621	0	0.0230890388768097	9999	0.664391941285252	0.798743844178722
Mix_65	0.457097035008331	0.257544820625458	0.208691843501782	0.067347650704475	0	0.00931865015995386	9999	0.666988373422858	0.796861265147857
Mix_66	0.479267473008653	0.243220138730698	0.250891790102623	0.0266205981580259	0	0	9999	0.662615592396204	0.804219944612623
Mix_67	0.529091535068839	0.22448902712413	0.158482575837841	0.0670363680965097	0	0.0209004938726804	9999	0.66128958129439	0.801949833097245
Mix_68	0.415633020048186	0.308933374275831	0.213623927880119	0.0618096777958651	0	0	9999	0.669092028375013	0.795785024587578
Mix_69	0.474002916811849	0.246216877672855	0.218124147010885	0.0616560585044115	0	0	9999	0.658077742238909	0.808164684792612
Mix_70	0.459060765382011	0.270206439967236	0.222117655631837	0.0482514551805133	0	0.000363683838402772	9999	0.669481953741153	0.795279720240365
Mix_71	0.40657374991699	0.238074364423323	0.296065634632315	0.0592862510273709	0	0	9999	0.656997072079327	0.810647148622997
Mix_72	0.486721084483692	0.277084821650834	0.151721593392261	0.0646186037501603	0	0.0198538967230533	9999	0.674186559125046	0.787106188965923
Mix_73	0.362904165110487	0.215983143173283	0.371881785063592	0.049230906652638	0	0	9999	0.656875313522268	0.812195516651927
Mix_74	0.491515964605703	0.199639611516738	0.235592013639676	0.0600820916072063	0	0.0131703186306762	9999	0.657172010776576	0.80821233769834
