	B Cells	Basophils	CD4+ T-cells	CD8+ T-cells	Endothelial cells	Eosinophils	Fibroblasts	Macrophages	Mast cells	Monocytes	NK cells	Neutrophils
S10167	0	0	0.1936	0.087	0.0488	0.6017	0	0	0	0.0401	0.1428	0.1205
S10168	0.0805	0	0.3213	0.0869	0.0408	0.4884	0	0	0.0069	0.045	0.1829	0.1302
S10173	0.2039	0	0.3763	0.1155	0.0451	0.2402	0	0.0501	0.0036	0.064	0.0611	0.1668
S10175	0.0211	0	0.2934	0.0393	0.0193	0.6579	0	0.0466	0	0.0348	0.055	0.1468
S10179	0.0642	0	0.3761	0.0964	0.0139	0.092	0	0.0316	0.0061	0.1153	0.2004	0.1132
S10186	0.217	0	0.3339	0.1072	0.0379	0.1261	0	0.0452	0.0203	0.1172	0.0954	0.077
S1019	0.0222	0	0.3577	0.0393	0.0194	0.6462	0	0.0231	0.0155	0.0187	0.1182	0.1354
S10190	0.1844	0	0.4056	0.1121	0.026	0.1291	0	0.0953	0	0.119	0.0102	0.1375
S10195	0.0738	0	0.2196	0	0.0742	0.2717	0	0.0212	0.003	0.1374	0.0306	0.1807
S10196	0	0	0.3277	0.0337	0	0.6526	0	0.0336	0	0.0383	0.0146	0.1488
S10200	0.0154	0	0.216	0.0218	0.062	0.2856	0	0.0418	0.001	0.1614	0.1719	0.1416
S10201	0.027	0.0479	0.045	0	0.0422	0.5202	0	0.0078	0.0073	0.1527	0.0493	0.1914
S10202	0.0685	0	0.2457	0.0588	0.0303	0.4548	0	0.0472	0.0126	0.1216	0.1866	0.1459
S10205	0.1288	0	0.3347	0.0028	0	0.3995	0	0.0037	0.0126	0.0824	0.1268	0.1526
S10211	0.0016	0	0.2608	0.0315	0.0901	0.5461	0	0	0.0053	0.0497	0.0367	0.1348
S10221	0.0308	0	0.2894	0.0886	0	0.5153	0	0.0097	0.0027	0.0663	0.0214	0.1412
S10222	0.0746	0	0.2151	0.0258	0.0499	0.432	0	0	0.0016	0.1003	0	0.1617
S10226	0.1426	0	0.2866	0.0647	0.0451	0.3067	0	0.0163	0.0268	0.1244	0.0106	0.1651
S10227	0	0	0.2942	0.0216	0.0346	0.7637	0	0.0499	0	0.0222	0	0.1594
S10228	2.00E-04	0	0.292	0.0578	0.0445	0.4472	0	0.031	0.0103	0.076	0.0455	0.1386
S10232	0.1482	0	0.3864	0.0964	0.0946	0.3109	0	0.0291	0	0.0303	0.1169	0.1309
S10248	0.0777	0	0.3985	0.0816	0.0096	0.3999	0	0.0533	0	0.0321	0.0195	0.159
S10249	0	0	0.2066	0	0	0.6016	0	0.0896	0.0194	0.1739	0	0.1686
S1025	0.0978	0	0.3128	0.0614	0.0122	0.5067	0	0.0175	0.0081	0.048	0.1087	0.1152
S10266	0.0371	0	0.2653	0.0453	0.0356	0.4904	0	0.0332	0.0043	0.1056	0	0.1716
S10269	0.1217	0	0.2696	0.0514	0.0351	0.5517	0	0.0252	0.0097	0.0715	0.0737	0.1645
S10272	0.029	0	0.2744	0.0346	0.0685	0.4671	0	0.0284	0	0.0823	0.0527	0.1898
S10273	0.1679	0	0.2487	0.005	0.0084	0.4068	0	0.0125	0.0224	0.1049	0.1299	0.1677
S10274	0.0671	0	0.2495	0.0553	0.0226	0.3043	0	0.0247	0.0049	0.1522	0.0543	0.1643
S1028	0.055	0	0.3715	0.0723	0	0.5738	0	0.0307	0	0.0323	0	0.1557
S10280	0.0135	0	0.3983	0.1424	0	0.6869	0	0.0847	0.0225	0.0255	0.0498	0.126
S10283	0.1407	0	0.3726	0.1361	0.0066	0.1274	0	0.068	0.0155	0.1326	0.1448	0.1204
S1029	0.0757	0	0.2851	0.0572	0.0058	0.4415	0	0.0106	0.0116	0.0978	0.0845	0.138
S10292	0.0887	0	0.3472	0.0961	0.0229	0.4387	0	0.0163	0.016	0.0473	0.0424	0.138
S10294	0.0739	0	0.3134	0.0973	0.01	0.4654	0	0.0056	0	0.0489	0.0892	0.1205
S10302	0.0344	0	0.3687	0.0973	0.0141	0.4622	0	0.0848	0.0244	0.0894	0.0919	0.1646
S10303	0.1079	0.0017	0.2786	0.0428	0.0521	0.3564	0	0.0511	0.0254	0.1247	0.1202	0.17
S10323	0.0647	0	0.2655	0.0609	0.0538	0.4074	0	0.0499	0.0178	0.1009	0.0415	0.1578
S10326	0.0429	0	0.2624	0.0289	0.0187	0.5494	0	0.0237	0.022	0.1002	0.1278	0.1448
S10328	0.0317	0	0.2933	0.1369	0.0268	0.498	0	0	0.0106	0.0602	0.178	0.158
S10329	0.1438	0	0.3193	0.0586	0	0.4023	0	0.0317	0.014	0.0811	0.1	0.1423
S10336	0.0533	0	0.1927	0.023	0.0504	0.4673	0	0.0531	0.0213	0.1004	0.1751	0.1452
S10340	0.1472	0	0.3404	0.0709	0.0481	0.383	0	0	0.0231	0.08	0.0405	0.1735
S10347	0	0.0757	0.2293	0.0583	0.1032	0.4786	0	0.0305	0	0.0791	0.1146	0.1648
S10353	0.1284	0	0.2815	0.092	0.0107	0.5988	0	0.0251	0.0149	0.0524	0.0121	0.1617
S10356	0.0723	0	0.3267	0.0579	0.028	0.605	0	0.0413	0.0241	0.0696	0.0448	0.1426
S10358	0.0075	0	0.3007	0.0283	0.0186	0.4401	0	0.0569	0.0185	0.0984	0.0437	0.1611
S10365	0.0207	0.0326	0.2935	0.0393	0.0153	0.5659	0	8.00E-04	0.0196	0.0977	0.0213	0.1635
S1037	0.1741	0	0.3792	0.1611	0.0426	0.0909	0	0.0133	0.0189	0.1019	0.1667	0.1248
S10373	0.1205	0	0.3155	0.0578	0.0121	0.357	0	0.0189	0.016	0.0941	0.0577	0.1461
S10374	0.0152	0.0242	0.358	0.0279	0.0541	0.7704	0	0	0.0174	8.00E-04	0.0175	0.1581
S10375	0.0425	0	0.2601	0.0073	0.0089	0.4219	0	0.0387	0.0051	0.1104	0.1517	0.1543
S10377	0.0755	0	0.2151	0.022	0.0946	0.4322	0	0.0156	0	0.0826	0.0336	0.1287
S10378	0.1297	0	0.3049	0.1216	0	0.3874	0	0.0342	0	0.0641	0.0875	0.146
S10390	0	0.1536	0.2603	0.0664	0.0568	0.6865	0	0	0	5.00E-04	0	0.1739
S10391	0.0171	0.0567	0.2282	5.00E-04	0.0313	0.5711	0	0.0395	0.0267	0.0579	0.0461	0.146
S10393	0.1005	0	0.3461	0.0576	0.0156	0.409	0	0.029	0.0034	0.094	0.1514	0.1264
S10400	0	0.0042	0.2567	0.034	0.0209	0.5725	0	0.0436	0.0189	0.1096	0	0.1539
S10401	0.0691	0	0.1956	0.0787	0.0333	0.5118	0	0.0307	0.015	0.0887	0.0465	0.1448
S10406	0.0374	0	0.1749	0.023	0.0408	0.3903	0	0.0431	0	0.1403	0	0.187
S10408	0.0293	0.0895	0.234	0.0528	0.0134	0.6046	0	0.022	0.0193	0.0948	0.0824	0.1608
S10409	0.1192	0	0.3528	0.0821	0.025	0.2199	0	0.0172	0	0.1145	0.1417	0.1395
S10418	0	0.1717	0.1409	0	0.06	0.6126	0	0	0	0.0603	0	0.2098
S10431	0	0	0.346	0.0287	0.0248	0.6167	0	0.0546	0	0.0506	0.0749	0.1508
S10438	0.04	0	0.2954	0.0477	0.0506	0.4117	0	0.0364	0.0051	0.0893	0.0782	0.1447
S10439	0.0702	0	0.2697	0.0656	0.002	0.3909	0	0.0519	0.0099	0.1459	0.0397	0.1426
S10441	0.0287	0.0194	0.2055	0.0469	0.0098	0.5566	0	0.1084	0.0283	0.1489	0.1161	0.1446
S10442	0.0819	0	0.2671	0.0278	0.0317	0.2944	0	0.0552	0.0077	0.1544	0.1087	0.136
S1046	0.0187	0	0.2461	0.0228	0.0097	0.5931	0	0.0321	0.0151	0.0831	0.0199	0.1806
S10478	0.0639	0.0338	0.0716	0	0.0321	0.5376	0	0.0467	0.0111	0.1931	0	0.185
S10480	0.2238	0	0.2797	0.0969	0.0996	0.215	0	0.0331	0.0226	0.0751	0.1901	0.1384
S10484	0.0497	0	0.2091	0.0329	0.0381	0.428	0	0.056	0.012	0.1492	0.0718	0.1707
S10492	0.0438	0	0.384	0.0901	0.0057	0.4537	0	0.0367	0	0.0595	0.046	0.1017
S10496	0.2	0	0.3504	0.0672	0	0.3327	0	0.0416	0.0111	0.0813	0.1471	0.1435
S10510	0.0402	0	0.3564	0.1076	0	0.6069	0	0.0621	0.0092	0.0596	0.018	0.1688
S10513	0	0	0.3217	0.0106	0.031	0.3599	0.0232	0.0565	0.0386	0.1695	0.0925	0.181
S10516	0.0787	0	0.2276	0.0221	0.0724	0.5266	0	0.0534	0.0216	0.093	0.1008	0.1492
S10534	0.1457	0	0.3341	0.0725	0.0451	0.1995	0	0.0354	0.0132	0.1381	0	0.1642
S10535	0.1257	0	0.3447	0.1339	0.0058	0.3974	0	0.0444	0.0053	0.0615	0.0074	0.1249
S10537	0.0511	0	0.2546	0.0703	0	0.614	0	0.0585	0.0148	0.0825	0.0837	0.143
S1054	0.0868	0	0.2889	0.0822	0.0851	0.338	0	0.0547	0.0199	0.119	0.1313	0.1314
S10543	0.1626	0	0.2568	0.0715	0.0262	0.3271	0	0.0073	0.0122	0.1046	0.1721	0.1562
S10546	0.0793	0	0.2312	0.0168	0.0516	0.4174	0	0.0244	0	0.0953	0.1611	0.1425
S1055	0	0	0.1593	1.00E-04	0.0411	0.5572	0	0.0557	0.0047	0.12	0.0299	0.1578
S10551	0.0133	0.0059	0.2624	0.0931	0.0413	0.7374	0	0.0256	0.0161	0.0563	0.0897	0.1399
S10552	0	0	0.088	0	0.0512	0.6344	0	0.0014	0.0131	0.105	0.0894	0.1683
S10555	0.0861	0	0.2904	0.1608	0.0236	0.2438	0	0.0214	0.0064	0.1142	0.2318	0.1407
S10559	0	0	0.2944	0.0147	0.0147	0.6126	0	0.0464	0.0093	0.0797	0.0552	0.1525
S1056	0.1609	0	0.339	0.0832	0.0076	0.3698	0	0.0343	0.0048	0.0909	0	0.1671
S10563	0.0543	0	0.2496	0.0591	0.0083	0.4877	0	0.0458	0.0101	0.0942	0.0807	0.1643
S10574	0.0615	0	0.3761	0.0968	0.0043	0.4238	0	0.0452	0	0.0525	0.1311	0.1278
S10576	0.0424	0	0.1964	0.0099	0.0607	0.4797	0	0.0373	0	0.1246	0.062	0.174
S10578	0	0	0.216	0	0.03	0.5252	0	0.063	0	0.0715	0.0692	0.1487
S10579	0.0117	0	0.2502	0.0688	0.0236	0.5459	0	0.0172	0	0.0564	0.0394	0.1711
S10582	0.1123	0	0.2814	0.0462	0.0061	0.3565	0	0.0354	0.0054	0.1144	0.1246	0.1753
S1059	0.0543	0	0.2243	0.0539	0	0.4848	0	0.0245	0.0047	0.0794	0.0919	0.1432
S10599	0.046	0	0.2593	0.0124	0.0287	0.5243	0	0.0365	0	0.1082	0	0.1429
S10611	0.0138	0	0.315	0.062	0.0384	0.5267	0	0.0698	0.0022	0.084	0.0056	0.1529
S10614	0	0	0.2526	0.0353	0.0032	0.7105	0	0.0299	0.0046	0.0951	0.0445	0.1863
S10624	0.1818	0	0.2541	0.0593	0.0519	0.3725	0	0.075	0.0218	0.0797	5.00E-04	0.1316
S10632	0.0386	0	0.2045	0	0.0835	0.5255	0	0	0.012	0.1008	0.0424	0.1665
S10634	0.1727	0	0.3038	0.0619	0.0615	0.2477	0	0.0387	0	0.0963	0.039	0.1639
S10638	0.102	0	0.2864	0.086	0.0498	0.349	0	0.0736	0.0141	0.1186	0	0.1436
S10644	0.095	0	0.4041	0.0676	0.0472	0.3118	0	0.0605	0.0061	0.0785	0.1648	0.1449
S10649	0.0109	0	0.2449	0.0312	0	0.5705	0	0	1.00E-04	0.0611	0.0449	0.1838
S10652	0.0406	0	0.2117	0	0	0.5406	0	0.021	0.0268	0.11	0.0958	0.2044
S10654	0.1268	0	0.2853	0.0594	0.0189	0.2946	0	0.0433	0	0.1255	0.1939	0.138
S10655	0.0552	0	0.3064	0.0644	0.0304	0.4113	0	0.057	0.0062	0.0835	0.0835	0.1505
S10656	0.0565	0	0.3557	0.1053	0	0.3647	0	0.047	0	0.0393	0.1774	0.1568
S10657	0.0501	0	0.2127	0.0537	0.0707	0.5752	0	0.0398	0	0.079	0.0577	0.1327
S10658	0.1557	0	0.3121	0.0875	0.0152	0.2245	0	0.0295	0.005	0.117	0.0979	0.1459
S10660	0.0691	0	0.3718	0.1241	0.0636	0.4117	0	0.0704	0.0052	0.0599	0.182	0.0846
S10661	0.209	0	0.3907	0.0733	0.0526	0.1428	0	0.0248	0.0083	0.1161	0.0899	0.1526
S10676	0.0833	0	0.1961	0	0.0033	0.4916	0	0.057	0	0.1132	0.0924	0.1298
S1068	0.1641	0	0.3243	0.0918	0.0161	0.2897	0	0.0472	0.0129	0.1225	0.0769	0.1461
S10681	0.0098	0	0.2554	0.0706	0.0658	0.7543	0.0145	0.0136	5.00E-04	0.0171	0.0854	0.1612
S10686	0.0197	0.0911	0.2746	0.0228	0.0658	0.41	0	0.0126	0.0163	0.109	0.096	0.1535
S10688	0.0404	0	0.3968	0.0831	0.0372	0.4026	0	0.0478	0	0.0794	0.067	0.1243
S10690	0.0392	0.0279	0.1801	0.0092	0.0592	0.4229	0	0.0067	0.0044	0.1109	0.21	0.1368
S10698	0.1313	0	0.3567	0.1216	0.0051	0.3472	0	0.0632	0.0139	0.0805	0.1074	0.1566
S107	0.0734	0	0.3738	0.1237	0.0178	0.3137	0	0.0607	0	0.0851	0.0729	0.1556
S10703	0.1024	0	0.3544	0.0867	0.0226	0.2631	0	0.0419	0	0.0975	0.1573	0.1251
S10726	0.1472	0	0.3322	0.0413	0.043	0.3372	0	0.036	0.007	0.0893	0.008	0.1556
S10729	0	0	0.2263	0.0247	0.067	0.5666	0	0.0326	0.0139	0.1091	0.0405	0.1514
S10733	0.085	0	0.3415	0.0345	0.028	0.3554	0	0.0329	0	0.1359	0.0643	0.1303
S10734	0.0723	0	0.2936	0.1051	0.0217	0.5701	0	0.0499	0.0111	0.0889	0.0454	0.1215
S10735	0.1627	0	0.284	0.0825	0.0553	0.4067	0	0.0246	0.0053	0.1002	0.0335	0.1547
S10740	0	0	0.2639	0.0419	0.0308	0.4129	0	0.0741	0.0023	0.1775	0	0.1759
S10745	0.0638	0	0.1957	0	0.0096	0.533	0	0.0382	0.0145	0.1406	0.1008	0.1751
S10748	0.0505	0	0.2734	0.0601	0.0685	0.577	0	0.0322	0.0106	0.0727	0.063	0.1308
S10753	0.0023	0	0.3385	0.0627	0.0071	0.5958	0	0.0559	0	0.0961	0	0.1475
S10756	0.1423	0	0.2982	0.0385	0.0173	0.3798	0	0.0518	0	0.082	0.1037	0.1308
S10757	0.209	0	0.4416	0.1605	0.0441	0.0736	0	0.0586	0	0.0795	0.1298	0.13
S1076	0.0838	0	0.2937	0.0406	0.0031	0.5409	0	0.0249	0.0226	0.0993	0.0419	0.161
S10764	0	0.0566	0.26	0.0556	0.0213	0.7789	0	0.0288	0.0435	0.0174	0.0398	0.1552
S10767	0.0693	0	0.3494	0.1084	0.0232	0.5961	0	0.0318	0	0	0.1432	0.1168
S10776	0.065	0	0.2779	0.0523	0	0.5351	0	0.0209	0.0127	0.1237	0.077	0.1804
S10778	0.0691	0	0.2663	0.0935	0.0297	0.2879	0	0.0311	0.0064	0.1298	0.0199	0.1836
S10784	0.0238	0	0.1977	0.0015	0	0.6529	0	0.021	0.025	0.1288	0.0553	0.1972
S10787	0.1097	0	0.2074	0.0639	0.0745	0.3609	0	0.0166	0.01	0.1077	0.1221	0.1375
S10800	0.298	0	0.313	0.0338	0.0257	0.3373	0	0.0238	0.0185	0.0854	0.0524	0.1637
S10805	0.104	0.0504	0.205	0	0.0447	0.3124	0	0.0439	0.0222	0.1511	0.0406	0.1683
S10813	0.0631	0	0.2461	0.0371	0.018	0.4739	0	0.0217	0.0242	0.1137	0.1348	0.1521
S10814	0	0	0.2311	0.0227	0.0441	0.5762	0	0	0	0.067	0.0526	0.1819
S10815	0.0436	0	0.2911	0.0366	0.0206	0.5307	0	0	0	0.0325	0.0554	0.1691
S10817	0	0.0943	0.3423	0.0794	0.0764	0.4571	0	0.0079	0.0223	0.0569	0.1499	0.1591
S1083	0.1071	0	0.3166	0.0856	0.0082	0.3996	0	0.0396	0	0.0747	0.0904	0.1274
S10835	0.0028	0	0.2581	0	0.0367	0.4019	0	0.0729	0.0039	0.1393	0.0392	0.1189
S10838	0.0734	0	0.3014	0.0671	0.0143	0.2719	0	0.0448	0	0.1072	0.0768	0.1445
S10844	0.1174	0	0.2986	0.0452	0.0524	0.4153	0	0.0212	0.0213	0.0584	0.0568	0.146
S10845	0.087	0	0.2544	0	0.0013	0.3977	0	0.0662	0.0141	0.1278	0.0802	0.1518
S10846	0.182	0	0.4091	0.1025	0.0268	0.5044	0	0.0435	0.0136	0.0388	0.1512	0.1284
S10853	0	0	0.1909	0.0054	0.0161	0.7432	0	0.0323	0.0072	0.0699	0.0486	0.1787
S10854	0.1762	0	0.4301	0.0998	0.0255	0.38	0	0.0638	0	0.0608	0.0454	0.1397
S10865	0.0755	0	0.2537	0.0219	0.0278	0.4481	0	0.0312	0.0193	0.1163	0.1596	0.1499
S10866	0.0278	0	0.269	0.0652	0.0158	0.5372	0	0.0578	0.0094	0.0817	0.0622	0.1584
S10869	0.0118	0	0.1483	0.0013	0.022	0.4853	0	0.0576	0.0274	0.1706	0.0861	0.1669
S10873	0.0768	0	0.1973	0.0368	0.037	0.4411	0	0.0295	0.0065	0.1088	0.1426	0.1544
S10876	0.099	0	0.3904	0.1025	0.0027	0.4413	0	0.0683	0.0098	0.0724	0.0802	0.1229
S10883	0.095	0	0.1916	0.008	0.0654	0.4813	0	0.0388	0.0017	0.1123	0.0667	0.164
S10885	0.0445	0	0.2384	0.0428	0.0039	0.4836	0	0.0235	0	0.0941	0	0.1355
S10893	0.0389	0	0.258	0.0308	0.0269	0.5536	0	0.0529	0	0.0757	0.0711	0.1557
S10895	0	0	0.2294	0.0207	0.0269	0.4434	0	0.0547	0.0067	0.1347	0.1605	0.1457
S10902	0.0746	0	0.3021	0.0503	0.0317	0.6773	0	0.0434	0	0	0.0428	0.124
S10903	0	0	0.2022	0.0238	0.0494	0.6121	0	0.0499	0	0.1145	0.1498	0.1237
S1092	0.0866	0	0.2698	0.0277	0.0319	0.2146	0	0.0731	0	0.162	0	0.1729
S10925	0.0742	0	0.3101	0.0617	0.015	0.6343	0	0.0424	0.0106	0.0558	0.0501	0.1425
S10927	0	0	0.2888	0.0344	0.0033	0.4923	0	0.0513	5.00E-04	0.1148	0.0387	0.1671
S10936	0.1076	0	0.3391	0.0857	0.014	0.2358	0	0.0504	0.0091	0.104	0.1433	0.1249
S10945	0.135	0	0.2285	0.0494	0.0252	0.3831	0	0.0444	0.0203	0.1883	0.1071	0.1701
S10947	0	0	0.2634	0.0292	0.0741	0.5498	0	0.0072	0.0038	0.0875	0.0516	0.1529
S10949	0.0763	0	0.3894	0.0878	0.0056	0.3737	0	0.0264	0	0.0415	0.0314	0.1574
S1095	8.00E-04	0	0.1809	0.0204	0.1049	0.4333	0	0	9.00E-04	0.1055	0.0472	0.1604
S10961	0.0257	0	0.2016	0.0213	0.0377	0.4053	0	0.0332	0.0082	0.1209	0.1125	0.1545
S10969	0.09	0	0.3139	0.0884	0	0.4036	0	0.0539	0	0.0697	0.091	0.1464
S10972	0.1895	0.0214	0.2092	0.0491	0.0489	0.3644	0	0.0373	0.0164	0.1343	0.198	0.1495
S10973	0.0517	0.03	0.2398	0.0553	0	0.6695	0	0.0501	0.0266	0.0866	0.0295	0.1961
S10978	0.0597	0	0.2233	0.0541	0.0141	0.4076	0	0.0297	0	0.0805	0.1215	0.1616
S10979	0.1126	0	0.3128	0.0496	0.0399	0.4355	0	0.058	0.0219	0.0904	0.1271	0.1519
S10986	0	0.0096	0.2741	0	0.045	0.3923	0	0.0234	0.0298	0.1353	0.0366	0.1792
S10989	0.0888	0	0.3632	0.1059	0.0376	0.3893	0	0.0569	0.005	0.0916	0	0.1641
S10995	0.0308	0	0.3264	0.042	0.0055	0.3157	0	0.0409	0	0.0998	0.0813	0.153
S11005	0.0848	0	0.2975	0.0257	0.0481	0.3775	0	0.0229	0	0.1209	0.1219	0.1284
S11008	0.1512	0	0.2557	0.0186	0.0167	0.2405	0	0.0295	0	0.1375	0.0777	0.1618
S11010	0.0245	0	0.3022	0.0967	0.066	0.5845	0	0.0261	0	0	0.0504	0.1283
S11013	0.0261	0	0.3015	0.0887	0.0213	0.494	0	0.0369	0.0027	0.0781	0.0894	0.1488
S11016	0.1103	0	0.3414	0.0505	0	0.3981	0	0.0618	0.0123	0.1098	0.1237	0.1284
S11017	0.0463	0	0.1674	0.0273	0.0288	0.423	0	0.0549	0.0026	0.1664	0.1212	0.1349
S11020	0.0787	0.008	0.2492	0.0132	0.0375	0.3936	0	0.0565	0.0123	0.1543	0.1802	0.1567
S11027	0.0514	0	0.2217	0.0225	0.006	0.4323	0	0.0245	0.0031	0.1545	0.0625	0.1564
S11035	0.0428	0	0.2826	0.0375	0.0138	0.5372	0	0.0039	0	0.0779	0.02	0.17
S11041	0.013	0	0.3794	0.054	0.0299	0.5617	0	0.0259	0	0.0458	0.0912	0.1591
S1106	0.0764	0	0.3246	0.0994	0.0169	0.507	0	0.0521	0	0.0683	0.0575	0.1475
S11071	0.2287	0	0.395	0.1169	0	0.1083	0	0.0424	0.009	0.1166	0.1984	0.1078
S11076	0.0347	0	0.3175	0.053	0.0143	0.4722	0	0.0198	0.0086	0.0621	0.1047	0.1574
S11078	0.0809	0	0.2651	0.0875	0.0177	0.5843	0	0.0061	0.004	0.0736	0.0302	0.1761
S11081	0.0022	0	0.2434	0.0654	0.0271	0.5682	0	0.0243	0.0142	0.0652	0.0577	0.1439
S11086	0.0119	0	0.2339	0.0812	0.0655	0.5574	0	0.0188	0.0178	0.0743	0.0785	0.1806
S1109	0.0404	0	0.2336	0.0305	0	0.6235	0	0.0715	0.0126	0.088	0.0902	0.1301
S11096	0	0	0.2295	0.0304	0	0.538	0	0.0438	0.0101	0.1175	0.0425	0.1714
S11100	0.14	0	0.386	0.03	0.0325	0.416	0	0.0036	0.0138	0.0858	0	0.1962
S11107	0.0517	0	0.2956	0.0359	0.0346	0.5406	0	0.0054	0	0.0649	0	0.1848
S11109	0.0565	0.0646	0.2135	0.0084	0.071	0.3389	0	0.0449	0.0086	0.1225	0	0.1826
S1111	0.1096	0	0.3772	0.0845	0.0598	0.058	0	0.0716	0.0031	0.0967	0.0554	0.1259
S11119	0.0586	0	0.3063	0.0639	0.0771	0.303	0	0.0289	0	0.106	0.0493	0.1637
S11127	0.0495	0	0.2955	0.0902	5.00E-04	0.3368	0	0.0757	0	0.0924	0.1761	0.1116
S11136	0.0581	0.0185	0.2939	0.0653	0.0914	0.4179	0	0.0251	0.0061	0.0464	0	0.1734
S11147	0	0	0.3076	0.0532	0.0399	0.503	0	0.0303	0	0.0705	0.0208	0.1647
S11150	0.0635	0	0.3024	0.0115	0.0553	0.3208	0	0.0442	0	0.1103	0.0114	0.1807
S11152	0.0939	0.0068	0.2233	0.0046	0.0422	0.461	0	0.047	0.0254	0.1192	0.055	0.1681
S1116	0.0507	0	0.3544	0.1533	0	0.4393	0	0	0	0.0492	0.0349	0.1273
