Mixture	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	P-value	Correlation	RMSE
Mix_13	0.0506936391297269	0	0.00598256484722358	0.0287264743672586	0	0	0.100970651397209	0	0.144377486211782	0	0	0.0533064919499124	0	0.00767519683334006	0	0.0967721374258464	0	0.435894842475826	0.0756005153618743	0	0	9999	0.368574904428366	1.08067645583758
Mix_14	0	0	0.0118784624502054	0.0294696939992664	0	0	0.105266351764961	0	0.125817307523269	0	0	0.0491163903107914	0	0.00594961275316846	0	0.131323551085524	0	0.472128346545546	0.0690502835672688	0	0	9999	0.371757828150204	1.07924581887753
Mix_15	0.00354393580306029	0	0	0.0267809201649237	0	0	0.10804961297011	0	0.170867978597928	0	0	0.0521743362677628	0	0.00884024873050553	0.0020329207498974	0.109038311911428	0	0.440838909989828	0.0778328248145559	0	0	9999	0.372181143725105	1.07816537965277
Mix_16	0.0208256777782738	0	0.00191796709689437	0.023771234219085	0	0	0.10276732370408	0	0.176879185450967	0	0	0.055114344464985	0	0.0113774877530081	0.00342696002882147	0.0945280201235276	0	0.431186165507278	0.0782056338730793	0	0	9999	0.370192822279375	1.07874232158546
Mix_17	0.00511724973693374	0	0.0042350475001838	0.0260626833084294	0	0	0.106823264884687	0	0.157834853384064	0	0	0.0556372523398014	0	0.00790905716656953	0	0.108071021754672	0	0.452916659096851	0.0753929108278087	0	0	9999	0.372475920202155	1.07800769637803
Mix_18	0	0	0	0.0256663220705724	0	0	0.103843928370359	0	0.191742665707378	0	0	0.0583649526041786	0	0.0122847868037429	0	0.0956406986617698	0	0.43138006114853	0.08107658463347	0	0	9999	0.373117060268565	1.0762308549985
Mix_19	0	0.00465029804853363	0.00704543146956506	0.0261439447010704	0	0	0.104106508801388	0	0.167831726167833	0	0	0.0518089833778929	0	0.012598611081141	0.00424455907086731	0.126209520323691	0	0.4233437415158	0.0720166754422179	0	0	9999	0.367652789233391	1.08018529952084
Mix_20	0.0287114598691982	0	0.00316512879771345	0.0250374584031141	0	0	0.104096143720075	0	0.178766423045201	0	0	0.0562373077753466	0	0.013267358791826	0.00221642816512858	0.0946250267776979	0	0.417141506164351	0.076735758490348	0	0	9999	0.368925946645068	1.07880131923881
Mix_21	0.0221790146947698	0.00103566453736916	0.00886358175251153	0.0245435345640653	0	0	0.107466733373874	0	0.186247620885494	0	0	0.0542101277697111	0	0.0130156080494458	0.000549313164582839	0.109086130951044	0	0.396670540015317	0.0761321302418151	0	0	9999	0.366819143470507	1.08072973118877
Mix_22	0	0.00477732979065619	0.0101334133847758	0.0261678348686546	0	0	0.11086315081073	0	0.178876541392748	0	0	0.0525262029992812	0	0.0136188588300982	0.00182490447037214	0.12209474389381	0	0.408094371138869	0.0710226484200058	0	0	9999	0.36735571648857	1.08006335227115
Mix_23	0.0577676078643001	0	0	0.0252387736822469	0	0	0.104319092187351	0	0.173347954902151	0	0	0.0521659181499298	0	0.0149368599949751	0	0.0837742268217828	0	0.411255218607107	0.0771943477901565	0	0	9999	0.368666041900845	1.07849107000604
Mix_24	0	0	0.00308068152027591	0.0245934122936046	0	0	0.106970334539534	0	0.195830193119955	0	0	0.0585883641222827	0	0.00962465557327878	0	0.0857489456745249	0	0.437857349795851	0.077706063360693	0	0	9999	0.373743460157433	1.07661431310772
Mix_25	0.0549919905809061	0	0.00947477073103967	0.0294312944456699	0	0	0.0998974320188392	0	0.138423064787642	0	0	0.0458814753049587	0	0.00832604391420529	0	0.0916028764578518	0	0.447343364104712	0.0746276876541755	0	0	9999	0.369996228056664	1.0797005527923
Mix_26	0.0285452888650578	0	0.00354101021689719	0.0268049722322455	0	0	0.100576348375266	0	0.156104802604612	0	0	0.0538903682527048	0	0.00551964064795714	0	0.0987316506890512	0	0.448935408000644	0.0773505101155639	0	0	9999	0.3718654851387	1.07916474372326
Mix_27	0.0457105754564913	0.00656432051957315	0.0127731920469395	0.028871874200003	0	0	0.10044548629106	0	0.174514843364923	0	0	0.0571066714881093	0	0.0129056553045069	0	0.0718931412763034	0	0.415915207118118	0.0732990329339737	0	0	9999	0.368015705142613	1.07913830002588
Mix_28	0.0101836772333042	0	0.00663244574457583	0.0249826051300577	0	0	0.105952033859177	0	0.183252369119802	0	0	0.053751313598968	0	0.0136553530726504	0.00323848442634719	0.115295365739316	0	0.407710062592808	0.0753462894829946	0	0	9999	0.368637155227966	1.07904372429904
Mix_29	0.0361819503207934	0	0.00738768490032671	0.0279996012075284	0	0	0.104823227297103	0	0.154127487011829	0	0	0.0531028830866334	0	0.00851149913720349	0	0.0835430266419356	0	0.448217732035031	0.0761049083616159	0	0	9999	0.370364701483373	1.07934388452011
Mix_30	0.0103805727696402	0	0.00941223296761598	0.028380429632581	0	0	0.104736763004772	0	0.128135436607985	0	0	0.0499688474609836	0	0.00800955028412827	0	0.116296984079213	0	0.472712327065058	0.0719668561280224	0	0	9999	0.369263768006382	1.08079108646657
Mix_31	0.0253597012134581	0	0	0.0267410520353102	0	0	0.100730067228781	0	0.170021448394567	0	0	0.0571968023931761	0	0.00774495593246219	0	0.108341268279666	0	0.426457765913878	0.0774069386087001	0	0	9999	0.370090874748567	1.07955780168369
Mix_32	0.00271600793670207	0	0	0.0250622605399497	0	0	0.104581766575518	0	0.192768238344714	0	0	0.0581507725559551	0	0.0139514709886659	0.000354071833373107	0.101470316991862	0	0.421901593944446	0.0790435002888132	0	0	9999	0.372427685664579	1.07606905609452
Mix_33	0	0	0.0015248878468649	0.0246556611825861	0	0	0.101869776418647	0	0.179518540532005	0	0	0.056449968479163	0	0.0084465815293594	0.00110005839988117	0.116780807108523	0	0.432465883878616	0.0771878346243548	0	0	9999	0.371835469324307	1.07835256680398
Mix_34	0.0188981116694267	0.00455590378381739	0.0136205582210339	0.0269643899839124	0	0	0.106419229501708	0	0.182654121961505	0	0	0.0545093152520115	0	0.0137252332269208	0.00169157864450651	0.118130919627491	0	0.388303935899718	0.0705267022279487	0	0	9999	0.365221489675104	1.08123614263335
Mix_35	0.0117808265306506	0	0.00379175820861461	0.0266310004944045	0	0	0.103001404707271	0	0.155545695063042	0	0	0.0537009766442644	0	0.0112274658147178	0.00041877286313468	0.126597081093138	0	0.432202685820247	0.0751023327605158	0	0	9999	0.370119649484172	1.07857052275486
Mix_36	0.0243137405317383	0	0.00429682596148828	0.0244262862676182	0	0	0.101608847500901	0	0.16128530453485	0	0	0.0522125764706018	0	0.00809106454048585	0	0.111249135585005	0	0.436217076428676	0.076299142178636	0	0	9999	0.369845101702648	1.08011543405449
