Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells
S10552	0.0781	0.2521	0.1009	0.3643	0.1408	0.0638
S10555	0.0566	0.1429	0.1232	0.3073	0.2139	0.1562
S10559	0.0563	0.3086	0.0774	0.2944	0.1967	0.0666
S1056	0.0898	0.2082	0.0408	0.2973	0.2358	0.1281
S10563	0.0767	0.1881	0.0671	0.3953	0.1744	0.0984
S10574	0.0453	0.2748	0.0786	0.2492	0.2822	0.0699
S10576	0.0646	0.1597	0.0664	0.4599	0.1467	0.1028
S10578	0.0495	0.2501	0.0872	0.3845	0.1682	0.0604
S10579	0.0674	0.1914	0.0702	0.4085	0.1688	0.0937
S10582	0.0611	0.1978	0.086	0.4168	0.1816	0.0568
S1059	0.0734	0.2059	0.0821	0.3558	0.1732	0.1097
S10599	0.0527	0.1981	0.0463	0.42	0.1802	0.1028
S10611	0.055	0.2511	0.0578	0.3411	0.1861	0.1089
S10614	0.0404	0.2248	0.0613	0.4544	0.162	0.057
S10624	0.1263	0.3183	0.0608	0.2338	0.1873	0.0735
S10632	0.0887	0.1914	0.0973	0.3234	0.1529	0.1463
S10634	0.0848	0.1907	0.0681	0.3513	0.2219	0.0832
S10638	0.0591	0.2736	0.0586	0.3207	0.1917	0.0963
S10644	0.0421	0.236	0.079	0.2597	0.3276	0.0556
S10649	0.0448	0.1678	0.0669	0.5202	0.1481	0.0522
S10652	0.0704	0.2074	0.095	0.4319	0.1283	0.0669
S10654	0.0618	0.2414	0.112	0.3264	0.1952	0.0631
S10655	0.0531	0.2108	0.0821	0.359	0.2053	0.0898
S10656	0.037	0.1474	0.1199	0.3391	0.2657	0.0908
S10657	0.0929	0.2368	0.0854	0.308	0.2028	0.0742
S10658	0.0527	0.1686	0.0691	0.4	0.1937	0.1159
S10660	0.1112	0.2393	0.1013	0.1783	0.2272	0.1428
S10661	0.0899	0.171	0.0653	0.3065	0.2716	0.0957
S10676	0.0686	0.391	0.0677	0.32	0.0991	0.0538
S1068	0.0731	0.2514	0.0607	0.2542	0.2515	0.1091
S10681	0.0738	0.2048	0.0907	0.3549	0.1961	0.0796
S10686	0.0827	0.2405	0.0891	0.2894	0.1801	0.1182
S10688	0.0489	0.2029	0.0655	0.2587	0.3428	0.0812
S10690	0.0812	0.2482	0.1246	0.2929	0.1956	0.0575
S10698	0.0686	0.2404	0.0745	0.2556	0.2481	0.1128
S107	0.0639	0.1536	0.0633	0.317	0.2427	0.1596
S10703	0.043	0.2543	0.1179	0.2224	0.3057	0.0567
S10726	0.075	0.2113	0.0642	0.3035	0.2636	0.0825
S10729	0.0748	0.2333	0.0694	0.3136	0.1899	0.1189
S10733	0.046	0.2774	0.0789	0.3204	0.2043	0.0729
S10734	0.1117	0.1954	0.0773	0.2394	0.2386	0.1376
S10735	0.1077	0.2025	0.0675	0.3418	0.1916	0.0889
S10740	0.0512	0.2389	0.0526	0.3744	0.2152	0.0678
S10745	0.0722	0.2559	0.0805	0.4202	0.1363	0.0348
S10748	0.0965	0.2342	0.0925	0.2473	0.2306	0.0989
S10753	0.048	0.2233	0.0473	0.3822	0.223	0.0763
S10756	0.0665	0.2317	0.0728	0.3042	0.2373	0.0876
S10757	0.0635	0.1609	0.055	0.1987	0.3825	0.1393
S1076	0.0852	0.2251	0.0724	0.3286	0.2122	0.0766
S10764	0.0921	0.2454	0.0866	0.2763	0.1912	0.1084
S10767	0.0747	0.1734	0.1143	0.2284	0.2579	0.1513
S10776	0.0552	0.2184	0.0676	0.4066	0.1524	0.0998
S10778	0.0619	0.1497	0.0465	0.488	0.149	0.1048
S10784	0.0641	0.2237	0.0707	0.4722	0.1214	0.0479
S10787	0.0918	0.2288	0.0971	0.2845	0.1721	0.1258
S10800	0.1913	0.1636	0.0726	0.3415	0.1869	0.0442
S10805	0.0838	0.2226	0.0646	0.3659	0.1905	0.0726
S10813	0.0706	0.2632	0.1152	0.332	0.1378	0.0813
S10814	0.1108	0.1909	0.09	0.3398	0.1711	0.0974
S10815	0.0431	0.177	0.0814	0.3846	0.222	0.0919
S10817	0.0643	0.1584	0.0764	0.2944	0.2808	0.1258
S1083	0.0554	0.3256	0.0706	0.2538	0.2091	0.0855
S10835	0.0445	0.4346	0.0682	0.2358	0.1568	0.06
S10838	0.0434	0.2307	0.1026	0.323	0.2273	0.0729
S10844	0.09	0.1739	0.0903	0.3087	0.2126	0.1245
S10845	0.0567	0.3041	0.0814	0.341	0.1611	0.0557
S10846	0.1206	0.1566	0.0827	0.2044	0.2896	0.1461
S10853	0.0568	0.2301	0.0824	0.4251	0.1452	0.0604
S10854	0.071	0.2744	0.055	0.1944	0.3212	0.0839
S10865	0.0594	0.2563	0.1205	0.3023	0.1881	0.0734
S10866	0.0507	0.2601	0.0707	0.3745	0.1365	0.1074
S10869	0.0575	0.2968	0.0557	0.419	0.0869	0.084
S10873	0.0747	0.2066	0.1056	0.3541	0.1703	0.0887
S10876	0.062	0.2852	0.0593	0.2439	0.2284	0.1211
S10883	0.0766	0.2193	0.0861	0.3607	0.175	0.0825
S10885	0.0714	0.2005	0.0903	0.3323	0.2401	0.0654
S10893	0.0556	0.239	0.0877	0.3616	0.201	0.0551
S10895	0.0433	0.2356	0.109	0.4158	0.1314	0.0649
S10902	0.0912	0.2001	0.1023	0.2898	0.2182	0.0985
S10903	0.0697	0.1975	0.1145	0.3709	0.129	0.1184
S1092	0.0437	0.2717	0.0412	0.4317	0.1756	0.0362
S10925	0.0722	0.3037	0.0729	0.3109	0.1726	0.0677
S10927	0.0462	0.2175	0.0708	0.372	0.2339	0.0596
S10936	0.0506	0.2154	0.1036	0.242	0.2629	0.1254
S10945	0.0638	0.207	0.0829	0.4341	0.1559	0.0564
S10947	0.0965	0.2346	0.0849	0.2937	0.2124	0.0778
S10949	0.0465	0.1606	0.0584	0.3236	0.3398	0.0712
S1095	0.0679	0.2353	0.0999	0.285	0.2068	0.1051
S10961	0.0519	0.218	0.0835	0.3988	0.1141	0.1337
S10969	0.0558	0.2388	0.0865	0.2882	0.2517	0.0792
S10972	0.1144	0.2138	0.142	0.3174	0.1179	0.0945
S10973	0.0725	0.1823	0.0445	0.4818	0.1405	0.0784
S10978	0.0476	0.1876	0.0939	0.3955	0.1852	0.0903
S10979	0.0699	0.2294	0.0885	0.309	0.2061	0.0971
S10986	0.0399	0.2487	0.0872	0.3597	0.2181	0.0464
S10989	0.0684	0.1832	0.0522	0.3477	0.2689	0.0797
S10995	0.0396	0.2448	0.0775	0.3511	0.2415	0.0455
S11005	0.0724	0.2264	0.0976	0.2787	0.2442	0.0806
S11008	0.0788	0.1998	0.0739	0.377	0.1915	0.0791
S11010	0.0695	0.2599	0.0992	0.264	0.26	0.0474
S11013	0.0588	0.2259	0.1022	0.283	0.2227	0.1074
S11016	0.0459	0.2541	0.083	0.3003	0.2526	0.0641
S11017	0.0661	0.3214	0.0946	0.2926	0.1627	0.0626
S11020	0.0485	0.2131	0.1092	0.3805	0.1934	0.0554
S11027	0.0574	0.2537	0.0757	0.3967	0.1325	0.0839
S11035	0.0785	0.1524	0.0677	0.4169	0.2072	0.0773
S11041	0.0483	0.2275	0.0886	0.3093	0.2745	0.0517
S1106	0.0692	0.1992	0.0891	0.3374	0.2118	0.0934
S11071	0.0884	0.2013	0.0948	0.1711	0.2772	0.1671
S11076	0.0636	0.1955	0.0975	0.3318	0.23	0.0816
S11078	0.0906	0.1697	0.0739	0.4023	0.1742	0.0892
S11081	0.0783	0.2172	0.0978	0.3169	0.1914	0.0984
S11086	0.066	0.1482	0.1003	0.4035	0.181	0.1011
S1109	0.0588	0.2529	0.0942	0.3712	0.1409	0.082
S11096	0.0441	0.2306	0.061	0.4344	0.1338	0.096
S11100	0.0745	0.194	0.0827	0.3257	0.2599	0.0633
S11107	0.0736	0.1596	0.0694	0.4182	0.2122	0.067
S11109	0.0582	0.241	0.0751	0.4078	0.1446	0.0732
S1111	0.0463	0.2243	0.0882	0.1995	0.3895	0.0523
S11119	0.0593	0.2047	0.0792	0.3475	0.2234	0.086
S11127	0.0532	0.2257	0.1189	0.2872	0.2167	0.0983
S11136	0.0724	0.1949	0.0777	0.276	0.2924	0.0866
S11147	0.0536	0.178	0.0621	0.4415	0.1752	0.0896
S11150	0.0525	0.1429	0.07	0.4598	0.2284	0.0464
S11152	0.0632	0.2909	0.0913	0.3219	0.1612	0.0715
S1116	0.0594	0.1474	0.0586	0.286	0.2799	0.1688
S11163	0.054	0.1744	0.0773	0.3086	0.2981	0.0875
S11164	0.0573	0.2648	0.0897	0.383	0.1506	0.0547
S11166	0.1277	0.2652	0.1055	0.224	0.1437	0.1338
S11173	0.0825	0.1959	0.0644	0.3604	0.2271	0.0697
S11174	0.0541	0.2517	0.1114	0.244	0.2766	0.0622
S11182	0.095	0.1556	0.0592	0.3447	0.2543	0.0912
S11188	0.0521	0.256	0.06	0.4077	0.151	0.0733
S11189	0.0475	0.2018	0.044	0.3535	0.2392	0.1141
S1119	0.0844	0.2342	0.09	0.1508	0.3064	0.1342
S11195	0.1014	0.1643	0.0489	0.2803	0.2277	0.1774
S11197	0.0818	0.1723	0.082	0.2792	0.2444	0.1403
S11198	0.0489	0.2543	0.0838	0.4537	0.1113	0.048
S11211	0.0698	0.252	0.1092	0.2601	0.2406	0.0685
S11214	0.0619	0.2916	0.0746	0.2736	0.2097	0.0885
S11216	0.0581	0.1749	0.0608	0.3831	0.2092	0.1139
S11224	0.0644	0.2188	0.0825	0.366	0.1928	0.0756
S11236	0.0586	0.2242	0.0707	0.3652	0.2195	0.0619
S11241	0.1001	0.2176	0.081	0.3168	0.1796	0.105
S11243	0.066	0.213	0.0855	0.3096	0.247	0.079
S11245	0.1022	0.2065	0.0831	0.3202	0.1824	0.1056
S11249	0.0817	0.24	0.0893	0.2961	0.1994	0.0935
S11274	0.086	0.2416	0.109	0.2502	0.2026	0.1105
S11280	0.0751	0.2218	0.0809	0.2542	0.214	0.1539
S11281	0.0583	0.2764	0.0841	0.2622	0.2207	0.0983
S11285	0.1067	0.241	0.0853	0.2632	0.2021	0.1017
S11298	0.0803	0.2207	0.0899	0.261	0.2373	0.1108
S11311	0.0624	0.2082	0.0889	0.3433	0.2296	0.0675
S11312	0.04	0.1922	0.0716	0.3921	0.2122	0.0918
S11316	0.0663	0.2605	0.0583	0.3183	0.218	0.0786
S1133	0.0684	0.2252	0.0922	0.304	0.2088	0.1013
S11330	0.0582	0.1692	0.1572	0.4118	0.1284	0.0752
S11332	0.0714	0.1411	0.1046	0.2518	0.2474	0.1838
S11334	0.0571	0.2482	0.0914	0.2869	0.2052	0.1112
S11335	0.0828	0.1561	0.0624	0.439	0.1714	0.0884
S11345	0.0891	0.1595	0.1246	0.2786	0.2385	0.1096
S11349	0.0565	0.2155	0.1239	0.3111	0.1827	0.1102
S1135	0.065	0.3395	0.0884	0.2724	0.1715	0.0632
S11352	0.0568	0.1871	0.0818	0.4321	0.1633	0.079
S11353	0.0522	0.2015	0.0756	0.4127	0.1962	0.0619
S11368	0.0716	0.2671	0.0953	0.3602	0.17	0.0358
S11369	0.0669	0.279	0.0984	0.2411	0.1975	0.117
S11371	0.1075	0.202	0.1464	0.2582	0.1678	0.1182
S11377	0.0706	0.3061	0.0655	0.3321	0.178	0.0477
S11378	0.0986	0.2583	0.0932	0.2492	0.1722	0.1286
S11383	0.0726	0.186	0.0807	0.2708	0.2434	0.1464
S11384	0.0867	0.1886	0.0924	0.2123	0.284	0.136
S11392	0.0799	0.1791	0.0871	0.2872	0.2331	0.1335
S1140	0.0954	0.2272	0.1039	0.3094	0.1587	0.1054
S11410	0.0747	0.2224	0.0602	0.3114	0.2317	0.0996
S11411	0.0649	0.2446	0.0883	0.2449	0.2587	0.0986
S11414	0.0746	0.1856	0.1303	0.3192	0.1883	0.102
S11419	0.0682	0.2853	0.064	0.3283	0.1589	0.0953
S11424	0.0461	0.2353	0.0445	0.2442	0.3767	0.0532
S11425	0.0682	0.1846	0.0583	0.2694	0.3017	0.1178
S11433	0.0895	0.209	0.0974	0.2748	0.2166	0.1128
S11434	0.0698	0.192	0.0727	0.3582	0.1864	0.121
S11436	0.0701	0.2646	0.0766	0.3393	0.1646	0.0848
S11437	0.0844	0.1642	0.0636	0.2912	0.2765	0.12
S11440	0.0639	0.1527	0.0912	0.5218	0.1334	0.0371
S11449	0.0656	0.1796	0.0632	0.3325	0.2625	0.0967
S11459	0.113	0.202	0.0874	0.2327	0.2452	0.1198
S11477	0.0427	0.2124	0.0801	0.4116	0.187	0.0663
S11480	0.0707	0.2239	0.0691	0.3803	0.1717	0.0842
S11486	0.0909	0.2152	0.0539	0.3354	0.2365	0.0681
S11501	0.0732	0.279	0.086	0.2876	0.2219	0.0524
S11504	0.1102	0.2222	0.1041	0.2104	0.2216	0.1315
S11507	0.0698	0.1652	0.0949	0.2473	0.3104	0.1124
S11518	0.0488	0.2623	0.1045	0.14	0.21	0.2344
S11525	0.0711	0.2319	0.0786	0.2254	0.3052	0.0879
S11531	0.0627	0.2074	0.1079	0.3406	0.1806	0.1008
S11532	0.1028	0.212	0.0728	0.2465	0.2717	0.0942
S1154	0.0804	0.253	0.0723	0.3035	0.1888	0.102
S11542	0.0814	0.1826	0.0939	0.315	0.1988	0.1282
S11543	0.0692	0.2392	0.0895	0.3458	0.1975	0.0588
S11546	0.0748	0.2008	0.0462	0.3874	0.2028	0.0879
S1155	0.063	0.2144	0.0859	0.3477	0.171	0.118
S1156	0.08	0.1805	0.149	0.1904	0.3427	0.0574
S11568	0.0708	0.2166	0.0743	0.3938	0.1698	0.0747
S11576	0.0666	0.234	0.0619	0.2345	0.3082	0.0948
S11584	0.0557	0.228	0.0626	0.4253	0.1802	0.048
S11586	0.0722	0.1997	0.0546	0.3682	0.1963	0.109
S11590	0.0498	0.2315	0.0556	0.3764	0.1883	0.0984
S11592	0.0755	0.1912	0.1227	0.251	0.245	0.1145
S11593	0.0798	0.1962	0.0612	0.3958	0.1745	0.0926
S11599	0.0921	0.1943	0.096	0.353	0.2075	0.0572
S1160	0.1013	0.2095	0.0839	0.2585	0.2099	0.1369
S11610	0.0798	0.1853	0.0941	0.3249	0.2385	0.0774
S11615	0.0575	0.2364	0.1142	0.331	0.1527	0.1082
S11629	0.0397	0.2238	0.1299	0.349	0.2333	0.0242
S11631	0.0948	0.3642	0.0427	0.2197	0.2178	0.0608
S1164	0.0584	0.2544	0.0843	0.3578	0.1816	0.0635
S11642	0.0904	0.2275	0.1349	0.2865	0.2144	0.0462
S11656	0.0708	0.2448	0.1199	0.2248	0.2397	0.0999
