naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
mix_11,0.252349140570627,0,0.216705475661903,0,0.320605356697818,0,0.00395487080048748,0.156779851392528,0,0,0,0.000963149838761432,0,0.0378203472250038,0,0,0,0.0107829766875684,0,3.88311253018414e-05
mix_12,0.252171621784874,0,0.194064261954805,0,0.316661907877682,0,0.010979088700232,0.191607674141731,0.00321925831209076,0,0,0.00419673028110677,0,0.0185956299029433,0,0,0,0,0,0.00850382704453524
mix_13,0.381002429083239,0,0.07760872437912,0,0.301184803146195,0,0.0116934322243852,0.186692189168026,0.00453108843250721,0,0,0.0114646114734834,0,0,0,0,0,0,0,0.0258227220930424
mix_14,0.378458838165875,0,0.0926201056592548,0,0.276972654163336,0,0.0153980685132662,0.185223950315291,0.0226030478258784,0,0,0.00634295434751952,0,0,0,0,0,0,0,0.0223803810095781
mix_15,0.356070536466439,0,0.0393302633230512,0,0.317301518086175,0,0.0142239886422335,0.194932257101109,0.0322908575680215,0,0,0.0193523026523633,0,0,0,0,0,0,0,0.0264982761606071
mix_16,0.315657216811064,0,0.0923681203778613,0,0.29440998663121,0,0.0170456753909781,0.227439569015876,0.0175560758778933,0,0,0.0119904705997483,0,0,0,0,0,0,0,0.0235328852953694
mix_17,0.43437868021133,0,0,0,0.249514219027213,0,0.00716325499096503,0.211738148422193,0.0430185267615357,0,0,0.0173959068324045,0,0,0,0,0,0,0,0.0367912637543575
mix_18,0.252158436820572,0,0.238014728649594,0,0.317730838894298,0,0.00520770013080675,0.138622061201639,0,0,0,0,0,0.0367631390547062,0,0,0,0.0115030952483833,0,0
mix_19,0.310723683748731,0,0.152393765819993,0,0.3068263615197,0,0.00625454628210297,0.186036195089376,0.00570846882844969,0,0,0.00564762049714095,0,0.0150370391270183,0,0,0,0,0,0.0113723190874886
mix_20,0.28788171010938,0,0,0,0.28909212791083,0,0.0121979147708235,0.267921499107407,0.0847991673819671,0,0,0.0288874358207703,0,0,0,0,0,0,0,0.0292201448988215
mix_21,0.337050128131674,0,0.0850608274497934,0,0.282009919377993,0,0.0148387860598876,0.208605619228524,0.0382583698964351,0,0,0.0101087411500199,0,0,0,0,0,0,0,0.0240676087056731
mix_22,0.32649319704185,0,0.135983226639432,0,0.317461404772158,0,0.0103330107358112,0.17514059124485,0.00123100847463488,0,0,0.00597603435384596,0,0.0138787710388024,0,0,0,0,0,0.0135027556986159
mix_23,0.330785464189695,0,0.141514319218407,0,0.297554622170184,0,0.00999301903701762,0.187371573757675,0,0,0,0.00526626777626003,0,0.0150823200087581,0,0,0,0,0,0.0124324138420027
mix_24,0.229591191739082,0,0.26296672087627,0,0.325022748281628,0,0,0.126433390988399,0,0,0,0,0,0.0466964095416423,0,0,0,0.00928953857297846,0,0
mix_25,0.26327916685296,0,0.153775714686207,0,0.303367518199115,0,0.010797671488718,0.225237802141948,0.0115660855538264,0,0,0.00826952107221314,0,0.0129323238887678,0,0,0,0,0,0.0107741961162438
mix_26,0.271070938950748,0,0,0,0.323135458160749,0,0.0157803622055616,0.275992115459666,0.0499918132787741,0,0,0.0331416275124259,0,0.00084524344897173,0,0,0,0,0,0.030042440983103
mix_27,0.312338116832061,0,0.205597622449724,0,0.319746278118106,0,0,0.111568762127659,0,0,0,0,0,0.0401863810704094,0,0,0,0.010562839402039,0,0
mix_28,0.31672899950617,0,0,0,0.285589985191534,0,0.0144363657729333,0.261083099086729,0.0632363802116074,0,0,0.0265115911395039,0,0,0,0,0,0,0,0.0324135790915213
mix_29,0.282504061028459,0,0.144548475524823,0,0.318924215179887,0,0.00935163318494274,0.207089527207103,0.00204194814733399,0,0,0.00849013196056084,0,0.0162030978860752,0,0,0,0,0,0.0108469098808156
mix_30,0.296806077501635,0,0.138958691185339,0,0.311531524096748,0,0.00854452821988913,0.202849761059436,0.00525514438825066,0,0,0.00846994986545822,0,0.0164705878727847,0,0,0,0,0,0.0111137358104598
