B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
Mix_69,0.148691911709454,0,0,0.0648039849042528,0,0.0081526081034507,0,0,0,0,0.0389410716150767,0,0,0.316182102181376,0.179726568645172,0,0,0.180060858600987,0.0634408942402299,0,0
Mix_70,0.127421298228863,0,0,0.0611325329209031,0,0.025594677667092,0,0,0,0,0.038295687905981,0,0,0.316464644503188,0.174510864069695,0,0,0.201698300541852,0.0548819941624263,0,0
Mix_71,0.104800434213393,0,0,0.0648408964152228,0,0.0149498112421704,0,0,0,0.0288559898879906,0.0416453383253218,0,0,0.315910796356008,0.173910721464318,0,0,0.203529924313126,0.0515560877824506,0,0
Mix_72,0.13596227057692,0,0,0.0651731278133326,0,0.0113131383215347,0,0,0,0,0.0462602215039465,0,0,0.313934809634261,0.189810546230414,0,0,0.168513770060839,0.069032115858753,0,0
Mix_73,0.0673732411057046,0,0,0.0649230651631296,0,0.0143755181663551,0,0,0,0.0664723350786259,0.0454263278201479,0,0,0.312983033409125,0.169374107592918,0,0,0.213493166283882,0.0455792053801133,0,0
Mix_74,0.134327970539923,0,0,0.0700780306748148,0,0,0,0,0,0.00646395851043845,0.0469309357737011,0,0,0.312561230816777,0.186997271606614,0,0,0.171629590993903,0.0710110110838285,0,0
Mix_75,0.0875673573942886,0,0,0.0658508428361426,0,0.00669457420261123,0,0,0,0.059135207346682,0.0448840571925741,0,0,0.31134018865572,0.171177778902305,0,0,0.19990684977689,0.0534431436927876,0,0
Mix_76,0.0901618689246295,0,0,0.0642525571445661,0,0.0123042519556399,0,0,0,0.0583429554780708,0.0425043988772517,0,0,0.313995071759589,0.168712593154219,0,0,0.201775430507461,0.0479508721985726,0,0
Mix_77,0.110460111681124,0,0,0.0727593199069071,0,0,0,0,0,0,0.0531182230327323,0,0,0.307675253383449,0.191117004076966,0,0,0.186790928845547,0.0780791590732748,0,0
Mix_78,0.0859760999622525,0,0,0.0610410829163904,0,0.0305180488818518,0,0,0,0.021655002478611,0.0390284762139271,0,0,0.313780383435678,0.16059440415731,0,0,0.239615836791718,0.0477906651622596,0,0
Mix_79,0.0493342386773095,0,0,0.0722505808547354,0,0,0,0,0,0.120233317565848,0.0582046064653577,0,0,0.310594388122386,0.177619804165732,0,0,0.164994003000857,0.0467690611477748,0,0
Mix_80,0.123385249458609,0,0,0.0659835237200806,0,0.00962551208431094,0,0,0,0,0.0435329053297953,0,0,0.310386969710301,0.18005828083469,0,0,0.197056595268544,0.0699709635936685,0,0
Mix_81,0.109917766197699,0,0,0.0681279762816914,0,0.0058264071095589,0,0,0,0.0168681703556658,0.0464965697955701,0,0,0.313511013592177,0.18288390317327,0,0,0.194578899782238,0.0617892937121297,0,0
Mix_82,0.116078096901908,0,0,0.0610342046584448,0,0.0231012699277099,0,0,0,0.0186274517637519,0.0359727920950264,0,0,0.316458205579789,0.164374637878805,0,0,0.214465361616849,0.0498879795777152,0,0
Mix_83,0.135018668068702,0,0,0.0675321352114449,0,0.00390108858450464,0,0,0,0,0.0436707767021354,0,0,0.313553238228919,0.184358975795403,0,0,0.18393123526293,0.0680338821459614,0,0
Mix_84,0.131288839780821,0,0,0.0642520853872385,0,0.016474740604885,0,0,0,0,0.0416990773355109,0,0,0.315583052106515,0.181221961350934,0,0,0.189359661791769,0.0601205816423257,0,0
Mix_85,0.101881186308092,0,0,0.0641736717483038,0,0.0151278042253826,0,0,0,0.0290152371049327,0.0413187947257913,0,0,0.312191742607626,0.168318117167532,0,0,0.213018516136767,0.0549549299755729,0,0
Mix_86,0.0947694154106867,0,0,0.0686406811596518,0,0.00565473298670369,0,0,0,0.0348685134739521,0.0485208972075956,0,0,0.313761955642358,0.182582676347467,0,0,0.19416073368793,0.0570403940836546,0,0
Mix_87,0.171450445019267,0,0,0.0707725209499537,0,0,0,0,0,0,0.0457085497849127,0,0,0.313121310688532,0.188820105008593,0,0,0.133236544399058,0.0768905241496829,0,0
Mix_88,0.158015767960418,0,0,0.059951373713576,0,0.0231815126850074,0,0,0,0,0.0346682804134359,0,0,0.318827875170162,0.17581827005614,0,0,0.173754248382118,0.0557826716191423,0,0
Mix_89,0.0734057080499919,0,0,0.0718930967505548,0,0.000560794017184903,0,0,0,0.0306110181742784,0.0563164250214181,0,0,0.308776096491067,0.188623778556146,0,0,0.202730791391244,0.0670822915481155,0,0
Mix_90,0.078705884797757,0,0,0.0662183211081074,0,0,0,0,0,0.0989738487683057,0.0465811966061092,0,0,0.312193945492524,0.170277987734442,0,0,0.179190730085328,0.0478580854074266,0,0
Mix_91,0.170290124225993,0,0,0.0644800249797238,0,0.00105058925269605,0,0,0,0,0.0373565150963168,0,0,0.314403735482222,0.181078867805993,0,0,0.160115203841979,0.0712249393150751,0,0
Mix_92,0.103417260669185,0,0,0.0704264960547972,0,0,0,0,0,0.0374775867086299,0.0495487974946607,0,0,0.308796487855259,0.181079859149321,0,0,0.18277844152869,0.0664750705394585,0,0
Mix_93,0.14081752445534,0.000835756279012195,0,0.0637978713610831,0,0.0152167628709737,0,0,0,0,0.0444309435630618,0,0,0.314719131661704,0.187154072722562,0,0,0.1658320960923,0.0671958409939631,0,0
Mix_94,0.160980134496303,0,0,0.0611687444987362,0,0.0169053682645295,0,0,0,0,0.0359402813168398,0,0,0.317859745762637,0.17837077438977,0,0,0.168888323440003,0.0598866278311812,0,0
Mix_95,0.105312836230135,0,0,0.0674289242817654,0,0.00786574425115703,0,0,0,0.00244043752041425,0.0453778057780105,0,0,0.307536529289608,0.17707146631141,0,0,0.215469369989996,0.0714968863475039,0,0
Mix_96,0.106355289665487,0,0,0.0629278674174198,0,0.024591151415498,0,0,0,0,0.0420752249528988,0,0,0.31273322183244,0.172051141582507,0,0,0.22105641815697,0.0582096849767805,0,0
Mix_97,0.120177919858412,0,0,0.0704753423415178,0,0,0,0,0,0.0107491452210698,0.0489306176517502,0,0,0.312083526182788,0.187934092953,0,0,0.180386509544577,0.0692628462468848,0,0
Mix_98,0.184152947598723,0,0,0.0721445091423044,0,0,0,0,0,0,0.0548522262538134,0,0,0.315373348198137,0.206627808786272,0,0,0.0833193474854848,0.0835298125352656,0,0
Mix_99,0.0927657806259581,0,0,0.0607796505681361,0.005482324365798,0.0303836736607629,0,0,0,0,0.0406649594185633,0,0,0.310719227875062,0.161296729086693,0,0,0.240933841427501,0.0569738129715259,0,0
Mix_100,0.121163038835611,0,0,0.0745448015449832,0,0,0,0,0,0,0.0547786469013815,0,0,0.30655034736533,0.192648642186308,0,0,0.168655051242346,0.0816594719240402,0,0
