Mixture	B_cells	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	NK_cells	Neutrophils	T_cells_(CD4+)	T_cells_(CD8+)	P-value	Correlation	RMSE
mix_37	0	0.375423975178049	0.00836027449301456	0.19748558240232	0.0344972534656759	0.208465889516914	0.175767024944027	9999	0.664543888111813	0.796695822219537
mix_38	0	0.341227475067333	0.0201772891012013	0.197561035355361	0.0464112974340372	0.167746413648876	0.226876489393191	9999	0.67069329747848	0.78783151236467
mix_39	0	0.173203691078056	0.055177494919934	0.210024664173557	0.0957413458047197	0.253652381792209	0.212200422231524	9999	0.675914376234782	0.776875685695296
mix_40	0	0.240670420256818	0.0699542666030409	0.171848675074254	0.0967891337882722	0.247893242266544	0.17284426201107	9999	0.681012820327898	0.770323915450429
mix_41	0	0.374467796667662	0.0331075862781161	0.170192909700569	0.0487634111306188	0.225305584455841	0.148162711767194	9999	0.678279667058021	0.778756123410768
mix_42	0	0.107457094218968	0.0624635358095705	0.189056863206478	0.137401124809721	0.369904261812266	0.133717120142996	9999	0.679095020535517	0.769764141616021
mix_43	0	0.359652549365948	0.0231647629940964	0.171088371195384	0.0648273741660203	0.251071697637241	0.13019524464131	9999	0.682578016752199	0.771930187011936
mix_44	0	0.170740721702559	0.0792205160469226	0.211783977538949	0.100702215387749	0.267655166908118	0.169897402415702	9999	0.678378312347356	0.773670629566501
mix_45	0	0.240275879677545	0.0496377041106169	0.208583124805059	0.0941371148157099	0.195224713041435	0.212141463549634	9999	0.672777396649355	0.780594807885702
mix_46	0	0.337411297705784	0.0516326251897577	0.168347982298243	0.0697403625254468	0.219616574962719	0.153251157318049	9999	0.685314884418337	0.768067813168326
mix_47	0.0110184671612314	0.541355471321366	0	0.212957583276202	0	0.137258547926733	0.0974099303144669	9999	0.638839740848899	0.832866830860882
mix_48	0	0.209382831769968	0.067785729817025	0.171471033429955	0.111465373232684	0.321116498078461	0.118778533671907	9999	0.686289541974146	0.762980335806866
mix_49	0	0.265871905907136	0.0813144408853273	0.187713885169632	0.122960616963446	0.211093499142741	0.131045651931717	9999	0.686363891933559	0.762450810468156
mix_50	0	0.174647374992581	0.0537771896313905	0.207596065954548	0.107616106168977	0.24825251119861	0.208110752053893	9999	0.674816373082962	0.77699758044896
mix_51	0	0.422160346870088	0.0101037570604021	0.172549074580855	0.0312530336001919	0.222345605203872	0.141588182684591	9999	0.669088809900993	0.791866530818556
