Mixture	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	P-value	Correlation	RMSE
S4714	0.0292151539132302	0	0.0267652918528209	0	0	0	0	0	0.142652877288992	0	0.219893435168772	0	0.0191245977925395	0	0.00520983843538	0.25508056380662	0	0.242598615595946	0.0296255614037286	0	0.0298340647419706	9999	0.416484902061215	1.04115385423186
S4715	0.0530163469273361	0	0.00914579869787938	0	0	0	0	0	0.149996673800521	0	0.200333031824028	0	0.0164535354484924	0	0.0199215131441941	0.0775435712898307	0	0.387742193748883	0.0262736536516447	0	0.0595736814671908	9999	0.448717435867978	1.01333533666935
S4717	0.0281021398255223	0	0.00888331336890098	0	0	0	0	0	0.127265074890619	0	0.33030753088282	0	0.0119041541605434	0	0.0115069049956032	0.135724711577626	0	0.265425278688196	0.0338466962928852	0	0.0470341953172838	9999	0.426365339923789	1.03262055765171
S4718	0.0115110419030916	0	0	0	0	0	0	0	0.150230322156384	0	0.126866361778471	0	0.00962704749844573	0	0	0.165981017196362	0	0.447881947062853	0.0731196176121593	0	0.0147826447922326	9999	0.448150980736967	1.02065597862119
S4720	0.0585898901302555	0	0.00775531048002455	0	0	0	0	0	0.146161618442946	0	0.231028181835722	0	0.0266319862346994	0	0.0185101991549833	0.068004306144624	0	0.358004966475261	0.0251465179561738	0	0.0601670231453107	9999	0.447408717491658	1.01293674670104
S4722	0.0492910413963481	0	0	0	0	0	0	0	0.122772146859585	0	0.317710920541524	0	0.0185197059525621	0	0.00746686840099546	0.106277461273277	0	0.289620076835874	0.0436225393338874	0	0.044719239405947	9999	0.446512103994517	1.01445821713769
S4726	0.0566927853464528	0	0.0234582968861486	0	0	0	0	0	0.109820705519629	0	0.247352325106496	0	0.028933321421216	0	0.0226917433484968	0.0922974780017008	0	0.353498292131046	0.0129993768717898	0	0.0522556753670243	9999	0.444899921854307	1.01335006340246
S4733	0.0448071756338498	0	0	0	0	0	0	0	0.131526863820162	0	0.229087208512258	0	0.0145334207669104	0	0.00384612368085734	0.0855622875291785	0	0.406244809073775	0.0503630600153951	0	0.0340290509676148	9999	0.4521692128745	1.01186007116035
S4744	0.0694739196880133	0	0.0104329342869395	0	0	0	0	0	0.167938607058436	0	0.187425455302985	0	0.0323175314688493	0	0.0150232906277209	0.0479159812608643	0	0.38676796965899	0.0376405395173385	0	0.0450637711298631	9999	0.441225610002805	1.02035806790214
S4748	0.0382012310052857	0.00376190935840382	0.0187758492328908	0	0	0	0	0	0.14211336352763	0	0.301265919269723	0	0.0244058799635248	0	0.0172532395001202	0.0808193072152792	0	0.299610533864546	0.0208134685792461	0	0.0529792984833499	9999	0.457087203833797	1.00366253466707
S4766	0.0844561027630077	0	0.00157505804244645	0	0	0	0	0	0.176193958416097	0	0.167075259633275	0	0.012268184889864	0	0.0102933741296746	0.0986907401875518	0	0.363207179416994	0.0419638436033613	0	0.0442762989177285	9999	0.444108979889668	1.02020039177163
S4767	0.0268253593165227	0	0	0	0	0	0	0	0.149090050913399	0	0.223794420579773	0	0.00720502997280172	0	0	0.109771075914048	0	0.386188022255234	0.0618268699899488	0	0.0352991710582729	9999	0.439222885087333	1.02531173935603
S4775	0.0196641286674617	0	0.0320048826152495	0	0	0	0	0	0.110354419846934	0	0.280809894209195	0	0.0335567592683243	0	0.00387000988245076	0.191546705350954	0	0.272369608377648	0.0357680038508247	0	0.0200555879309593	9999	0.42189179860604	1.03487269530711
S4783	0.0422636208644811	0	0.0165209430312919	0	0	0	0	0	0.180586685714706	0	0.297860680645901	0	0.0346768065985374	0	0.0159045815143211	0.134804167672473	0	0.206785418011626	0.0249274018996116	0	0.0456696940470505	9999	0.43832568121164	1.02051300283406
