ID,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
S12228,7.11892,6.2529,6.93193333333,7.29352941176,6.331,4.65485,7.11550689655,6.80503333333,8.046425,5.42075,5.94338125,6.70058181818,5.34723846154,7.08917368421,6.3022,6.85284545455,5.85268666667,6.06481111111,6.64421052632,5.57813428571
S12231,6.68992,6.05696,6.82302,6.90162352941,7.06529230769,5.410975,7.23353448276,6.72651666667,7.84955,5.44885833333,5.81565,6.46102727273,5.27903846154,6.84857894737,6.48259166667,6.52683636364,5.67784,5.97216666667,6.50242105263,5.43983142857
S12240,6.76162,5.99984,6.76928666667,6.87773823529,6.76787692308,6.1823,6.78413448276,7.38503333333,8.580575,5.311975,5.7440375,6.29853636364,5.51086153846,6.6571,6.30178333333,6.86541818182,6.11185333333,5.98277777778,6.45085789474,5.5788
S12241,6.99092666667,6.23078,6.80147333333,7.21390882353,6.60180769231,5.536525,6.90145172414,6.64411666667,7.8787,5.485025,5.88871875,6.73156363636,5.30515384615,6.98981052632,6.30416666667,6.9364,5.78022666667,6.13892222222,6.58557368421,5.51301714286
S12244,6.85873333333,5.99176,6.85385333333,6.92309705882,6.81661538462,4.957375,7.06371034483,6.64923333333,7.6064,5.45664166667,5.83406875,6.56862727273,5.34724615385,6.75926842105,6.238025,6.56955454545,5.8318,6.14967777778,6.48917368421,5.43685142857
S12245,6.82782666667,5.9644,6.80266,6.95433823529,6.93061538462,5.11205,7.24247931034,6.93945,8.02205,5.42199166667,5.76685625,6.52048181818,5.28867692308,6.98372105263,6.31775,6.74942727273,5.62340666667,5.95975555556,6.52277368421,5.50946285714
S12249,7.01318666667,6.21584,6.83687333333,7.18883529412,6.85310769231,5.344075,7.15583448276,6.60641666667,8.0851,5.30936666667,5.89071875,6.6599,5.32234615385,7.05244210526,6.54271666667,6.76977272727,5.82372666667,5.97691111111,6.50557894737,5.45675428571
S12251,6.65673333333,6.09818,7.01626666667,7.05250294118,6.91857692308,5.2525,7.04303448276,6.74945,7.476075,5.39294166667,6.28824375,6.63398181818,5.35317692308,6.92835789474,6.37558333333,6.74746363636,5.85161333333,6.16977777778,6.60173157895,5.39872571429
S12261,6.74900666667,6.04566,6.61096666667,6.88477647059,6.42393076923,5.11145,6.74113103448,6.6373,7.672425,5.38483333333,5.825425,6.43008181818,5.4383,6.82412105263,6.16506666667,6.49134545455,5.63092,5.8966,6.43333157895,5.56155428571
S12264,6.73696,6.0271,6.93904666667,6.92254117647,7.28169230769,6.253925,7.05893448276,7.14665,8.032225,5.36460833333,5.76143125,6.46334545455,5.31418461538,6.8677,6.74343333333,6.79155454545,5.94706666667,5.9385,6.45551052632,5.37228571429
S12265,6.46414666667,6.01802,7.02732666667,7.03837647059,7.10509230769,5.134275,7.25322068966,6.83951666667,7.408275,5.36345,5.8356625,6.47149090909,5.3462,6.82958947368,6.44343333333,6.546,5.88152,5.76105555556,6.44944736842,5.40112285714
S12271,6.89841333333,6.21598,7.15906,7.06006470588,6.97713846154,5.5328,7.50435517241,6.88131666667,7.881625,5.40931666667,5.93753125,6.69070909091,5.26599230769,7.00824736842,6.570175,6.80393636364,5.71636,5.87916666667,6.64828947368,5.42060857143
S12276,7.18852666667,6.19456,6.62093333333,7.02134117647,7.02855384615,5.827875,6.9595,6.97773333333,8.61315,5.50123333333,5.7844875,6.56737272727,5.43658461538,6.82867894737,6.31873333333,6.79794545455,5.81898666667,5.98272222222,6.61772105263,5.45832857143
S12278,6.66597333333,6.15766,7.07134666667,6.97033823529,7.31339230769,5.715675,7.23483448276,6.87361666667,7.882325,5.43459166667,5.84033125,6.55071818182,5.40185384615,6.99085263158,6.91914166667,6.633,6.05520666667,5.97292222222,6.50276842105,5.35704285714
