CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
S10845	0.0402	0.0976	0.2164	0.1223	0.2095	0.1509	0.1044	0.0588
S10846	0.0823	0.1082	0.1282	0.1036	0.1355	0.1583	0.1922	0.0917
S10853	0.0312	0.1057	0.167	0.095	0.3125	0.1637	0.0707	0.0541
S10854	0.0549	0.0842	0.1967	0.085	0.1312	0.1446	0.218	0.0853
S10865	0.0369	0.0856	0.1787	0.17	0.181	0.1502	0.1481	0.0495
S10866	0.0391	0.1097	0.1986	0.0918	0.2233	0.135	0.106	0.0966
S10869	0.0225	0.0911	0.2103	0.1065	0.2889	0.1316	0.0853	0.0637
S10873	0.0449	0.1087	0.1492	0.121	0.2201	0.1515	0.1252	0.0794
S10876	0.0437	0.0794	0.2019	0.0864	0.1769	0.1757	0.1281	0.1078
S10883	0.0414	0.1219	0.1685	0.1016	0.2192	0.1673	0.0868	0.0931
S10885	0.0451	0.1199	0.1486	0.1035	0.2162	0.1764	0.1117	0.0785
S10893	0.0404	0.0993	0.1827	0.1014	0.2235	0.1632	0.1294	0.0601
S10895	0.0318	0.092	0.1868	0.1461	0.258	0.1309	0.1028	0.0515
S10902	0.0355	0.1589	0.1288	0.1111	0.1719	0.1392	0.1732	0.0814
S10903	0.0312	0.121	0.1447	0.158	0.2354	0.1693	0.0985	0.0419
S1092	0.0354	0.0826	0.2047	0.0845	0.2962	0.134	0.1296	0.033
S10925	0.0489	0.1048	0.2161	0.0944	0.2038	0.1507	0.1096	0.0716
S10927	0.0239	0.0869	0.1588	0.1092	0.2561	0.1722	0.1456	0.0472
S10936	0.0248	0.0978	0.1649	0.1388	0.1627	0.1485	0.1679	0.0947
S10945	0.031	0.1111	0.1774	0.1169	0.2564	0.1484	0.0953	0.0635
S10947	0.048	0.1217	0.1422	0.1103	0.194	0.1955	0.1086	0.0797
S10949	0.0432	0.091	0.1403	0.0792	0.2033	0.1814	0.1915	0.0701
S1095	0.0338	0.1278	0.1443	0.1243	0.177	0.1759	0.1178	0.0992
S10961	0.036	0.1089	0.1717	0.1178	0.2366	0.1504	0.0825	0.0962
S10969	0.0289	0.104	0.175	0.1226	0.1939	0.1727	0.1467	0.0563
S10972	0.056	0.1241	0.1555	0.1499	0.2005	0.1452	0.0787	0.0901
S10973	0.0466	0.1055	0.1546	0.0961	0.2724	0.1277	0.1165	0.0806
S10978	0.0331	0.0799	0.1469	0.1282	0.2649	0.1523	0.1225	0.0723
S10979	0.0326	0.1159	0.176	0.1166	0.1963	0.1536	0.1407	0.0683
S10986	0.0256	0.0966	0.185	0.1066	0.2166	0.1796	0.1351	0.0549
S10989	0.0284	0.1023	0.1517	0.0796	0.2402	0.1496	0.1635	0.0849
S10995	0.0363	0.0842	0.1942	0.1094	0.223	0.1595	0.1521	0.0414
S11005	0.0627	0.1091	0.1615	0.1225	0.168	0.1704	0.1189	0.087
S11008	0.0582	0.0935	0.1474	0.1006	0.2317	0.1537	0.134	0.081
S11010	0.0399	0.1047	0.1807	0.1085	0.1732	0.1702	0.1369	0.0858
S11013	0.0365	0.0882	0.1732	0.1261	0.1984	0.173	0.1154	0.0892
S11016	0.0516	0.0897	0.2199	0.1124	0.1759	0.1897	0.1151	0.0458
S11017	0.0396	0.1101	0.2087	0.1329	0.1886	0.1485	0.1111	0.0605
S11020	0.0306	0.1003	0.1617	0.1676	0.2118	0.1398	0.1384	0.0498
S11027	0.0273	0.126	0.1771	0.1025	0.2478	0.1373	0.1119	0.0702
S11035	0.0603	0.1082	0.1386	0.0914	0.2448	0.1588	0.1241	0.0738
S11041	0.0286	0.0954	0.1712	0.1162	0.2095	0.1443	0.1694	0.0653
S1106	0.0396	0.0969	0.142	0.1092	0.213	0.1622	0.0997	0.1374
S11071	0.039	0.1235	0.1568	0.1357	0.1096	0.1693	0.1654	0.1007
S11076	0.0294	0.1023	0.1558	0.1153	0.2052	0.1649	0.1433	0.0838
S11078	0.0225	0.1238	0.1457	0.0949	0.2529	0.1748	0.0916	0.0938
S11081	0.0367	0.1165	0.164	0.1251	0.1901	0.1478	0.1333	0.0865
S11086	0.0359	0.1067	0.1114	0.1079	0.2432	0.1642	0.1324	0.0984
S1109	0.0281	0.1048	0.2045	0.1303	0.2207	0.1286	0.1027	0.0805
S11096	0.0262	0.0982	0.2076	0.0941	0.2503	0.1541	0.1125	0.0571
S11100	0.0526	0.1192	0.1529	0.0905	0.169	0.1661	0.1663	0.0834
S11107	0.0508	0.1003	0.1237	0.0868	0.2589	0.1628	0.143	0.0736
