Gene,CD38.negative.naive.B.cell,memory.B.cell,CD14.positive..CD16.negative.classical.monocyte,cytotoxic.CD56.dim.natural.killer.cell,mature.neutrophil,memory.CD4.positive.alpha.beta.T.cell,CD4.positive..alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
mix_56,1364.24459184,1500.57928244,3409.32959066,2292.86435126,4770.10170754,2550.67102816,5050.07796374,2363.92229757
mix_57,1383.22044412,1492.08446568,3351.73371365,2352.39244831,4744.96688444,2518.22092,5034.93766582,2373.27357106
mix_58,1245.55220456,1460.08958071,3400.08147319,2261.52675325,4606.76821594,2458.50903942,5155.89248562,2265.89993068
mix_59,1179.0574769,1496.14910359,3591.41985274,2142.83562515,4619.23262086,2504.4075044,5220.56132467,2025.02150633
mix_60,1289.58589328,1498.40436098,3402.71955403,2190.22729747,4670.00510613,2554.21049428,5204.26976942,2251.25137388
mix_61,1272.03690867,1480.41767673,3451.6635927,2263.16856648,4674.21361057,2471.93040195,5147.05492205,2216.53342029
mix_62,1153.10524814,1453.51292848,3558.80734095,2172.51352025,4579.85126966,2434.13445449,5200.23129184,2124.63504137
mix_63,1270.4377072,1472.57016911,3386.37749617,2264.39408193,4656.76436942,2476.96425165,5126.63985795,2287.51729594
mix_64,992.209940059,1406.75256169,3388.92303587,1972.08803827,4124.47998116,2344.54662564,5325.34503655,1802.92696465
mix_65,1170.84747329,1483.84824116,3591.39484007,2137.80556852,4575.28082994,2478.42118279,5221.397841,2073.24584472
mix_66,1252.05879436,1500.75462092,3592.93163825,2222.69453582,4706.96416756,2497.65081818,5175.51924126,2140.11216633
mix_67,1303.40357948,1493.03331264,3521.45048589,2339.29872322,4666.97125267,2469.80285034,5114.66437046,2296.14010304
mix_68,1197.2108301,1467.08371376,3411.93200807,2161.4104821,4556.58874102,2468.90979043,5265.148174,2129.90204782
mix_69,1327.5764046,1489.64701816,3262.03439721,2217.32460342,4635.63451463,2526.89220733,5133.92676821,2275.77979661
mix_70,1124.81317307,1439.74310553,3436.93423311,2101.53769481,4503.86940021,2423.741086,5251.59091646,2045.05066697
mix_71,1192.75844216,1471.73362204,3486.18777889,2188.65552424,4556.09975619,2464.91790937,5209.26498946,2154.19227138
mix_72,1161.66283333,1457.51408988,3530.45586443,2204.68597077,4521.77336694,2424.91599644,5197.46825981,2110.12181305
mix_73,1126.78666571,1423.53178138,3371.23427692,2099.1831142,4415.64760136,2412.66389373,5271.58771625,2040.77128504
mix_74,1439.12268793,1506.47538577,3251.23425954,2295.03937072,4766.33274463,2584.72625491,4948.17097524,2454.61644752
mix_75,1300.18904803,1509.36950065,3385.31100111,2176.7595208,4696.84234677,2573.4443147,5182.78688629,2217.56832576
mix_76,1198.57843757,1469.12680116,3607.81076745,2325.56926821,4656.96382426,2405.12675009,5079.08955319,2187.82824685
mix_77,1335.87426465,1508.82825894,3377.79879843,2272.42777435,4727.23394693,2535.54078233,5116.62386671,2285.32249159
mix_78,1205.13607693,1470.29538656,3388.73879086,2172.22067602,4544.87362991,2488.42017876,5229.27048467,2178.097594
mix_79,1142.88447481,1479.23495263,3549.2500065,2113.33485294,4441.46092768,2460.03271643,5236.7578758,1976.73602959
mix_80,1316.4957318,1531.8676384,3498.08036396,2149.67607975,4724.94774906,2572.82324584,5219.99247229,2150.63190314
mix_81,1190.47847449,1509.80308428,3683.87634501,2135.47543072,4607.47861751,2496.39068216,5143.0531824,2048.81938043
mix_82,920.899807574,1383.05639457,3544.37235231,2001.9538954,4222.42782502,2244.10353453,5206.16144764,1763.96762722
mix_83,1164.82286902,1448.39570951,3336.59781173,2104.14583018,4561.60706156,2450.69109778,5250.06193389,2066.73118437
mix_84,1192.07365814,1468.8503335,3486.69284386,2241.97799814,4612.31635893,2437.88759991,5169.35868386,2155.60718699
mix_85,1120.59937874,1462.71228657,3629.39602469,2167.86628226,4567.74690212,2421.19778453,5204.53289331,2035.50235454
mix_86,1272.43879659,1481.6097084,3347.13551828,2253.80312418,4615.21945565,2481.90873833,5172.28540144,2246.04152297
mix_87,1496.2563106,1500.87245967,3316.16486302,2436.29719629,4883.46835732,2515.83331308,4709.59389659,2524.39895151
mix_88,1361.26290848,1498.55462983,3455.7829589,2300.30336613,4801.06981934,2532.19167355,5039.84667906,2362.96086566
mix_89,1135.51969961,1475.50682934,3503.31623932,2034.13483829,4403.67062464,2487.89177803,5248.46793898,1950.91454386
mix_90,1420.21786005,1491.40883403,3317.76965857,2395.47392726,4798.43577681,2487.29773167,4856.54491656,2454.89665135
mix_91,1293.07046367,1488.57817323,3491.4037298,2320.84866821,4756.52045408,2492.30825861,5015.90890271,2306.46940471
mix_92,1315.26225898,1502.00497287,3337.77732641,2235.59993429,4679.98081891,2546.33116148,5117.53895116,2291.71708646
mix_93,1021.98647045,1396.20097531,3333.28404105,2004.76468641,4189.89425076,2279.25931383,5330.95534054,1838.29178819
mix_94,1397.58778519,1497.58774383,3334.71320736,2314.35877788,4796.39460632,2523.16006549,4982.73477808,2383.5494871
mix_95,1330.3670083,1490.11783707,3331.58212462,2230.06988576,4722.36383814,2547.89299256,5080.28513721,2329.46852492
mix_96,1303.25689789,1509.33741833,3508.85824195,2243.7803467,4732.5518908,2572.66832187,5104.93347167,2246.44229107
mix_97,1419.43798755,1533.85176022,3433.15736981,2296.83685118,4934.41644681,2552.945695,4908.03828106,2326.25748073
mix_98,1323.02491303,1509.10575873,3470.33934247,2218.60363723,4826.44434431,2559.78196823,5066.57552805,2269.69626565
mix_99,1057.10699377,1449.73211618,3510.37986909,2045.31023933,4380.54578762,2385.3029001,5224.13885063,1794.4340832
mix_100,1249.61747621,1466.0329029,3409.31842256,2241.4136779,4678.65788832,2454.27440958,5114.47366515,2221.73279366
