B_cells,T_cells_.CD4..,T_cells_.CD8..,Endothelial_cells,Fibroblasts,Macrophage
Mix_66,0.404180135458091,0.364455384266268,0.133782898772357,0,0.0975815815032849,0
Mix_67,0.479900184668872,0.328718597463578,0.0567883139407865,0,0.105245330517072,0.029347573409692
Mix_68,0.403047282462879,0.386259879137161,0.100592374014486,0,0.110100464385474,0
Mix_69,0.443286952025776,0.329665145720532,0.12663003532087,0,0.100417866932823,0
Mix_70,0.394638172966806,0.394708536556137,0.103716855141565,0,0.106936435335492,0
Mix_71,0.396935080310575,0.305287323705802,0.195772543729892,0,0.102005052253731,0
Mix_72,0.41541405471917,0.418352174194932,0.0324140069917161,0,0.123109895659976,0.010709868434207
Mix_73,0.354319188824901,0.310751936110968,0.228828275520764,0,0.104112672516917,0.00198792702645112
Mix_74,0.446581229040578,0.294748042561957,0.137470759251431,0,0.102275759441133,0.0189242097049013
Mix_75,0.378224677245552,0.321890009877022,0.195531174046165,0,0.101230399644052,0.00312373918720946
Mix_76,0.37806501538127,0.310670876288218,0.212265889322036,0,0.0989982190084761,0
Mix_77,0.411680616893422,0.332717582486092,0.111292884896696,0,0.104247370918719,0.0400615448050711
Mix_78,0.346314622055741,0.365850474538744,0.192396645423392,0,0.0954382579821237,0
Mix_79,0.356622091109693,0.237141556202599,0.259005711396805,0,0.0876039406941557,0.0596267005967476
Mix_80,0.405868686400863,0.397844931174923,0.0827520133366755,0,0.113534369087539,0
Mix_81,0.410690538747511,0.304415619467639,0.16888237787017,0,0.105652557274707,0.0103589066399733
Mix_82,0.387557732507302,0.34008530272499,0.182511147009612,0,0.0898458177580958,0
Mix_83,0.436574623208806,0.32847613507403,0.12429791478494,0,0.108367095747441,0.00228423118478266
Mix_84,0.414980350115065,0.371492462494993,0.100698699760325,0,0.112828487629617,0
Mix_85,0.382263550710326,0.345735239214771,0.173999867572274,0,0.0980013425026285,0
Mix_86,0.396009594873336,0.288536200103786,0.194010160669034,0,0.103851166366211,0.0175928779876326
Mix_87,0.491906034342345,0.307587301589232,0.0754334166943372,0,0.103341325725356,0.0217319216487299
Mix_88,0.424034115270307,0.409833043192483,0.0614944359042237,0,0.104638405632987,0
Mix_89,0.367875007436395,0.310245445528292,0.173223621934266,0,0.102791418843902,0.0458645062571456
Mix_90,0.375649061413915,0.287174496695228,0.229529051709774,0,0.0938622001246603,0.0137851900564223
Mix_91,0.462401845293446,0.36211786317469,0.0752348665400066,0,0.100245424991857,0
Mix_92,0.406241121258771,0.311765813901894,0.156974432803063,0,0.0983671048879906,0.0266515271482825
Mix_93,0.417747909772893,0.436546945381889,0.0160626052533228,0,0.127182754874344,0.00245978471755179
Mix_94,0.434372729223716,0.397284876540273,0.0632722479233663,0,0.105070146312645,0
Mix_95,0.390724372624733,0.375716419274855,0.122446636409955,0,0.10809699790936,0.00301557378109704
Mix_96,0.373640161946744,0.394835049656235,0.122651528376104,0,0.108873260020917,0
Mix_97,0.42781592982717,0.296415322781572,0.149347085988057,0,0.102452407672816,0.0239692537303853
Mix_98,0.487234809332177,0.339137156921478,0,0,0.114612845730223,0.0590151880161225
Mix_99,0.339315251970126,0.440910801901571,0.11357108826206,0,0.106202857866243,0
Mix_100,0.430862045261469,0.326235399150776,0.0905237665222711,0,0.102216769022677,0.0501620200428077
