CD38.negative.naive.B.cell,memory.B.cell,CD14.positive..CD16.negative.classical.monocyte,cytotoxic.CD56.dim.natural.killer.cell,mature.neutrophil,memory.CD4.positive.alpha.beta.T.cell,CD4.positive..alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
S10329,0.169819755111436,0.34830922137925,0.156449945085029,0.0469141771043167,0.278506901319967,0,0,0
S10336,0.128618707041005,0.3603498587113,0.160775935756297,0.0753255343790745,0.274929964112324,0,0,0
S10340,0.165319894058167,0.359752644121052,0.152832971249069,0.0324004620031437,0.289694028568568,0,0,0
S10347,0.01550835360953,0.491334150153334,0.150951613839758,0.0478893709074568,0.294316511489921,0,0,0
S10353,0.125932930398152,0.401244690549504,0.156896614580209,0.0283574566207085,0.287568307851426,0,0,0
S10356,0.0943289157003648,0.427619782618667,0.154045591900767,0.0390981270013673,0.284907582778833,0,0,0
S10358,0.137236970808764,0.368605121748778,0.156829731872113,0.0467751854131393,0.290552990157206,0,0,0
S10365,0.138591329594075,0.36875358161373,0.162307246604533,0.0400686003691417,0.29027924181852,0,0,0
S1037,0.156385368045967,0.360514364460729,0.157549081301574,0.0631479583862695,0.262403227805459,0,0,0
S10373,0.113567030580843,0.417989640990621,0.15286026054436,0.0316918514148974,0.283891216469279,0,0,0
S10374,0.13353728081906,0.392959392754856,0.158017452604826,0.0191494627965953,0.296336411024663,0,0,0
S10375,0.0341385027965132,0.478142435577674,0.162151904471626,0.0475073047141904,0.278059852439995,0,0,0
S10377,0,0.54029346488688,0.160615566501111,0.0124713174941806,0.286619651117829,0,0,0
S10378,0.127221405723995,0.397610902210177,0.156064185107533,0.0397758188677413,0.279327688090554,0,0,0
S10390,0.00887144976319992,0.509985083831634,0.153395050569666,0.0286252389877191,0.29912317684778,0,0,0
S10391,0.10917475793869,0.409612940238984,0.16023753322476,0.0362290834867336,0.284745685110832,0,0,0
S10393,0.134766971643885,0.375646596418398,0.165134351623212,0.0444614179848504,0.279990662329654,0,0,0
S10400,0.0674066117497874,0.447261580834852,0.161463242207375,0.0355286651295742,0.288339900078412,0,0,0
S10401,0.0444404843161471,0.466781970068143,0.158552366715244,0.0457783873897234,0.284446791510742,0,0,0
S10406,0.10674311307705,0.406117523441553,0.15807282542461,0.0280599317056739,0.301006606351113,0,0,0
S10408,0.0365986824099794,0.469961863342782,0.153923060434775,0.0497636793477163,0.289752714464747,0,0,0
S10409,0.0834470275194393,0.457181039001331,0.161987847408359,0.0219843372145027,0.275399748856368,0,0,0
S10418,0.0669313681643529,0.421699086949591,0.152734229975089,0.0389605216479382,0.319674793263029,0,0,0
S10431,0.0947630013145691,0.426368083901963,0.155118835012153,0.034302571228573,0.289447508542742,0,0,0
S10438,0.0969225645673783,0.420011672277271,0.161209072923511,0.0392725623542164,0.282584127877623,0,0,0
S10439,0.0730506335661992,0.448366249961186,0.161166611903367,0.0336935767342821,0.283722927834966,0,0,0
S10441,0.146782192794244,0.345790880440923,0.171577850679644,0.0458607634852906,0.289988312599896,0,0,0
S10442,0.08699134905848,0.423977724330103,0.16009749081936,0.0460542829720173,0.28287915282004,0,0,0
S1046,0.102292779076785,0.415416129564163,0.155760139204017,0.0279736007818652,0.298557351373169,0,0,0
S10478,0.09452859035518,0.424257653136724,0.162827093236535,0.00783885905275926,0.310547804218801,0,0,0
S10480,0.153031681755345,0.361701767384421,0.154795143858804,0.0659892397999482,0.264482167201482,0,0,0
S10484,0.0430948710974364,0.468223669406243,0.159352222505278,0.0386098500172546,0.290719386973787,0,0,0
S10492,0.0259162139599426,0.508922135896379,0.16201512068804,0.0270674987624681,0.27607903069317,0,0,0
S10496,0.210667969893771,0.310898300646044,0.158051356686338,0.0454161822191164,0.274966190554731,0,0,0
S10510,0.156151388197326,0.36517258401868,0.172505161708819,0.0151306561641902,0.291040209910984,0,0,0
S10513,0.119778313798081,0.381100418324958,0.169003997128635,0.0532132131842819,0.276904057564043,0,0,0
S10516,0.138389096393008,0.371259142222568,0.163547410439747,0.0453647376528959,0.281439613291781,0,0,0
S10534,0.1848131026517,0.356466999182058,0.160572570521905,0.00857422801470561,0.28957309962963,0,0,0
S10535,0.18426851285628,0.350842206692352,0.16479494978841,0.0203356821986316,0.279758648464326,0,0,0
S10537,0.0966723505392749,0.422966394193026,0.164434779876779,0.0366241946693464,0.279302280721573,0,0,0
