Gene,Bcells,CD4_Tcells,CD8_Tcells,Endothelial,CAFs,Macrophages
Mix_59,23265.0285727,16510.2680068,7415.66576372,4195.28779835,2314.93120872,5466.0120277
Mix_60,32844.7723669,21241.0542696,7025.87474528,4397.66213549,2259.05050365,5683.73936696
Mix_61,25647.0167744,17246.9533986,6688.27069912,4148.87380241,2339.2930034,6867.07871433
Mix_62,25710.8203313,17375.3276914,7085.53008812,4078.16354828,2126.24363208,5543.22876187
Mix_63,21187.6598548,15148.2690144,6821.1398887,4118.79987192,2503.38583408,6722.6874542
Mix_64,25740.0968131,17211.6202471,6365.32765102,4249.2583926,2604.49279474,7997.699596
Mix_65,26674.9749386,17788.4148125,6424.54137857,4227.06706257,2545.21117509,7298.0150845
Mix_66,26502.7736737,17795.2450839,6754.79954806,4081.25334922,2270.80722657,5417.58648956
Mix_67,24800.5286656,16515.5774197,6236.50314113,4075.17373452,2475.62525985,7914.38474354
Mix_68,29300.666566,19337.408619,6537.0794185,4322.35934427,2551.10851064,6454.02054427
Mix_69,27465.7177858,18225.9974349,6822.40529752,4194.36772405,2296.33868239,6432.85932733
Mix_70,28808.3224384,19109.1673474,6645.29442475,4293.75017168,2527.57203078,6089.25808086
Mix_71,26415.695818,17989.8774009,7146.51127063,4270.58769692,2341.93630115,5863.5658098
Mix_72,26547.4622218,17652.5924362,6016.12183965,4200.51085093,2726.58369374,7310.57371843
Mix_73,23930.95628,16860.6596346,7227.98014789,4190.07748221,2367.55583938,5189.79793879
Mix_74,24506.8406282,16605.2034902,6630.76016188,4104.15862394,2350.39772382,7059.40283987
Mix_75,23342.4308058,16324.7562764,7051.44327586,4066.27867058,2281.01552882,5220.40227297
Mix_76,24606.4158256,17061.8777882,7214.6752988,4140.84368821,2262.92870313,5165.84057159
Mix_77,22996.9491332,15845.7511807,6374.8926114,4084.54632221,2567.00962722,7160.80293099
Mix_78,26312.647795,18051.9602214,7083.66215974,4155.52437019,2302.61265943,4475.27227178
Mix_79,20290.1512579,14772.382264,7101.30864086,4080.73831064,2377.27810186,6135.01834646
Mix_80,25134.8784042,17047.0038287,6426.93753506,4081.40126422,2499.60879131,6130.31790528
Mix_81,24939.765477,17025.5795687,6789.4028505,4168.12647337,2400.58404875,6507.75852578
Mix_82,27188.0173651,18319.0980757,7095.98814134,4131.85732775,2158.71212879,4835.48559093
Mix_83,25665.25885,17251.8893561,6621.08597849,4128.21035999,2377.08617019,6657.65592674
Mix_84,27340.3908075,18201.2534458,6464.4516396,4219.52514525,2519.79229964,6608.81557094
Mix_85,24911.443126,17102.9847232,6990.86328477,4081.03183037,2257.93948779,5072.9782216
Mix_86,24355.8252794,16820.1706434,6882.85503831,4195.27879167,2419.23517337,6472.23284194
Mix_87,25107.7026319,16624.3252176,6381.93233102,4061.88973924,2357.65831994,7752.09579224
Mix_88,29770.0912308,19388.2002784,6360.30035639,4211.94359714,2467.62930739,6259.76388995
Mix_89,22309.4407166,15758.4450289,6597.01188976,4154.53357978,2580.77944702,6738.00665773
Mix_90,22256.4980563,15804.9388943,7275.76793686,4054.59920603,2218.46832369,5149.82474606
Mix_91,26828.7212467,17665.1609124,6595.57161628,4070.67417395,2256.31419077,6360.75272445
Mix_92,22352.1022599,15571.1849583,6684.96526497,4009.86907125,2346.71575454,6203.21182627
Mix_93,27168.5919465,18000.7026817,5969.06526444,4183.28488349,2732.77017192,7160.20560684
Mix_94,28925.608999,18890.1024432,6383.2124386,4185.53786448,2434.21351235,6405.84829126
Mix_95,23782.7195226,16399.2514774,6658.33827998,4046.23686341,2401.89987044,5644.6731822
Mix_96,26709.7307757,18036.6021613,6642.89616768,4196.91089966,2503.42053654,5650.54723598
Mix_97,24100.3491671,16450.0338425,6605.02097836,4111.60823905,2409.64169962,6964.79282112
Mix_98,26166.1968561,17045.4670225,5653.51577991,4267.07659331,2874.42613875,10008.8441436
Mix_99,26940.6869289,18387.7169243,6799.07472447,4233.05133461,2549.37296884,4819.88957223
Mix_100,22521.2379931,15449.6666124,6262.13769422,4056.75153388,2579.12721072,7549.16700995
