CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
Mix_74	0.0534	0.2925	0.1704	0.3262	0.0035	0	0.0455	0.1084
Mix_75	0.0287	0.1436	0.0352	0.5216	0	0.1473	0.0547	0.0689
Mix_76	0.0311	0.1374	0.0272	0.506	0	0.0641	0.0869	0.1473
Mix_77	0.0217	0.1509	0.2692	0.297	0	0.1362	0.0361	0.0889
Mix_78	0.0112	0.0618	0	0.3378	0	0.1838	0.1284	0.2769
Mix_79	0.0065	0.0649	0.1766	0.6547	0	0.0392	0.0249	0.0332
Mix_80	0.0302	0.1859	0.1143	0.2078	0.001	0.3015	0.0549	0.1044
Mix_81	0.0261	0.1836	0.181	0.3413	0	0.011	0.0662	0.1907
Mix_82	0.0445	0.221	0	0.3283	0	0.0452	0.1109	0.2502
Mix_83	0.0502	0.2835	0.1469	0.2575	0.003	0.0419	0.0649	0.1521
Mix_84	0.0312	0.1824	0.1888	0.1125	0	0.1315	0.0977	0.2559
Mix_85	0.0279	0.1836	0.0103	0.3988	0.0028	0.1577	0.0864	0.1325
Mix_86	0.0114	0.1281	0.1978	0.3915	0	0	0.0749	0.1962
Mix_87	0.0852	0.471	0.1585	0.2092	0.0105	0.0144	0.0128	0.0385
Mix_88	0.0514	0.2938	0.0824	0	0.0041	0.1944	0.1167	0.2571
Mix_89	0.008	0.0204	0.2762	0.3845	0	0.1078	0.0488	0.1542
Mix_90	0.0147	0.1776	0.0101	0.6378	0	0.0963	0.0307	0.0328
Mix_91	0.0872	0.48	0.0048	0.1906	0.0133	0.1339	0.0413	0.0488
Mix_92	0.0324	0.2023	0.1248	0.4502	0	0.1204	0.0297	0.04
Mix_93	0.0224	0.128	0.2663	0	3e-04	0.3209	0.0723	0.1897
Mix_94	0.0661	0.3332	0.0816	0.0342	0.0067	0.1794	0.1042	0.1947
Mix_95	0.0223	0.1509	0.079	0.3406	0	0.2798	0.0515	0.0759
Mix_96	0.0187	0.0756	0.1188	0.1707	0	0.263	0.1097	0.2435
Mix_97	0.0361	0.2301	0.2063	0.3323	6e-04	0.0218	0.0422	0.1306
Mix_98	0.0786	0.3148	0.435	0	0.0131	0.0955	0.008	0.0551
Mix_99	0	0.0119	0.0315	0.1576	0	0.4631	0.1087	0.2272
Mix_100	0.016	0.2226	0.2777	0.2811	0.006	0.1185	0.0316	0.0465
