Gene,CD14,CD19B,CD4HelperT,CD4MemoryT,CD4NaiveT,CD4RegulatoryT,CD56NK,CD8CytotoxicT,CD8NaiveT
mix_19,386.420580443,322.508711611,949.754012682,333.475412476,245.874993911,275.185949256,597.308660937,485.989820166,543.42346193
mix_20,289.816543347,308.820863255,937.829393084,380.45212406,241.28595924,291.014943774,613.08845672,489.078844409,474.164978012
mix_21,348.981357826,313.205588579,954.787496432,345.661620028,254.727270778,285.225136175,593.522536136,499.675701233,534.921153792
mix_22,315.548845908,341.91867902,945.146365091,336.156462478,222.63616726,286.633995771,631.283239233,495.970347414,449.2518192
mix_23,295.207603023,324.429436227,936.510634093,376.281514167,232.476223093,289.393163962,629.994499056,489.865933808,447.691420742
mix_24,317.005584327,305.769672865,940.90427763,333.593070847,246.239080544,286.1381041,591.258849232,509.495436547,516.659297363
mix_25,267.616648288,318.053733307,933.557455324,374.079767254,237.224641104,292.968875318,624.478388642,506.166909295,449.685743909
mix_26,365.09405846,321.599363331,971.995984966,338.410743529,250.876108201,281.273214176,590.789303937,494.25607467,527.799695668
mix_27,295.953388672,325.903779999,929.234499516,363.348217719,225.247105584,284.350245778,622.008622452,495.827084021,451.013183759
mix_28,294.011595306,315.672969479,938.419687383,352.385367848,238.518137014,290.229355444,606.812084283,505.408462699,483.669866786
mix_29,307.593480132,328.079343526,940.722764319,350.729480173,225.885654285,285.093064898,621.270367722,484.127828211,455.304924459
mix_30,281.415181477,322.557602769,938.006462691,356.157081619,238.26998088,292.696919913,617.293992138,512.013587489,461.280018724
mix_31,317.265543212,330.701659553,939.791191694,357.620515471,233.630075234,286.057318689,617.310982033,495.477569685,471.096084373
mix_32,279.124550984,354.996426244,934.17630863,367.486697196,221.185265907,295.688640788,635.449319232,487.043344512,407.448954482
mix_33,329.23126819,324.998739355,957.914304543,363.223091886,243.924703288,290.533134735,614.716302011,493.781559784,482.901252254
mix_34,375.09774723,343.432518557,970.228951734,348.565701545,241.248494289,274.856774333,613.179665445,475.47063195,507.090056573
mix_35,303.607858306,324.159682747,931.692094431,338.792927061,235.099470362,287.458515614,612.166903123,510.975693977,477.80246249
mix_36,318.602768145,331.936316476,938.327143186,324.663951967,233.932587899,280.405378489,601.939677345,496.457258809,487.146973619
mix_37,358.891433257,313.481302104,954.587623761,328.089706305,249.573996663,279.733956436,586.109408105,500.686860241,535.454581804
mix_38,350.543240097,316.399028032,954.105106495,327.272075616,242.096867929,277.011373679,599.675508637,497.16655745,520.197311618
mix_39,296.088872197,313.96533565,932.84595933,353.157488304,237.185455437,285.62456771,611.597548318,502.804074889,477.423383255
mix_40,318.995180858,335.872134967,942.45738028,331.161299834,232.964615652,281.258277644,611.999672717,492.121353294,475.122961079
mix_41,360.090185607,332.088419064,973.989559415,336.36156565,241.248835284,275.423855467,612.833330707,481.466852789,512.631391286
mix_42,265.580803809,351.624141639,947.744530217,377.552187941,237.672327785,298.718367621,638.271614106,490.262552592,426.865266186
mix_43,350.349753975,334.663295401,970.33211365,340.118200629,240.45137662,277.798474414,608.771792863,481.637048113,501.923070468
mix_44,298.19211208,325.037916719,944.741934324,382.686485294,232.72651173,286.482734138,625.376106976,476.412994919,446.303800427
mix_45,312.795928748,333.646530577,928.491782625,326.574730587,226.561389371,274.888346745,611.549058463,495.018973865,478.950752848
mix_46,351.074325416,334.219864933,955.878821839,329.974697726,231.972953425,282.658884381,612.369925346,482.771561137,497.223597714
mix_47,419.03891108,313.127723458,976.691414873,340.227876117,269.470153528,278.490591191,590.077169322,481.919542584,597.518810689
mix_48,303.862136832,346.069047213,956.795622684,364.236636787,236.293146528,290.038614814,640.616302625,475.770859261,442.870412057
mix_49,331.491762254,367.138239678,924.736891094,315.019137574,215.678905121,277.237205379,633.529678842,474.29352066,420.259506724
mix_50,297.979729973,325.664182588,937.981401952,344.461678307,231.568661534,288.265523618,608.580709282,507.801452925,468.479079937
mix_51,371.649030132,326.056472127,971.974786721,327.477936984,249.329934068,275.932616775,598.614358543,485.765554825,537.07000518
mix_52,354.955358257,331.251901643,968.827997275,338.802223486,242.755174424,279.346789541,606.85720862,489.087584443,515.441470859
mix_53,340.65153825,342.587981358,968.295299975,363.681452038,243.258227759,284.357936442,627.958770543,460.231693393,472.669754915
mix_54,303.049163621,317.953324849,953.276530856,344.024672683,241.9657152,287.753219677,606.417169307,505.656059283,492.392180175
mix_55,338.42410945,321.108011837,952.083827049,361.067942667,250.342924012,282.522014352,605.551962162,499.881520371,505.539477922
mix_56,303.372304195,331.690173052,939.865777698,360.474603808,236.38174541,289.105131157,612.559287422,502.471530949,457.260535447
mix_57,275.992320393,324.053746877,929.092150382,341.590920775,232.77526088,290.251904082,610.451767391,503.606509376,450.217594807
mix_58,320.054411504,306.31956833,934.69638676,345.18570407,240.024649543,285.214407987,599.486214044,508.215667174,507.328194332
mix_59,362.972772962,339.598625558,982.23415077,323.633695719,240.392968614,276.042432466,608.41127699,475.052342017,508.405254739
mix_60,324.04794597,316.877549122,958.247326858,357.294197111,247.440550402,288.599962477,608.711247148,495.808844494,489.086727233
mix_61,318.56089062,320.576699303,942.98754223,322.300984505,241.238037262,283.193151841,595.34698294,503.158703258,494.401097747
mix_62,366.008494496,320.196076904,960.076571407,325.744120299,244.100710405,271.970861217,593.164318733,499.119340629,525.511286685
mix_63,313.449225987,309.585483868,934.04628781,341.597334582,242.224813538,285.17853426,598.251343683,513.703963443,497.2580612
mix_64,397.488755788,323.174949474,971.797812012,335.273891365,268.932484694,281.131810566,594.339009637,478.836676481,573.233749447
mix_65,364.027948732,328.73987977,959.704679223,340.707148291,240.284897661,277.130372066,604.5385317,480.179889143,516.418391746
mix_66,345.401821897,343.795700899,970.308089296,340.074659456,228.418619863,272.26447004,627.402191868,467.688421944,473.039595954
mix_67,318.815695242,322.91927122,942.351877356,336.316846418,229.341275063,279.341318723,607.415071702,485.550784879,478.421589857
mix_68,337.514012018,318.173280157,955.19622292,339.291534214,247.731887432,277.558899892,593.915749698,496.735866594,524.33230548
mix_69,285.994885256,312.461605713,939.057260548,351.555485148,240.793039627,288.646763236,600.977682151,498.612609552,481.189447127
mix_70,366.026151123,317.971581338,963.471905223,333.464719209,251.838206408,281.081386109,589.217765317,500.820701063,544.253887244
mix_71,347.763274304,319.49575869,953.041488059,344.21083472,238.663898915,277.073392229,597.366657696,495.791152032,515.392747188
mix_72,358.506213141,311.239868399,958.005834714,322.026638773,248.098673694,279.241040685,599.135889764,496.33455345,526.540038477
mix_73,355.00437466,311.507806186,960.34170022,313.687996355,254.126470846,279.901170408,577.460798777,509.291430563,543.135783357
mix_74,262.185084601,324.45595993,919.327193718,389.946318234,235.722851288,307.897452357,625.607775429,499.339414972,425.119816148
mix_75,311.226259547,330.6935084,959.966470413,354.08985826,238.05523709,280.858791451,613.66661462,488.823961565,480.13818859
mix_76,344.979466456,322.296611573,945.350235825,309.738379121,234.944971752,275.923689538,590.692608085,501.658404465,507.592669279
mix_77,294.503103878,327.075924572,940.496880443,347.243894618,233.387015882,289.210980502,613.428360123,495.413819982,469.932460926
mix_78,339.230764104,308.186113442,958.017250449,346.475066913,249.078152343,287.517648946,597.428917531,501.308438479,517.846946291
mix_79,368.429628024,331.38269679,972.401390704,313.00592866,235.971024652,271.861937972,608.88389096,474.711426049,522.235729281
mix_80,327.79391955,345.888891991,990.600188802,341.964859245,233.860949885,275.958255391,621.919883361,471.986021731,463.756613579
mix_81,385.33903909,338.436354496,978.177289708,351.417010431,242.289106806,268.364024889,620.908763691,452.361662168,492.589366839
mix_82,419.679283854,330.873617253,964.820525105,306.34658029,260.701727088,269.457166403,588.168889403,490.976712953,583.959497395
mix_83,339.210831114,322.438115664,950.043690089,322.752164817,253.901339435,284.847955447,586.400491108,514.250163163,533.203155344
mix_84,335.445363971,323.460943031,941.618847997,324.80554825,239.335856892,276.557631762,599.887505911,499.198955282,514.259413879
mix_85,377.430648134,330.329064736,956.54365768,327.758972637,240.403609481,274.250267554,596.725054129,486.300769273,524.56526893
mix_86,307.241932424,310.773693463,942.227007201,336.63961085,243.059056619,287.965879826,593.664455899,507.915546027,496.000981346
mix_87,249.863051582,344.631944184,912.300875484,371.832271208,228.101784154,302.7468287,648.975830043,507.335429735,396.513588769
mix_88,303.39235176,331.066745969,944.742678992,363.155319764,229.864383565,286.328936017,617.968888095,495.108222579,453.547358929
mix_89,375.848889935,330.905120848,983.885863818,344.199369188,248.993880112,269.507221815,627.080925618,460.235670366,523.550452512
mix_90,268.479151024,334.78171067,906.662123473,365.670423648,227.058608093,301.534579057,611.300561685,518.800220638,423.855410235
mix_91,313.113609639,332.365121342,930.141015108,336.320654511,232.133694787,288.664876142,603.002252495,503.435052912,475.329694787
mix_92,301.149847869,317.95177462,945.85282197,365.270145831,238.883580501,288.628338176,615.485187542,493.636655644,474.411981542
mix_93,378.269698759,316.355666179,965.726882479,304.716719848,267.32879197,277.299525392,581.853445764,508.642872143,587.618192793
mix_94,277.998310233,327.013341776,926.183817964,352.438722776,230.248337803,290.987389238,620.417068864,506.33460874,447.290885068
mix_95,296.598818717,317.021153638,926.39468779,365.222668873,238.421801964,295.307243989,611.021393968,506.155705993,474.347663096
mix_96,329.529694877,334.452384805,951.124854559,359.44744116,230.813205495,283.731508406,615.820548487,474.147171691,463.170470636
mix_97,284.289984283,361.124322237,924.278883406,348.835021055,220.268910093,286.935314852,636.39804152,497.335024573,423.449439671
mix_98,310.224763123,339.66186335,941.403773243,341.570186232,237.788685302,285.475432298,618.055919031,493.324459547,459.485802885
mix_99,373.262387601,346.980558817,989.080946142,277.982447346,248.985945257,268.65660579,600.450360972,475.306671972,547.593796823
mix_100,317.472310362,318.626366197,928.307936816,322.692137655,243.370141385,285.649207523,589.602864578,515.04138045,507.81225022
