Mixture	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	P-value	Correlation	RMSE
Mix_12	0.213969298867547	0.0920154704039493	0.238054805355105	0	0	0.0888974291629928	0.184677872816542	0.0196573569922251	0.162727766401638	9999	0.996416467906817	0.158476984199516
Mix_13	0.0997556994649948	0.325921476449712	0.300518834141278	0.0189106946753584	0	0	0.148047694440581	0.0569077218980337	0.049937878930041	9999	0.996417626133824	0.122179583001451
Mix_14	0.0436984894984841	0.123935209956244	0.242265283118827	0.0166509579245667	0	0.0836384797823166	0.272780076812766	0.106018122167524	0.111013380739272	9999	0.99651128683644	0.0875166241165488
Mix_15	0.104569412558542	0.161781035010781	0.385613668500205	0.0213596762199783	0	0.0930097242687989	0.128796494035505	0.0288968728711177	0.0759731165350726	9999	0.99729129799548	0.12022650443207
Mix_16	0.15321853844509	0.231726329993946	0.36239853030542	0.0139484922454475	0	0.0267262554940907	0.10076309614801	0.0519532655242048	0.0592654918437902	9999	0.997198475088772	0.137954069721989
Mix_17	0.0951291457065312	0.174144902307834	0.359328880822457	0	0	0.0745948589781113	0.1365646495821	0.0805338496912482	0.0797037129117182	9999	0.997459315627337	0.105545098182673
Mix_18	0.123601964592589	0.163633899472765	0.520838124301225	0.000523733529239615	0	0.0728700365022194	0.0767913210996817	0	0.0417409205022801	9999	0.995724452552788	0.150991393864446
Mix_19	0.239057117929414	0.128890752960792	0.17029761285133	0	0	0.0596325908599005	0.180665202775193	0.0990447427382111	0.12241197988516	9999	0.995976224269441	0.156688654592453
Mix_20	0.175111768605653	0.254582240130436	0.338796632946757	0	0	0.0202832708186785	0.105649264942152	0.0309140119870711	0.074662810569252	9999	0.996228694120491	0.158345737951266
Mix_21	0.236607968113843	0.234964858342922	0.30175533656165	0	0	0.0147564582651057	0.0782781308257408	0.0576701314118448	0.0759671164788936	9999	0.995727710759378	0.178631484782732
Mix_22	0.260786232581973	0.132201698581019	0.216607122932634	0	0	0.0564954342182575	0.147686373262411	0.0472768414677583	0.138946296955948	9999	0.995344629738742	0.180421061876542
Mix_23	0.10763293774772	0.304993359894774	0.409604349978696	0.0386363087298161	0	0	0.102699702241786	0	0.0364333414072083	9999	0.995709674291214	0.141883450431471
Mix_24	0.175008646980281	0.0505153824397653	0.434401375263654	0	0	0.0636470380970779	0.0655735668739616	0.140980735510839	0.0698732548344216	9999	0.99626580415279	0.126625359447142
