Gene,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,NK_cells,Neutrophils,T_cells_(CD4+),B_cells,T_cells_(CD8+)
mix_46,614.0523,1577.1108,158.3816,228.9378,376.6598,131.2675,702.3043
mix_47,907.1019,1819.1116,132.752,244.5617,285.4494,134.1284,683.2594
mix_48,1085.2463,2184.5031,130.5729,256.1966,207.6857,140.7136,643.463
mix_49,942.1295,1990.9225,136.6195,247.4544,258.9519,136.9652,665.5124
mix_50,613.8771,1404.8974,149.1793,224.2176,392.5895,143.1154,706.106
mix_51,1011.5963,2031.4337,135.353,254.1739,236.8846,140.4151,653.9142
mix_52,550.3115,1474.037,157.4178,224.3589,394.3611,158.0887,689.714
mix_53,953.9119,1990.1844,137.3604,250.3778,251.28,138.8657,661.3974
mix_54,540.8872,1362.8168,157.3295,225.5036,397.0148,146.7236,689.5804
mix_55,941.7396,1948.4059,134.3175,248.9741,258.5719,136.8467,665.9057
mix_56,768.3212,1542.4243,141.8469,234.1935,345.2188,128.5728,697.3231
mix_57,953.2693,1867.2819,139.4723,246.6265,285.6614,117.8677,687.5092
mix_58,739.864,1663.8359,149.789,237.7711,338.1844,133.9048,688.1161
mix_59,993.7409,2018.4648,136.2654,249.2042,259.0609,118.5124,683.731
mix_60,800.2927,1653.3508,137.3087,238.7025,304.6032,143.8875,682.6244
mix_61,516.0118,1283.7851,161.1872,221.119,438.2897,144.554,719.9008
mix_62,571.4191,1473.9936,157.984,224.3526,405.0834,140.7325,697.139
mix_63,981.2964,1905.4038,134.4799,249.3889,272.2685,119.1997,684.22
mix_64,933.6262,1869.8367,129.9439,245.7104,275.0364,135.9198,675.7857
mix_65,793.4304,1969.8195,152.825,235.7231,320.4259,128.3455,669.8787
mix_66,1020.0259,2033.6249,134.5139,254.3611,234.9033,137.2362,655.7222
mix_67,553.8743,1530.5844,159.5652,225.0205,391.3807,149.2329,682.9284
mix_68,612.6884,1665.9952,164.8923,230.0668,376.4337,128.264,692.1758
mix_69,951.6796,1842.844,131.7524,247.9835,266.7124,135.1111,679.4519
mix_70,855.7441,2114.201,147.6798,242.1997,264.2285,153.1688,640.3135
mix_71,1060.5366,1970.8274,124.5518,256.2405,219.9143,142.2392,658.8148
mix_72,615.0194,1486.9501,144.3338,227.2438,357.6228,169.1111,692.02
mix_73,755.8904,1938.5914,153.4333,236.3796,309.5156,151.7581,660.2382
mix_74,824.0756,1759.2388,143.7367,237.6313,308.2024,139.899,678.13
mix_75,1042.0294,1973.4616,130.5682,256.5045,229.4361,137.5238,660.196
mix_76,722.516,1673.952,153.927,230.4802,354.1586,125.7353,692.2412
mix_77,544.6947,1398.777,164.4871,223.2612,431.0711,128.4618,712.3897
mix_78,960.123,1986.4135,135.0633,247.7183,260.7173,131.2249,669.4097
mix_79,1026.4361,1914.9896,130.8926,252.5412,254.3549,121.5668,682.3554
mix_80,734.0694,1561.4521,141.3935,232.4553,334.0558,142.8293,690.8589
mix_81,736.2952,1540.6585,146.3957,232.402,358.7434,130.527,706.6183
mix_82,896.1932,1881.3822,134.7656,245.4791,278.6165,137.6597,686.0649
mix_83,1038.7509,1956.1603,132.5907,252.6249,236.7219,134.851,666.5334
mix_84,798.7134,1596.4908,139.5916,233.2205,330.1876,133.5504,695.6406
mix_85,776.7129,1562.4058,143.1993,233.6113,343.0658,129.1491,700.1292
mix_86,636.0664,1540.3706,158.9039,225.3274,401.5525,125.9794,708.1244
mix_87,861.6646,1672.1636,134.7922,239.8227,313.4171,125.0037,699.3113
mix_88,711.2834,1622.6825,149.6127,230.3461,353.4941,133.4719,696.0952
mix_89,582.2187,1435.9574,159.0989,224.714,405.3993,131.3019,709.9255
mix_90,899.0031,1696.1199,135.7564,241.3822,298.6394,124.0101,705.3494
mix_91,1015.0913,2048.4961,135.158,252.3374,243.1837,132.7102,659.6226
mix_92,889.3439,1698.1024,133.8678,241.8478,294.6839,129.5834,693.0241
mix_93,1274.8294,2339.7511,123.5477,266.3855,186.7804,120.6038,681.7236
mix_94,1085.7736,2125.642,134.2612,261.1548,230.3695,118.8199,680.3659
mix_95,991.6837,2090.0741,137.5641,249.5198,238.3478,141.8151,649.0564
mix_96,950.2603,2077.9027,142.8085,245.3414,254.773,135.4859,657.3025
mix_97,944.4743,1876.5945,134.3145,247.4819,271.0379,128.6578,684.8623
mix_98,924.3687,1871.7404,132.908,241.1061,280.6353,132.8198,682.3836
mix_99,486.3865,1272.8424,165.1917,220.8745,462.7067,132.1829,733.9626
mix_100,861.6123,1725.4586,136.6141,237.2273,304.5934,129.9897,690.8957
