Mixture	B_cells	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	NK_cells	Neutrophils	T_cells_(CD4+)	T_cells_(CD8+)	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_64	0.0293984543322075	0.621804650939314	0.00511176267721272	0.282031370099159	0	0.153259482980302	0.124384668229084	9999	0.650400458331839	0.818833335574015	1.21599038925728
mix_65	0	0.466099067265535	0.0340295242946896	0.203693510862266	0.0603336240038387	0.263960759598973	0.187873903231978	9999	0.677231900558158	0.779901589928196	1.21599038925728
mix_66	0	0.385030565987228	0.0903412703377765	0.20605624525042	0.0851009023039712	0.185805433191225	0.25335737550361	9999	0.683824108069596	0.769659030410505	1.20569179257423
mix_67	0	0.287567980857105	0.086909977829423	0.248032060069369	0.0890479843864038	0.238790561259747	0.252471381052694	9999	0.679609098268419	0.774444904060773	1.20281994545474
mix_68	0	0.38445884908776	0.0238687980799576	0.226568605516545	0.0607635758289707	0.290867058153801	0.221512517017111	9999	0.674306029363102	0.783047902156694	1.20803940368415
mix_69	0	0.201136249556714	0.0553150220672004	0.248880757323992	0.117492352433924	0.336199761583096	0.236692425636275	9999	0.675451952238577	0.777265039654809	1.1957165686012
mix_70	0	0.478430378643536	0.00368221534218322	0.210971230996088	0.0345785181854231	0.275202994558794	0.207074656803693	9999	0.666056284830692	0.795374800742355	1.20993999452972
mix_71	0	0.39104966797144	0.0257545721949507	0.229395995890446	0.0535639734593824	0.248844218738984	0.259281067829429	9999	0.672610795878685	0.785640300287225	1.20788949608463
mix_72	0	0.449856747856912	0.0240075254760418	0.232345095491531	0.0465279872102011	0.209851775015323	0.249294059796466	9999	0.669890180660124	0.789784903819792	1.21188319084647
mix_73	0	0.453879742396693	0.00191464564297018	0.180452445344543	0.0290624553012892	0.263063589753506	0.280202270748241	9999	0.65946618415301	0.803029892066763	1.20857514918724
mix_74	0	0.0941217344919946	0.0879747841651027	0.268583866933544	0.147507310926394	0.421374973404582	0.166012643299049	9999	0.675973384185562	0.775295637820562	1.18557531322067
mix_75	0	0.286379247585049	0.0734761777561226	0.214300779225666	0.103247200352697	0.351621953255912	0.171559821247104	9999	0.682622711431565	0.769602359069125	1.20058517942255
mix_76	0	0.406487153516453	0.027871605259878	0.251709116484038	0.0825886143876145	0.183872739997503	0.25470332612047	9999	0.672321212661581	0.783864589350952	1.20723255576596
mix_77	0	0.234587651721626	0.0628199041529213	0.238900442034831	0.117841169133679	0.310779721808818	0.23374709156781	9999	0.680637954768951	0.770839168924811	1.19867598041969
mix_78	0	0.376020661798792	0.0338258259510591	0.215807357483672	0.0566450668944922	0.303534545376407	0.218299307295714	9999	0.673299886039378	0.78451234532953	1.20413276480014
mix_79	0	0.556990439061696	0.0148406417699954	0.226259566721493	0.0387205027538288	0.203266646600464	0.171413203023947	9999	0.669827958134892	0.791597036604588	1.21149099993142
mix_80	0	0.373878620090278	0.0612654835693202	0.213491401554761	0.103560693946721	0.323851779538153	0.126517696317322	9999	0.688871888673898	0.762474707820269	1.20256567501655
mix_81	0	0.55146071272561	0.0673640098168066	0.17949991812789	0.0493371015327194	0.167067214236626	0.201530542867708	9999	0.678833456037674	0.779911902426056	1.21625949930736
mix_82	0	0.676686013831129	0	0.251267034945774	0	0.109884922268135	0.183419825567014	9999	0.643150104077534	0.828202526982141	1.22125779661205
mix_83	0	0.407136833509011	0	0.215963220443226	0.0635395573093164	0.317380770216452	0.201671411096225	9999	0.666867225108222	0.791588893158813	1.20569179257423
mix_84	0	0.367157812585256	0.0215587331542666	0.247195388107999	0.0717253965927632	0.230181304683252	0.268909992805536	9999	0.671600853912363	0.785368961128814	1.20672862792907
