ID,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,NK_cells,Neutrophils,T_cells_(CD4+),B_cells,T_cells_(CD8+)
S10273,6.146958,6.044232,6.356616,6.773026,6.485786,4.972638,5.44063
S10274,6.307126,6.052164,6.414906,6.73188,6.496926,5.019698,5.645248
S1028,6.249108,5.857818,6.333076,6.652882,6.532954,4.898514,5.692048
S10280,6.258762,5.964236,6.498052,6.790002,6.83709,4.856832,5.62585
S10283,6.114484,5.969074,6.509426,6.671668,6.62798,4.885586,5.654782
S1029,6.158892,6.050474,6.409886,6.747648,6.55958,4.987516,5.492014
S10292,6.120036,6.006998,6.332284,6.616228,6.460136,5.0409,5.507902
S10294,6.138276,5.846378,6.375188,6.610004,6.577286,5.040274,5.728898
S10302,6.315242,6.013324,6.364962,6.666788,6.455356,5.012198,5.684714
S10303,6.240008,6.054778,6.298094,6.658134,6.479312,4.964146,5.37543
S10323,6.204422,6.116656,6.354256,6.737382,6.422194,5.032562,5.480034
S10326,6.191798,6.042232,6.411802,6.758828,6.446336,4.969344,5.586154
S10328,6.13167,6.132068,6.47612,6.705422,6.615064,4.928926,5.485004
S10329,6.204228,6.051184,6.449152,6.73404,6.612096,4.999302,5.539384
S10336,6.183648,6.056552,6.33616,6.736568,6.408908,5.007702,5.441654
S10340,6.172766,5.960992,6.3245,6.750376,6.522694,4.949066,5.465696
S10347,6.172342,5.993076,6.26043,6.59248,6.238462,5.101358,5.291472
S10353,6.212846,6.09095,6.361104,6.717348,6.474124,5.011464,5.549178
S10356,6.267118,6.081756,6.30758,6.67236,6.39065,5.075892,5.430112
S10358,6.20407,6.049112,6.392486,6.795342,6.42489,4.928432,5.532996
S10365,6.166148,6.032738,6.301858,6.741294,6.368006,4.991072,5.466302
S1037,6.15903,5.994278,6.447426,6.573334,6.629828,4.989316,5.571882
S10373,6.21638,6.103326,6.464274,6.69009,6.6095,5.05612,5.659086
S10374,6.149538,5.9514,6.258042,6.554694,6.249926,5.087502,5.694836
S10375,6.28098,6.144294,6.411238,6.72261,6.565758,4.994448,5.589286
S10377,6.239696,6.093976,6.3239,6.478072,6.418848,5.239508,5.624036
S10378,6.233084,6.055558,6.53712,6.693064,6.648404,4.959418,5.729876
S10390,6.154008,6.174704,6.093554,6.54463,6.224572,5.136884,5.299772
S10391,6.252678,6.05904,6.38141,6.589558,6.272764,5.155976,5.653142
S10393,6.164832,5.917736,6.355246,6.641098,6.342706,5.044832,5.820186
S10400,6.294404,6.128184,6.31267,6.77497,6.480746,5.027514,5.39522
S10401,6.25802,6.21748,6.359096,6.686806,6.458396,5.054726,5.397692
S10406,6.260744,6.046508,6.24539,6.765412,6.286728,5.033392,5.522162
S10408,6.3136,6.237092,6.430302,6.752694,6.452022,5.030716,5.509586
S10409,6.318808,5.926634,6.470556,6.649178,6.607442,5.062382,5.896188
S10418,6.109244,6.173542,6.136308,6.669652,6.136722,5.185916,5.344964
S10431,6.27899,5.943942,6.298548,6.701892,6.358164,5.027382,5.559536
S10438,6.251526,6.073122,6.388104,6.726172,6.51919,5.09745,5.617954
S10439,6.380336,6.068524,6.428458,6.740586,6.515276,4.949638,5.688154
S10441,6.36432,6.109228,6.36661,6.85384,6.434936,5.004258,5.484732
S10442,6.330404,6.096438,6.410932,6.767688,6.514376,5.053966,5.539604
S1046,6.229168,6.04295,6.310112,6.855548,6.420878,4.96397,5.444634
S10478,6.338854,6.20509,6.2855,6.886406,6.252354,4.991718,5.413832
S10480,6.010448,6.012006,6.346304,6.50732,6.384836,5.031312,5.500896
S10484,6.277996,6.186292,6.37734,6.739144,6.40066,5.013018,5.448414
S10492,6.312166,6.100142,6.597954,6.675886,6.65746,4.992438,5.807458
S10496,6.148786,5.923144,6.529882,6.700316,6.62708,4.90063,5.681776
S10510,6.19926,5.884388,6.15,6.531158,6.285132,5.044142,5.700726
S10513,6.276908,6.050318,6.344908,6.719986,6.48757,4.936952,5.490582
S10516,6.23234,6.080388,6.327544,6.708602,6.39627,5.048106,5.470654
S10534,6.19139,5.897772,6.330608,6.713014,6.561746,4.931952,5.583552
S10535,6.226196,5.765096,6.350616,6.58267,6.503274,5.00402,5.67757
S10537,6.337872,6.103556,6.388774,6.785824,6.565598,4.919158,5.476356
S1054,6.243114,6.043364,6.309074,6.659098,6.41464,5.066346,5.512054
S10543,6.158376,6.100278,6.484854,6.73124,6.50097,5.023138,5.577064
S10546,6.116168,5.905252,6.302252,6.546334,6.31234,5.043612,5.633432
S1055,6.255486,6.027454,6.190992,6.785842,6.21854,5.064492,5.35966
S10551,6.23612,6.138472,6.285316,6.687802,6.330704,4.961278,5.461482
S10552,6.268566,6.172422,6.299042,6.789084,6.30849,5.091606,5.438746
S10555,6.262998,6.046818,6.587414,6.710994,6.695306,5.003604,5.6502
S10559,6.20139,6.039492,6.31973,6.729248,6.393178,4.953528,5.51299
S1056,6.188488,6.014676,6.431668,6.70014,6.48369,4.974504,5.608238
S10563,6.234228,6.12252,6.344436,6.793176,6.442804,4.952754,5.450962
S10574,6.189192,5.97735,6.461976,6.713768,6.653012,4.889418,5.622168
S10576,6.258496,5.959632,6.25199,6.680558,6.32221,5.071854,5.586212
S10578,6.247104,5.968014,6.248414,6.732888,6.25738,5.04713,5.528462
S10579,6.131544,5.97291,6.371036,6.77924,6.436508,4.904008,5.562746
S10582,6.104734,6.018496,6.447926,6.785794,6.501726,4.887206,5.606176
S1059,6.243204,6.126896,6.408984,6.790764,6.54222,5.022308,5.522278
S10599,6.317994,5.978064,6.401606,6.746272,6.514986,4.942924,5.649186
S10611,6.18424,6.008114,6.342408,6.770276,6.487158,4.88864,5.536748
S10614,6.2198,6.126694,6.348946,6.892822,6.49904,4.921506,5.390404
S10624,6.137864,6.06333,6.32773,6.691326,6.368288,4.964346,5.436202
S10632,6.173924,6.078428,6.225428,6.637178,6.300702,5.060828,5.416712
S10634,6.123664,5.927628,6.384538,6.701038,6.490244,4.960518,5.574558
S10638,6.208068,6.077822,6.310286,6.74352,6.49813,5.031874,5.461266
S10644,6.159824,5.96729,6.406028,6.643802,6.5855,4.939958,5.678078
S10649,6.12625,5.991564,6.35161,6.897294,6.399116,4.937792,5.536712
S10652,6.173354,5.96705,6.32659,6.75695,6.332698,4.967006,5.507002
S10654,6.215482,5.835496,6.426666,6.705186,6.450444,4.999584,5.674704
S10655,6.16311,5.872558,6.311692,6.728988,6.490876,4.951182,5.521544
S10656,6.173638,6.023942,6.626994,6.76489,6.712364,4.884508,5.778238
S10657,6.347326,6.128954,6.397906,6.63912,6.343452,5.162972,5.535176
S10658,6.162616,5.981688,6.494274,6.750764,6.682104,4.909156,5.669578
S10660,6.249026,5.968914,6.327028,6.511936,6.373394,5.092986,5.590374
S10661,6.161038,5.982832,6.413118,6.68524,6.58901,4.997898,5.56603
S10676,6.206426,5.984968,6.42294,6.798728,6.439542,4.883844,5.674986
S1068,6.135228,5.977496,6.404182,6.71088,6.552092,4.917772,5.49409
S10681,6.148392,5.96799,6.145496,6.63261,6.238658,5.11171,5.550856
S10686,6.236954,6.032434,6.219062,6.630748,6.269472,5.040356,5.501144
S10688,6.144006,5.902364,6.404946,6.761574,6.738164,4.91328,5.5875
S10690,6.308938,6.13401,6.391336,6.67685,6.352272,5.084132,5.462614
S10698,6.127412,5.912432,6.343694,6.627274,6.513476,4.886034,5.54604
S107,6.245936,6.050814,6.430622,6.723078,6.636336,5.00761,5.671954
S10703,6.126876,5.868116,6.374514,6.636226,6.62447,4.930124,5.62371
S10726,6.195212,6.06556,6.381382,6.706844,6.554564,5.026926,5.608168
S10729,6.330508,6.113866,6.395002,6.719892,6.467322,5.101904,5.575936
S10733,6.215782,5.942008,6.407644,6.700884,6.504116,4.880062,5.649888
S10734,6.222168,6.100776,6.313778,6.633992,6.435968,5.056518,5.626196
S10735,6.224846,6.08256,6.349716,6.715684,6.530318,5.066696,5.499782
S10740,6.38607,6.179034,6.335296,6.797396,6.47483,4.997798,5.436868
S10745,6.247054,6.082684,6.372392,6.863906,6.331662,4.95505,5.46209
S10748,6.235468,6.055734,6.323486,6.698158,6.414208,5.094828,5.44742
S10753,6.364452,6.143942,6.483052,6.88185,6.682642,4.974464,5.549306
S10756,6.20924,5.91519,6.425932,6.722242,6.49359,4.981848,5.658846
S10757,6.142108,5.877088,6.407812,6.626892,6.734274,4.938462,5.66166
S1076,6.26132,6.138968,6.414942,6.723844,6.504454,4.92144,5.441844
S10764,6.330958,6.175728,6.316652,6.750098,6.355284,5.047042,5.470872
S10767,6.26148,6.09567,6.439756,6.583636,6.578046,5.139818,5.66642
S10776,6.146454,6.083852,6.393712,6.820966,6.489286,4.855648,5.510372
S10778,6.267928,6.10698,6.40207,6.827672,6.57828,5.002926,5.617482
S10784,6.277248,6.12678,6.360392,6.900232,6.4588,4.900876,5.308144
S10787,6.206028,6.081916,6.29909,6.68193,6.476752,5.028918,5.435016
S10800,6.137256,6.02397,6.40907,6.745976,6.501028,5.006434,5.568688
S10805,6.224594,6.223196,6.382462,6.75023,6.41579,5.09043,5.509204
S10813,6.143118,5.97723,6.365766,6.732028,6.437012,4.91167,5.485998
S10814,6.096444,5.990502,6.177816,6.600182,6.194262,5.09641,5.607124
S10815,6.127014,5.95122,6.41904,6.758834,6.519646,4.975856,5.605182
S10817,6.180798,5.934846,6.3658,6.55389,6.358286,5.036912,5.614392
S1083,6.186434,5.98234,6.46264,6.685458,6.527232,4.88894,5.62404
S10835,6.30042,5.96278,6.289126,6.705986,6.33329,4.990662,5.659106
S10838,6.136452,5.88372,6.38819,6.747266,6.464292,4.93139,5.700622
S10844,6.138448,5.927562,6.272572,6.666352,6.357136,4.956706,5.528178
S10845,6.231116,6.02818,6.450442,6.803572,6.423566,4.913192,5.537938
S10846,6.17689,6.016206,6.447298,6.584312,6.577186,5.013958,5.64645
S10853,6.228278,5.971914,6.272376,6.75927,6.27117,5.023918,5.675936
S10854,6.162818,5.960556,6.391562,6.665,6.61383,4.93457,5.601118
S10865,6.25735,6.172474,6.434162,6.708046,6.521112,4.970368,5.517174
S10866,6.19369,5.98306,6.476024,6.695954,6.496834,4.905416,5.69551
S10869,6.289194,6.120168,6.380848,6.864862,6.378812,4.920666,5.535076
S10873,6.19747,6.124312,6.338596,6.757908,6.405002,5.02961,5.492022
S10876,6.212366,5.908702,6.406974,6.671256,6.564886,4.88448,5.684692
S10883,6.29594,6.124362,6.393306,6.73809,6.39593,5.080624,5.605762
S10885,6.330754,6.13852,6.299852,6.738918,6.483082,5.119784,5.712498
S10893,6.19992,5.982866,6.29654,6.721104,6.378964,4.931244,5.577978
S10895,6.230662,6.052258,6.414926,6.827284,6.48341,4.959412,5.47828
S10902,6.094346,6.016426,6.291422,6.643236,6.393858,5.034622,5.575606
S10903,6.464588,6.084788,6.447324,6.794532,6.44106,5.147808,5.722092
S1092,6.197122,5.968282,6.288084,6.882208,6.484404,4.907992,5.52898
S10925,6.222458,5.991288,6.337292,6.749988,6.41625,4.998542,5.569402
S10927,6.257476,6.125188,6.42659,6.882244,6.54239,4.909766,5.43492
S10936,6.170032,5.992974,6.495562,6.692166,6.633538,4.92365,5.615116
S10945,6.275506,6.072192,6.378554,6.843138,6.475302,4.924218,5.483558
S10947,6.211134,6.048462,6.18819,6.61,6.268066,5.11291,5.48957
S10949,6.202878,5.931366,6.447838,6.682842,6.511694,5.002788,5.79141
S1095,6.229654,6.180888,6.21019,6.698034,6.289082,5.139042,5.310892
S10961,6.263472,6.021868,6.388598,6.800904,6.38188,4.975186,5.60888
S10969,6.173024,5.970612,6.4592,6.705082,6.532356,4.889428,5.585482
S10972,6.179072,6.08979,6.346786,6.70455,6.413482,5.025926,5.459158
S10973,6.270646,6.201498,6.380352,6.8314,6.449576,5.003506,5.49682
S10978,6.209768,6.048992,6.428308,6.825196,6.509958,4.940864,5.539964
S10979,6.247956,6.089728,6.413158,6.731792,6.558242,5.01796,5.652016
S10986,6.205418,6.084744,6.26344,6.709384,6.330592,5.011134,5.376548
S10989,6.135758,5.889948,6.286598,6.700694,6.457616,4.969972,5.561142
S10995,6.236548,5.949242,6.47281,6.748014,6.606094,4.90621,5.669546
S11005,6.314696,6.06151,6.395232,6.645122,6.441044,5.054426,5.706006
S11008,6.195,6.046638,6.364356,6.788458,6.504076,5.01162,5.529136
S11010,6.053554,5.903298,6.099164,6.535358,6.211234,4.997926,5.608064
