	Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
Mix_33	0.308192593631499	0.494244522824154	0	0	0.197562883544347	0
Mix_34	0.410358109482006	0.376952148312732	0	0.00169440679388713	0.203779935897162	0.00721539951421284
Mix_35	0.323734693701353	0.528106004921662	0	0	0.148159301376984	0
Mix_36	0.363838837893396	0.471594512041617	0	0	0.164566650064986	0
Mix_37	0.293211219567206	0.547575039835404	0	0	0.15921374059739	0
Mix_38	0.289565749548169	0.51514757630045	0	0	0.195286674151381	0
Mix_39	0.464505414899101	0.307911209560402	0	0.0112806632470618	0.216302712293435	0
Mix_40	0.341465462476022	0.517342506394219	0	0	0.141192031129759	0
Mix_41	0.319538240003741	0.53117806421008	0	0	0.149283695786179	0
Mix_42	0.368713216283564	0.452115051959036	0	0	0.179171731757399	0
Mix_43	0.408608983488345	0.414335209197753	0	0	0.177055807313902	0
Mix_44	0.29881805562851	0.521018992568127	0	0	0.180162951803363	0
Mix_45	0.33906998792764	0.467086276329222	0	0	0.193843735743138	0
Mix_46	0.405519258697856	0.39786894543947	0	0	0.196611795862674	0
Mix_47	0.386576195337652	0.415130669830925	0	0	0.198293134831423	0
Mix_48	0.361539235665345	0.474795087631153	0	0	0.163665676703501	0
Mix_49	0.25953278373269	0.612480610783421	0	0	0.12798660548389	0
Mix_50	0.324513560434407	0.473312268221838	0	0	0.202174171343755	0
Mix_51	0.366736568909121	0.456199076317867	0	0	0.177064354773012	0
Mix_52	0.273941256838906	0.55261134441434	0	0	0.173447398746754	0
Mix_53	0.391175377024112	0.404636903552101	0	0	0.204187719423786	0
Mix_54	0.285352407068685	0.528998486019276	0	0.00453680584690836	0.160951560176508	0.0201607408886223
Mix_55	0.26015784039746	0.588468980946687	0	0	0.151373178655853	0
Mix_56	0.336270831541736	0.458925434642792	0	0	0.204803733815472	0
Mix_57	0.205237822298683	0.652616091001552	0	0	0.142146086699765	0
Mix_58	0.306094750396167	0.517161766012319	0	0	0.176743483591514	0
Mix_59	0.264230979102619	0.603081614557911	0	0	0.13268740633947	0
Mix_60	0.421975818052721	0.421405408016724	0	0	0.156618773930555	0
Mix_61	0.422064424546622	0.414671087698928	0	0	0.16326448775445	0
Mix_62	0.40584295924195	0.48072702937993	0	0	0.113430011378121	0
Mix_63	0.283375966501363	0.537059446445757	0	0	0.174309854616811	0.00525473243606955
Mix_64	0.412559600397297	0.371540569694873	0	0	0.21589982990783	0
Mix_65	0.395299925548288	0.402498462690624	0	0	0.202201611761088	0
Mix_66	0.357038704933712	0.49617922627028	0	0	0.146782068796007	0
Mix_67	0.475259618635421	0.329146681217033	0	0.0248356597381124	0.170758040409434	0
Mix_68	0.352666899320286	0.443513534644111	0	0	0.203819566035602	0
Mix_69	0.427477940913604	0.419557394254016	0	0	0.15296466483238	0
Mix_70	0.335054004249939	0.472227103953272	0	0	0.192718891796789	0
Mix_71	0.333964100475549	0.510166587587926	0	0	0.155869311936525	0
Mix_72	0.354018718202338	0.416069377866637	0	0	0.229911903931025	0
Mix_73	0.24376185244555	0.611613344768809	0	0	0.144624802785641	0
Mix_74	0.421805082140373	0.410262291914168	0	0.00307913556734264	0.164853490378116	0
Mix_75	0.289003896715568	0.583681786414965	0	0	0.127314316869467	0
Mix_76	0.296947438277903	0.573758312336053	0	0	0.129294249386043	0
Mix_77	0.350021082273827	0.451292726599441	0	0.00400621214206028	0.194679978984671	0
Mix_78	0.249660204321774	0.605870792684183	0	0	0.144469002994043	0
Mix_79	0.259054154047668	0.596912640141388	0	0	0.144033205810944	0
Mix_80	0.334498465544481	0.488421187702181	0	0	0.177080346753338	0
Mix_81	0.352962435496245	0.473892550866675	0	0	0.173145013637081	0
Mix_82	0.336412243666467	0.533717308953043	0	0	0.12987044738049	0
Mix_83	0.399063640267863	0.431374146689668	0	0	0.169562213042469	0
Mix_84	0.361696253944855	0.44036096714871	0	0	0.197942778906436	0
Mix_85	0.307546243135437	0.559690944283476	0	0	0.132762812581087	0
Mix_86	0.326490573836167	0.49831173936639	0	0	0.175197686797444	0
Mix_87	0.504290042850347	0.318718155654789	0	0.0254205101690083	0.151571291325855	0
Mix_88	0.397300598883266	0.413816992241409	0	0	0.188882408875325	0
Mix_89	0.27347725037039	0.525305168495592	0	0	0.201217581134018	0
Mix_90	0.290844514567245	0.605864210444969	0	0	0.103291274987786	0
Mix_91	0.461688430889975	0.393401546768157	0	0.0121035763200875	0.13280644602178	0
Mix_92	0.342063200884602	0.50493108765423	0	0.00745418000603233	0.145551531455136	0
Mix_93	0.353298119728601	0.414669932438883	0	0	0.232031947832516	0
Mix_94	0.414778691105761	0.404939123232452	0	0	0.180282185661787	0
Mix_95	0.305457800149447	0.539505795919954	0	0	0.155036403930598	0
Mix_96	0.290541044244958	0.525395919735288	0	0	0.184063036019753	0
Mix_97	0.386550039042117	0.437058149029982	0	0	0.176391811927902	0
Mix_98	0.473635086083031	0.232585799493699	0	0.0199947294165606	0.22654996294081	0.0472344220659
Mix_99	0.227262709036969	0.600163664287381	0	0	0.17257362667565	0
Mix_100	0.368706810951962	0.417717624871515	0	0.0161882925374082	0.182037592740995	0.0153496788981193
