Gene,CD14,CD19B,CD4HelperT,CD4MemoryT,CD4NaiveT,CD4RegulatoryT,CD56NK,CD8CytotoxicT,CD8NaiveT
Mix_72,129.135373505,52.392178583,371.895667633,197.17613874,209.351646922,193.70306026,88.8595028786,281.714026912,178.607008784
Mix_73,68.1033363483,32.9518885238,312.503426413,166.979752469,196.009785249,162.871141692,116.908652352,266.499435942,160.069816157
Mix_74,100.05322494,72.9072630149,286.443109108,166.254236007,166.541405468,149.665975519,103.516151007,254.128096585,154.057979296
Mix_75,56.7035843609,50.478676621,313.650882272,161.755788399,190.364656439,165.501750591,114.637460224,259.279342998,153.198835599
Mix_76,54.4748725378,48.2740093816,305.986518023,163.366665601,194.197125351,161.937183126,114.010885698,267.139366038,158.112351662
Mix_77,121.968247685,54.7333968038,320.842910579,177.051219106,171.774307071,164.283422456,102.924754391,250.844755627,155.127896817
Mix_78,44.6727819506,35.2376476974,339.528311855,173.017912039,220.375611605,179.100691508,110.400172169,285.663100095,171.015600578
Mix_79,98.4316327983,35.9097571221,277.197709017,153.055259387,160.479139149,143.330688421,122.6481863,228.100484936,141.860143546
Mix_80,82.9522976464,56.6559592978,358.974406959,183.895481774,203.573013871,186.042121651,99.0009861635,271.601053404,167.897903723
Mix_81,99.8491671438,57.3111169205,299.206987456,170.374844608,177.98402169,157.186477446,104.341331921,262.82438169,161.691738923
Mix_82,36.9560591675,58.7143519839,312.592566861,166.892241649,205.594628003,167.993529077,104.19752229,282.228499536,167.049568426
Mix_83,91.8534750727,69.3945421169,307.250863216,172.022502354,180.937498636,161.353520107,99.1991155083,266.144290113,162.197543434
Mix_84,104.160420082,57.6463046467,338.609997329,189.052226006,201.620254919,177.228706596,94.1449950694,286.441155206,176.005583917
Mix_85,48.8797986181,54.7925077914,324.483587805,165.74523191,201.116278601,173.172941271,107.628140306,269.922538374,161.03189789
Mix_86,106.479002809,47.9794021787,293.790224071,168.566416793,177.019061778,152.71010611,107.908047105,258.428978982,160.189784784
Mix_87,101.183031424,101.276719412,292.095737214,168.240211713,156.974230684,155.568910799,92.610580143,252.77020256,152.055611102
Mix_88,78.700790338,73.0604570881,362.729501867,189.132578292,219.560691934,192.447510994,86.3201879046,304.825378877,185.982567627
Mix_89,124.973272484,35.4380878185,317.792385314,171.634824376,176.573148576,160.411360306,111.224528994,245.990273886,157.914139533
Mix_90,47.0328753997,49.7179529866,299.342133041,155.646464579,177.171102932,156.526817897,121.862906452,247.423296801,144.950171916
Mix_91,54.8413667895,96.126697517,325.664906745,177.097152364,187.452775193,175.542665922,92.7434035288,274.389714718,159.723480504
Mix_92,84.3298507682,59.3988803415,305.39672136,162.541954181,173.274844279,159.092096657,107.880878183,245.031880936,146.319957441
Mix_93,123.612843208,54.2894243843,382.607565685,203.186712791,207.40078699,196.770689907,89.1409569608,289.897933272,182.42005886
Mix_94,77.8097228884,78.4480441439,353.499031347,186.929921168,209.516672867,186.618944139,88.3011053943,292.92398206,179.5319416
Mix_95,67.7581374116,52.2561516325,344.978030618,174.1871721,197.305643304,179.786045492,107.320146677,265.332795645,158.046275858
Mix_96,81.429434262,41.6261098506,360.087758692,186.239597162,218.891994081,189.832587687,100.375886784,287.929992667,175.337938093
Mix_97,108.573951004,63.7068964269,291.743881325,168.190239566,165.727232734,152.475967808,102.783724375,252.551825008,155.673555622
Mix_98,188.861375507,93.1690238854,334.437975344,195.234395551,158.904946312,173.203803432,83.2374647455,261.617325059,173.203803418
Mix_99,56.5961562878,29.2273447658,400.984912941,192.039949112,243.009586927,207.722914565,106.623797806,301.184223503,180.990587061
Mix_100,127.248023488,64.5371768893,315.25743992,175.717597984,163.918273117,162.563915826,101.617837824,243.517544726,152.180509961
