Gene,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,NK_cells,Neutrophils,T_cells_(CD4+),B_cells,T_cells_(CD8+)
mix_84,734.805349561,898.908947687,487.09530558,553.344660097,417.944555839,170.198952287,594.001978072
mix_85,776.249686762,910.31920405,479.217581453,555.378501753,397.029844433,171.700054234,568.687972171
mix_86,702.282178986,885.898849699,491.657161846,549.271284407,437.827168315,169.56668183,601.516856462
mix_87,711.970630995,983.798104005,547.822534662,577.567805893,506.810825125,171.055172276,650.20211233
mix_88,733.593315794,955.180845809,516.675080682,568.620502853,456.997178098,170.255659354,614.787576602
mix_89,775.238553854,908.811470965,477.757824078,561.836988778,397.205796145,172.709566198,568.919184946
mix_90,702.507968472,961.013039758,535.312775901,558.217009499,495.75219584,173.911326326,634.746930611
mix_91,741.738244603,931.420694609,502.504548569,561.555717375,448.413635604,170.486544564,609.266600979
mix_92,701.475988059,935.149216313,516.428789725,560.772852442,457.154955596,165.737261037,602.197933182
mix_93,711.07308599,804.3593637,458.966753317,539.879210198,393.92192566,186.747380275,550.51416297
mix_94,705.515797856,940.857625724,522.797001292,554.686197277,481.647393591,167.316169847,619.633889423
mix_95,708.333065674,931.191966019,517.196133392,556.24057819,469.255930477,164.109811301,604.634238666
mix_96,747.425000022,965.148175146,492.904975476,572.187663798,430.547758788,167.736481036,596.239698217
mix_97,741.535074618,971.485854645,533.705148336,572.990685775,466.286051283,177.96239976,623.341591626
mix_98,737.231140772,956.789396549,501.436340344,564.721902297,450.384492771,174.371672071,592.479545113
mix_99,754.778817499,842.01458115,468.27708281,542.643836772,371.487170652,189.458398405,561.706103413
mix_100,718.109618001,897.831632227,488.165668281,549.296717106,442.713048571,171.29210298,594.632199802
