CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
mix_36	0	1.60216883137019e-06	1.3256911155774e-06	1.824963695706e-06	1.29791113229061e-06	1.19768587237194e-06	1.41954173781916e-06	2.08286618281484e-06	1.83273507089169e-06
mix_37	0	1.54093951767363e-06	1.28557664220721e-06	1.74707060490225e-06	1.25765492206006e-06	1.16299242686357e-06	1.31901161813276e-06	1.99208142404498e-06	1.75915007490215e-06
mix_38	0	1.51005660262765e-06	1.88116393748614e-06	2.3915544562418e-06	1.79965508299487e-06	1.69966909956148e-06	2.09395824390976e-06	2.69491184785555e-06	2.420412361833e-06
mix_39	0	1.88674639252558e-06	1.68121099900945e-06	2.13499786302188e-06	1.60648664037443e-06	1.52655273717462e-06	1.96968050623592e-06	2.43156264872944e-06	2.17065329604192e-06
mix_40	5.75968971044559e-07	6.87995215244134e-07	5.63060885118037e-07	6.37703732404908e-07	4.62253334281466e-07	5.07303858616265e-07	8.46040032680306e-07	8.11987760003944e-07	4.71109976142932e-07
mix_41	9.60914908335186e-07	2.54198034190317e-08	8.90535970759597e-08	0	0	6.9202209782272e-08	8.6473473863826e-07	9.17594331713875e-08	0
mix_42	0	1.99894147321475e-06	1.86844053204866e-06	2.41759277595383e-06	1.82773861510075e-06	1.68249694267381e-06	1.86120479804265e-06	2.73674539915751e-06	2.49866341604507e-06
mix_43	2.95343917743972e-08	9.98333541250633e-07	1.49402784321194e-06	1.78043563391843e-06	1.3263912674013e-06	1.3350586343816e-06	1.77052898518348e-06	1.9900470433513e-06	1.69054865527438e-06
mix_44	0	1.18229291638868e-06	1.4452771387057e-06	1.88914623157607e-06	1.37425155229402e-06	1.3043116112727e-06	1.72197947404756e-06	2.15345117915473e-06	1.88425890634931e-06
mix_45	3.06036740350949e-07	7.37624568148168e-07	1.04221687356682e-06	1.2953985712707e-06	9.4191599076708e-07	9.33982430773312e-07	1.04898301037366e-06	1.47495655031945e-06	1.18775970350765e-06
mix_46	0	1.61701760220973e-06	1.79549442243877e-06	2.28975073556222e-06	1.72087669277862e-06	1.62826972123865e-06	1.93496129463844e-06	2.59070318060829e-06	2.35143109751178e-06
mix_47	5.85677784716604e-07	7.34874530713901e-07	6.05168794937442e-07	6.71786492166126e-07	5.02515119161229e-07	5.45675505421769e-07	8.125097056661e-07	8.47861649210779e-07	5.22403639547639e-07
mix_48	1.44877225622062e-06	6.92189467248845e-09	0	0	0	0	5.12668828679552e-07	0	0
mix_49	9.1671044721108e-07	5.1361431552556e-07	2.98737108451712e-07	1.42264483866761e-07	1.15308448880023e-07	2.57288676303565e-07	9.52144306601701e-07	3.32567418541269e-07	0
mix_50	0	1.76391238500448e-06	1.70398788447034e-06	2.26489297327678e-06	1.67788798784072e-06	1.53819648602299e-06	1.57785122102466e-06	2.54762890630585e-06	2.32996145115108e-06
mix_51	1.05339776020843e-06	2.6129430876019e-07	0	0	0	0	7.36532317774226e-07	0	0
mix_52	0	1.99443945944206e-06	1.71333605585703e-06	2.21627602490821e-06	1.65972104180581e-06	1.54911613502761e-06	1.9207868326798e-06	2.52200835510586e-06	2.25367315525085e-06
mix_53	9.44456506361403e-07	4.95340466220405e-07	2.15066414424211e-07	4.72214486885857e-08	4.17207890362297e-08	1.82411842151824e-07	8.55473668130897e-07	2.31842879685825e-07	0
mix_54	0	1.99977695936788e-06	1.83776366153876e-06	2.2973091022597e-06	1.85945455382233e-06	1.69549118363642e-06	1.57731186367454e-06	2.67631250596087e-06	2.4972161120037e-06
mix_55	8.87300114975919e-07	4.31023073256566e-07	2.07062938184521e-07	5.58202757736151e-08	3.92657357575841e-08	1.68617428687647e-07	8.33543868042275e-07	2.47997557481546e-07	0
mix_56	0	1.23018523957236e-06	1.29993912562044e-06	1.75122011533392e-06	1.26877967565664e-06	1.17949716613724e-06	1.25137146814908e-06	1.99536584514859e-06	1.76602803312172e-06
mix_57	7.05487842735481e-07	2.71599101601254e-07	5.58601006736619e-07	5.25896773433789e-07	3.81889091296023e-07	4.99303070574495e-07	1.03818615813061e-06	6.97241978844539e-07	2.86110460358178e-07
mix_58	0	1.30616593607253e-06	1.31052344535386e-06	1.72878877578286e-06	1.24576716722383e-06	1.18798811273565e-06	1.58893261919691e-06	1.98872865108593e-06	1.72309440836638e-06
mix_59	9.11713409157367e-07	7.27762203650691e-08	2.57288175886083e-07	9.55774806132237e-08	7.7033979292217e-08	2.23330112722047e-07	9.3599613889831e-07	3.03237552851053e-07	0
mix_60	9.95113398973161e-08	1.33788628174906e-06	9.6490047034865e-07	1.29135375392115e-06	9.33125483741946e-07	8.79758802291363e-07	1.01308573828047e-06	1.53598745087368e-06	1.2957228724915e-06
mix_61	0	1.8559364648505e-06	1.83151078827414e-06	2.42259515177234e-06	1.88928165325089e-06	1.66812206317682e-06	1.57956547762806e-06	2.77533597338604e-06	2.56241435800443e-06
mix_62	0	1.71443839607562e-06	1.83021958396104e-06	2.36918831720715e-06	1.77178069815782e-06	1.65249089268808e-06	1.93759869862108e-06	2.66698385603944e-06	2.41055138372372e-06
mix_63	7.90126230465748e-07	2.31918784412756e-07	4.25928931863492e-07	3.33462411775121e-07	2.57158248936609e-07	3.79651139657028e-07	8.90439289015434e-07	5.09017734261602e-07	1.08198557993524e-07
mix_64	7.13794463028844e-07	6.37490381133397e-07	4.19867338419772e-07	4.34481847623106e-07	3.23231325463466e-07	3.77205674799157e-07	6.66344474229919e-07	6.16060274025065e-07	2.59315792192665e-07
mix_65	2.64653719195993e-07	1.07315477684407e-06	1.40373520780442e-06	1.50236434938653e-06	1.15400179520212e-06	1.25127354646981e-06	1.7700156868719e-06	1.67079309073265e-06	1.32407548982263e-06
mix_66	1.04193186686359e-06	2.11567267933913e-07	0	0	0	0	7.44932804416557e-07	0	0
mix_67	0	1.9156222425498e-06	1.81286633725094e-06	2.30867012160549e-06	1.74377179978098e-06	1.63852977136864e-06	2.02949511203683e-06	2.61778627879623e-06	2.35308287395327e-06
mix_68	0	1.43206980496203e-06	1.85549688962884e-06	2.28810553573501e-06	1.7232576647727e-06	1.68484312366511e-06	2.1950521585196e-06	2.59835881493914e-06	2.32647564940997e-06
